date,TIGER미국나스닥100
2020-03-20,25.17564
2020-03-21,7.23067
2020-03-22,7.8747
2020-03-23,21.19437
2020-03-24,24.94145
2020-03-25,27.19555
2020-03-26,25.26346
2020-03-27,23.33138
2020-03-28,7.25995
2020-03-29,7.05503
2020-03-30,19.20374
2020-03-31,21.37002
2020-04-01,20.78454
2020-04-02,21.048
2020-04-03,17.4473
2020-04-04,7.78688
2020-04-05,7.55269
2020-04-06,22.95081
2020-04-07,26.99063
2020-04-08,21.13583
2020-04-09,24.50234
2020-04-10,20.19906
2020-04-11,6.64519
2020-04-12,7.90398
2020-04-13,22.21896
2020-04-14,26.55152
2020-04-15,10.42154
2020-04-16,26.08313
2020-04-17,27.63466
2020-04-18,9.63114
2020-04-19,9.22131
2020-04-20,26.72716
2020-04-21,21.9555
2020-04-22,21.77985
2020-04-23,21.98477
2020-04-24,18.44262
2020-04-25,6.67447
2020-04-26,7.23067
2020-04-27,22.36533
2020-04-28,22.6288
2020-04-29,20.87236
2020-04-30,8.84074
2020-05-01,7.43559
2020-05-02,5.21077
2020-05-03,5.32786
2020-05-04,18.79391
2020-05-05,7.2014
2020-05-06,19.37939
2020-05-07,22.92154
2020-05-08,24.2096
2020-05-09,8.37236
2020-05-10,7.34777
2020-05-11,25.11709
2020-05-12,25.43911
2020-05-13,25.52693
2020-05-14,21.25292
2020-05-15,19.96487
2020-05-16,6.76229
2020-05-17,6.87939
2020-05-18,23.27283
2020-05-19,25.26346
2020-05-20,23.27283
2020-05-21,27.95667
2020-05-22,22.71662
2020-05-23,7.81615
2020-05-24,6.55737
2020-05-25,28.22014
2020-05-26,29.44964
2020-05-27,27.8103
2020-05-28,27.22482
2020-05-29,23.09718
2020-05-30,7.66978
2020-05-31,7.37704
2020-06-01,28.42505
2020-06-02,29.62529
2020-06-03,28.89344
2020-06-04,28.62997
2020-06-05,23.91686
2020-06-06,8.07962
2020-06-07,7.11358
2020-06-08,27.89812
2020-06-09,28.71779
2020-06-10,28.45433
2020-06-11,29.18618
2020-06-12,30.0644
2020-06-13,6.49882
2020-06-14,5.70843
2020-06-15,25.38056
2020-06-16,29.274
2020-06-17,29.1569
2020-06-18,24.8829
2020-06-19,25.08782
2020-06-20,6.44028
2020-06-21,6.46955
2020-06-22,25.29274
2020-06-23,28.45433
2020-06-24,27.54683
2020-06-25,27.25409
2020-06-26,22.71662
2020-06-27,7.02576
2020-06-28,7.05503
2020-06-29,25.70257
2020-06-30,22.36533
2020-07-01,23.91686
2020-07-02,25.46838
2020-07-03,24.8829
2020-07-04,6.46955
2020-07-05,5.8548
2020-07-06,28.13231
2020-07-07,31.44028
2020-07-08,28.13231
2020-07-09,38.08548
2020-07-10,42.76932
2020-07-11,17.82786
2020-07-12,16.51053
2020-07-13,49.94145
2020-07-14,49.15105
2020-07-15,42.71077
2020-07-16,39.40281
2020-07-17,36.53395
2020-07-18,10.48009
2020-07-19,9.74824
2020-07-20,37.52927
2020-07-21,54.59601
2020-07-22,44.43793
2020-07-23,43.53044
2020-07-24,50.46838
2020-07-25,11.65105
2020-07-26,11.03629
2020-07-27,43.09133
2020-07-28,44.40866
2020-07-29,45.98946
2020-07-30,40.45667
2020-07-31,45.72599
2020-08-01,13.7295
2020-08-02,14.11007
2020-08-03,45.96018
2020-08-04,49.38524
2020-08-05,47.39461
2020-08-06,47.98009
2020-08-07,48.38992
2020-08-08,13.67096
2020-08-09,16.48126
2020-08-10,46.60421
2020-08-11,45.72599
2020-08-12,45.63817
2020-08-13,46.63348
2020-08-14,42.79859
2020-08-15,11.94379
2020-08-16,8.72365
2020-08-17,12.70491
2020-08-18,43.911
2020-08-19,45.05269
2020-08-20,38.90515
2020-08-21,51.99063
2020-08-22,13.58313
2020-08-23,13.11475
2020-08-24,54.59601
2020-08-25,56.99648
2020-08-26,55.64988
2020-08-27,60.71428
2020-08-28,54.80093
2020-08-29,14.46135
2020-08-30,15.54449
2020-08-31,52.72248
2020-09-01,55.03512
2020-09-02,71.63348
2020-09-03,77.60538
2020-09-04,91.56908
2020-09-05,17.76932
2020-09-06,15.48594
2020-09-07,74.0925
2020-09-08,67.03747
2020-09-09,84.01639
2020-09-10,66.80327
2020-09-11,56.67447
2020-09-12,11.09484
2020-09-13,8.84074
2020-09-14,57.90398
2020-09-15,62.06088
2020-09-16,57.34777
2020-09-17,68.58899
2020-09-18,65.3103
2020-09-19,12.88056
2020-09-20,10.53864
2020-09-21,67.76932
2020-09-22,55.0644
2020-09-23,47.07259
2020-09-24,48.3021
2020-09-25,39.84192
2020-09-26,10.39227
2020-09-27,8.84074
2020-09-28,47.83372
2020-09-29,47.92154
2020-09-30,9.4555
2020-10-01,9.80679
2020-10-02,12.5
2020-10-03,9.77751
2020-10-04,10.68501
2020-10-05,56.44028
2020-10-06,51.66861
2020-10-07,43.79391
2020-10-08,43.70608
2020-10-09,12.55854
2020-10-10,10.9192
2020-10-11,9.22131
2020-10-12,53.6007
2020-10-13,60.74355
2020-10-14,52.60538
2020-10-15,46.9555
2020-10-16,41.92037
2020-10-17,9.04566
2020-10-18,8.84074
2020-10-19,43.06206
2020-10-20,42.94496
2020-10-21,47.18969
2020-10-22,38.29039
2020-10-23,37.14871
2020-10-24,8.43091
2020-10-25,8.10889
2020-10-26,41.30562
2020-10-27,41.74473
2020-10-28,39.37353
2020-10-29,43.55971
2020-10-30,40.54449
2020-10-31,9.3384
2020-11-01,8.28454
2020-11-02,44.17447
2020-11-03,47.59953
2020-11-04,62.35362
2020-11-05,62.70491
2020-11-06,85.04098
2020-11-07,24.44379
2020-11-08,22.83372
2020-11-09,74.8829
2020-11-10,75.93676
2020-11-11,64.81264
2020-11-12,58.57728
2020-11-13,50.38056
2020-11-14,15.83723
2020-11-15,19.7014
2020-11-16,52.86885
2020-11-17,57.66978
2020-11-18,49.32669
2020-11-19,53.51288
2020-11-20,51.4637
2020-11-21,17.74004
2020-11-22,21.42857
2020-11-23,59.51405
2020-11-24,60.62646
2020-11-25,70.14051
2020-11-26,59.60187
2020-11-27,52.72248
2020-11-28,19.26229
2020-11-29,24.32669
2020-11-30,62.96838
2020-12-01,63.23185
2020-12-02,71.80913
2020-12-03,69.0281
2020-12-04,68.2377
2020-12-05,24.18032
2020-12-06,23.65339
2020-12-07,65.48594
2020-12-08,61.91451
2020-12-09,62.73419
2020-12-10,70.31615
2020-12-11,61.73887
2020-12-12,20.16978
2020-12-13,21.34074
2020-12-14,59.68969
2020-12-15,60.53864
2020-12-16,65.28103
2020-12-17,62.32435
2020-12-18,60.97775
2020-12-19,22.92154
2020-12-20,23.62412
2020-12-21,72.39461
2020-12-22,64.13934
2020-12-23,63.40749
2020-12-24,60.56791
2020-12-25,20.34543
2020-12-26,21.8384
2020-12-27,23.06791
2020-12-28,68.26697
2020-12-29,71.1651
2020-12-30,69.52576
2020-12-31,31.67447
2021-01-01,20.90163
2021-01-02,19.05737
2021-01-03,25.32201
2021-01-04,75.5562
2021-01-05,71.19437
2021-01-06,74.73653
2021-01-07,64.11007
2021-01-08,77.25409
2021-01-09,25.5562
2021-01-10,24.8829
2021-01-11,75.84894
2021-01-12,58.40163
2021-01-13,54.65456
2021-01-14,57.96252
2021-01-15,47.36533
2021-01-16,16.1007
2021-01-17,17.35948
2021-01-18,47.36533
2021-01-19,55.15222
2021-01-20,58.43091
2021-01-21,73.03864
2021-01-22,68.94028
2021-01-23,24.64871
2021-01-24,23.88758
2021-01-25,70.72599
2021-01-26,71.10655
2021-01-27,67.5644
2021-01-28,66.24707
2021-01-29,56.82084
2021-01-30,17.94496
2021-01-31,16.27634
2021-02-01,59.36768
2021-02-02,60.45081
2021-02-03,58.6651
2021-02-04,50.79039
2021-02-05,64.16861
2021-02-06,23.36065
2021-02-07,21.8384
2021-02-08,64.95901
2021-02-09,63.9637
2021-02-10,54.71311
2021-02-11,19.17447
2021-02-12,17.79859
2021-02-13,16.94964
2021-02-14,17.35948
2021-02-15,65.86651
2021-02-16,59.63114
2021-02-17,55.03512
2021-02-18,48.77049
2021-02-19,42.91569
2021-02-20,15.57377
2021-02-21,14.78337
2021-02-22,47.71662
2021-02-23,46.80913
2021-02-24,45.87236
2021-02-25,43.44262
2021-02-26,44.87704
2021-02-27,12.11943
2021-02-28,11.00702
2021-03-01,13.75878
