date,스테픈
2020-04-07,0.02752
2020-12-10,0.02293
2020-12-29,0.02752
2021-01-04,0.13762
2021-01-05,0.02293
2021-01-06,0.07798
2021-01-07,0.09175
2021-01-10,0.02752
2021-01-13,0.02293
2021-03-20,0.02293
2021-03-21,0.06422
2021-04-17,0.09633
2021-04-18,0.23855
2021-04-24,0.02752
2021-04-25,0.06881
2021-04-26,0.22937
2021-04-29,0.02293
2021-05-02,0.03211
2021-05-03,0.03211
2021-05-04,0.03211
2021-05-05,0.02752
2021-05-15,0.04128
2021-05-29,0.02293
2021-05-31,0.16515
2021-07-17,0.02293
2021-07-19,0.02293
2021-07-30,0.0367
2021-08-05,0.02293
2021-08-08,0.16056
2021-08-14,0.02293
2021-08-18,0.02293
2021-08-30,0.0367
2021-09-09,0.06422
2021-10-16,0.04587
2021-10-17,0.04128
2021-10-28,0.02293
2021-11-05,0.02752
2021-11-10,0.02293
2021-12-03,0.02293
2021-12-08,0.06881
2021-12-11,0.02293
2021-12-20,0.08257
2021-12-21,0.0367
2022-01-01,0.09175
2022-01-02,0.04587
2022-01-03,0.05046
2022-01-04,0.02752
2022-01-12,0.02293
2022-01-19,0.04587
2022-01-20,0.02293
2022-01-28,0.02293
2022-02-01,0.02293
2022-02-03,0.0367
2022-02-05,0.11468
2022-02-06,0.13762
2022-02-07,0.14221
2022-02-08,0.05963
2022-02-09,0.0367
2022-02-10,0.09633
2022-02-11,0.05963
2022-02-12,0.04128
2022-02-13,0.07798
2022-02-14,0.0734
2022-02-15,0.04587
2022-02-16,0.05046
2022-02-17,0.08257
2022-02-18,0.08257
2022-02-19,0.02293
2022-02-20,0.04128
2022-02-21,0.06422
2022-02-22,0.1101
2022-02-23,0.09175
2022-02-24,0.11468
2022-02-25,0.1101
2022-02-26,0.09633
2022-02-27,0.07798
2022-02-28,0.15597
2022-03-01,0.16056
2022-03-02,0.18809
2022-03-03,0.20644
2022-03-04,0.1835
2022-03-05,0.21561
2022-03-06,0.34865
2022-03-07,0.4404
2022-03-08,0.41288
2022-03-09,0.42664
2022-03-10,0.44499
2022-03-11,0.59179
2022-03-12,0.66978
2022-03-13,0.86246
2022-03-14,0.91292
2022-03-15,1.11936
2022-03-16,1.01385
2022-03-17,1.2524
2022-03-18,0.86246
2022-03-19,0.70648
2022-03-20,0.90834
2022-03-21,1.08725
2022-03-22,1.26158
2022-03-23,0.9955
2022-03-24,1.179
2022-03-25,0.9588
2022-03-26,1.01385
2022-03-27,1.17441
2022-03-28,1.72951
2022-03-29,1.96348
2022-03-30,4.01412
2022-03-31,2.55528
2022-04-01,2.49105
2022-04-02,1.98183
2022-04-03,1.87631
2022-04-04,2.45435
2022-04-05,3.41315
2022-04-06,4.25727
2022-04-07,3.53243
2022-04-08,3.22506
2022-04-09,2.56904
2022-04-10,2.41765
2022-04-11,3.14707
2022-04-12,3.15625
2022-04-13,4.26185
2022-04-14,5.49132
2022-04-15,3.92237
2022-04-16,4.02789
2022-04-17,5.10138
2022-04-18,6.03266
2022-04-19,6.66574
2022-04-20,6.26662
2022-04-21,9.31736
2022-04-22,7.5328
2022-04-23,17.25846
2022-04-24,34.35177
2022-04-25,15.28121
2022-04-26,10.60647
2022-04-27,9.31278
2022-04-28,17.51995
2022-04-29,26.29599
2022-04-30,15.73997
2022-05-01,11.12487
2022-05-02,13.17552
2022-05-03,14.98761
2022-05-04,30.17249
2022-05-05,14.67107
2022-05-06,13.06541
2022-05-07,10.8542
2022-05-08,43.62785
2022-05-09,100.0
2022-05-10,23.2269
2022-05-11,18.30901
2022-05-12,14.46921
2022-05-13,13.62969
2022-05-14,9.822
2022-05-15,13.69391
2022-05-16,16.2079
2022-05-17,12.59748
2022-05-18,10.66152
2022-05-19,9.48252
2022-05-20,9.91834
2022-05-21,8.07872
2022-05-22,10.84503
2022-05-23,9.86329
2022-05-24,9.4137
2022-05-25,8.98706
2022-05-26,13.25809
2022-05-27,39.37975
2022-05-28,11.45517
2022-05-29,13.51958
2022-05-30,12.60666
2022-05-31,8.2714
2022-06-01,8.60629
2022-06-02,13.95082
2022-06-03,8.06496
2022-06-04,7.70254
2022-06-05,8.13377
2022-06-06,6.14276
2022-06-07,4.92246
2022-06-08,6.01431
2022-06-09,4.58298
2022-06-10,5.60143
2022-06-11,4.51876
2022-06-12,5.76199
2022-06-13,6.79878
