date,파킹통장금리비교
2020-03-21,0.34667
2020-03-26,0.15757
2020-04-01,0.18909
2020-04-03,0.5988
2020-04-04,0.85092
2020-04-05,0.78789
2020-04-06,0.5988
2020-04-08,0.53577
2020-04-09,0.15757
2020-04-11,0.18909
2020-04-12,0.28364
2020-04-13,0.22061
2020-04-16,0.22061
2020-04-21,0.15757
2020-04-22,0.15757
2020-04-23,0.28364
2020-04-24,0.22061
2020-04-27,0.15757
2020-05-05,0.22061
2020-05-07,0.15757
2020-05-11,0.44122
2020-05-12,0.56728
2020-05-13,0.53577
2020-05-14,0.44122
2020-05-15,0.31515
2020-05-16,0.18909
2020-05-18,0.18909
2020-05-19,0.53577
2020-05-21,0.22061
2020-05-27,0.15757
2020-06-13,0.25212
2020-06-15,0.18909
2020-06-16,0.18909
2020-06-24,0.18909
2020-07-06,0.31515
2020-07-07,0.22061
2020-07-08,0.56728
2020-07-14,0.18909
2020-07-18,0.15757
2020-07-24,0.22061
2020-08-02,0.18909
2020-08-03,0.18909
2020-08-04,0.15757
2020-08-07,0.28364
2020-08-08,0.15757
2020-08-10,0.18909
2020-08-11,0.18909
2020-08-12,0.18909
2020-08-13,0.25212
2020-08-17,0.18909
2020-08-20,0.15757
2020-08-22,0.15757
2020-08-23,0.25212
2020-08-26,0.15757
2020-08-30,0.22061
2020-09-01,0.15757
2020-09-04,0.18909
2020-09-08,0.15757
2020-09-18,0.25212
2020-09-20,0.15757
2020-09-24,0.18909
2020-09-26,0.15757
2020-09-27,0.18909
2020-09-28,0.18909
2020-09-29,0.15757
2020-10-05,0.15757
2020-10-09,0.15757
2020-10-10,0.18909
2020-10-12,0.81941
2020-10-13,0.31515
2020-10-14,0.18909
2020-10-19,0.53577
2020-10-20,0.37819
2020-10-21,0.25212
2020-10-22,0.4097
2020-10-23,0.18909
2020-10-26,0.15757
2020-10-27,0.15757
2020-10-28,0.18909
2020-10-29,0.25212
2020-10-30,0.25212
2020-10-31,0.25212
2020-11-01,0.18909
2020-11-02,0.4097
2020-11-03,0.18909
2020-11-08,0.15757
2020-11-10,0.25212
2020-11-12,0.18909
2020-11-15,0.25212
2020-11-16,0.25212
2020-11-17,0.22061
2020-11-18,0.22061
2020-11-19,0.34667
2020-11-20,0.37819
2020-11-23,0.15757
2020-11-24,0.28364
2020-12-02,0.56728
2020-12-10,0.31515
2020-12-17,0.15757
2020-12-18,0.18909
2020-12-21,0.18909
2020-12-22,0.15757
2020-12-24,0.15757
2020-12-26,0.15757
2020-12-29,0.34667
2020-12-30,0.22061
2021-01-02,0.18909
2021-01-05,0.18909
2021-01-14,0.63031
2021-01-15,0.91396
2021-01-16,0.25212
2021-01-17,0.15757
2021-01-20,0.63031
2021-01-22,0.15757
2021-01-23,0.25212
2021-01-24,0.15757
2021-01-25,0.18909
2021-01-26,0.25212
2021-01-27,0.15757
2021-01-30,0.18909
2021-01-31,0.15757
2021-02-01,0.37819
2021-02-03,0.15757
2021-02-04,0.34667
2021-02-05,0.56728
2021-02-06,0.15757
2021-02-08,0.37819
2021-02-09,0.22061
2021-02-11,0.22061
2021-02-13,0.15757
2021-02-14,0.15757
2021-02-15,0.22061
2021-02-16,0.44122
2021-02-17,0.18909
2021-02-18,0.15757
2021-02-19,0.31515
2021-02-25,0.22061
2021-02-26,0.18909
2021-02-28,0.15757
2021-03-01,0.4097
2021-03-02,0.4097
2021-03-03,0.75638
2021-03-04,0.44122
2021-03-05,0.4097
2021-03-06,0.50425
2021-03-07,0.25212
2021-03-08,0.37819
2021-03-09,0.44122
2021-03-10,0.37819
2021-03-11,0.4097
2021-03-12,0.31515
2021-03-13,0.47273
2021-03-14,1.0085
2021-03-15,0.91396
2021-03-16,0.31515
2021-03-17,0.85092
2021-03-18,0.88244
2021-03-19,0.66183
2021-03-20,0.31515
2021-03-21,0.18909
2021-03-22,0.34667
2021-03-23,0.78789
2021-03-24,1.10305
2021-03-25,1.04002
2021-03-26,0.69335
2021-03-27,0.5988
2021-03-28,0.78789
2021-03-29,1.16608
2021-03-30,0.5988
2021-03-31,0.94547
2021-04-01,0.66183
2021-04-02,0.72486
2021-04-03,0.85092
2021-04-04,0.34667
2021-04-05,0.72486
2021-04-06,0.63031
2021-04-07,0.50425
2021-04-08,0.50425
2021-04-09,1.22912
2021-04-10,0.37819
2021-04-11,0.4097
2021-04-12,1.07154
2021-04-13,0.66183
2021-04-14,0.22061
2021-04-16,0.4097
2021-04-18,0.47273
2021-04-19,0.69335
2021-04-20,0.18909
2021-04-21,0.44122
2021-04-22,0.44122
2021-04-23,0.50425
2021-04-26,0.25212
2021-04-27,0.15757
2021-04-29,0.15757
2021-04-30,0.28364
2021-05-01,0.34667
2021-05-03,0.47273
2021-05-04,0.28364
2021-05-05,0.18909
2021-05-07,0.81941
2021-05-08,0.15757
2021-05-10,0.56728
2021-05-11,0.22061
2021-05-12,0.15757
2021-05-13,0.15757
2021-05-14,0.4097
2021-05-15,0.34667
2021-05-16,0.31515
2021-05-17,0.31515
2021-05-18,0.15757
2021-05-19,0.15757
2021-05-20,0.28364
2021-05-21,0.66183
2021-05-22,0.28364
2021-05-23,0.31515
2021-05-24,0.69335
2021-05-25,0.47273
2021-05-26,0.37819
2021-05-28,0.56728
2021-05-29,0.25212
2021-05-30,0.4097
2021-05-31,0.25212
2021-06-01,0.47273
2021-06-02,0.15757
2021-06-03,0.22061
2021-06-05,0.15757
2021-06-08,0.15757
2021-06-09,0.31515
2021-06-10,0.18909
2021-06-11,0.31515
2021-06-14,0.56728
2021-06-15,0.22061
2021-06-17,0.15757
2021-06-18,0.34667
2021-06-19,0.34667
2021-06-21,0.50425
2021-06-22,0.15757
2021-06-23,0.28364
2021-06-24,0.15757
2021-06-25,0.47273
2021-06-27,0.15757
2021-06-29,0.31515
2021-06-30,0.28364
2021-07-01,0.69335
2021-07-02,0.34667
