date,LTVDTI
2020-03-20,6.53723
2020-03-21,5.06266
2020-03-22,5.79995
2020-03-23,8.97026
2020-03-24,8.23298
2020-03-25,7.98722
2020-03-26,8.03637
2020-03-27,6.68468
2020-03-28,5.75079
2020-03-29,5.60334
2020-03-30,7.56942
2020-03-31,7.39739
2020-04-01,7.34824
2020-04-02,7.52027
2020-04-03,7.15163
2020-04-04,5.01351
2020-04-05,7.49569
2020-04-06,8.97026
2020-04-07,8.92111
2020-04-08,7.56942
2020-04-09,8.28213
2020-04-10,5.67707
2020-04-11,5.11182
2020-04-12,6.5618
2020-04-13,8.1101
2020-04-14,7.39739
2020-04-15,6.26689
2020-04-16,7.91349
2020-04-17,8.1101
2020-04-18,5.77537
2020-04-19,9.97788
2020-04-20,12.04227
2020-04-21,10.81346
2020-04-22,9.63381
2020-04-23,8.94568
2020-04-24,7.47112
2020-04-25,5.57876
2020-04-26,5.92283
2020-04-27,9.16687
2020-04-28,7.32366
2020-04-29,7.17621
2020-04-30,5.25927
2020-05-01,5.30842
2020-05-02,5.75079
2020-05-03,7.34824
2020-05-04,10.24821
2020-05-05,8.13467
2020-05-06,9.31432
2020-05-07,8.99483
2020-05-08,7.74145
2020-05-09,5.45588
2020-05-10,5.8491
2020-05-11,9.01941
2020-05-12,9.75669
2020-05-13,8.77365
2020-05-14,8.3067
2020-05-15,7.22536
2020-05-16,5.30842
2020-05-17,5.79995
2020-05-18,9.51093
2020-05-19,9.31432
2020-05-20,10.17449
2020-05-21,7.52027
2020-05-22,7.37281
2020-05-23,4.79233
2020-05-24,6.4635
2020-05-25,10.24821
2020-05-26,8.62619
2020-05-27,10.42025
2020-05-28,9.09314
2020-05-29,7.05333
2020-05-30,5.75079
2020-05-31,5.9474
2020-06-01,9.97788
2020-06-02,9.90415
2020-06-03,8.65077
2020-06-04,7.29909
2020-06-05,7.79061
2020-06-06,5.4313
2020-06-07,7.12705
2020-06-08,10.83804
2020-06-09,9.36347
2020-06-10,11.05922
2020-06-11,11.6982
2020-06-12,11.0838
2020-06-13,8.65077
2020-06-14,8.45416
2020-06-15,17.39985
2020-06-16,22.38879
2020-06-17,100.0
2020-06-18,64.3647
2020-06-19,48.63602
2020-06-20,27.9184
2020-06-21,23.8142
2020-06-22,35.51241
2020-06-23,41.681
2020-06-24,37.28188
2020-06-25,28.4345
2020-06-26,22.65913
2020-06-27,17.71934
2020-06-28,19.31678
2020-06-29,27.13197
2020-06-30,24.69894
2020-07-01,23.9125
2020-07-02,24.25657
2020-07-03,20.15237
2020-07-04,15.06512
2020-07-05,16.12189
2020-07-06,22.04472
2020-07-07,23.59302
2020-07-08,22.11845
2020-07-09,21.23371
2020-07-10,41.23863
2020-07-11,23.56844
2020-07-12,18.99729
2020-07-13,23.74047
2020-07-14,18.55492
2020-07-15,18.45662
2020-07-16,15.60579
2020-07-17,16.02359
2020-07-18,13.59056
2020-07-19,13.22192
2020-07-20,17.59646
2020-07-21,17.91594
2020-07-22,17.64561
2020-07-23,16.71172
2020-07-24,13.91005
2020-07-25,11.01007
2020-07-26,10.00245
2020-07-27,14.79478
2020-07-28,13.61513
2020-07-29,12.77955
2020-07-30,12.87785
2020-07-31,12.04227
2020-08-01,8.94568
2020-08-02,10.32194
2020-08-03,14.30326
2020-08-04,14.0575
2020-08-05,13.9592
2020-08-06,12.87785
2020-08-07,12.75497
2020-08-08,9.21602
2020-08-09,9.78127
2020-08-10,14.00835
2020-08-11,13.9592
2020-08-12,14.45072
2020-08-13,14.30326
2020-08-14,11.03465
2020-08-15,8.8228
2020-08-16,8.62619
2020-08-17,11.10838
2020-08-18,12.7304
2020-08-19,12.8287
2020-08-20,12.46006
2020-08-21,9.46178
2020-08-22,7.10248
2020-08-23,6.88129
2020-08-24,10.19906
2020-08-25,11.10838
2020-08-26,10.91177
2020-08-27,10.10076
2020-08-28,8.47874
2020-08-29,6.43892
2020-08-30,7.10248
2020-08-31,10.83804
2020-09-01,10.42025
2020-09-02,9.36347
2020-09-03,9.60924
2020-09-04,7.22536
2020-09-05,6.5618
2020-09-06,7.96264
2020-09-07,10.78889
2020-09-08,11.50159
2020-09-09,9.92872
2020-09-10,10.00245
2020-09-11,7.93806
2020-09-12,5.97198
2020-09-13,7.20078
2020-09-14,10.76431
2020-09-15,11.15753
2020-09-16,11.94396
2020-09-17,10.27279
2020-09-18,7.64315
2020-09-19,6.09486
2020-09-20,5.62791
2020-09-21,8.69992
2020-09-22,8.50331
2020-09-23,9.14229
2020-09-24,6.68468
2020-09-25,6.4635
2020-09-26,5.28385
2020-09-27,6.14401
2020-09-28,8.06094
2020-09-29,6.90587
2020-09-30,4.15335
2020-10-01,3.51437
2020-10-02,5.40673
2020-10-03,5.79995
2020-10-04,8.57704
2020-10-05,11.32956
2020-10-06,10.49397
2020-10-07,9.63381
2020-10-08,9.09314
2020-10-09,5.67707
2020-10-10,7.74145
2020-10-11,8.18382
2020-10-12,11.84566
2020-10-13,10.78889
2020-10-14,11.25583
2020-10-15,9.19144
2020-10-16,9.28975
2020-10-17,6.29147
2020-10-18,6.73384
2020-10-19,11.94396
2020-10-20,11.52617
2020-10-21,12.2143
2020-10-22,10.81346
2020-10-23,9.53551
2020-10-24,7.17621
