date,분양가상한제
2020-03-20,4.96006
2020-03-21,3.10813
2020-03-22,2.90956
2020-03-23,4.07079
2020-03-24,3.54413
2020-03-25,3.38009
2020-03-26,3.36714
2020-03-27,2.89229
2020-03-28,2.99158
2020-03-29,3.48802
2020-03-30,4.10533
2020-03-31,3.87653
2020-04-01,3.93697
2020-04-02,3.17289
2020-04-03,2.82322
2020-04-04,2.36995
2020-04-05,2.53831
2020-04-06,2.89229
2020-04-07,3.24195
2020-04-08,3.33693
2020-04-09,3.13403
2020-04-10,3.29376
2020-04-11,2.89661
2020-04-12,2.65918
2020-04-13,3.59594
2020-04-14,3.13835
2020-04-15,2.90956
2020-04-16,5.59033
2020-04-17,4.93848
2020-04-18,3.49233
2020-04-19,3.84631
2020-04-20,4.56723
2020-04-21,6.2508
2020-04-22,4.9428
2020-04-23,3.94129
2020-04-24,3.23332
2020-04-25,2.52967
2020-04-26,3.00884
2020-04-27,4.07079
2020-04-28,4.84783
2020-04-29,5.42628
2020-04-30,4.42477
2020-05-01,4.54133
2020-05-02,3.4319
2020-05-03,4.43772
2020-05-04,4.08374
2020-05-05,4.91258
2020-05-06,6.90697
2020-05-07,5.85797
2020-05-08,4.02331
2020-05-09,3.62616
2020-05-10,4.31254
2020-05-11,5.18886
2020-05-12,4.96438
2020-05-13,4.26073
2020-05-14,4.13986
2020-05-15,4.09669
2020-05-16,3.53982
2020-05-17,4.29095
2020-05-18,5.43924
2020-05-19,5.22339
2020-05-20,6.50982
2020-05-21,5.87524
2020-05-22,4.92121
2020-05-23,3.94992
2020-05-24,4.99028
2020-05-25,5.8407
2020-05-26,5.27951
2020-05-27,5.39175
2020-05-28,5.33995
2020-05-29,4.36002
2020-05-30,3.36283
2020-05-31,3.86358
2020-06-01,5.25361
2020-06-02,6.1213
2020-06-03,5.70256
2020-06-04,5.99611
2020-06-05,5.1241
2020-06-06,4.92985
2020-06-07,5.18886
2020-06-08,7.06669
2020-06-09,7.05374
2020-06-10,6.6091
2020-06-11,5.78027
2020-06-12,4.99892
2020-06-13,4.21325
2020-06-14,6.40189
2020-06-15,7.72285
2020-06-16,6.32851
2020-06-17,11.69868
2020-06-18,7.11418
2020-06-19,5.92704
2020-06-20,4.42477
2020-06-21,4.82624
2020-06-22,5.89682
2020-06-23,5.86229
2020-06-24,5.44787
2020-06-25,5.27951
2020-06-26,4.43772
2020-06-27,4.78739
2020-06-28,5.42197
2020-06-29,6.97604
2020-06-30,6.2508
2020-07-01,6.54867
2020-07-02,5.60328
2020-07-03,4.49816
2020-07-04,3.31534
2020-07-05,3.74703
2020-07-06,5.29246
2020-07-07,5.33131
2020-07-08,9.17763
2020-07-09,8.5042
2020-07-10,5.71983
2020-07-11,4.39024
2020-07-12,4.2521
2020-07-13,4.85646
2020-07-14,5.14569
2020-07-15,5.70256
2020-07-16,8.79775
2020-07-17,6.88538
2020-07-18,9.8338
2020-07-19,8.62508
2020-07-20,9.2726
2020-07-21,9.21217
2020-07-22,6.5055
2020-07-23,5.70256
2020-07-24,5.6853
2020-07-25,4.67947
2020-07-26,10.36477
2020-07-27,16.50766
2020-07-28,25.15432
2020-07-29,100.0
2020-07-30,17.59551
2020-07-31,10.05396
2020-08-01,6.25944
2020-08-02,5.53852
2020-08-03,7.98186
2020-08-04,8.61213
2020-08-05,6.34146
2020-08-06,5.1241
2020-08-07,4.28232
2020-08-08,4.82624
2020-08-09,5.79322
2020-08-10,6.24217
2020-08-11,9.95467
2020-08-12,7.2998
2020-08-13,6.87675
2020-08-14,5.59033
2020-08-15,3.8679
2020-08-16,3.72113
2020-08-17,4.67947
2020-08-18,4.15713
2020-08-19,4.02331
2020-08-20,4.05784
2020-08-21,3.37578
2020-08-22,2.29656
2020-08-23,3.01748
2020-08-24,3.8161
2020-08-25,3.21605
2020-08-26,4.50679
2020-08-27,3.36714
2020-08-28,2.96999
2020-08-29,2.68508
2020-08-30,4.1744
2020-08-31,5.20612
2020-09-01,4.17871
2020-09-02,3.60025
2020-09-03,2.77142
2020-09-04,2.64623
2020-09-05,2.46492
2020-09-06,4.67515
2020-09-07,4.2003
2020-09-08,3.92402
2020-09-09,4.36434
2020-09-10,3.39304
2020-09-11,2.86207
2020-09-12,2.16706
2020-09-13,2.43902
2020-09-14,2.83185
2020-09-15,3.03043
2020-09-16,3.15562
2020-09-17,2.54262
2020-09-18,2.52967
2020-09-19,1.89078
2020-09-20,2.11526
2020-09-21,3.15562
2020-09-22,2.95273
2020-09-23,3.28081
2020-09-24,2.83617
2020-09-25,6.77314
2020-09-26,4.2262
2020-09-27,2.74983
2020-09-28,3.73408
2020-09-29,3.25922
2020-09-30,1.99007
2020-10-01,1.81739
2020-10-02,2.08504
2020-10-03,2.51241
2020-10-04,2.67213
2020-10-05,3.36283
2020-10-06,3.20742
2020-10-07,4.5845
2020-10-08,3.28944
2020-10-09,2.21454
2020-10-10,2.15842
2020-10-11,2.29656
2020-10-12,3.02611
2020-10-13,2.98294
2020-10-14,6.47096
2020-10-15,4.31254
2020-10-16,3.10382
2020-10-17,2.52967
2020-10-18,2.60306
2020-10-19,3.93697
2020-10-20,3.41895
2020-10-21,3.5355
2020-10-22,3.36714
2020-10-23,3.38441
2020-10-24,2.27498
2020-10-25,2.69371
2020-10-26,3.44916
2020-10-27,3.9974
2020-10-28,4.37729
2020-10-29,3.29807
2020-10-30,3.1254
2020-10-31,2.41312
2020-11-01,3.05633
2020-11-02,3.98014
2020-11-03,3.83336
2020-11-04,3.42326
2020-11-05,3.31102
2020-11-06,2.45629
2020-11-07,2.13684
2020-11-08,2.93546
2020-11-09,3.85927
2020-11-10,3.90243
2020-11-11,3.39736
2020-11-12,3.16857
2020-11-13,2.72393
2020-11-14,2.16706
2020-11-15,2.80164
2020-11-16,3.31102
2020-11-17,3.55709
2020-11-18,3.43621
2020-11-19,3.80746
2020-11-20,2.75415
2020-11-21,2.06777
2020-11-22,2.56421
2020-11-23,3.0995
2020-11-24,3.26354
2020-11-25,2.81027
2020-11-26,3.19879
2020-11-27,5.49535
2020-11-28,3.31966
2020-11-29,3.11677
2020-11-30,3.51392
2020-12-01,3.19447
2020-12-02,3.16857
2020-12-03,2.93977
2020-12-04,2.79732
2020-12-05,2.05482
2020-12-06,2.63759
2020-12-07,2.91387
2020-12-08,2.65918
2020-12-09,3.03043
2020-12-10,3.24627
2020-12-11,2.82754
2020-12-12,2.27498
2020-12-13,2.3311
2020-12-14,2.84049
2020-12-15,2.78868
2020-12-16,2.98294
2020-12-17,4.76581
2020-12-18,5.39607
2020-12-19,4.30822
2020-12-20,3.95855
2020-12-21,4.38161
2020-12-22,4.16145
2020-12-23,4.10101
2020-12-24,2.56421
2020-12-25,1.88214
2020-12-26,2.37427
2020-12-27,2.4347
2020-12-28,4.67947
2020-12-29,4.36434
2020-12-30,3.46211
2020-12-31,3.03043
2021-01-01,2.57284
2021-01-02,2.75415
2021-01-03,3.1254
