date,디폴트옵션
2020-03-23,0.1115
2020-03-24,0.20071
2020-03-25,0.1115
2020-03-26,0.24531
2020-03-27,0.1338
2020-03-28,0.1115
2020-03-29,0.1115
2020-03-30,0.22301
2020-03-31,0.17841
2020-04-01,0.1115
2020-04-02,0.1115
2020-04-03,0.1115
2020-04-07,0.1115
2020-04-08,0.24531
2020-04-10,0.24531
2020-04-11,0.31222
2020-04-12,0.1338
2020-04-14,0.1338
2020-04-17,0.1338
2020-04-19,0.1338
2020-04-21,0.28991
2020-04-22,0.22301
2020-04-23,0.31222
2020-04-24,0.17841
2020-04-26,0.51293
2020-04-27,0.17841
2020-04-28,0.15611
2020-04-29,0.49063
2020-04-30,0.40142
2020-05-01,0.1115
2020-05-02,0.15611
2020-05-03,0.1115
2020-05-04,0.1115
2020-05-06,0.24531
2020-05-07,0.24531
2020-05-08,0.31222
2020-05-09,0.17841
2020-05-10,0.28991
2020-05-11,0.33452
2020-05-12,0.42372
2020-05-13,0.24531
2020-05-14,0.28991
2020-05-15,0.33452
2020-05-16,0.35682
2020-05-17,0.60214
2020-05-18,0.26761
2020-05-19,0.22301
2020-05-21,0.62444
2020-05-22,0.49063
2020-05-23,0.57983
2020-05-24,0.40142
2020-05-25,0.15611
2020-05-26,0.49063
2020-05-27,0.44603
2020-05-28,0.33452
2020-05-29,0.40142
2020-05-30,0.22301
2020-05-31,0.1115
2020-06-01,0.44603
2020-06-02,0.22301
2020-06-03,0.17841
2020-06-04,0.42372
2020-06-05,0.31222
2020-06-07,0.1115
2020-06-08,0.24531
2020-06-09,0.24531
2020-06-10,0.28991
2020-06-11,0.37912
2020-06-12,0.40142
2020-06-13,0.26761
2020-06-14,0.28991
2020-06-15,0.37912
2020-06-16,0.40142
2020-06-17,0.84745
2020-06-18,0.1115
2020-06-19,0.17841
2020-06-21,0.1115
2020-06-22,0.17841
2020-06-23,0.35682
2020-06-24,0.31222
2020-06-25,0.26761
2020-06-26,0.31222
2020-06-27,0.17841
2020-06-29,0.42372
2020-07-06,0.53523
2020-07-07,0.15611
2020-07-14,0.1115
2020-07-20,0.15611
2020-07-27,0.1115
2020-07-29,0.1115
2020-07-30,0.1338
2020-07-31,0.1338
2020-08-02,0.1115
2020-08-03,0.22301
2020-08-05,0.22301
2020-08-06,0.46833
2020-08-07,0.35682
2020-08-08,0.1338
2020-08-09,0.49063
2020-08-10,0.44603
2020-08-11,0.40142
2020-08-12,0.35682
2020-08-13,0.42372
2020-08-14,0.28991
2020-08-17,0.17841
2020-08-18,0.26761
2020-08-19,0.64674
2020-08-20,0.57983
2020-08-21,0.28991
2020-08-22,0.1115
2020-08-23,0.1338
2020-08-24,0.31222
2020-08-25,0.20071
