date,베어유
2020-03-20,4.69502
2020-03-21,5.25682
2020-03-22,4.09309
2020-03-23,5.77849
2020-03-24,5.41733
2020-03-25,6.2199
2020-03-26,5.57784
2020-03-27,5.29695
2020-03-28,4.37399
2020-03-29,4.77528
2020-03-30,6.74157
2020-03-31,6.62118
2020-04-01,8.02568
2020-04-02,9.7512
2020-04-03,8.54735
2020-04-04,7.22311
2020-04-05,6.17977
2020-04-06,7.0626
2020-04-07,7.26324
2020-04-08,6.38041
2020-04-09,7.46388
2020-04-10,5.939
2020-04-11,3.57142
2020-04-12,3.85232
2020-04-13,6.26003
2020-04-14,7.14285
2020-04-15,5.3772
2020-04-16,7.50401
2020-04-17,5.45746
2020-04-18,4.37399
2020-04-19,5.45746
2020-04-20,7.78491
2020-04-21,6.46067
2020-04-22,5.13643
2020-04-23,5.41733
2020-04-24,5.85874
2020-04-25,4.21348
2020-04-26,3.81219
2020-04-27,7.42375
2020-04-28,5.01605
2020-04-29,4.61476
2020-04-30,3.73194
2020-05-01,3.2504
2020-05-02,3.37078
2020-05-03,2.28731
2020-05-04,3.61155
2020-05-05,3.49117
2020-05-06,5.0963
2020-05-07,4.01284
2020-05-08,3.69181
2020-05-09,5.0963
2020-05-10,5.53772
2020-05-11,6.66131
2020-05-12,5.81861
2020-05-13,5.3772
2020-05-14,6.7817
2020-05-15,6.13964
2020-05-16,3.65168
2020-05-17,4.13322
2020-05-18,7.18298
2020-05-19,6.09951
2020-05-20,6.58105
2020-05-21,4.61476
2020-05-22,5.21669
2020-05-23,4.49438
2020-05-24,4.33386
2020-05-25,6.5008
2020-05-26,5.49759
2020-05-27,5.01605
2020-05-28,5.45746
2020-05-29,4.61476
2020-05-30,3.49117
2020-05-31,3.97271
2020-06-01,5.0963
2020-06-02,4.8154
2020-06-03,4.53451
2020-06-04,4.49438
2020-06-05,4.13322
2020-06-06,2.88924
2020-06-07,3.61155
2020-06-08,5.53772
2020-06-09,6.34028
2020-06-10,6.54093
2020-06-11,4.57463
2020-06-12,4.53451
2020-06-13,3.65168
2020-06-14,4.89566
2020-06-15,7.26324
2020-06-16,6.01926
2020-06-17,7.86516
2020-06-18,7.02247
2020-06-19,4.33386
2020-06-20,2.9695
2020-06-21,3.21027
2020-06-22,4.85553
2020-06-23,4.77528
2020-06-24,5.17656
2020-06-25,5.29695
2020-06-26,5.05617
2020-06-27,3.13001
2020-06-28,4.49438
2020-06-29,7.18298
2020-06-30,5.57784
2020-07-01,6.74157
2020-07-02,6.17977
2020-07-03,5.13643
2020-07-04,4.05296
2020-07-05,6.01926
2020-07-06,7.98555
2020-07-07,6.2199
2020-07-08,7.94542
2020-07-09,7.74478
2020-07-10,6.94221
2020-07-11,4.8154
2020-07-12,5.81861
2020-07-13,8.58747
2020-07-14,6.66131
2020-07-15,7.90529
2020-07-16,9.30979
2020-07-17,8.6276
2020-07-18,6.30016
2020-07-19,8.14606
2020-07-20,9.43017
2020-07-21,9.02889
2020-07-22,9.4703
2020-07-23,7.34349
2020-07-24,8.26645
2020-07-25,5.57784
2020-07-26,6.66131
2020-07-27,9.4703
2020-07-28,9.06902
2020-07-29,9.91171
2020-07-30,9.10914
2020-07-31,6.74157
2020-08-01,11.39646
2020-08-02,10.83467
2020-08-03,13.12199
