date,네이버주식시세
2020-03-20,60.96654
2020-03-21,16.21747
2020-03-22,12.36059
2020-03-23,63.61524
2020-03-24,52.64869
2020-03-25,61.6171
2020-03-26,51.20817
2020-03-27,54.18215
2020-03-28,13.42936
2020-03-29,10.68773
2020-03-30,52.18401
2020-03-31,41.63568
2020-04-01,40.75278
2020-04-02,44.09851
2020-04-03,35.08364
2020-04-04,8.0855
2020-04-05,7.342
2020-04-06,34.38661
2020-04-07,35.68773
2020-04-08,32.342
2020-04-09,29.22862
2020-04-10,27.74163
2020-04-11,5.99442
2020-04-12,5.06505
2020-04-13,24.53531
2020-04-14,24.21003
2020-04-15,5.90148
2020-04-16,23.46654
2020-04-17,25.0
2020-04-18,7.38847
2020-04-19,6.41263
2020-04-20,26.16171
2020-04-21,25.74349
2020-04-22,29.13568
2020-04-23,32.62081
2020-04-24,38.75464
2020-04-25,6.78438
2020-04-26,6.04089
2020-04-27,33.55018
2020-04-28,30.80855
2020-04-29,29.6933
2020-04-30,6.83085
2020-05-01,7.38847
2020-05-02,5.25092
2020-05-03,4.64684
2020-05-04,27.97397
2020-05-05,9.75836
2020-05-06,35.54832
2020-05-07,41.07806
2020-05-08,34.29368
2020-05-09,6.50557
2020-05-10,6.18029
2020-05-11,35.96654
2020-05-12,44.37732
2020-05-13,39.63754
2020-05-14,40.61338
2020-05-15,45.07434
2020-05-16,9.1078
2020-05-17,7.99256
2020-05-18,38.10408
2020-05-19,38.10408
2020-05-20,55.48327
2020-05-21,60.54832
2020-05-22,54.5539
2020-05-23,12.5
2020-05-24,12.73234
2020-05-25,66.26394
2020-05-26,69.98141
2020-05-27,69.14498
2020-05-28,69.00557
2020-05-29,57.94609
2020-05-30,9.29368
2020-05-31,6.18029
2020-06-01,57.85315
2020-06-02,51.76579
2020-06-03,59.80483
2020-06-04,55.76208
2020-06-05,50.60408
2020-06-06,7.85315
2020-06-07,7.62081
2020-06-08,59.66542
2020-06-09,58.87546
2020-06-10,61.19888
2020-06-11,60.22304
2020-06-12,62.17472
2020-06-13,9.89776
2020-06-14,8.64312
2020-06-15,60.82713
2020-06-16,58.92193
2020-06-17,63.10408
2020-06-18,55.11152
2020-06-19,43.63382
2020-06-20,7.52788
2020-06-21,6.59851
2020-06-22,63.98698
2020-06-23,72.63011
2020-06-24,64.26579
2020-06-25,59.80483
2020-06-26,55.01858
2020-06-27,7.52788
2020-06-28,6.22676
2020-06-29,45.16728
2020-06-30,50.46468
2020-07-01,43.58736
2020-07-02,47.81598
2020-07-03,51.25464
2020-07-04,7.62081
2020-07-05,5.15799
2020-07-06,55.34386
2020-07-07,53.94981
2020-07-08,63.75464
2020-07-09,77.32342
2020-07-10,78.85687
2020-07-11,6.83085
2020-07-12,3.06691
2020-07-13,65.61338
2020-07-14,61.43122
2020-07-15,62.17472
2020-07-16,55.76208
2020-07-17,55.94795
2020-07-18,6.08736
2020-07-19,4.73977
2020-07-20,54.73977
2020-07-21,59.24721
2020-07-22,52.9275
2020-07-23,63.61524
2020-07-24,56.22676
2020-07-25,6.50557
2020-07-26,9.29368
2020-07-27,59.34014
2020-07-28,63.28996
2020-07-29,58.78252
2020-07-30,63.38289
2020-07-31,66.171
2020-08-01,11.38475
2020-08-02,10.08364
2020-08-03,74.21003
2020-08-04,74.53531
2020-08-05,70.63197
