date,새마을금고이율
2020-03-20,51.41955
2020-03-21,17.66561
2020-03-22,14.51104
2020-03-23,47.63406
2020-03-24,46.37223
2020-03-25,50.78864
2020-03-26,62.77602
2020-03-27,56.15141
2020-03-28,17.66561
2020-03-29,18.92744
2020-03-30,48.58044
2020-03-31,37.53943
2020-04-01,44.79495
2020-04-02,34.38485
2020-04-03,27.12933
2020-04-04,9.77917
2020-04-05,16.40378
2020-04-06,33.43848
2020-04-07,32.80757
2020-04-08,31.54574
2020-04-09,35.96214
2020-04-10,36.90851
2020-04-11,11.98738
2020-04-12,16.40378
2020-04-13,44.47949
2020-04-14,23.6593
2020-04-15,17.0347
2020-04-16,38.80126
2020-04-17,24.92113
2020-04-18,13.24921
2020-04-19,13.56466
2020-04-20,43.21766
2020-04-21,39.43217
2020-04-22,34.0694
2020-04-23,41.95583
2020-04-24,30.91482
2020-04-25,17.66561
2020-04-26,19.55835
2020-04-27,41.00946
2020-04-28,34.38485
2020-04-29,32.49211
2020-04-30,16.08832
2020-05-01,15.14195
2020-05-02,9.46372
2020-05-03,13.24921
2020-05-04,44.47949
2020-05-05,20.18927
2020-05-06,34.0694
2020-05-07,28.39116
2020-05-08,36.2776
2020-05-09,16.08832
2020-05-10,17.0347
2020-05-11,40.37854
2020-05-12,50.78864
2020-05-13,44.79495
2020-05-14,50.47318
2020-05-15,42.9022
2020-05-16,18.29652
2020-05-17,29.65299
2020-05-18,43.84858
2020-05-19,49.21135
2020-05-20,37.22397
2020-05-21,35.64668
2020-05-22,36.59305
2020-05-23,16.71924
2020-05-24,23.02839
2020-05-25,49.21135
2020-05-26,33.12302
2020-05-27,36.59305
2020-05-28,39.74763
2020-05-29,31.54574
2020-05-30,10.09463
2020-05-31,12.30283
2020-06-01,33.43848
2020-06-02,35.01577
2020-06-03,26.49842
2020-06-04,26.49842
2020-06-05,14.82649
2020-06-06,11.35646
2020-06-07,12.61829
2020-06-08,33.43848
2020-06-09,33.12302
2020-06-10,29.33753
2020-06-11,36.90851
2020-06-12,30.59936
2020-06-13,7.88643
2020-06-14,15.77287
2020-06-15,30.28391
2020-06-16,27.44479
2020-06-17,37.53943
2020-06-18,30.28391
2020-06-19,21.4511
2020-06-20,11.35646
2020-06-21,12.30283
2020-06-22,28.39116
2020-06-23,30.59936
2020-06-24,24.29022
2020-06-25,31.86119
2020-06-26,29.33753
2020-06-27,9.77917
2020-06-28,14.19558
2020-06-29,42.58675
2020-06-30,29.65299
2020-07-01,36.90851
2020-07-02,35.01577
2020-07-03,27.44479
2020-07-04,16.40378
2020-07-05,14.19558
2020-07-06,29.65299
2020-07-07,24.92113
2020-07-08,37.53943
2020-07-09,26.81388
2020-07-10,27.76025
2020-07-11,17.0347
2020-07-12,11.98738
2020-07-13,35.96214
2020-07-14,28.0757
2020-07-15,32.49211
2020-07-16,23.97476
2020-07-17,24.60567
2020-07-18,14.82649
2020-07-19,10.41009
2020-07-20,25.23659
2020-07-21,32.49211
2020-07-22,23.6593
2020-07-23,22.71293
2020-07-24,32.80757
2020-07-25,11.67192
2020-07-26,15.14195
2020-07-27,33.75394
2020-07-28,32.17665
2020-07-29,35.64668
2020-07-30,23.97476
