date,코인하는법
2020-03-20,0.43821
2020-03-24,0.43821
2020-04-21,0.43821
2020-04-27,0.43821
2020-05-17,0.61349
2020-08-08,0.43821
2020-08-10,0.52585
2020-08-21,0.43821
2020-08-30,0.52585
2020-09-03,0.43821
2020-09-05,0.70113
2020-09-18,0.52585
2020-10-10,0.52585
2020-11-21,0.52585
2020-11-22,0.43821
2020-11-24,1.84049
2020-11-25,0.61349
2020-11-28,0.52585
2020-12-02,0.43821
2020-12-05,0.43821
2020-12-06,0.43821
2020-12-07,0.43821
2020-12-10,0.43821
2020-12-12,0.43821
2020-12-13,0.43821
2020-12-15,0.61349
2020-12-16,0.43821
2020-12-17,1.31463
2020-12-18,0.70113
2020-12-19,1.0517
2020-12-20,1.0517
2020-12-21,0.61349
2020-12-22,0.61349
2020-12-24,0.70113
2020-12-25,1.57756
2020-12-26,1.48992
2020-12-27,0.70113
2020-12-28,1.13935
2020-12-29,1.31463
2020-12-30,2.97984
2020-12-31,1.75284
2021-01-01,1.6652
2021-01-02,1.0517
2021-01-03,2.36634
2021-01-04,2.36634
2021-01-05,1.48992
2021-01-06,2.45398
2021-01-07,3.24276
2021-01-08,3.41805
2021-01-09,2.80455
2021-01-10,2.71691
2021-01-11,2.54163
2021-01-12,1.57756
2021-01-13,0.96406
2021-01-14,1.13935
2021-01-15,2.10341
2021-01-16,1.57756
2021-01-17,1.6652
2021-01-18,1.13935
2021-01-19,1.6652
2021-01-20,2.45398
2021-01-21,2.71691
2021-01-22,1.40227
2021-01-23,1.31463
2021-01-24,1.13935
2021-01-25,1.13935
2021-01-26,1.22699
2021-01-27,1.6652
2021-01-28,1.57756
2021-01-29,0.96406
2021-01-30,1.48992
2021-01-31,2.19106
2021-02-01,4.73269
2021-02-02,3.33041
2021-02-03,3.06748
2021-02-04,3.06748
2021-02-05,2.36634
2021-02-06,2.2787
2021-02-07,1.6652
2021-02-08,3.50569
2021-02-09,5.34618
2021-02-10,2.80455
2021-02-11,4.90797
2021-02-12,6.04732
2021-02-13,6.74846
2021-02-14,6.48553
2021-02-15,6.13496
2021-02-16,5.78439
2021-02-17,12.35758
2021-02-18,32.95354
2021-02-19,26.46801
2021-02-20,26.11744
2021-02-21,24.89044
2021-02-22,23.22524
2021-02-23,13.40929
2021-02-24,15.33742
2021-02-25,14.11042
2021-02-26,10.07887
2021-02-27,8.32602
2021-02-28,5.1709
2021-03-01,4.90797
2021-03-02,5.95968
2021-03-03,7.62489
2021-03-04,6.13496
2021-03-05,5.95968
2021-03-06,4.64504
2021-03-07,4.29447
2021-03-08,3.50569
2021-03-09,9.64066
2021-03-10,9.90359
2021-03-11,11.48115
2021-03-12,14.98685
2021-03-13,18.58019
2021-03-14,17.52848
2021-03-15,28.04557
2021-03-16,32.25241
2021-03-17,24.1893
2021-03-18,26.73093
2021-03-19,28.22085
2021-03-20,38.6503
2021-03-21,24.27695
2021-03-22,28.65907
2021-03-23,21.38475
2021-03-24,21.12182
2021-03-25,15.16213
2021-03-26,13.8475
2021-03-27,12.70815
2021-03-28,17.79141
2021-03-29,23.75109
2021-03-30,33.74233
2021-03-31,40.57843
2021-04-01,53.90008
2021-04-02,97.63365
2021-04-03,71.86678
2021-04-04,56.17879
2021-04-05,100.0
2021-04-06,84.48729
2021-04-07,64.41717
2021-04-08,39.78965
2021-04-09,39.2638
2021-04-10,32.77826
2021-04-11,32.42769
2021-04-12,35.31989
2021-04-13,34.44347
2021-04-14,44.78527
2021-04-15,36.80981
2021-04-16,72.39263
2021-04-17,84.39964
2021-04-18,51.27081
2021-04-19,66.60823
2021-04-20,85.80192
2021-04-21,81.06923
2021-04-22,59.33391
2021-04-23,39.8773
2021-04-24,28.92199
2021-04-25,25.4163
2021-04-26,24.62751
2021-04-27,27.87028
2021-04-28,23.57581
2021-04-29,19.19368
2021-04-30,17.09027
2021-05-01,20.15775
2021-05-02,18.93076
2021-05-03,22.96231
2021-05-04,35.67046
2021-05-05,56.0035
2021-05-06,58.36985
2021-05-07,67.04645
2021-05-08,48.29097
2021-05-09,47.85276
2021-05-10,55.12708
2021-05-11,38.21209
2021-05-12,41.89307
2021-05-13,31.98948
2021-05-14,24.01402
2021-05-15,22.5241
2021-05-16,19.45661
2021-05-17,20.85889
2021-05-18,16.91498
2021-05-19,17.44084
2021-05-20,19.19368
2021-05-21,16.21384
2021-05-22,13.49693
2021-05-23,11.30587
2021-05-24,15.95092
2021-05-25,17.00262
2021-05-26,12.97107
2021-05-27,12.18229
2021-05-28,10.51709
2021-05-29,8.50131
2021-05-30,7.27432
2021-05-31,7.18667
2021-06-01,7.97546
2021-06-02,6.57318
2021-06-03,9.64066
2021-06-04,6.92375
2021-06-05,6.13496
2021-06-06,5.87204
2021-06-07,4.90797
2021-06-08,5.08326
2021-06-09,3.9439
2021-06-10,4.73269
2021-06-11,5.34618
2021-06-12,3.24276
2021-06-13,2.89219
2021-06-14,2.54163
2021-06-15,4.11919
2021-06-16,2.71691
2021-06-17,2.97984
2021-06-18,3.06748
2021-06-19,2.10341
2021-06-20,1.13935
2021-06-21,2.62927
2021-06-22,3.9439
2021-06-23,5.95968
2021-06-24,7.53724
2021-06-25,5.95968
2021-06-26,6.31025
2021-06-27,6.92375
2021-06-28,4.73269
2021-06-29,7.53724
2021-06-30,4.99561
2021-07-01,5.08326
2021-07-02,3.15512
2021-07-03,3.24276
2021-07-04,4.73269
2021-07-05,4.20683
2021-07-06,3.24276
2021-07-07,2.62927
2021-07-08,1.75284
2021-07-09,3.15512
2021-07-10,2.45398
2021-07-11,1.92813
2021-07-12,2.2787
2021-07-13,1.48992
2021-07-14,2.54163
2021-07-15,1.57756
2021-07-16,1.84049
2021-07-17,2.36634
