date,농협증권
2020-03-20,54.78374
2020-03-21,15.07208
2020-03-22,15.72739
2020-03-23,48.88597
2020-03-24,47.96854
2020-03-25,55.30799
2020-03-26,47.57536
2020-03-27,47.44429
2020-03-28,13.89252
2020-03-29,14.94102
2020-03-30,38.00786
2020-03-31,40.36697
2020-04-01,33.15858
2020-04-02,29.75098
2020-04-03,23.32896
2020-04-04,10.87811
2020-04-05,11.53342
2020-04-06,30.14416
2020-04-07,32.50327
2020-04-08,26.34338
2020-04-09,30.53735
2020-04-10,24.37745
2020-04-11,7.73263
2020-04-12,11.53342
2020-04-13,27.78505
2020-04-14,21.62516
2020-04-15,9.96068
2020-04-16,22.41153
2020-04-17,27.26081
2020-04-18,9.82961
2020-04-19,10.2228
2020-04-20,26.47444
2020-04-21,25.81913
2020-04-22,24.24639
2020-04-23,21.36304
2020-04-24,25.03276
2020-04-25,10.48492
2020-04-26,7.99475
2020-04-27,21.10091
2020-04-28,25.68807
2020-04-29,20.05242
2020-04-30,9.56749
2020-05-01,9.30537
2020-05-02,4.45609
2020-05-03,7.47051
2020-05-04,24.37745
2020-05-05,9.69855
2020-05-06,21.4941
2020-05-07,16.25163
2020-05-08,16.77588
2020-05-09,7.86369
2020-05-10,8.78112
2020-05-11,22.54259
2020-05-12,26.6055
2020-05-13,26.86762
2020-05-14,24.50851
2020-05-15,20.05242
2020-05-16,6.94626
2020-05-17,9.04325
2020-05-18,26.34338
2020-05-19,27.91612
2020-05-20,24.63958
2020-05-21,24.24639
2020-05-22,20.96985
2020-05-23,6.8152
2020-05-24,7.73263
2020-05-25,23.32896
2020-05-26,24.50851
2020-05-27,20.57667
2020-05-28,20.96985
2020-05-29,20.57667
2020-05-30,7.33944
2020-05-31,7.33944
2020-06-01,24.37745
2020-06-02,21.4941
2020-06-03,27.65399
2020-06-04,22.93577
2020-06-05,19.65923
2020-06-06,6.68414
2020-06-07,9.04325
2020-06-08,25.68807
2020-06-09,19.7903
2020-06-10,19.7903
2020-06-11,22.93577
2020-06-12,23.59108
2020-06-13,6.29095
2020-06-14,7.60157
2020-06-15,31.45478
2020-06-16,28.04718
2020-06-17,23.46002
2020-06-18,24.63958
2020-06-19,23.59108
2020-06-20,10.35386
2020-06-21,9.69855
2020-06-22,35.38663
2020-06-23,36.8283
2020-06-24,36.173
2020-06-25,22.14941
2020-06-26,17.30013
2020-06-27,7.20838
2020-06-28,6.29095
2020-06-29,19.00393
2020-06-30,19.00393
2020-07-01,16.25163
2020-07-02,22.80471
2020-07-03,18.0865
2020-07-04,6.55307
2020-07-05,8.91218
2020-07-06,28.96461
2020-07-07,26.73656
2020-07-08,27.65399
2020-07-09,23.98427
2020-07-10,20.4456
2020-07-11,5.89777
2020-07-12,6.55307
2020-07-13,25.55701
2020-07-14,20.83879
2020-07-15,25.68807
2020-07-16,30.0131
2020-07-17,21.62516
2020-07-18,7.33944
2020-07-19,8.25688
2020-07-20,22.54259
2020-07-21,27.12975
2020-07-22,29.22673
2020-07-23,25.81913
2020-07-24,25.16382
2020-07-25,9.69855
2020-07-26,13.23722
2020-07-27,31.32372
2020-07-28,27.52293
2020-07-29,26.99868
2020-07-30,24.11533
2020-07-31,21.88728
2020-08-01,10.48492
2020-08-02,10.48492
2020-08-03,25.55701
2020-08-04,28.44036
2020-08-05,24.63958
2020-08-06,27.65399
2020-08-07,28.17824
2020-08-08,11.79554
2020-08-09,11.53342
2020-08-10,85.05897
2020-08-11,36.04193
2020-08-12,33.02752
2020-08-13,31.84796
2020-08-14,29.75098
2020-08-15,9.82961
2020-08-16,11.00917
2020-08-17,10.35386
2020-08-18,25.95019
2020-08-19,23.59108
2020-08-20,25.55701
2020-08-21,24.37745
2020-08-22,9.43643
2020-08-23,9.43643
2020-08-24,30.53735
2020-08-25,25.42595
2020-08-26,26.6055
2020-08-27,28.57142
2020-08-28,26.86762
2020-08-29,12.84403
2020-08-30,14.80996
2020-08-31,36.30406
2020-09-01,38.79423
2020-09-02,38.26998
2020-09-03,39.31847
2020-09-04,29.88204
2020-09-05,11.66448
2020-09-06,14.15465
2020-09-07,35.91087
2020-09-08,32.76539
2020-09-09,27.26081
2020-09-10,36.69724
2020-09-11,27.78505
2020-09-12,9.69855
2020-09-13,12.71297
2020-09-14,33.94495
2020-09-15,34.33813
2020-09-16,32.89646
2020-09-17,30.0131
2020-09-18,26.99868
2020-09-19,9.04325
2020-09-20,10.61598
2020-09-21,26.08125
2020-09-22,24.50851
2020-09-23,20.05242
2020-09-24,22.93577
2020-09-25,21.4941
2020-09-26,9.56749
2020-09-27,9.96068
2020-09-28,24.77064
2020-09-29,19.7903
2020-09-30,9.43643
2020-10-01,6.15989
2020-10-02,8.519
2020-10-03,7.60157
2020-10-04,10.35386
2020-10-05,40.62909
2020-10-06,33.15858
2020-10-07,22.67365
2020-10-08,25.95019
2020-10-09,8.78112
2020-10-10,7.86369
2020-10-11,9.43643
2020-10-12,23.59108
2020-10-13,23.06684
2020-10-14,22.80471
2020-10-15,26.08125
2020-10-16,20.57667
2020-10-17,6.42201
2020-10-18,7.86369
2020-10-19,18.21756
2020-10-20,19.7903
2020-10-21,13.6304
2020-10-22,19.92136
2020-10-23,14.94102
2020-10-24,7.60157
2020-10-25,6.68414
2020-10-26,17.43119
2020-10-27,15.98951
2020-10-28,16.38269
2020-10-29,18.34862
2020-10-30,17.038
2020-10-31,5.50458
2020-11-01,6.29095
2020-11-02,18.47968
2020-11-03,17.16906
2020-11-04,20.05242
2020-11-05,21.75622
2020-11-06,18.47968
2020-11-07,7.86369
2020-11-08,6.15989
2020-11-09,27.78505
2020-11-10,27.12975
2020-11-11,24.50851
2020-11-12,22.14941
2020-11-13,21.36304
2020-11-14,7.99475
2020-11-15,10.48492
2020-11-16,29.48885
2020-11-17,28.3093
2020-11-18,20.05242
2020-11-19,22.28047
2020-11-20,22.28047
2020-11-21,10.74705
2020-11-22,11.9266
2020-11-23,31.97903
2020-11-24,31.32372
2020-11-25,33.15858
2020-11-26,28.83355
2020-11-27,24.37745
2020-11-28,14.28571
2020-11-29,14.15465
2020-11-30,32.63433
2020-12-01,35.51769
2020-12-02,35.25557
2020-12-03,36.95937
2020-12-04,32.89646
2020-12-05,16.90694
2020-12-06,14.41677
2020-12-07,40.89121
2020-12-08,36.8283
2020-12-09,40.36697
2020-12-10,40.89121
2020-12-11,38.79423
2020-12-12,17.95543
2020-12-13,14.80996
2020-12-14,30.40629
2020-12-15,33.68283
2020-12-16,31.19266
2020-12-17,28.3093
2020-12-18,32.89646
2020-12-19,13.49934
2020-12-20,16.38269
2020-12-21,38.13892
2020-12-22,32.11009
2020-12-23,33.4207
2020-12-24,33.55176
2020-12-25,13.6304
2020-12-26,14.41677
2020-12-27,14.94102
2020-12-28,47.83748
2020-12-29,40.10484
2020-12-30,44.95412
2020-12-31,29.48885
2021-01-01,18.34862
2021-01-02,17.43119
2021-01-03,18.7418
2021-01-04,79.03014
2021-01-05,56.61861
2021-01-06,51.11402
2021-01-07,53.86631
2021-01-08,63.69593
2021-01-09,30.40629
2021-01-10,30.66841
2021-01-11,78.89908
2021-01-12,53.60419
2021-01-13,51.24508
2021-01-14,46.00262
2021-01-15,48.0996
2021-01-16,17.82437
2021-01-17,20.70773
2021-01-18,43.64351
2021-01-19,47.44429
2021-01-20,42.59501
2021-01-21,50.98296
2021-01-22,44.692
2021-01-23,18.61074
2021-01-24,21.10091
2021-01-25,51.63826
2021-01-26,54.65268
2021-01-27,42.72608
2021-01-28,39.31847
2021-01-29,42.46395
2021-01-30,15.98951
2021-01-31,17.82437
2021-02-01,44.16775
2021-02-02,39.71166
2021-02-03,32.50327
