date,QQQ
2020-03-20,6.95652
2020-03-21,6.16096
2020-03-22,5.25439
2020-03-23,5.95744
2020-03-24,6.7345
2020-03-25,7.12303
2020-03-26,6.90101
2020-03-27,5.93894
2020-03-28,3.90379
2020-03-29,4.0703
2020-03-30,5.88344
2020-03-31,6.04995
2020-04-01,4.64384
2020-04-02,4.95837
2020-04-03,4.56984
2020-04-04,3.75578
2020-04-05,4.0703
2020-04-06,4.82886
2020-04-07,6.43848
2020-04-08,4.38482
2020-04-09,5.25439
2020-04-10,4.82886
2020-04-11,3.34875
2020-04-12,5.19888
2020-04-13,6.29047
2020-04-14,7.54856
2020-04-15,6.56799
2020-04-16,6.40148
2020-04-17,8.93617
2020-04-18,6.90101
2020-04-19,6.49398
2020-04-20,8.60314
2020-04-21,6.90101
2020-04-22,7.82608
2020-04-23,8.52913
2020-04-24,5.77243
2020-04-25,5.49491
2020-04-26,8.56614
2020-04-27,9.78723
2020-04-28,8.32562
2020-04-29,7.38205
2020-04-30,7.04902
2020-05-01,6.01295
2020-05-02,5.29139
2020-05-03,3.90379
2020-05-04,5.60592
2020-05-05,5.86493
2020-05-06,6.79
2020-05-07,6.95652
2020-05-08,6.21646
2020-05-09,5.4394
2020-05-10,4.88436
2020-05-11,7.78908
2020-05-12,9.13968
2020-05-13,7.62257
2020-05-14,5.82793
2020-05-15,5.77243
2020-05-16,4.55134
2020-05-17,3.58926
2020-05-18,6.12395
2020-05-19,7.17853
2020-05-20,8.47363
2020-05-21,9.06567
2020-05-22,8.1036
2020-05-23,6.14246
2020-05-24,5.84643
2020-05-25,7.77058
2020-05-26,7.77058
2020-05-27,8.56614
2020-05-28,8.69565
2020-05-29,7.78908
2020-05-30,5.82793
2020-05-31,5.71692
2020-06-01,9.17668
2020-06-02,11.60037
2020-06-03,11.21184
2020-06-04,9.63922
2020-06-05,8.47363
2020-06-06,7.16003
2020-06-07,9.49121
2020-06-08,12.0999
2020-06-09,12.61794
2020-06-10,14.7456
2020-06-11,14.19056
2020-06-12,12.43293
2020-06-13,7.95559
2020-06-14,6.32747
2020-06-15,8.15911
2020-06-16,9.21369
2020-06-17,9.3802
2020-06-18,9.52821
