date,ETF세금
2020-03-20,100.0
2020-03-21,69.19475
2020-03-22,67.97752
2020-03-23,94.94382
2020-03-24,88.48314
2020-03-25,84.36329
2020-03-26,93.35205
2020-03-27,88.10861
2020-03-28,67.32209
2020-03-29,50.09363
2020-03-30,68.91385
2020-03-31,67.88389
2020-04-01,84.17602
2020-04-02,87.54681
2020-04-03,85.20599
2020-04-04,64.04494
2020-04-05,40.6367
2020-04-06,90.26217
2020-04-07,73.78277
2020-04-08,66.76029
2020-04-09,67.22846
2020-04-10,61.89138
2020-04-11,35.20599
2020-04-12,38.10861
2020-04-13,48.40823
2020-04-14,50.84269
2020-04-15,34.36329
2020-04-16,43.53932
2020-04-17,47.37827
2020-04-18,32.397
2020-04-19,36.42322
2020-04-20,47.94007
2020-04-21,51.21722
2020-04-22,72.56554
2020-04-23,50.18726
2020-04-24,32.6779
2020-04-25,20.78651
2020-04-26,26.02996
2020-04-27,31.8352
2020-04-28,34.45692
2020-04-29,29.21348
2020-04-30,24.90636
2020-05-01,22.09737
2020-05-02,21.53558
2020-05-03,20.97378
2020-05-04,27.43445
2020-05-05,18.72659
2020-05-06,35.48689
2020-05-07,32.77153
2020-05-08,28.18352
2020-05-09,23.40823
2020-05-10,20.41198
2020-05-11,22.47191
2020-05-12,19.28838
2020-05-13,17.97752
2020-05-14,15.0749
2020-05-15,18.25842
2020-05-16,11.98501
2020-05-17,15.16853
2020-05-18,24.62546
2020-05-19,29.02621
2020-05-20,19.94382
2020-05-21,25.74906
2020-05-22,21.16104
2020-05-23,14.13857
2020-05-24,15.73033
2020-05-25,17.13483
2020-05-26,24.62546
2020-05-27,21.34831
2020-05-28,21.44194
2020-05-29,17.41573
2020-05-30,10.95505
2020-05-31,8.61423
2020-06-01,19.56928
2020-06-02,24.34456
2020-06-03,38.29588
2020-06-04,21.72284
2020-06-05,29.68164
2020-06-06,16.94756
2020-06-07,19.85018
2020-06-08,38.67041
2020-06-09,23.12734
2020-06-10,20.41198
2020-06-11,16.1985
2020-06-12,15.26217
2020-06-13,9.45692
2020-06-14,11.04868
2020-06-15,24.7191
2020-06-16,20.59925
2020-06-17,16.29213
2020-06-18,13.67041
2020-06-19,11.23595
2020-06-20,9.36329
2020-06-21,8.42696
2020-06-22,12.35955
2020-06-23,15.3558
2020-06-24,13.38951
2020-06-25,28.74531
2020-06-26,16.1985
2020-06-27,13.20224
2020-06-28,11.32958
2020-06-29,14.98127
2020-06-30,15.0749
2020-07-01,35.67415
2020-07-02,30.14981
2020-07-03,18.07116
2020-07-04,10.29962
2020-07-05,10.39325
2020-07-06,21.81647
2020-07-07,23.5955
2020-07-08,20.41198
2020-07-09,17.69662
2020-07-10,12.73408
2020-07-11,11.04868
2020-07-12,10.48689
2020-07-13,19.10112
2020-07-14,15.16853
2020-07-15,15.3558
2020-07-16,14.41947
2020-07-17,13.10861
2020-07-18,8.05243
2020-07-19,7.30337
2020-07-20,9.36329
2020-07-21,12.54681
2020-07-22,21.25468
2020-07-23,16.38576
2020-07-24,11.89138
2020-07-25,7.6779
2020-07-26,7.49063
2020-07-27,12.45318
2020-07-28,14.32584
2020-07-29,16.29213
2020-07-30,12.64044
2020-07-31,10.58052
2020-08-01,8.42696
2020-08-02,9.08239
2020-08-03,10.58052
2020-08-04,11.04868
2020-08-05,20.41198
2020-08-06,23.8764
2020-08-07,26.68539
2020-08-08,14.04494
2020-08-09,15.73033
2020-08-10,17.13483
2020-08-11,21.72284
2020-08-12,19.28838
2020-08-13,19.00749
2020-08-14,17.32209
2020-08-15,7.397
2020-08-16,7.49063
2020-08-17,8.05243
2020-08-18,16.38576
2020-08-19,14.41947
2020-08-20,19.66292
2020-08-21,16.01123
2020-08-22,8.14606
2020-08-23,8.61423
2020-08-24,11.61048
2020-08-25,10.95505
2020-08-26,11.61048
2020-08-27,12.54681
2020-08-28,10.11235
2020-08-29,6.5543
2020-08-30,7.20973
2020-08-31,12.26591
2020-09-01,13.95131
2020-09-02,14.04494
2020-09-03,14.13857
2020-09-04,11.32958
2020-09-05,6.64794
2020-09-06,6.74157
2020-09-07,10.01872
2020-09-08,9.64419
2020-09-09,8.89513
2020-09-10,8.98876
2020-09-11,6.8352
2020-09-12,5.14981
2020-09-13,4.40074
2020-09-14,6.92883
2020-09-15,8.89513
2020-09-16,8.98876
2020-09-17,8.89513
2020-09-18,10.67415
2020-09-19,5.43071
2020-09-20,4.49438
2020-09-21,7.9588
2020-09-22,9.17602
2020-09-23,10.67415
2020-09-24,13.57677
2020-09-25,10.39325
2020-09-26,5.80524
2020-09-27,5.24344
2020-09-28,10.01872
2020-09-29,8.05243
2020-09-30,4.11985
2020-10-01,4.86891
2020-10-02,5.05617
2020-10-03,3.93258
2020-10-04,4.77528
2020-10-05,10.01872
2020-10-06,7.77153
2020-10-07,11.70411
2020-10-08,10.20599
2020-10-09,6.08614
2020-10-10,7.397
2020-10-11,6.64794
2020-10-12,11.51685
2020-10-13,8.52059
2020-10-14,10.29962
2020-10-15,9.17602
2020-10-16,7.397
2020-10-17,4.30711
2020-10-18,4.86891
2020-10-19,6.2734
2020-10-20,6.5543
2020-10-21,6.5543
2020-10-22,6.92883
2020-10-23,7.49063
2020-10-24,3.55805
2020-10-25,2.90262
2020-10-26,7.49063
2020-10-27,6.8352
2020-10-28,6.92883
2020-10-29,7.1161
2020-10-30,8.89513
2020-10-31,5.71161
2020-11-01,5.05617
2020-11-02,8.2397
2020-11-03,7.49063
2020-11-04,8.05243
2020-11-05,10.20599
2020-11-06,10.76779
2020-11-07,7.77153
2020-11-08,6.46067
2020-11-09,9.92509
2020-11-10,10.39325
2020-11-11,11.32958
2020-11-12,11.04868
2020-11-13,7.30337
2020-11-14,7.1161
2020-11-15,9.36329
2020-11-16,13.01498
2020-11-17,12.45318
2020-11-18,12.92134
2020-11-19,8.05243
2020-11-20,8.98876
2020-11-21,7.02247
2020-11-22,8.89513
2020-11-23,16.85393
2020-11-24,13.67041
2020-11-25,15.3558
2020-11-26,14.13857
2020-11-27,12.26591
2020-11-28,10.67415
2020-11-29,10.95505
2020-11-30,11.79775
2020-12-01,13.85767
2020-12-02,15.3558
2020-12-03,13.67041
2020-12-04,18.63295
2020-12-05,12.73408
2020-12-06,14.794
2020-12-07,18.53932
2020-12-08,17.22846
2020-12-09,16.4794
2020-12-10,14.32584
2020-12-11,14.794
2020-12-12,8.98876
2020-12-13,9.83146
2020-12-14,10.86142
2020-12-15,9.64419
2020-12-16,12.64044
2020-12-17,13.01498
2020-12-18,14.41947
2020-12-19,10.01872
2020-12-20,11.70411
2020-12-21,14.5131
2020-12-22,14.794
2020-12-23,13.01498
2020-12-24,12.17228
2020-12-25,8.14606
2020-12-26,7.30337
2020-12-27,9.26966
2020-12-28,14.04494
2020-12-29,14.41947
2020-12-30,16.66666
2020-12-31,11.70411
2021-01-01,9.26966
2021-01-02,11.32958
2021-01-03,10.76779
2021-01-04,18.63295
2021-01-05,18.72659
2021-01-06,18.25842
2021-01-07,23.50187
2021-01-08,27.80898
2021-01-09,15.44943
2021-01-10,19.38202
2021-01-11,24.90636
2021-01-12,23.78277
2021-01-13,17.69662
2021-01-14,24.90636
2021-01-15,17.32209
2021-01-16,9.64419
2021-01-17,11.98501
2021-01-18,13.48314
2021-01-19,16.1985
2021-01-20,15.54307
2021-01-21,21.25468
2021-01-22,18.91385
2021-01-23,16.66666
2021-01-24,18.25842
2021-01-25,28.55805
2021-01-26,19.10112
2021-01-27,15.54307
2021-01-28,11.98501
2021-01-29,12.92134
2021-01-30,8.33333
2021-01-31,8.98876
2021-02-01,13.01498
2021-02-02,16.66666
2021-02-03,19.66292
2021-02-04,15.9176
2021-02-05,16.38576
2021-02-06,10.67415
2021-02-07,12.64044
2021-02-08,14.04494
2021-02-09,13.67041
2021-02-10,11.23595
2021-02-11,8.52059
2021-02-12,8.33333
2021-02-13,8.14606
2021-02-14,10.86142
2021-02-15,17.32209
2021-02-16,17.79026
2021-02-17,14.88764
2021-02-18,13.10861
2021-02-19,10.20599
2021-02-20,6.5543
2021-02-21,7.49063
2021-02-22,9.64419
2021-02-23,8.70786
2021-02-24,8.05243
2021-02-25,10.76779
2021-02-26,7.77153
2021-02-27,5.43071
2021-02-28,4.21348
2021-03-01,4.96254
2021-03-02,7.02247
2021-03-03,7.1161
2021-03-04,7.49063
2021-03-05,6.64794
2021-03-06,3.93258
2021-03-07,4.11985
2021-03-08,6.8352
2021-03-09,5.52434
