date,월세세액공제
2020-03-20,4.23572
2020-03-21,3.21845
2020-03-22,2.92905
2020-03-23,4.82329
2020-03-24,4.77067
2020-03-25,4.69174
2020-03-26,4.49881
2020-03-27,3.81478
2020-03-28,2.77997
2020-03-29,3.00798
2020-03-30,6.87538
2020-03-31,6.60352
2020-04-01,4.79698
2020-04-02,4.88467
2020-04-03,4.41111
2020-04-04,2.3941
2020-04-05,2.3941
2020-04-06,4.3585
2020-04-07,4.1831
2020-04-08,3.58677
2020-04-09,3.34122
2020-04-10,3.04305
2020-04-11,1.73638
2020-04-12,1.75392
2020-04-13,3.47277
2020-04-14,2.83258
2020-04-15,1.92931
2020-04-16,2.80627
2020-04-17,2.55196
2020-04-18,1.4119
2020-04-19,1.43821
2020-04-20,2.92905
2020-04-21,3.06936
2020-04-22,4.08664
2020-04-23,2.98167
2020-04-24,2.87643
2020-04-25,1.43821
2020-04-26,1.65745
2020-04-27,3.44646
2020-04-28,4.1831
2020-04-29,3.39384
2020-04-30,2.63965
2020-05-01,7.17355
2020-05-02,3.578
2020-05-03,4.52512
2020-05-04,11.40927
2020-05-05,4.73559
2020-05-06,8.30483
2020-05-07,5.91949
2020-05-08,4.41111
2020-05-09,2.35025
2020-05-10,2.54319
2020-05-11,5.64763
2020-05-12,5.10392
2020-05-13,4.4725
2020-05-14,3.54292
2020-05-15,3.1746
2020-05-16,1.56976
2020-05-17,1.83285
2020-05-18,3.62185
2020-05-19,3.64816
2020-05-20,3.68324
2020-05-21,3.89371
2020-05-22,2.93782
2020-05-23,1.78023
2020-05-24,2.85889
2020-05-25,5.67394
2020-05-26,4.65666
2020-05-27,3.91125
2020-05-28,4.09541
2020-05-29,4.17434
2020-05-30,2.56949
2020-05-31,2.78873
2020-06-01,3.41138
2020-06-02,1.97316
2020-06-03,1.67499
2020-06-04,1.67499
2020-06-05,1.64868
2020-06-06,1.42944
2020-06-07,1.18389
2020-06-08,1.77146
2020-06-09,1.80654
2020-06-10,1.66622
2020-06-11,1.18389
2020-06-12,1.14882
2020-06-13,1.06989
2020-06-14,1.08743
2020-06-15,2.89397
2020-06-16,2.21871
2020-06-17,1.97316
2020-06-18,1.68376
2020-06-19,1.789
2020-06-20,1.35929
2020-06-21,1.18389
2020-06-22,1.74515
2020-06-23,1.85039
2020-06-24,1.45575
2020-06-25,1.72761
2020-06-26,1.19266
2020-06-27,0.95588
2020-06-28,0.99096
2020-06-29,1.71884
2020-06-30,1.81531
2020-07-01,1.40313
2020-07-02,1.44698
2020-07-03,1.05235
2020-07-04,0.95588
2020-07-05,0.8945
2020-07-06,1.18389
2020-07-07,1.39436
2020-07-08,1.17512
2020-07-09,1.16635
2020-07-10,1.0085
2020-07-11,0.64895
2020-07-12,0.93834
2020-07-13,1.40313
2020-07-14,1.31544
2020-07-15,1.12251
2020-07-16,1.11374
2020-07-17,0.84188
2020-07-18,0.66649
2020-07-19,0.79803
2020-07-20,1.28036
2020-07-21,1.23651
2020-07-22,1.16635
2020-07-23,1.0085
2020-07-24,1.26282
2020-07-25,0.82434
2020-07-26,1.28913
2020-07-27,1.50837
2020-07-28,1.45575
2020-07-29,1.42067
2020-07-30,1.28913
2020-07-31,1.35052
2020-08-01,0.94711
2020-08-02,0.94711
