date,카카오주가
2020-03-20,4.62297
2020-03-21,0.9837
2020-03-22,0.80041
2020-03-23,4.58647
2020-03-24,4.4387
2020-03-25,4.48743
2020-03-26,4.31559
2020-03-27,4.04589
2020-03-28,0.81304
2020-03-29,0.70769
2020-03-30,3.66156
2020-03-31,3.5489
2020-04-01,3.57948
2020-04-02,3.64005
2020-04-03,3.32951
2020-04-04,0.81699
2020-04-05,0.60036
2020-04-06,3.37134
2020-04-07,3.52878
2020-04-08,3.20246
2020-04-09,3.01819
2020-04-10,3.07797
2020-04-11,0.62975
2020-04-12,0.66073
2020-04-13,3.11466
2020-04-14,2.83253
2020-04-15,0.65382
2020-04-16,3.2942
2020-04-17,3.70003
2020-04-18,0.66704
2020-04-19,0.60134
2020-04-20,4.10764
2020-04-21,3.93461
2020-04-22,3.8843
2020-04-23,5.06313
2020-04-24,4.44915
2020-04-25,0.73669
2020-04-26,0.68184
2020-04-27,4.0887
2020-04-28,3.76139
2020-04-29,3.37647
2020-04-30,0.70433
2020-05-01,0.65915
2020-05-02,0.40819
2020-05-03,0.48455
2020-05-04,3.43349
2020-05-05,0.73353
2020-05-06,5.69743
2020-05-07,11.43432
2020-05-08,5.60292
2020-05-09,0.96417
2020-05-10,0.89709
2020-05-11,5.76352
2020-05-12,6.49923
2020-05-13,6.65982
2020-05-14,8.27447
2020-05-15,7.92901
2020-05-16,1.25892
2020-05-17,1.32837
2020-05-18,6.40137
2020-05-19,7.07651
2020-05-20,9.4089
2020-05-21,10.16927
2020-05-22,12.66582
2020-05-23,4.26587
2020-05-24,2.22152
2020-05-25,44.74647
2020-05-26,28.94428
2020-05-27,17.70607
2020-05-28,15.87104
2020-05-29,13.34707
2020-05-30,2.46221
2020-05-31,1.92518
2020-06-01,12.58572
2020-06-02,11.64759
2020-06-03,15.51552
2020-06-04,13.01523
2020-06-05,11.67048
2020-06-06,2.00962
2020-06-07,1.76971
2020-06-08,12.69088
2020-06-09,11.23722
2020-06-10,12.08519
2020-06-11,12.11064
2020-06-12,12.49516
2020-06-13,1.6399
2020-06-14,1.38914
2020-06-15,12.7621
2020-06-16,11.29739
2020-06-17,10.9618
2020-06-18,9.65907
2020-06-19,9.07864
2020-06-20,1.35757
2020-06-21,1.06281
2020-06-22,11.49923
2020-06-23,12.94124
2020-06-24,12.03409
2020-06-25,10.74162
2020-06-26,10.05405
2020-06-27,1.35007
2020-06-28,1.62707
2020-06-29,9.2414
2020-06-30,8.65209
2020-07-01,8.32596
2020-07-02,10.51414
2020-07-03,12.03527
2020-07-04,1.74209
2020-07-05,1.8216
2020-07-06,17.15503
2020-07-07,15.29041
2020-07-08,17.84911
2020-07-09,37.47405
2020-07-10,23.49702
2020-07-11,3.21351
2020-07-12,2.71495
2020-07-13,18.97012
2020-07-14,17.04553
2020-07-15,16.96148
2020-07-16,18.20936
2020-07-17,15.68302
2020-07-18,2.1499
2020-07-19,1.80562
2020-07-20,16.63694
2020-07-21,16.15811
2020-07-22,15.21011
2020-07-23,15.42141
2020-07-24,13.29736
2020-07-25,1.92854
2020-07-26,2.23276
2020-07-27,12.80136
2020-07-28,13.21311
2020-07-29,12.76585
2020-07-30,11.74643
2020-07-31,13.56883
2020-08-01,2.35074
2020-08-02,1.97983
2020-08-03,18.43783
2020-08-04,18.86181
2020-08-05,17.29195
2020-08-06,19.7299
2020-08-07,19.29408
2020-08-08,3.18687
2020-08-09,2.61216
2020-08-10,17.47583
2020-08-11,16.00501
2020-08-12,15.48849
2020-08-13,15.79745
2020-08-14,14.35741
2020-08-15,2.18916
2020-08-16,1.61326
2020-08-17,3.82492
2020-08-18,22.48332
2020-08-19,17.70942
2020-08-20,18.89279
2020-08-21,16.39446
2020-08-22,2.24835
2020-08-23,2.04415
2020-08-24,16.4643
2020-08-25,15.99001
2020-08-26,18.67951
2020-08-27,24.10468
2020-08-28,20.44805
2020-08-29,2.66681
2020-08-30,2.8061
2020-08-31,21.57538
2020-09-01,20.23221
2020-09-02,19.26922
2020-09-03,17.61946
2020-09-04,17.29333
2020-09-05,2.28919
2020-09-06,2.09466
2020-09-07,17.4342
2020-09-08,16.76044
2020-09-09,16.53158
2020-09-10,17.10472
2020-09-11,15.18052
2020-09-12,2.17121
2020-09-13,1.83344
2020-09-14,15.69092
2020-09-15,15.50309
2020-09-16,13.40962
2020-09-17,12.85641
2020-09-18,11.86165
2020-09-19,1.82338
2020-09-20,1.50574
2020-09-21,12.7619
2020-09-22,14.11671
2020-09-23,13.81742
2020-09-24,13.27427
2020-09-25,11.54066
2020-09-26,1.84903
2020-09-27,1.4282
2020-09-28,12.51311
2020-09-29,10.47527
2020-09-30,1.51777
2020-10-01,1.25892
2020-10-02,1.22617
2020-10-03,1.12536
2020-10-04,1.18139
2020-10-05,10.5757
2020-10-06,11.63437
2020-10-07,10.2111
2020-10-08,9.93469
2020-10-09,1.66535
2020-10-10,1.08057
2020-10-11,1.08945
2020-10-12,9.36609
2020-10-13,8.85155
2020-10-14,8.48952
2020-10-15,8.71739
2020-10-16,8.3234
2020-10-17,1.21276
2020-10-18,1.13384
2020-10-19,8.71266
2020-10-20,10.51611
2020-10-21,9.15025
2020-10-22,8.43783
2020-10-23,9.06068
2020-10-24,1.37828
2020-10-25,1.13581
2020-10-26,10.78424
2020-10-27,10.41668
2020-10-28,9.55865
2020-10-29,9.00051
2020-10-30,8.6219
2020-10-31,1.34849
2020-11-01,1.05176
2020-11-02,8.05725
2020-11-03,8.17898
2020-11-04,11.76616
2020-11-05,13.01799
2020-11-06,12.16943
2020-11-07,1.48167
2020-11-08,1.26228
2020-11-09,10.65047
2020-11-10,11.53415
2020-11-11,11.1149
2020-11-12,9.64822
2020-11-13,9.51742
2020-11-14,1.45523
2020-11-15,1.10799
2020-11-16,10.17361
2020-11-17,10.03472
2020-11-18,9.87077
2020-11-19,9.41818
2020-11-20,8.01838
2020-11-21,1.18415
2020-11-22,1.10247
2020-11-23,9.30947
2020-11-24,10.10081
2020-11-25,10.02446
2020-11-26,9.81849
2020-11-27,8.70102
2020-11-28,1.44635
2020-11-29,1.26484
2020-11-30,8.36522
2020-12-01,8.64045
2020-12-02,9.15104
2020-12-03,9.45981
2020-12-04,13.91745
2020-12-05,2.18068
2020-12-06,1.80562
2020-12-07,11.3406
2020-12-08,10.54591
2020-12-09,10.5609
2020-12-10,10.33579
2020-12-11,9.44402
2020-12-12,1.5085
2020-12-13,1.35875
2020-12-14,9.28066
2020-12-15,8.08092
2020-12-16,8.07086
2020-12-17,7.7477
2020-12-18,7.33812
2020-12-19,1.30903
2020-12-20,1.17705
2020-12-21,9.75141
2020-12-22,10.62009
2020-12-23,9.62001
2020-12-24,8.56153
2020-12-25,1.46628
2020-12-26,1.14272
2020-12-27,1.40729
2020-12-28,9.29546
2020-12-29,10.68835
2020-12-30,12.12563
2020-12-31,3.07362
2021-01-01,1.8143
2021-01-02,1.67718
2021-01-03,1.8512
2021-01-04,13.0168
2021-01-05,12.39947
2021-01-06,16.32561
2021-01-07,15.34605
2021-01-08,24.85262
2021-01-09,4.93962
2021-01-10,4.02971
2021-01-11,26.87665
2021-01-12,22.55356
2021-01-13,19.41206
2021-01-14,18.04837
