date,연금저축보험
2020-03-20,36.53077
2020-03-21,23.50119
2020-03-22,28.93685
2020-03-23,40.44764
2020-03-24,38.44924
2020-03-25,47.16227
2020-03-26,42.12629
2020-03-27,37.56994
2020-03-28,28.13749
2020-03-29,28.05755
2020-03-30,54.91606
2020-03-31,45.56354
2020-04-01,37.64988
2020-04-02,34.3725
2020-04-03,33.4932
2020-04-04,25.25979
2020-04-05,26.29896
2020-04-06,33.57314
2020-04-07,33.81294
2020-04-08,36.29096
2020-04-09,27.33812
2020-04-10,28.21742
2020-04-11,21.02318
2020-04-12,24.14068
2020-04-13,35.4916
2020-04-14,29.65627
2020-04-15,20.8633
2020-04-16,27.33812
2020-04-17,27.25819
2020-04-18,20.38369
2020-04-19,20.70343
2020-04-20,30.69544
2020-04-21,35.41167
2020-04-22,34.05275
2020-04-23,29.4964
2020-04-24,32.3741
2020-04-25,19.34452
2020-04-26,21.42286
2020-04-27,31.09512
2020-04-28,31.25499
2020-04-29,37.72981
2020-04-30,21.42286
2020-05-01,20.8633
2020-05-02,16.94644
2020-05-03,21.26298
2020-05-04,28.45723
2020-05-05,22.06235
2020-05-06,30.6155
2020-05-07,29.17665
2020-05-08,26.21902
2020-05-09,21.02318
2020-05-10,18.8649
2020-05-11,29.73621
2020-05-12,34.21262
2020-05-13,32.05435
2020-05-14,32.29416
2020-05-15,26.45883
2020-05-16,18.30535
2020-05-17,18.70503
2020-05-18,28.85691
2020-05-19,36.85051
2020-05-20,35.25179
2020-05-21,34.21262
2020-05-22,30.21582
2020-05-23,25.41966
2020-05-24,24.78017
2020-05-25,40.84732
2020-05-26,37.80975
2020-05-27,33.4932
2020-05-28,30.6155
2020-05-29,22.86171
2020-05-30,19.82414
2020-05-31,23.98081
2020-06-01,29.25659
2020-06-02,32.93365
2020-06-03,36.13109
2020-06-04,33.73301
2020-06-05,28.45723
2020-06-06,21.26298
2020-06-07,20.46362
2020-06-08,29.57633
2020-06-09,31.25499
2020-06-10,38.28936
2020-06-11,30.77537
2020-06-12,24.78017
2020-06-13,16.38689
2020-06-14,16.62669
2020-06-15,24.14068
2020-06-16,24.22062
2020-06-17,27.09832
2020-06-18,25.33972
2020-06-19,25.25979
2020-06-20,16.70663
2020-06-21,16.62669
2020-06-22,31.25499
2020-06-23,28.21742
2020-06-24,28.85691
2020-06-25,29.4964
2020-06-26,30.21582
2020-06-27,26.05915
2020-06-28,19.10471
2020-06-29,27.57793
2020-06-30,28.53717
2020-07-01,25.89928
2020-07-02,23.02158
2020-07-03,19.58433
2020-07-04,12.8697
2020-07-05,17.7458
2020-07-06,25.17985
2020-07-07,25.65947
2020-07-08,28.93685
2020-07-09,25.33972
2020-07-10,21.34292
2020-07-11,15.18784
2020-07-12,16.06714
2020-07-13,24.6203
2020-07-14,29.57633
2020-07-15,26.93844
2020-07-16,27.7378
2020-07-17,24.94004
2020-07-18,19.42446
2020-07-19,20.70343
2020-07-20,32.13429
2020-07-21,29.81614
2020-07-22,32.85371
2020-07-23,31.25499
2020-07-24,28.85691
2020-07-25,16.8665
2020-07-26,20.06394
2020-07-27,32.69384
2020-07-28,32.05435
2020-07-29,29.4964
2020-07-30,30.05595
2020-07-31,23.02158
2020-08-01,17.66586
2020-08-02,14.8681
2020-08-03,24.06075
2020-08-04,24.22062
2020-08-05,26.13908
2020-08-06,28.21742
2020-08-07,24.06075
2020-08-08,19.98401
2020-08-09,21.66266
2020-08-10,29.01678
2020-08-11,30.37569
2020-08-12,26.29896
2020-08-13,24.6203
2020-08-14,20.22382
2020-08-15,14.8681
2020-08-16,15.10791
2020-08-17,18.06554
2020-08-18,19.66426
2020-08-19,21.42286
2020-08-20,23.26139
2020-08-21,25.4996
