date,주식거래소
2020-03-20,35.72895
2020-03-21,18.48049
2020-03-22,18.68583
2020-03-23,36.13963
2020-03-24,24.84599
2020-03-25,34.90759
2020-03-26,24.22997
2020-03-27,23.40862
2020-03-28,12.11498
2020-03-29,8.21355
2020-03-30,17.04312
2020-03-31,17.45379
2020-04-01,18.06981
2020-04-02,12.52566
2020-04-03,14.16837
2020-04-04,9.44558
2020-04-05,7.18685
2020-04-06,14.78439
2020-04-07,13.34702
2020-04-08,16.83778
2020-04-09,14.37371
2020-04-10,10.26694
2020-04-11,6.77618
2020-04-12,6.16016
2020-04-13,10.47227
2020-04-14,10.47227
2020-04-15,8.82956
2020-04-16,6.98151
2020-04-17,9.44558
2020-04-18,5.95482
2020-04-19,5.54414
2020-04-20,8.62422
2020-04-21,13.34702
2020-04-22,14.37371
2020-04-23,10.26694
2020-04-24,9.0349
2020-04-25,4.31211
2020-04-26,7.39219
2020-04-27,10.26694
2020-04-28,9.24024
2020-04-29,10.47227
2020-04-30,9.65092
2020-05-01,10.0616
2020-05-02,2.46406
2020-05-03,4.92813
2020-05-04,6.77618
2020-05-05,5.3388
2020-05-06,9.24024
2020-05-07,6.3655
2020-05-08,5.74948
2020-05-09,3.08008
2020-05-10,3.69609
2020-05-11,8.00821
2020-05-12,9.44558
2020-05-13,9.65092
2020-05-14,7.39219
2020-05-15,8.21355
2020-05-16,3.28542
2020-05-17,1.23203
2020-05-18,7.39219
2020-05-19,7.18685
2020-05-20,7.39219
2020-05-21,8.82956
2020-05-22,5.95482
2020-05-23,2.6694
2020-05-24,5.13347
2020-05-25,9.0349
2020-05-26,9.24024
2020-05-27,9.65092
2020-05-28,11.08829
2020-05-29,5.13347
2020-05-30,6.3655
2020-05-31,4.31211
2020-06-01,9.44558
2020-06-02,11.29363
2020-06-03,9.0349
2020-06-04,9.85626
2020-06-05,9.65092
2020-06-06,6.16016
2020-06-07,4.51745
2020-06-08,9.24024
2020-06-09,9.85626
2020-06-10,8.21355
2020-06-11,8.82956
2020-06-12,11.08829
2020-06-13,1.02669
2020-06-14,5.54414
2020-06-15,6.57084
2020-06-16,11.29363
2020-06-17,9.65092
2020-06-18,8.41889
2020-06-19,11.29363
2020-06-20,6.16016
2020-06-21,7.39219
2020-06-22,14.78439
2020-06-23,11.29363
2020-06-24,14.78439
2020-06-25,9.65092
2020-06-26,5.95482
2020-06-27,2.05338
2020-06-28,3.08008
2020-06-29,8.21355
2020-06-30,11.49897
2020-07-01,10.47227
2020-07-02,9.85626
2020-07-03,8.21355
2020-07-04,6.16016
2020-07-05,5.13347
2020-07-06,11.29363
2020-07-07,9.85626
2020-07-08,11.29363
2020-07-09,9.65092
2020-07-10,10.0616
2020-07-11,5.3388
2020-07-12,4.51745
2020-07-13,10.26694
2020-07-14,9.85626
2020-07-15,10.26694
2020-07-16,9.44558
2020-07-17,6.77618
2020-07-18,4.10677
2020-07-19,5.3388
2020-07-20,10.26694
2020-07-21,11.49897
2020-07-22,14.16837
2020-07-23,13.34702
2020-07-24,9.0349
2020-07-25,7.39219
2020-07-26,6.98151
2020-07-27,8.41889
2020-07-28,10.0616
2020-07-29,11.49897
2020-07-30,10.0616
2020-07-31,6.57084
2020-08-01,4.51745
2020-08-02,4.72279
2020-08-03,9.85626
2020-08-04,10.26694
2020-08-05,10.67761
2020-08-06,16.83778
2020-08-07,14.37371
2020-08-08,4.31211
2020-08-09,7.39219
2020-08-10,14.78439
2020-08-11,15.81108
2020-08-12,16.01642
2020-08-13,10.26694
2020-08-14,14.78439
2020-08-15,8.21355
2020-08-16,5.74948
2020-08-17,11.08829
2020-08-18,9.0349
2020-08-19,6.77618
2020-08-20,10.47227
2020-08-21,12.32032
2020-08-22,4.31211
2020-08-23,4.10677
2020-08-24,11.90965
2020-08-25,13.14168
2020-08-26,15.81108
2020-08-27,13.14168
2020-08-28,11.49897
2020-08-29,9.65092
2020-08-30,6.16016
2020-08-31,10.88295
2020-09-01,10.0616
2020-09-02,15.60574
2020-09-03,12.93634
2020-09-04,12.52566
2020-09-05,6.16016
2020-09-06,5.54414
2020-09-07,11.70431
2020-09-08,10.67761
2020-09-09,14.98973
2020-09-10,14.78439
2020-09-11,11.90965
2020-09-12,6.3655
2020-09-13,6.57084
2020-09-14,10.67761
2020-09-15,9.85626
2020-09-16,13.14168
2020-09-17,12.93634
2020-09-18,8.00821
2020-09-19,4.10677
2020-09-20,4.10677
2020-09-21,8.62422
2020-09-22,9.44558
2020-09-23,7.39219
2020-09-24,8.82956
2020-09-25,7.39219
2020-09-26,1.84804
2020-09-27,3.69609
2020-09-28,4.92813
2020-09-29,7.59753
2020-09-30,2.6694
2020-10-01,4.51745
2020-10-02,3.49075
2020-10-03,2.87474
2020-10-04,2.6694
2020-10-05,8.41889
2020-10-06,7.80287
2020-10-07,5.95482
2020-10-08,7.39219
2020-10-09,4.51745
2020-10-10,3.08008
2020-10-11,2.05338
2020-10-12,9.24024
2020-10-13,6.98151
2020-10-14,11.49897
2020-10-15,10.88295
2020-10-16,8.21355
2020-10-17,2.25872
2020-10-18,3.28542
2020-10-19,8.41889
2020-10-20,6.57084
2020-10-21,4.92813
2020-10-22,5.3388
2020-10-23,5.13347
2020-10-24,3.49075
2020-10-25,6.16016
2020-10-26,9.44558
2020-10-27,9.0349
2020-10-28,6.77618
2020-10-29,6.77618
2020-10-30,7.59753
2020-10-31,3.90143
2020-11-01,3.69609
2020-11-02,6.98151
2020-11-03,5.3388
2020-11-04,5.95482
2020-11-05,7.80287
2020-11-06,9.44558
2020-11-07,4.92813
2020-11-08,2.6694
2020-11-09,6.3655
2020-11-10,7.18685
2020-11-11,7.39219
2020-11-12,12.52566
2020-11-13,9.24024
2020-11-14,2.05338
2020-11-15,2.05338
2020-11-16,7.80287
