date,토스주식
2020-03-20,1.62632
2020-03-21,1.06552
2020-03-22,1.78832
2020-03-23,1.52039
2020-03-24,1.2836
2020-03-25,1.43627
2020-03-26,1.27737
2020-03-27,0.97516
2020-03-28,0.78823
2020-03-29,0.88793
2020-03-30,0.87858
2020-03-31,0.88481
2020-04-01,0.88793
2020-04-02,0.69476
2020-04-03,0.46421
2020-04-04,0.33648
2020-04-05,0.43929
2020-04-06,0.55768
2020-04-07,0.59195
2020-04-08,0.48602
2020-04-09,0.46733
2020-04-10,0.42683
2020-04-11,0.3022
2020-04-12,0.35517
2020-04-13,0.3209
2020-04-14,0.38632
2020-04-15,0.42371
2020-04-16,0.5421
2020-04-17,0.50472
2020-04-18,0.38944
2020-04-19,0.42994
2020-04-20,0.41125
2020-04-21,0.54833
2020-04-22,0.81316
2020-04-23,0.69476
2020-04-24,0.50783
2020-04-25,0.31778
2020-04-26,0.27728
2020-04-27,0.46421
2020-04-28,0.35828
2020-04-29,0.38321
2020-04-30,0.62311
2020-05-01,0.42371
2020-05-02,0.27416
2020-05-03,0.21497
2020-05-04,0.27416
2020-05-05,0.24301
2020-05-06,0.39256
2020-05-07,2.00018
2020-05-08,1.06863
2020-05-09,0.83808
2020-05-10,0.52652
2020-05-11,0.47044
2020-05-12,0.5826
2020-05-13,0.48291
2020-05-14,0.56391
2020-05-15,0.44552
2020-05-16,0.27416
2020-05-17,0.3022
2020-05-18,0.36763
2020-05-19,0.5016
2020-05-20,1.08732
2020-05-21,0.95024
2020-05-22,0.66361
2020-05-23,0.44864
2020-05-24,0.44864
2020-05-25,0.89416
2020-05-26,2.45817
2020-05-27,1.18079
2020-05-28,1.07798
2020-05-29,0.73527
2020-05-30,0.89728
2020-05-31,0.60753
2020-06-01,0.5608
2020-06-02,0.57637
2020-06-03,0.8225
2020-06-04,0.61376
2020-06-05,0.75708
2020-06-06,1.06863
2020-06-07,1.31164
2020-06-08,3.31183
2020-06-09,6.08779
2020-06-10,1.28672
2020-06-11,0.86612
2020-06-12,0.52029
2020-06-13,0.30844
2020-06-14,0.3209
2020-06-15,0.38632
2020-06-16,0.36763
2020-06-17,0.31155
2020-06-18,0.32401
2020-06-19,0.33336
2020-06-20,0.2804
2020-06-21,0.28663
2020-06-22,0.2804
2020-06-23,0.2617
2020-06-24,0.26482
2020-06-25,0.33024
2020-06-26,0.29597
2020-06-27,0.17135
2020-06-28,0.14643
2020-06-29,0.27728
2020-06-30,0.27728
