date,금값전망
2020-03-20,16.93037
2020-03-21,9.33544
2020-03-22,9.49367
2020-03-23,12.38132
2020-03-24,15.46677
2020-03-25,15.50632
2020-03-26,13.25158
2020-03-27,14.43829
2020-03-28,9.73101
2020-03-29,7.9905
2020-03-30,10.91772
2020-03-31,10.24525
2020-04-01,9.61234
2020-04-02,9.17721
2020-04-03,11.82753
2020-04-04,8.74208
2020-04-05,7.39715
2020-04-06,13.01424
2020-04-07,17.76107
2020-04-08,11.43196
2020-04-09,10.12658
2020-04-10,16.73259
2020-04-11,12.10443
2020-04-12,14.20094
2020-04-13,17.52373
2020-04-14,24.36708
2020-04-15,15.38765
2020-04-16,20.17405
2020-04-17,19.42246
2020-04-18,11.78797
2020-04-19,8.46518
2020-04-20,12.69778
2020-04-21,13.44936
2020-04-22,17.95886
2020-04-23,20.7674
2020-04-24,18.35443
2020-04-25,15.90189
2020-04-26,14.75474
2020-04-27,20.41139
2020-04-28,17.52373
2020-04-29,12.2231
2020-04-30,9.13765
2020-05-01,12.14398
2020-05-02,8.62341
2020-05-03,9.01898
2020-05-04,11.62974
2020-05-05,10.48259
2020-05-06,12.18354
2020-05-07,11.51107
2020-05-08,9.33544
2020-05-09,9.01898
2020-05-10,6.40822
2020-05-11,9.29588
2020-05-12,9.13765
2020-05-13,8.2674
2020-05-14,10.5617
2020-05-15,13.09335
2020-05-16,10.68037
2020-05-17,7.79272
2020-05-18,17.3655
2020-05-19,12.81645
2020-05-20,11.62974
2020-05-21,10.64082
2020-05-22,9.13765
2020-05-23,7.47626
2020-05-24,7.00158
2020-05-25,9.53322
2020-05-26,7.83227
2020-05-27,10.08702
2020-05-28,9.77056
2020-05-29,8.78164
2020-05-30,6.60601
2020-05-31,6.36867
2020-06-01,9.61234
2020-06-02,9.13765
2020-06-03,11.03639
2020-06-04,12.02531
2020-06-05,8.86075
2020-06-06,10.28481
2020-06-07,7.55537
2020-06-08,12.89556
2020-06-09,7.63449
2020-06-10,7.7136
2020-06-11,8.22784
2020-06-12,7.75316
2020-06-13,4.78639
2020-06-14,5.85443
2020-06-15,7.31803
2020-06-16,6.72468
2020-06-17,6.84335
2020-06-18,5.22151
2020-06-19,5.73575
2020-06-20,6.56645
2020-06-21,5.53797
2020-06-22,11.31329
2020-06-23,9.61234
2020-06-24,10.08702
2020-06-25,9.0981
2020-06-26,6.96202
2020-06-27,6.64556
2020-06-28,6.80379
2020-06-29,7.55537
2020-06-30,7.4367
2020-07-01,10.71993
2020-07-02,9.25632
2020-07-03,7.63449
2020-07-04,5.9731
2020-07-05,5.34018
2020-07-06,8.8212
2020-07-07,9.29588
2020-07-08,12.69778
2020-07-09,14.39873
2020-07-10,10.75949
2020-07-11,8.74208
2020-07-12,7.15981
2020-07-13,12.30221
2020-07-14,15.0712
2020-07-15,15.03164
2020-07-16,16.45569
2020-07-17,17.0886
2020-07-18,10.68037
2020-07-19,9.21677
2020-07-20,15.3481
2020-07-21,16.29746
2020-07-22,22.94303
2020-07-23,27.2943
2020-07-24,27.5712
2020-07-25,22.58702
2020-07-26,17.20727
2020-07-27,38.29113
2020-07-28,46.08386
2020-07-29,100.0
2020-07-30,28.20411
2020-07-31,25.47468
2020-08-01,17.80063
2020-08-02,16.09968
2020-08-03,20.4905
2020-08-04,18.94778
2020-08-05,34.49367
2020-08-06,29.35126
2020-08-07,30.65664
2020-08-08,21.51898
2020-08-09,17.95886
2020-08-10,23.73417
2020-08-11,37.73734
2020-08-12,72.54746
2020-08-13,35.08702
2020-08-14,21.20253
2020-08-15,14.83386
2020-08-16,13.17246
2020-08-17,17.84018
2020-08-18,20.2136
2020-08-19,19.10601
2020-08-20,23.69462
2020-08-21,16.17879
2020-08-22,11.23417
2020-08-23,8.2674
2020-08-24,17.44462
2020-08-25,20.25316
2020-08-26,22.15189
2020-08-27,17.12816
2020-08-28,17.0886
2020-08-29,12.10443
2020-08-30,10.24525
2020-08-31,14.91297
2020-09-01,16.09968
2020-09-02,14.28006
2020-09-03,14.35917
2020-09-04,12.46044
2020-09-05,9.81012
2020-09-06,9.25632
2020-09-07,12.18354
2020-09-08,14.83386
2020-09-09,14.7943
2020-09-10,11.07594
2020-09-11,10.48259
2020-09-12,7.83227
2020-09-13,6.80379
2020-09-14,11.15506
2020-09-15,11.70886
2020-09-16,11.3924
2020-09-17,11.9462
2020-09-18,14.04272
2020-09-19,8.46518
2020-09-20,6.88291
2020-09-21,17.84018
2020-09-22,26.26582
2020-09-23,28.32278
2020-09-24,32.55537
2020-09-25,14.5174
2020-09-26,9.25632
2020-09-27,8.22784
2020-09-28,13.44936
2020-09-29,8.74208
2020-09-30,6.60601
2020-10-01,7.75316
2020-10-02,8.90031
2020-10-03,8.38607
2020-10-04,8.74208
2020-10-05,12.77689
2020-10-06,10.87816
2020-10-07,14.39873
2020-10-08,12.30221
2020-10-09,10.91772
2020-10-10,9.77056
2020-10-11,7.31803
2020-10-12,11.74841
2020-10-13,11.9462
2020-10-14,13.56803
2020-10-15,11.03639
2020-10-16,9.25632
2020-10-17,6.68512
2020-10-18,7.15981
2020-10-19,10.12658
2020-10-20,10.64082
2020-10-21,9.65189
2020-10-22,10.52215
2020-10-23,10.08702
2020-10-24,5.6962
2020-10-25,6.88291
2020-10-26,14.20094
2020-10-27,11.43196
2020-10-28,9.17721
2020-10-29,15.03164
2020-10-30,17.12816
2020-10-31,8.14873
2020-11-01,9.69145
2020-11-02,11.78797
2020-11-03,11.35284
2020-11-04,12.10443
2020-11-05,16.73259
2020-11-06,16.8117
2020-11-07,9.69145
2020-11-08,12.02531
2020-11-09,17.6424
2020-11-10,29.74683
2020-11-11,19.38291
2020-11-12,20.09493
2020-11-13,13.64715
2020-11-14,9.05854
2020-11-15,7.83227
2020-11-16,13.52848
2020-11-17,14.43829
2020-11-18,19.65981
2020-11-19,17.3655
2020-11-20,12.42088
2020-11-21,7.75316
2020-11-22,9.53322
2020-11-23,16.89082
2020-11-24,30.93354
2020-11-25,29.46993
2020-11-26,22.15189
2020-11-27,20.7674
2020-11-28,19.26424
2020-11-29,13.76582
2020-11-30,32.04113
2020-12-01,23.29905
2020-12-02,17.28639
2020-12-03,18.07753
2020-12-04,16.93037
2020-12-05,10.8386
2020-12-06,11.19462
2020-12-07,16.21835
2020-12-08,17.3655
2020-12-09,13.6867
2020-12-10,12.5
2020-12-11,12.73734
2020-12-12,8.66297
2020-12-13,8.2674
2020-12-14,13.33069
2020-12-15,14.16139
2020-12-16,13.84493
2020-12-17,17.3655
2020-12-18,14.28006
2020-12-19,10.95727
2020-12-20,9.25632
2020-12-21,16.93037
2020-12-22,14.99208
2020-12-23,11.86708
2020-12-24,10.24525
