date,표적항암치료비용
2020-03-25,0.31407
2020-03-31,0.31407
2020-04-04,0.37688
2020-04-16,0.50251
2020-05-03,0.31407
2020-05-12,0.56532
2020-05-13,1.88442
2020-05-14,1.69597
2020-05-15,0.87939
2020-05-16,0.43969
2020-05-18,0.94221
2020-05-19,1.13065
2020-05-20,1.63316
2020-05-21,2.19849
2020-05-22,2.32412
2020-05-23,0.87939
2020-05-24,0.31407
2020-05-25,1.06783
2020-05-26,0.94221
2020-05-28,0.87939
2020-05-31,0.56532
2020-06-01,0.69095
2020-06-02,0.50251
2020-06-03,0.56532
2020-06-04,1.3819
2020-06-05,0.69095
2020-06-06,0.50251
2020-06-08,0.43969
2020-06-09,0.87939
2020-06-10,1.06783
2020-06-11,0.81658
2020-06-13,0.62814
2020-06-15,0.31407
2020-06-16,0.62814
2020-06-17,0.50251
2020-06-18,0.37688
2020-06-19,0.69095
2020-06-22,0.81658
2020-06-24,0.37688
2020-06-25,0.56532
2020-06-27,0.43969
2020-06-29,0.31407
2020-07-01,0.50251
2020-07-02,0.56532
2020-07-06,0.43969
2020-07-13,0.31407
2020-08-04,0.31407
2020-08-07,0.69095
2020-08-11,0.43969
2020-08-13,0.31407
2020-08-19,0.31407
2020-08-24,0.31407
2020-08-26,0.56532
2020-08-27,0.31407
2020-08-31,0.43969
2020-09-02,0.50251
2020-09-03,0.31407
2020-09-08,0.37688
2020-09-09,0.94221
2020-09-10,0.43969
2020-09-17,0.50251
2020-09-21,0.75376
2020-09-22,0.31407
2020-09-23,0.43969
2020-09-25,0.56532
2020-09-26,0.43969
2020-09-29,0.69095
2020-10-06,0.31407
2020-10-07,0.69095
2020-10-08,0.37688
2020-10-10,0.37688
2020-10-12,0.31407
2020-10-13,0.81658
2020-10-15,0.69095
2020-10-16,1.00502
2020-10-17,0.56532
2020-10-19,1.13065
2020-10-20,1.50753
2020-10-21,0.31407
2020-10-22,0.87939
2020-10-23,0.69095
2020-10-26,0.37688
2020-10-27,0.56532
2020-10-28,0.43969
