date,소상공인지원금
2020-03-20,0.25167
2020-03-21,0.10137
2020-03-22,0.09088
2020-03-23,0.23594
2020-03-24,0.38101
2020-03-25,0.5418
2020-03-26,0.52607
2020-03-27,0.49461
2020-03-28,0.22371
2020-03-29,0.19749
2020-03-30,1.13954
2020-03-31,0.96476
2020-04-01,1.06613
2020-04-02,1.03292
2020-04-03,1.17799
2020-04-04,0.52782
2020-04-05,0.5785
2020-04-06,1.59221
2020-04-07,1.39821
2020-04-08,1.38248
2020-04-09,1.37374
2020-04-10,1.14653
2020-04-11,0.47189
2020-04-12,0.4247
2020-04-13,1.4419
2020-04-14,1.32305
2020-04-15,0.63968
2020-04-16,1.45588
2020-04-17,1.56075
2020-04-18,0.76901
2020-04-19,0.70085
2020-04-20,1.59046
2020-04-21,1.43316
2020-04-22,1.61143
2020-04-23,2.47657
2020-04-24,1.84214
2020-04-25,0.8529
2020-04-26,0.86689
2020-04-27,2.19519
2020-04-28,2.04837
2020-04-29,2.00118
2020-04-30,1.26538
2020-05-01,6.74112
2020-05-02,1.22168
2020-05-03,1.22867
2020-05-04,3.27181
2020-05-05,1.39995
2020-05-06,3.24734
2020-05-07,3.34521
2020-05-08,3.05159
2020-05-09,1.58871
2020-05-10,1.4821
2020-05-11,4.02859
2020-05-12,3.51999
2020-05-13,3.30152
2020-05-14,3.07781
2020-05-15,3.13024
2020-05-16,1.59221
2020-05-17,1.5555
2020-05-18,4.19987
2020-05-19,4.04257
2020-05-20,2.91526
2020-05-21,2.44686
2020-05-22,1.97322
2020-05-23,1.09409
2020-05-24,1.21469
2020-05-25,4.93393
2020-05-26,3.6301
2020-05-27,3.10752
2020-05-28,2.66184
2020-05-29,2.20567
2020-05-30,1.22692
2020-05-31,1.09235
2020-06-01,5.21182
2020-06-02,4.63681
2020-06-03,4.12297
2020-06-04,2.94323
2020-06-05,2.28083
2020-06-06,1.09584
2020-06-07,0.98399
2020-06-08,2.3018
2020-06-09,2.2581
2020-06-10,1.88583
2020-06-11,1.7163
2020-06-12,1.59046
2020-06-13,0.74629
2020-06-14,0.74979
2020-06-15,1.70406
2020-06-16,1.52754
2020-06-17,1.27062
2020-06-18,1.10109
2020-06-19,1.05215
2020-06-20,0.44742
2020-06-21,0.46665
2020-06-22,1.41044
2020-06-23,1.15701
2020-06-24,0.99447
2020-06-25,0.89135
2020-06-26,0.73056
2020-06-27,0.38975
2020-06-28,0.35829
2020-06-29,0.90009
2020-06-30,0.93155
2020-07-01,0.78474
2020-07-02,0.70609
2020-07-03,0.55753
2020-07-04,0.38276
2020-07-05,0.33382
2020-07-06,0.79697
2020-07-07,0.68861
2020-07-08,0.79697
2020-07-09,0.55404
2020-07-10,0.50685
2020-07-11,0.23769
2020-07-12,0.18351
2020-07-13,0.55928
2020-07-14,0.64317
2020-07-15,0.63094
2020-07-16,0.60297
2020-07-17,0.62744
2020-07-18,0.24643
2020-07-19,0.23769
