date,피성년후견인
2020-11-08,25.51724
2020-11-09,38.70689
2020-11-10,39.91379
2020-11-11,39.65517
2020-11-12,41.37931
2020-11-13,28.70689
2020-11-14,21.12068
2020-11-15,25.25862
2020-11-16,38.10344
2020-11-17,42.67241
2020-11-18,46.20689
2020-11-19,44.82758
2020-11-20,35.34482
2020-11-21,25.86206
2020-11-22,27.32758
2020-11-23,45.34482
2020-11-24,36.55172
2020-11-25,42.32758
2020-11-26,43.18965
2020-11-27,39.82758
2020-11-28,22.41379
2020-11-29,22.41379
2020-11-30,37.84482
2020-12-01,36.2931
2020-12-02,38.62068
2020-12-03,39.39655
2020-12-04,37.41379
2020-12-05,31.12068
2020-12-06,31.55172
2020-12-07,42.41379
2020-12-08,44.91379
2020-12-09,42.75862
2020-12-10,41.12068
2020-12-11,38.01724
2020-12-12,32.41379
2020-12-13,27.84482
2020-12-14,44.13793
2020-12-15,44.65517
2020-12-16,43.01724
2020-12-17,34.05172
2020-12-18,30.77586
2020-12-19,22.06896
2020-12-20,22.24137
2020-12-21,31.37931
2020-12-22,28.87931
2020-12-23,34.13793
2020-12-24,25.17241
2020-12-25,17.5
2020-12-26,19.65517
2020-12-27,23.87931
2020-12-28,36.46551
2020-12-29,34.74137
2020-12-30,32.67241
2020-12-31,28.01724
2021-01-01,20.43103
2021-01-02,30.25862
2021-01-03,29.39655
2021-01-04,42.15517
2021-01-05,50.60344
2021-01-06,50.17241
2021-01-07,40.51724
2021-01-08,39.74137
2021-01-09,28.18965
2021-01-10,28.36206
2021-01-11,41.12068
2021-01-12,46.12068
2021-01-13,46.46551
2021-01-14,46.12068
2021-01-15,40.0862
2021-01-16,30.0
2021-01-17,33.87931
2021-01-18,44.48275
2021-01-19,43.36206
2021-01-20,44.05172
2021-01-21,50.94827
2021-01-22,38.96551
2021-01-23,27.75862
2021-01-24,25.68965
2021-01-25,36.72413
2021-01-26,41.55172
2021-01-27,36.89655
2021-01-28,40.68965
2021-01-29,37.24137
2021-01-30,27.5
2021-01-31,28.27586
2021-02-01,45.51724
2021-02-02,41.03448
2021-02-03,43.36206
2021-02-04,41.98275
2021-02-05,39.91379
2021-02-06,25.43103
2021-02-07,33.70689
2021-02-08,40.17241
2021-02-09,36.2931
2021-02-10,25.43103
2021-02-11,18.44827
2021-02-12,17.41379
2021-02-13,17.15517
2021-02-14,24.05172
2021-02-15,42.41379
2021-02-16,43.96551
2021-02-17,38.62068
2021-02-18,39.74137
2021-02-19,29.39655
2021-02-20,27.15517
2021-02-21,26.89655
2021-02-22,42.24137
2021-02-23,41.12068
2021-02-24,42.5
2021-02-25,42.84482
2021-02-26,31.12068
2021-02-27,23.44827
2021-02-28,23.44827
2021-03-01,29.82758
2021-03-02,39.48275
2021-03-03,40.34482
2021-03-04,52.84482
2021-03-05,44.65517
2021-03-06,36.55172
2021-03-07,30.94827
2021-03-08,49.82758
2021-03-09,47.93103
2021-03-10,50.25862
2021-03-11,52.5
2021-03-12,46.03448
2021-03-13,28.27586
2021-03-14,25.60344
2021-03-15,43.7931
2021-03-16,43.96551
2021-03-17,42.93103
2021-03-18,39.48275
2021-03-19,31.55172
2021-03-20,27.06896
2021-03-21,26.55172
2021-03-22,46.72413
2021-03-23,49.48275
2021-03-24,46.20689
2021-03-25,100.0
2021-03-26,79.82758
2021-03-27,42.84482
2021-03-28,45.0862
2021-03-29,88.44827
2021-03-30,78.96551
2021-03-31,66.46551
2021-04-01,69.82758
2021-04-02,56.72413
2021-04-03,37.5
2021-04-04,36.12068
2021-04-05,65.34482
2021-04-06,62.5
2021-04-07,61.63793
2021-04-08,63.18965
2021-04-09,56.98275
2021-04-10,33.96551
2021-04-11,46.20689
2021-04-12,71.20689
2021-04-13,66.81034
2021-04-14,69.31034
2021-04-15,67.67241
2021-04-16,64.31034
2021-04-17,47.15517
2021-04-18,52.32758
2021-04-19,76.81034
2021-04-20,81.55172
2021-04-21,76.63793
2021-04-22,67.67241
2021-04-23,57.5862
2021-04-24,34.65517
2021-04-25,39.91379
2021-04-26,66.55172
2021-04-27,59.05172
2021-04-28,58.62068
2021-04-29,49.22413
2021-04-30,50.94827
2021-05-01,28.96551
2021-05-02,28.27586
2021-05-03,56.72413
2021-05-04,49.22413
2021-05-05,34.56896
2021-05-06,54.48275
2021-05-07,49.39655
2021-05-08,27.5
2021-05-09,32.32758
2021-05-10,59.39655
2021-05-11,64.48275
2021-05-12,54.31034
2021-05-13,51.98275
2021-05-14,44.22413
2021-05-15,28.62068
2021-05-16,29.22413
2021-05-17,62.24137
2021-05-18,52.67241
2021-05-19,33.7931
2021-05-20,52.24137
2021-05-21,50.86206
2021-05-22,28.01724
2021-05-23,27.5
2021-05-24,53.36206
2021-05-25,51.72413
2021-05-26,48.96551
2021-05-27,48.96551
2021-05-28,41.81034
2021-05-29,25.25862
2021-05-30,27.67241
2021-05-31,46.89655
2021-06-01,46.37931
2021-06-02,46.63793
2021-06-03,44.39655
2021-06-04,42.93103
2021-06-05,27.84482
2021-06-06,32.41379
2021-06-07,50.60344
2021-06-08,51.46551
2021-06-09,52.5
2021-06-10,48.96551
2021-06-11,45.68965
2021-06-12,28.01724
2021-06-13,33.36206
2021-06-14,63.7931
2021-06-15,56.63793
2021-06-16,50.68965
2021-06-17,45.17241
2021-06-18,37.41379
2021-06-19,27.84482
2021-06-20,24.65517
2021-06-21,47.67241
2021-06-22,44.13793
2021-06-23,44.65517
2021-06-24,44.13793
2021-06-25,34.13793
2021-06-26,22.41379
2021-06-27,20.43103
2021-06-28,42.24137
2021-06-29,40.51724
2021-06-30,44.82758
2021-07-01,46.72413
2021-07-02,36.46551
2021-07-03,21.12068
2021-07-04,28.01724
2021-07-05,51.89655
2021-07-06,50.86206
2021-07-07,48.10344
2021-07-08,42.32758
2021-07-09,36.89655
2021-07-10,20.77586
2021-07-11,24.39655
2021-07-12,49.39655
2021-07-13,46.20689
2021-07-14,40.34482
2021-07-15,42.06896
2021-07-16,44.82758
2021-07-17,24.31034
2021-07-18,27.84482
2021-07-19,46.81034
2021-07-20,47.15517
2021-07-21,41.55172
2021-07-22,50.51724
2021-07-23,38.70689
2021-07-24,21.03448
2021-07-25,25.77586
2021-07-26,49.05172
2021-07-27,40.77586
2021-07-28,36.37931
2021-07-29,41.55172
2021-07-30,36.55172
2021-07-31,25.86206
2021-08-01,22.67241
2021-08-02,37.84482
2021-08-03,41.2931
2021-08-04,41.20689
2021-08-05,38.96551
2021-08-06,34.82758
2021-08-07,28.36206
2021-08-08,25.34482
2021-08-09,47.84482
2021-08-10,47.93103
2021-08-11,49.13793
2021-08-12,48.10344
2021-08-13,41.2931
2021-08-14,25.34482
2021-08-15,30.34482
2021-08-16,34.39655
2021-08-17,51.20689
2021-08-18,48.70689
2021-08-19,45.25862
2021-08-20,45.0
2021-08-21,26.2931
2021-08-22,26.72413
2021-08-23,51.81034
2021-08-24,47.93103
2021-08-25,52.41379
2021-08-26,45.25862
2021-08-27,40.0862
2021-08-28,27.41379
2021-08-29,27.75862
2021-08-30,46.2931
2021-08-31,53.53448
2021-09-01,47.5
2021-09-02,52.5
2021-09-03,48.53448
2021-09-04,34.48275
2021-09-05,32.67241
2021-09-06,54.56896
2021-09-07,60.77586
2021-09-08,59.56896
2021-09-09,60.0
2021-09-10,49.74137
2021-09-11,32.15517
2021-09-12,30.43103
2021-09-13,47.75862
2021-09-14,45.43103
2021-09-15,47.5
2021-09-16,46.03448
2021-09-17,36.03448
2021-09-18,19.56896
2021-09-19,20.43103
2021-09-20,21.72413
2021-09-21,25.34482
2021-09-22,32.41379
2021-09-23,49.56896
2021-09-24,45.77586
2021-09-25,32.84482
2021-09-26,33.18965
2021-09-27,59.22413
2021-09-28,58.36206
2021-09-29,57.06896
2021-09-30,53.36206
2021-10-01,48.44827
2021-10-02,37.5862
2021-10-03,35.68965
2021-10-04,48.44827
2021-10-05,59.31034
2021-10-06,61.72413
2021-10-07,55.51724
2021-10-08,50.25862
2021-10-09,39.13793
2021-10-10,38.01724
2021-10-11,50.17241
2021-10-12,66.46551
2021-10-13,68.36206
2021-10-14,65.43103
2021-10-15,56.98275
2021-10-16,43.53448
2021-10-17,52.15517
2021-10-18,67.5
2021-10-19,71.98275
2021-10-20,62.75862
2021-10-21,65.0862
2021-10-22,50.17241
2021-10-23,34.56896
2021-10-24,41.2931
2021-10-25,57.5
2021-10-26,55.68965
2021-10-27,55.25862
2021-10-28,45.51724
2021-10-29,42.41379
2021-10-30,23.62068
2021-10-31,28.10344
2021-11-01,47.75862
2021-11-02,46.72413
2021-11-03,48.7931
2021-11-04,49.56896
2021-11-05,45.34482
2021-11-06,28.18965
2021-11-07,27.67241
2021-11-08,52.93103
2021-11-09,55.25862
2021-11-10,46.81034
2021-11-11,38.70689
2021-11-12,40.77586
2021-11-13,29.82758
2021-11-14,31.20689
2021-11-15,54.13793
2021-11-16,50.43103
2021-11-17,51.55172
2021-11-18,45.60344
2021-11-19,43.7931
2021-11-20,23.36206
2021-11-21,25.68965
2021-11-22,46.98275
2021-11-23,47.93103
2021-11-24,48.18965
2021-11-25,43.18965
2021-11-26,39.39655
2021-11-27,23.18965
2021-11-28,23.70689
2021-11-29,45.51724
2021-11-30,45.68965
2021-12-01,52.5862
2021-12-02,48.7931
2021-12-03,48.01724
2021-12-04,29.22413
2021-12-05,31.63793
2021-12-06,57.24137
2021-12-07,61.89655
2021-12-08,54.22413
2021-12-09,54.65517
2021-12-10,53.10344
2021-12-11,37.5862
2021-12-12,39.05172
2021-12-13,59.56896
2021-12-14,57.5
2021-12-15,56.81034
2021-12-16,49.31034
2021-12-17,43.18965
2021-12-18,26.72413
2021-12-19,23.53448
2021-12-20,52.06896
2021-12-21,50.77586
2021-12-22,44.13793
2021-12-23,44.05172
2021-12-24,35.0
2021-12-25,16.63793
2021-12-26,21.81034
2021-12-27,43.01724
2021-12-28,46.37931
2021-12-29,48.01724
2021-12-30,43.18965
2021-12-31,30.60344
2022-01-01,22.5
2022-01-02,27.84482
2022-01-03,52.32758
2022-01-04,56.89655
2022-01-05,56.72413
2022-01-06,52.93103
2022-01-07,49.13793
2022-01-08,32.24137
2022-01-09,31.46551
2022-01-10,61.20689
2022-01-11,57.32758
2022-01-12,56.2931
2022-01-13,51.03448
2022-01-14,45.77586
2022-01-15,33.7931
2022-01-16,35.0
2022-01-17,61.2931
2022-01-18,61.2931
2022-01-19,63.10344
2022-01-20,52.5
2022-01-21,41.72413
2022-01-22,22.67241
2022-01-23,29.74137
2022-01-24,58.01724
2022-01-25,57.24137
2022-01-26,56.89655
2022-01-27,54.56896
2022-01-28,47.06896
2022-01-29,22.93103
2022-01-30,20.94827
2022-01-31,20.34482
2022-02-01,16.98275
2022-02-02,26.89655
2022-02-03,54.22413
2022-02-04,51.72413
2022-02-05,33.62068
2022-02-06,38.27586
2022-02-07,59.39655
2022-02-08,57.24137
2022-02-09,59.31034
2022-02-10,54.13793
2022-02-11,52.24137
2022-02-12,29.65517
2022-02-13,33.27586
2022-02-14,54.65517
2022-02-15,55.68965
2022-02-16,47.75862
2022-02-17,48.62068
2022-02-18,48.62068
2022-02-19,27.5862
2022-02-20,30.0862
2022-02-21,53.7931
2022-02-22,51.55172
2022-02-23,50.94827
2022-02-24,50.34482
2022-02-25,41.89655
2022-02-26,27.5862
2022-02-27,29.56896
2022-02-28,49.56896
2022-03-01,33.53448
2022-03-02,53.62068
2022-03-03,53.87931
2022-03-04,53.27586
2022-03-05,32.84482
2022-03-06,29.91379
2022-03-07,55.77586
2022-03-08,56.20689
2022-03-09,29.31034
2022-03-10,53.18965
2022-03-11,49.91379
2022-03-12,30.51724
2022-03-13,34.31034
2022-03-14,60.60344
2022-03-15,57.5862
2022-03-16,60.51724
2022-03-17,57.5
2022-03-18,53.27586
2022-03-19,33.7931
2022-03-20,29.74137
2022-03-21,55.17241
2022-03-22,60.34482
2022-03-23,54.82758
2022-03-24,51.98275
2022-03-25,46.55172
2022-03-26,28.7931
2022-03-27,30.51724
2022-03-28,54.39655
2022-03-29,49.82758
2022-03-30,49.91379
2022-03-31,42.5
2022-04-01,40.68965
2022-04-02,26.55172
2022-04-03,26.55172
2022-04-04,45.0862
2022-04-05,55.17241
2022-04-06,49.31034
2022-04-07,46.72413
2022-04-08,44.31034
2022-04-09,30.34482
