date,LTV
2020-03-20,2.78715
2020-03-21,2.04871
2020-03-22,2.06672
2020-03-23,3.5391
2020-03-24,3.21941
2020-03-25,3.01679
2020-03-26,3.0258
2020-03-27,2.82768
2020-03-28,1.73803
2020-03-29,2.48547
2020-03-30,3.57962
2020-03-31,2.81867
2020-04-01,2.89522
2020-04-02,3.02129
2020-04-03,2.5215
2020-04-04,1.77405
2020-04-05,2.37291
2020-04-06,3.72371
2020-04-07,3.66518
2020-04-08,3.41753
2020-04-09,3.17438
2020-04-10,2.76914
2020-04-11,1.88211
2020-04-12,2.30086
2020-04-13,3.58413
2020-04-14,2.95826
2020-04-15,2.41793
2020-04-16,3.58863
2020-04-17,3.25993
2020-04-18,2.31437
2020-04-19,2.71511
2020-04-20,4.42613
2020-04-21,3.85429
2020-04-22,3.98487
2020-04-23,3.24192
2020-04-24,3.74622
2020-04-25,2.06222
2020-04-26,2.17929
2020-04-27,3.5436
2020-04-28,3.51659
2020-04-29,3.10684
2020-04-30,1.90013
2020-05-01,1.91363
2020-05-02,1.684
2020-05-03,2.33238
2020-05-04,3.33648
2020-05-05,2.41343
2020-05-06,3.74622
2020-05-07,3.12936
2020-05-08,2.92674
2020-05-09,2.09374
2020-05-10,2.15228
2020-05-11,3.5346
2020-05-12,3.49407
2020-05-13,3.5436
2020-05-14,3.44454
2020-05-15,2.76014
2020-05-16,1.8506
2020-05-17,2.21531
2020-05-18,4.13345
2020-05-19,4.34508
2020-05-20,4.12445
2020-05-21,3.43104
2020-05-22,3.10684
2020-05-23,1.90913
2020-05-24,2.6971
2020-05-25,4.3811
2020-05-26,3.56161
2020-05-27,4.70529
2020-05-28,4.07492
2020-05-29,3.0258
2020-05-30,2.20181
2020-05-31,2.55752
2020-06-01,3.66968
2020-06-02,4.50267
2020-06-03,3.99837
2020-06-04,3.39502
2020-06-05,3.42203
2020-06-06,2.23332
2020-06-07,2.53951
2020-06-08,4.02089
2020-06-09,4.51168
2020-06-10,4.99797
2020-06-11,6.80354
2020-06-12,5.27263
2020-06-13,3.51208
2020-06-14,3.5436
2020-06-15,7.77162
2020-06-16,8.79823
2020-06-17,37.41276
2020-06-18,19.46508
2020-06-19,13.66112
2020-06-20,6.79454
2020-06-21,6.52888
2020-06-22,11.14863
2020-06-23,16.89855
2020-06-24,18.3304
2020-06-25,12.65252
2020-06-26,8.39299
2020-06-27,5.16907
2020-06-28,5.10603
2020-06-29,9.73479
2020-06-30,8.65865
2020-07-01,7.9067
2020-07-02,8.54608
2020-07-03,6.63244
2020-07-04,3.82277
2020-07-05,4.61074
2020-07-06,7.83466
2020-07-07,8.55058
2020-07-08,9.76631
2020-07-09,9.98694
2020-07-10,18.46098
2020-07-11,6.81705
2020-07-12,5.5608
2020-07-13,8.20388
2020-07-14,6.78103
2020-07-15,6.64145
2020-07-16,6.47935
2020-07-17,5.42122
2020-07-18,3.56161
2020-07-19,3.68319
2020-07-20,6.14165
2020-07-21,6.20018
2020-07-22,5.86699
2020-07-23,5.30415
2020-07-24,4.12895
2020-07-25,2.95375
2020-07-26,3.23742
2020-07-27,5.60583
2020-07-28,5.46174
2020-07-29,5.47976
2020-07-30,4.80435
2020-07-31,4.33157
2020-08-01,3.08433
2020-08-02,3.01679
2020-08-03,5.65086
2020-08-04,5.87149
2020-08-05,5.5563
2020-08-06,4.85839
2020-08-07,4.43513
2020-08-08,2.79166
2020-08-09,3.54811
2020-08-10,5.67337
2020-08-11,5.51127
2020-08-12,5.2186
2020-08-13,4.79085
2020-08-14,3.81827
2020-08-15,2.60254
2020-08-16,2.55301
2020-08-17,3.62915
2020-08-18,4.93943
2020-08-19,4.64676
2020-08-20,4.24602
2020-08-21,3.7012
2020-08-22,2.39092
2020-08-23,2.41793
2020-08-24,3.67868
2020-08-25,3.91733
2020-08-26,5.44824
2020-08-27,4.96645
2020-08-28,3.45805
2020-08-29,2.44945
2020-08-30,2.72862
2020-08-31,3.84528
2020-09-01,4.47116
2020-09-02,3.95335
2020-09-03,3.82277
2020-09-04,2.98077
2020-09-05,2.5305
2020-09-06,2.74213
2020-09-07,4.43513
2020-09-08,4.62425
2020-09-09,4.05691
2020-09-10,4.07492
2020-09-11,3.39502
2020-09-12,2.71511
2020-09-13,2.57102
2020-09-14,4.16497
2020-09-15,4.50718
2020-09-16,5.78143
2020-09-17,4.35859
2020-09-18,3.23742
2020-09-19,2.63856
2020-09-20,2.40443
2020-09-21,3.66067
2020-09-22,4.10194
2020-09-23,3.75523
2020-09-24,3.50308
2020-09-25,2.66108
2020-09-26,1.82358
2020-09-27,2.17929
2020-09-28,3.24643
2020-09-29,2.47647
2020-09-30,1.8506
2020-10-01,1.81007
2020-10-02,1.87311
2020-10-03,2.43594
2020-10-04,2.90422
2020-10-05,4.65577
2020-10-06,4.76833
2020-10-07,5.11954
2020-10-08,4.45314
2020-10-09,2.76914
2020-10-10,2.97627
2020-10-11,6.61443
2020-10-12,5.46174
2020-10-13,4.90792
2020-10-14,4.93943
2020-10-15,4.3811
2020-10-16,4.10194
2020-10-17,2.83668
2020-10-18,2.95826
2020-10-19,5.43473
2020-10-20,5.32666
2020-10-21,4.82236
2020-10-22,5.3852
2020-10-23,4.28204
2020-10-24,2.46746
2020-10-25,3.01229
2020-10-26,5.08802
2020-10-27,5.60583
2020-10-28,5.33567
2020-10-29,4.17848
2020-10-30,3.69669
2020-10-31,2.5215
2020-11-01,2.6971
2020-11-02,4.96195
2020-11-03,5.26363
2020-11-04,3.7057
2020-11-05,3.92183
2020-11-06,3.8768
2020-11-07,2.91773
2020-11-08,2.78265
2020-11-09,4.61974
2020-11-10,4.66477
2020-11-11,4.34058
2020-11-12,4.64676
2020-11-13,5.16007
2020-11-14,3.22391
2020-11-15,3.40402
2020-11-16,5.74091
2020-11-17,6.4028
2020-11-18,5.71389
2020-11-19,10.4237
2020-11-20,6.9026
2020-11-21,3.93534
2020-11-22,4.48917
2020-11-23,6.78553
2020-11-24,6.66846
2020-11-25,5.87599
2020-11-26,4.96645
2020-11-27,4.55671
2020-11-28,3.17889
2020-11-29,4.17398
2020-11-30,6.29024
2020-12-01,6.2272
2020-12-02,5.28614
2020-12-03,5.20959
2020-12-04,4.16497
2020-12-05,3.27795
2020-12-06,3.39502
2020-12-07,4.93943
2020-12-08,4.94394
2020-12-09,5.26363
2020-12-10,5.08352
2020-12-11,4.65126
2020-12-12,3.43554
2020-12-13,3.40402
2020-12-14,5.93453
2020-12-15,5.25912
2020-12-16,5.45724
2020-12-17,15.34513
2020-12-18,13.48552
2020-12-19,4.67828
2020-12-20,4.01638
2020-12-21,5.8985
2020-12-22,6.12364
2020-12-23,5.13755
2020-12-24,3.42203
2020-12-25,2.39542
2020-12-26,2.75563
2020-12-27,3.66518
2020-12-28,5.11954
2020-12-29,5.2186
2020-12-30,4.48016
2020-12-31,3.24643
2021-01-01,2.65658
2021-01-02,3.72821
2021-01-03,3.97136
2021-01-04,5.76793
2021-01-05,5.3807
2021-01-06,5.3942
2021-01-07,4.3721
2021-01-08,3.90832
2021-01-09,3.09334
2021-01-10,3.59764
2021-01-11,5.84898
2021-01-12,5.3852
2021-01-13,4.84488
2021-01-14,5.14205
2021-01-15,4.23702
2021-01-16,2.73762
2021-01-17,3.26444
2021-01-18,14.00783
2021-01-19,12.21576
2021-01-20,7.63204
2021-01-21,39.76315
2021-01-22,10.13553
2021-01-23,5.2231
2021-01-24,4.92142
2021-01-25,7.45193
2021-01-26,7.55099
2021-01-27,6.46584
2021-01-28,5.43923
2021-01-29,4.60173
2021-01-30,3.57962
2021-01-31,3.73272
2021-02-01,5.43923
2021-02-02,5.59232
2021-02-03,5.94803
2021-02-04,4.90792
2021-02-05,3.68319
2021-02-06,3.01229
2021-02-07,3.29596
2021-02-08,4.36309
2021-02-09,3.85879
2021-02-10,3.28245
2021-02-11,2.39992
2021-02-12,2.39092
2021-02-13,3.2059
2021-02-14,4.00288
2021-02-15,5.894
2021-02-16,5.66437
2021-02-17,5.35368
2021-02-18,4.83137
2021-02-19,4.00288
2021-02-20,2.85019
2021-02-21,3.43554
2021-02-22,5.08352
2021-02-23,4.58372
2021-02-24,4.14246
2021-02-25,4.09743
2021-02-26,3.26894
2021-02-27,2.09824
2021-02-28,2.87721
2021-03-01,3.22391
2021-03-02,5.61033
2021-03-03,6.10563
2021-03-04,7.02417
2021-03-05,8.04178
2021-03-06,4.10194
2021-03-07,3.72821
2021-03-08,7.10522
2021-03-09,7.55999
2021-03-10,6.04259
2021-03-11,5.74541
2021-03-12,4.91692
2021-03-13,3.09334
2021-03-14,3.89481
2021-03-15,6.16416
2021-03-16,5.56981
2021-03-17,5.25012
2021-03-18,4.84038
2021-03-19,4.47116
2021-03-20,3.0348
2021-03-21,3.01679
2021-03-22,5.26813
2021-03-23,5.47976
2021-03-24,5.07451
2021-03-25,4.35859
2021-03-26,3.7012
2021-03-27,2.57553
2021-03-28,2.96276
2021-03-29,13.75568
2021-03-30,11.05857
2021-03-31,7.9112
2021-04-01,6.42082
2021-04-02,10.57229
2021-04-03,4.25953
2021-04-04,4.12895
2021-04-05,5.97505
2021-04-06,8.87928
2021-04-07,5.82646
2021-04-08,6.01107
2021-04-09,5.3897
2021-04-10,3.11135
2021-04-11,3.76874
2021-04-12,7.21779
2021-04-13,10.63082
2021-04-14,9.04137
2021-04-15,7.67706
2021-04-16,5.53829
2021-04-17,3.29596
2021-04-18,3.57962
2021-04-19,7.46994
2021-04-20,15.61529
2021-04-21,12.68854
2021-04-22,10.04097
2021-04-23,6.34877
2021-04-24,4.16497
2021-04-25,4.60173
2021-04-26,8.11382
2021-04-27,9.67625
2021-04-28,9.14043
2021-04-29,24.43603
2021-04-30,14.34103
2021-05-01,5.052
2021-05-02,12.18424
2021-05-03,15.86293
2021-05-04,9.91489
2021-05-05,5.5473
2021-05-06,10.23008
2021-05-07,7.64104
2021-05-08,5.35818
2021-05-09,5.32666
2021-05-10,10.06799
2021-05-11,9.12693
2021-05-12,13.87275
2021-05-13,12.40037
2021-05-14,10.28862
2021-05-15,5.46625
2021-05-16,32.63091
2021-05-17,56.49511
2021-05-18,26.17857
2021-05-19,13.1163
2021-05-20,16.75446
2021-05-21,15.35413
2021-05-22,9.05038
2021-05-23,7.55999
2021-05-24,13.63861
2021-05-25,16.15561
2021-05-26,13.35494
2021-05-27,46.40461
2021-05-28,25.39511
2021-05-29,7.76712
2021-05-30,9.36557
2021-05-31,21.17159
2021-06-01,17.18672
2021-06-02,10.18055
2021-06-03,10.92349
2021-06-04,7.28533
2021-06-05,4.13345
