date,국제유가
2020-03-20,50.7602
2020-03-21,32.39578
2020-03-22,15.77763
2020-03-23,38.70331
2020-03-24,38.96574
2020-03-25,34.87149
2020-03-26,32.63229
2020-03-27,31.708
2020-03-28,18.87725
2020-03-29,11.34366
2020-03-30,30.30005
2020-03-31,40.37924
2020-04-01,34.3508
2020-04-02,51.85666
2020-04-03,68.23552
2020-04-04,34.65072
2020-04-05,19.87373
2020-04-06,47.61569
2020-04-07,47.95634
2020-04-08,50.79816
2020-04-09,59.76376
2020-04-10,55.45938
2020-04-11,25.0413
2020-04-12,17.87335
2020-04-13,33.22888
2020-04-14,27.34669
2020-04-15,24.41046
2020-04-16,29.75668
2020-04-17,33.96664
2020-04-18,20.94474
2020-04-19,13.93369
2020-04-20,41.58632
2020-04-21,100.0
2020-04-22,71.94608
2020-04-23,54.71283
2020-04-24,37.59806
2020-04-25,20.91234
2020-04-26,12.92702
2020-04-27,34.33182
2020-04-28,41.29381
2020-04-29,30.29635
2020-04-30,20.31852
2020-05-01,20.44719
2020-05-02,15.11577
2020-05-03,10.08844
2020-05-04,18.72821
2020-05-05,19.18318
2020-05-06,37.85354
2020-05-07,32.24026
2020-05-08,22.29715
2020-05-09,13.2996
2020-05-10,8.64069
2020-05-11,17.28555
2020-05-12,19.21604
2020-05-13,18.03072
2020-05-14,16.67276
2020-05-15,17.74931
2020-05-16,12.06846
2020-05-17,7.05177
2020-05-18,15.76513
2020-05-19,20.64713
2020-05-20,18.91011
2020-05-21,18.41904
2020-05-22,18.99064
2020-05-23,9.5585
2020-05-24,5.74195
2020-05-25,11.84352
2020-05-26,15.79568
2020-05-27,14.59045
2020-05-28,17.05552
2020-05-29,12.76688
2020-05-30,9.44325
2020-05-31,5.43879
2020-06-01,11.89489
2020-06-02,15.42356
2020-06-03,16.94213
2020-06-04,16.65424
2020-06-05,13.18112
2020-06-06,10.26617
2020-06-07,6.17146
2020-06-08,12.39939
2020-06-09,20.04035
2020-06-10,15.64896
2020-06-11,14.90796
2020-06-12,17.52854
2020-06-13,8.81333
2020-06-14,4.89079
2020-06-15,11.47788
2020-06-16,12.86685
2020-06-17,11.41354
2020-06-18,10.45316
2020-06-19,10.8026
2020-06-20,6.74491
2020-06-21,3.87023
2020-06-22,8.39539
2020-06-23,11.43761
2020-06-24,9.72512
2020-06-25,12.317
2020-06-26,10.05373
2020-06-27,6.01687
2020-06-28,3.34908
2020-06-29,7.85896
2020-06-30,10.2583
2020-07-01,10.57998
2020-07-02,8.56895
2020-07-03,7.91033
2020-07-04,5.24532
2020-07-05,2.86958
2020-07-06,6.51951
2020-07-07,9.67328
2020-07-08,7.55858
2020-07-09,7.40816
2020-07-10,7.25264
2020-07-11,4.57004
2020-07-12,2.54513
2020-07-13,5.54987
2020-07-14,8.48286
2020-07-15,9.57238
2020-07-16,8.38058
2020-07-17,7.17905
2020-07-18,3.98178
2020-07-19,2.06425
2020-07-20,4.78017
2020-07-21,7.91589
2020-07-22,8.31717
2020-07-23,7.23413
2020-07-24,6.73473
2020-07-25,4.0401
2020-07-26,1.92308
2020-07-27,4.30623
2020-07-28,6.61763
2020-07-29,6.04973
2020-07-30,6.41861
2020-07-31,8.00892
2020-08-01,3.73925
2020-08-02,1.85875
2020-08-03,3.96974
2020-08-04,6.20293
2020-08-05,8.70178
2020-08-06,7.6854
2020-08-07,6.32836
2020-08-08,3.6925
2020-08-09,1.97214
2020-08-10,4.48442
2020-08-11,7.01151
2020-08-12,7.65855
2020-08-13,7.88488
2020-08-14,5.77203
2020-08-15,3.5245
2020-08-16,1.72128
2020-08-17,3.19866
2020-08-18,6.21959
2020-08-19,5.67159
2020-08-20,5.93032
2020-08-21,5.09629
2020-08-22,3.5282
2020-08-23,1.5542
2020-08-24,3.64298
2020-08-25,6.15063
2020-08-26,6.07426
2020-08-27,5.67437
2020-08-28,4.87922
2020-08-29,2.94734
2020-08-30,1.52736
2020-08-31,3.5319
2020-09-01,4.73389
2020-09-02,4.85422
2020-09-03,6.21404
2020-09-04,6.36585
2020-09-05,4.33215
2020-09-06,1.89022
2020-09-07,5.04491
2020-09-08,8.98319
2020-09-09,20.06396
2020-09-10,9.15166
2020-09-11,7.71363
2020-09-12,4.17015
2020-09-13,2.18875
2020-09-14,4.83525
2020-09-15,6.53525
2020-09-16,7.00456
2020-09-17,9.71817
2020-09-18,7.48221
2020-09-19,4.3775
2020-09-20,2.08692
2020-09-21,4.86163
2020-09-22,7.31004
2020-09-23,6.00345
2020-09-24,6.02196
2020-09-25,4.98984
2020-09-26,3.2866
2020-09-27,1.63149
2020-09-28,3.53283
2020-09-29,5.06204
2020-09-30,3.68279
2020-10-01,3.46479
2020-10-02,5.44295
2020-10-03,4.47979
2020-10-04,2.44099
2020-10-05,5.45591
2020-10-06,17.99277
2020-10-07,8.52452
