date,금한돈
2020-03-20,20.34542
2020-03-21,12.79674
2020-03-22,10.62283
2020-03-23,14.05041
2020-03-24,13.04347
2020-03-25,14.05041
2020-03-26,13.13683
2020-03-27,11.97652
2020-03-28,10.82955
2020-03-29,9.32915
2020-03-30,11.17631
2020-03-31,11.93651
2020-04-01,10.72952
2020-04-02,10.28274
2020-04-03,9.77594
2020-04-04,9.4025
2020-04-05,8.39557
2020-04-06,11.36969
2020-04-07,11.47639
2020-04-08,11.44305
2020-04-09,10.60949
2020-04-10,13.09015
2020-04-11,10.87623
2020-04-12,20.81221
2020-04-13,20.86556
2020-04-14,19.86529
2020-04-15,11.22299
2020-04-16,14.16377
2020-04-17,14.93064
2020-04-18,11.96319
2020-04-19,100.0
2020-04-20,19.29181
2020-04-21,16.73779
2020-04-22,16.61776
2020-04-23,14.19045
2020-04-24,17.49799
2020-04-25,15.26407
2020-04-26,13.33688
2020-04-27,22.45265
2020-04-28,16.04427
2020-04-29,14.57055
2020-04-30,12.17658
2020-05-01,11.59642
2020-05-02,11.22299
2020-05-03,10.78954
2020-05-04,12.00986
2020-05-05,11.44971
2020-05-06,14.37716
2020-05-07,11.52974
2020-05-08,13.18351
2020-05-09,10.94291
2020-05-10,9.75593
2020-05-11,11.00293
2020-05-12,10.46945
2020-05-13,10.25606
2020-05-14,10.20938
2020-05-15,11.0296
2020-05-16,10.12269
2020-05-17,9.44251
2020-05-18,14.94398
2020-05-19,14.53054
2020-05-20,11.10296
2020-05-21,10.06935
2020-05-22,10.66951
2020-05-23,8.46892
2020-05-24,8.61563
2020-05-25,10.78954
2020-05-26,9.72259
2020-05-27,9.4025
2020-05-28,9.35582
2020-05-29,9.45585
2020-05-30,8.08215
2020-05-31,8.49559
2020-06-01,10.02934
2020-06-02,11.56308
2020-06-03,10.12936
2020-06-04,9.03574
2020-06-05,9.21579
2020-06-06,8.37556
2020-06-07,7.84875
2020-06-08,9.16911
2020-06-09,9.36249
2020-06-10,9.3825
2020-06-11,8.86236
2020-06-12,10.036
2020-06-13,8.78234
2020-06-14,7.96212
2020-06-15,10.38276
2020-06-16,9.51587
2020-06-17,8.98239
2020-06-18,9.47586
2020-06-19,8.76233
2020-06-20,8.42891
2020-06-21,7.86876
2020-06-22,10.76953
2020-06-23,11.44305
2020-06-24,9.74259
2020-06-25,9.74259
2020-06-26,9.54254
2020-06-27,9.30914
2020-06-28,8.10216
2020-06-29,10.06268
2020-06-30,9.5292
2020-07-01,11.50306
2020-07-02,11.03627
2020-07-03,9.75593
2020-07-04,8.93571
2020-07-05,10.28941
2020-07-06,12.34995
2020-07-07,11.32301
2020-07-08,12.24993
2020-07-09,13.76367
2020-07-10,11.27634
2020-07-11,9.72259
2020-07-12,10.06268
2020-07-13,14.80394
2020-07-14,28.83435
2020-07-15,18.57161
2020-07-16,14.62389
2020-07-17,12.86343
2020-07-18,11.71645
2020-07-19,9.96265
2020-07-20,11.5364
2020-07-21,10.68284
2020-07-22,17.56468
2020-07-23,19.13176
2020-07-24,24.05974
2020-07-25,33.48893
2020-07-26,14.96399
2020-07-27,25.6535
2020-07-28,33.58228
2020-07-29,30.79487
2020-07-30,17.04454
2020-07-31,16.79114
2020-08-01,13.57028
2020-08-02,12.3833
2020-08-03,12.34995
2020-08-04,11.96985
2020-08-05,28.26086
2020-08-06,16.73779
2020-08-07,16.95118
2020-08-08,12.59669
2020-08-09,11.48973
2020-08-10,13.83035
2020-08-11,15.01733
2020-08-12,25.94691
2020-08-13,15.89757
2020-08-14,11.66311
2020-08-15,11.56308
2020-08-16,10.53614
2020-08-17,10.22939
2020-08-18,13.81701
2020-08-19,11.36969
2020-08-20,11.18298
2020-08-21,10.88957
2020-08-22,9.32248
