date,아파트매매
2020-03-20,53.215
2020-03-21,51.9089
2020-03-22,50.33489
2020-03-23,59.71198
2020-03-24,54.38713
2020-03-25,51.47354
2020-03-26,53.8513
2020-03-27,50.56932
2020-03-28,48.25853
2020-03-29,53.08104
2020-03-30,58.10448
2020-03-31,55.1574
2020-04-01,56.29604
2020-04-02,56.86537
2020-04-03,47.55525
2020-04-04,47.25385
2020-04-05,51.87541
2020-04-06,54.11922
2020-04-07,53.54989
2020-04-08,52.98057
2020-04-09,52.21031
2020-04-10,48.52645
2020-04-11,51.84192
2020-04-12,53.28198
2020-04-13,62.39115
2020-04-14,51.54052
2020-04-15,53.215
2020-04-16,54.78901
2020-04-17,53.24849
2020-04-18,52.84661
2020-04-19,54.42062
2020-04-20,55.92766
2020-04-21,62.2572
2020-04-22,53.01406
2020-04-23,54.08573
2020-04-24,51.2726
2020-04-25,46.91895
2020-04-26,54.45411
2020-04-27,56.26255
2020-04-28,59.20964
2020-04-29,51.64099
2020-04-30,50.73677
2020-05-01,52.37776
2020-05-02,49.22973
2020-05-03,53.71734
2020-05-04,52.74614
2020-05-05,57.87006
2020-05-06,54.11922
2020-05-07,48.76088
2020-05-08,45.04353
2020-05-09,43.06764
2020-05-10,54.4876
2020-05-11,54.85599
2020-05-12,53.28198
2020-05-13,49.86604
2020-05-14,52.2438
2020-05-15,51.07166
2020-05-16,48.29202
2020-05-17,50.43536
2020-05-18,61.98928
2020-05-19,54.32016
2020-05-20,53.44943
2020-05-21,53.11453
2020-05-22,47.62223
2020-05-23,50.33489
2020-05-24,54.32016
2020-05-25,59.54454
2020-05-26,56.43
2020-05-27,52.41125
2020-05-28,52.94708
2020-05-29,46.55056
2020-05-30,50.46885
2020-05-31,51.54052
2020-06-01,57.4012
2020-06-02,50.66979
2020-06-03,51.44005
2020-06-04,51.74146
2020-06-05,51.67448
2020-06-06,47.92364
2020-06-07,55.65974
2020-06-08,58.43938
2020-06-09,61.72136
2020-06-10,57.09979
2020-06-11,58.77427
2020-06-12,54.4876
2020-06-13,56.39651
2020-06-14,62.39115
2020-06-15,68.6872
2020-06-16,67.04621
2020-06-17,68.28533
2020-06-18,73.97856
2020-06-19,65.37173
2020-06-20,61.85532
2020-06-21,62.62558
2020-06-22,73.50971
2020-06-23,67.84996
2020-06-24,63.59678
2020-06-25,62.92699
2020-06-26,59.77896
2020-06-27,56.36302
2020-06-28,62.08975
2020-06-29,70.19423
2020-06-30,65.63965
2020-07-01,67.61553
2020-07-02,66.91225
2020-07-03,64.86939
2020-07-04,61.5874
2020-07-05,61.88881
2020-07-06,71.2659
2020-07-07,68.98861
2020-07-08,73.5432
2020-07-09,70.26121
2020-07-10,65.27126
2020-07-11,58.57334
2020-07-12,61.21902
2020-07-13,67.68251
2020-07-14,64.03215
2020-07-15,64.46751
2020-07-16,68.01741
2020-07-17,66.54387
2020-07-18,61.01808
2020-07-19,61.88881
2020-07-20,69.9933
2020-07-21,67.34762
2020-07-22,73.04085
2020-07-23,71.56731
2020-07-24,60.68318
2020-07-25,62.65907
2020-07-26,60.81714
2020-07-27,69.18955
2020-07-28,72.00267
2020-07-29,67.68251
2020-07-30,71.70127
2020-07-31,70.86403
2020-08-01,63.29537
2020-08-02,63.29537
2020-08-03,78.29872
2020-08-04,76.15539
2020-08-05,69.69189
2020-08-06,68.15137
2020-08-07,67.34762
2020-08-08,57.7361
2020-08-09,59.41058
2020-08-10,69.3235
2020-08-11,67.61553
2020-08-12,70.09377
2020-08-13,68.48626
2020-08-14,59.47756
2020-08-15,56.19557
2020-08-16,57.60214
2020-08-17,68.72069
2020-08-18,64.43402
2020-08-19,63.42933
2020-08-20,65.60616
2020-08-21,67.48158
2020-08-22,73.74413
2020-08-23,66.4434
2020-08-24,72.43804
2020-08-25,68.0509
2020-08-26,64.23308
2020-08-27,62.12324
2020-08-28,60.51574
2020-08-29,60.81714
2020-08-30,57.7361
2020-08-31,64.8359
2020-09-01,63.26188
2020-09-02,63.93168
2020-09-03,66.54387
2020-09-04,58.3724
2020-09-05,57.66912
2020-09-06,60.98459
2020-09-07,70.69658
2020-09-08,67.11319
2020-09-09,64.03215
2020-09-10,61.82183
2020-09-11,64.19959
2020-09-12,68.41929
2020-09-13,64.90288
2020-09-14,65.27126
2020-09-15,63.02746
2020-09-16,63.32886
2020-09-17,60.01339
2020-09-18,62.79303
2020-09-19,52.84661
2020-09-20,56.89886
2020-09-21,63.96517
2020-09-22,58.43938
2020-09-23,57.30073
2020-09-24,56.19557
2020-09-25,51.20562
2020-09-26,52.2438
2020-09-27,54.15271
2020-09-28,57.0663
2020-09-29,49.63161
2020-09-30,40.72337
2020-10-01,44.34025
2020-10-02,48.55994
2020-10-03,54.35365
2020-10-04,66.04152
2020-10-05,66.17548
2020-10-06,66.94574
2020-10-07,61.286
2020-10-08,59.14266
2020-10-09,59.07568
2020-10-10,61.35298
2020-10-11,67.21366
2020-10-12,77.62893
2020-10-13,68.72069
2020-10-14,69.45746
2020-10-15,68.3858
2020-10-16,61.62089
2020-10-17,58.74079
2020-10-18,60.71667
2020-10-19,71.50033
2020-10-20,68.78767
2020-10-21,69.82585
2020-10-22,66.87876
2020-10-23,58.17146
2020-10-24,53.65036
2020-10-25,58.47287
2020-10-26,70.99799
2020-10-27,68.31882
2020-10-28,67.31413
2020-10-29,64.93636
2020-10-30,60.68318
2020-10-31,56.69792
2020-11-01,61.95579
2020-11-02,65.10381
2020-11-03,68.88814
2020-11-04,57.23375
2020-11-05,69.62491
2020-11-06,65.17079
2020-11-07,61.95579
2020-11-08,65.4722
2020-11-09,75.08372
2020-11-10,70.99799
2020-11-11,72.17012
2020-11-12,79.77227
2020-11-13,76.05492
2020-11-14,68.28533
2020-11-15,78.46617
2020-11-16,88.11118
2020-11-17,87.54186
2020-11-18,89.85264
2020-11-19,100.0
2020-11-20,84.39383
2020-11-21,77.29403
2020-11-22,78.19825
2020-11-23,89.91962
2020-11-24,85.43201
2020-11-25,79.53784
2020-11-26,76.99263
2020-11-27,71.93569
2020-11-28,73.57669
2020-11-29,80.20763
2020-11-30,91.09176
2020-12-01,84.92967
2020-12-02,82.98727
2020-12-03,86.60415
2020-12-04,79.002
2020-12-05,81.21232
2020-12-06,82.11654
2020-12-07,83.92498
2020-12-08,81.68117
2020-12-09,75.35164
2020-12-10,88.31212
2020-12-11,91.09176
2020-12-12,79.37039
2020-12-13,84.29336
2020-12-14,89.91962
2020-12-15,75.21768
2020-12-16,79.13596
2020-12-17,83.15472
2020-12-18,84.1929
2020-12-19,74.01205
2020-12-20,77.56195
2020-12-21,85.69993
2020-12-22,77.36101
2020-12-23,75.61955
2020-12-24,71.46684
2020-12-25,68.3858
2020-12-26,77.22705
2020-12-27,88.27863
2020-12-28,92.76624
2020-12-29,78.16476
2020-12-30,76.4233
2020-12-31,70.39517
2021-01-01,79.70529
2021-01-02,86.1018
2021-01-03,89.21634
2021-01-04,92.36436
2021-01-05,89.45077
2021-01-06,80.27461
2021-01-07,76.79169
2021-01-08,70.66309
2021-01-09,75.1507
2021-01-10,82.11654
2021-01-11,86.47019
2021-01-12,82.15003
2021-01-13,84.02545
2021-01-14,85.56597
2021-01-15,80.07367
2021-01-16,81.5807
2021-01-17,84.09243
2021-01-18,88.44608
2021-01-19,87.74279
2021-01-20,82.2505
2021-01-21,89.41728
2021-01-22,85.1306
2021-01-23,85.96784
2021-01-24,87.24045
2021-01-25,95.11051
2021-01-26,94.57468
2021-01-27,90.85733
2021-01-28,85.53248
2021-01-29,86.16878
2021-01-30,85.03014
2021-01-31,87.00602
2021-02-01,93.5365
2021-02-02,89.75217
2021-02-03,81.98258
2021-02-04,77.52846
2021-02-05,76.02143
2021-02-06,80.54253
2021-02-07,85.36503
2021-02-08,79.30341
2021-02-09,77.46148
