date,아파트
2020-11-08,24.66131
2020-11-09,24.51744
2020-11-10,24.3376
2020-11-11,24.30164
2020-11-12,26.18391
2020-11-13,26.09998
2020-11-14,26.05203
2020-11-15,28.01822
2020-11-16,29.36098
2020-11-17,27.70651
2020-11-18,28.91739
2020-11-19,28.73756
2020-11-20,28.12612
2020-11-21,28.62966
2020-11-22,27.68253
2020-11-23,29.97242
2020-11-24,28.77352
2020-11-25,27.81441
2020-11-26,25.81225
2020-11-27,29.86452
2020-11-28,27.61059
2020-11-29,27.82639
2020-11-30,28.78551
2020-12-01,31.37513
2020-12-02,28.56971
2020-12-03,27.35882
2020-12-04,24.58937
2020-12-05,25.29672
2020-12-06,27.52667
2020-12-07,25.57247
2020-12-08,26.38772
2020-12-09,25.39263
2020-12-10,28.43783
2020-12-11,28.4738
2020-12-12,25.14087
2020-12-13,27.75446
2020-12-14,26.89126
2020-12-15,26.11197
2020-12-16,26.55556
2020-12-17,26.67545
2020-12-18,25.78827
2020-12-19,25.40462
2020-12-20,26.31578
2020-12-21,25.4286
2020-12-22,25.74031
2020-12-23,23.16269
2020-12-24,21.50821
2020-12-25,21.90384
2020-12-26,24.72125
2020-12-27,26.80733
2020-12-28,26.50761
2020-12-29,26.72341
2020-12-30,26.06402
2020-12-31,24.1218
2021-01-01,22.44335
2021-01-02,25.02098
2021-01-03,25.54849
2021-01-04,27.45474
2021-01-05,25.7523
2021-01-06,25.12888
2021-01-07,23.76213
2021-01-08,24.93705
2021-01-09,26.11197
2021-01-10,27.52667
2021-01-11,26.63949
2021-01-12,27.02313
2021-01-13,25.76429
2021-01-14,26.92722
2021-01-15,26.57954
2021-01-16,26.31578
2021-01-17,27.67054
2021-01-18,27.03512
2021-01-19,28.92938
2021-01-20,26.29181
2021-01-21,27.89833
2021-01-22,26.17192
2021-01-23,28.89341
2021-01-24,29.04927
2021-01-25,31.31519
2021-01-26,27.80242
2021-01-27,26.6275
2021-01-28,26.74739
2021-01-29,25.38064
2021-01-30,25.40462
2021-01-31,28.50977
2021-02-01,28.18606
2021-02-02,27.32286
2021-02-03,26.85529
2021-02-04,32.09447
2021-02-05,28.0422
2021-02-06,26.18391
2021-02-07,26.78335
2021-02-08,26.17192
2021-02-09,26.37573
2021-02-10,23.34252
2021-02-11,23.31854
2021-02-12,26.75938
2021-02-13,26.83131
2021-02-14,27.50269
2021-02-15,31.03944
2021-02-16,26.59153
2021-02-17,26.24385
2021-02-18,26.61551
2021-02-19,24.55341
2021-02-20,26.37573
2021-02-21,27.53866
2021-02-22,27.64656
2021-02-23,27.40678
2021-02-24,26.21987
2021-02-25,25.3207
2021-02-26,24.16976
2021-02-27,25.30871
2021-02-28,25.47656
2021-03-01,26.92722
2021-03-02,22.56324
2021-03-03,24.74523
2021-03-04,24.44551
2021-03-05,20.57307
2021-03-06,30.71574
2021-03-07,25.03296
2021-03-08,24.18175
2021-03-09,25.09291
2021-03-10,23.77412
2021-03-11,23.66622
2021-03-12,22.39539
2021-03-13,27.43076
2021-03-14,26.19589
2021-03-15,26.17192
2021-03-16,26.7354
2021-03-17,25.52451
2021-03-18,23.71418
2021-03-19,24.02589
2021-03-20,24.04987
2021-03-21,30.39203
2021-03-22,28.66562
2021-03-23,25.88418
2021-03-24,26.01606
2021-03-25,23.89401
2021-03-26,21.65208
2021-03-27,21.14854
2021-03-28,26.18391
2021-03-29,25.35667
2021-03-30,22.0597
2021-03-31,22.14362
2021-04-01,21.99976
2021-04-02,20.84881
2021-04-03,23.0428
2021-04-04,25.27274
2021-04-05,24.02589
2021-04-06,24.16976
2021-04-07,22.53926
2021-04-08,22.73108
2021-04-09,20.58506
2021-04-10,21.81992
2021-04-11,22.07169
2021-04-12,23.82208
2021-04-13,24.36158
2021-04-14,22.20357
2021-04-15,22.08368
2021-04-16,21.75998
2021-04-17,23.75014
2021-04-18,23.05478
2021-04-19,21.96379
2021-04-20,21.34036
2021-04-21,22.01174
2021-04-22,21.34036
2021-04-23,20.11749
2021-04-24,22.11964
2021-04-25,24.48147
2021-04-26,22.67114
2021-04-27,21.56815
2021-04-28,21.83191
2021-04-29,23.41445
2021-04-30,20.83683
2021-05-01,19.87771
2021-05-02,22.11964
2021-05-03,19.93765
2021-05-04,19.79378
2021-05-05,20.94473
2021-05-06,20.76489
2021-05-07,20.51312
2021-05-08,22.33545
2021-05-09,24.25368
2021-05-10,24.8891
2021-05-11,23.42644
2021-05-12,22.76705
2021-05-13,22.82699
2021-05-14,21.60412
2021-05-15,22.3834
2021-05-16,23.42644
2021-05-17,22.55125
2021-05-18,21.99976
2021-05-19,24.13379
2021-05-20,21.86788
2021-05-21,21.66406
2021-05-22,23.60628
2021-05-23,24.70926
2021-05-24,24.38556
2021-05-25,25.52451
2021-05-26,24.0139
2021-05-27,22.57523
2021-05-28,21.0766
2021-05-29,21.96379
2021-05-30,22.64716
2021-05-31,25.03296
2021-06-01,24.66131
2021-06-02,23.2586
2021-06-03,27.89833
2021-06-04,24.66131
2021-06-05,22.55125
2021-06-06,24.8891
2021-06-07,24.02589
2021-06-08,23.88202
2021-06-09,23.09075
2021-06-10,24.8891
2021-06-11,21.81992
2021-06-12,22.02373
2021-06-13,21.67605
2021-06-14,23.78611
2021-06-15,23.06677
2021-06-16,22.07169
2021-06-17,21.34036
2021-06-18,22.55125
2021-06-19,21.55616
2021-06-20,22.19158
2021-06-21,22.99484
2021-06-22,22.32346
2021-06-23,22.68313
2021-06-24,20.62102
2021-06-25,31.519
2021-06-26,25.57247
2021-06-27,23.24661
2021-06-28,21.83191
2021-06-29,21.26843
2021-06-30,20.47716
2021-07-01,21.48423
2021-07-02,20.11749
2021-07-03,21.40031
2021-07-04,23.94197
2021-07-05,24.91307
2021-07-06,22.53926
2021-07-07,21.9518
2021-07-08,22.73108
2021-07-09,21.78395
2021-07-10,22.76705
2021-07-11,23.61827
2021-07-12,22.81501
2021-07-13,22.10766
2021-07-14,22.67114
2021-07-15,23.24661
2021-07-16,21.78395
2021-07-17,24.38556
2021-07-18,24.13379
2021-07-19,23.59429
2021-07-20,22.3834
2021-07-21,21.54417
2021-07-22,23.48639
2021-07-23,21.80793
2021-07-24,21.736
2021-07-25,22.33545
2021-07-26,21.74799
2021-07-27,22.75506
2021-07-28,22.69512
2021-07-29,22.53926
2021-07-30,21.06462
2021-07-31,20.24937
2021-08-01,21.56815
2021-08-02,23.22263
2021-08-03,22.28749
2021-08-04,22.10766
2021-08-05,22.44335
2021-08-06,22.07169
2021-08-07,23.83407
2021-08-08,23.43843
2021-08-09,24.20573
2021-08-10,22.63517
2021-08-11,24.63733
2021-08-12,24.16976
2021-08-13,23.11473
2021-08-14,23.22263
2021-08-15,25.14087
2021-08-16,25.33269
2021-08-17,24.46948
2021-08-18,24.07385
2021-08-19,25.06893
2021-08-20,23.84606
2021-08-21,22.41937
2021-08-22,25.88418
2021-08-23,26.35175
2021-08-24,24.76921
2021-08-25,25.05694
2021-08-26,24.81716
2021-08-27,21.56815
2021-08-28,22.97086
2021-08-29,26.37573
2021-08-30,26.77137
2021-08-31,25.06893
2021-09-01,23.16269
2021-09-02,24.13379
2021-09-03,23.16269
2021-09-04,23.30655
2021-09-05,23.40246
2021-09-06,23.48639
2021-09-07,23.72617
2021-09-08,21.92782
2021-09-09,22.56324
2021-09-10,19.94964
2021-09-11,21.26843
2021-09-12,23.94197
2021-09-13,23.85805
2021-09-14,21.93981
2021-09-15,23.87003
2021-09-16,23.10274
2021-09-17,19.55401
2021-09-18,19.31423
2021-09-19,21.5202
2021-09-20,21.31638
2021-09-21,23.70219
2021-09-22,25.7523
2021-09-23,24.92506
2021-09-24,23.3665
2021-09-25,23.61827
2021-09-26,25.63241
2021-09-27,25.84821
2021-09-28,26.31578
2021-09-29,22.81501
2021-09-30,24.0139
2021-10-01,23.82208
2021-10-02,23.41445
2021-10-03,24.04987
2021-10-04,27.2749
2021-10-05,25.9681
2021-10-06,23.27059
2021-10-07,22.98285
2021-10-08,21.0766
2021-10-09,22.53926
2021-10-10,22.5992
2021-10-11,24.70926
