date,펀딩사이트
2020-03-20,17.41293
2020-03-21,15.42288
2020-03-22,15.92039
2020-03-23,17.91044
2020-03-24,29.35323
2020-03-25,19.90049
2020-03-26,21.89054
2020-03-27,13.93034
2020-03-28,16.41791
2020-03-29,16.41791
2020-03-30,21.89054
2020-03-31,19.40298
2020-04-01,17.91044
2020-04-02,17.91044
2020-04-03,24.3781
2020-04-04,10.44776
2020-04-05,10.94527
2020-04-06,20.398
2020-04-07,21.39303
2020-04-08,20.89552
2020-04-09,23.88059
2020-04-10,17.91044
2020-04-11,20.89552
2020-04-12,15.42288
2020-04-13,24.3781
2020-04-14,29.35323
2020-04-15,25.37313
2020-04-16,19.90049
2020-04-17,21.39303
2020-04-18,15.92039
2020-04-19,21.39303
2020-04-20,27.36318
2020-04-21,21.39303
2020-04-22,19.90049
2020-04-23,22.38805
2020-04-24,12.93532
2020-04-25,15.42288
2020-04-26,20.89552
2020-04-27,20.89552
2020-04-28,21.89054
2020-04-29,28.85572
2020-04-30,19.90049
2020-05-01,19.90049
2020-05-02,19.40298
2020-05-03,14.92537
2020-05-04,18.90547
2020-05-05,13.93034
2020-05-06,18.90547
2020-05-07,23.38308
2020-05-08,16.91542
2020-05-09,23.38308
2020-05-10,24.3781
2020-05-11,19.40298
2020-05-12,20.398
2020-05-13,17.91044
2020-05-14,26.86567
2020-05-15,19.90049
2020-05-16,15.92039
2020-05-17,15.92039
2020-05-18,19.40298
2020-05-19,33.83084
2020-05-20,28.3582
2020-05-21,19.90049
2020-05-22,22.38805
2020-05-23,17.41293
2020-05-24,19.90049
2020-05-25,17.91044
2020-05-26,25.87064
2020-05-27,17.41293
2020-05-28,14.42786
2020-05-29,20.89552
2020-05-30,10.94527
2020-05-31,14.42786
2020-06-01,21.39303
2020-06-02,17.91044
2020-06-03,23.88059
2020-06-04,21.89054
2020-06-05,11.94029
2020-06-06,16.91542
2020-06-07,11.44278
2020-06-08,19.90049
2020-06-09,19.40298
2020-06-10,18.40796
2020-06-11,14.92537
2020-06-12,16.41791
2020-06-13,10.94527
2020-06-14,14.92537
2020-06-15,21.39303
2020-06-16,20.398
2020-06-17,21.39303
2020-06-18,23.88059
2020-06-19,23.38308
2020-06-20,12.43781
2020-06-21,11.44278
2020-06-22,16.91542
2020-06-23,19.40298
2020-06-24,21.89054
2020-06-25,16.91542
2020-06-26,16.41791
2020-06-27,15.92039
2020-06-28,10.44776
2020-06-29,23.88059
2020-06-30,15.92039
2020-07-01,19.40298
2020-07-02,18.40796
2020-07-03,15.92039
2020-07-04,7.96019
2020-07-05,12.93532
2020-07-06,18.90547
2020-07-07,22.88557
2020-07-08,20.89552
2020-07-09,18.90547
2020-07-10,22.88557
2020-07-11,12.93532
2020-07-12,10.94527
2020-07-13,11.94029
2020-07-14,24.87562
2020-07-15,14.92537
2020-07-16,12.43781
2020-07-17,14.42786
2020-07-18,11.94029
2020-07-19,8.95522
2020-07-20,15.92039
2020-07-21,16.91542
2020-07-22,13.93034
2020-07-23,14.92537
2020-07-24,11.94029
2020-07-25,10.44776
2020-07-26,7.46268
2020-07-27,18.40796
2020-07-28,14.92537
2020-07-29,22.38805
2020-07-30,23.38308
2020-07-31,12.93532
2020-08-01,9.45273
2020-08-02,11.44278
2020-08-03,13.43283
2020-08-04,18.90547
2020-08-05,17.41293
2020-08-06,11.94029
2020-08-07,10.44776
2020-08-08,9.45273
2020-08-09,7.96019
2020-08-10,14.42786
2020-08-11,14.92537
2020-08-12,21.89054
2020-08-13,10.44776
2020-08-14,18.90547
2020-08-15,5.47263
2020-08-16,9.45273
2020-08-17,11.44278
2020-08-18,11.44278
2020-08-19,7.46268
2020-08-20,12.93532
2020-08-21,12.93532
2020-08-22,11.94029
2020-08-23,6.96517
2020-08-24,9.45273
2020-08-25,8.45771
2020-08-26,15.92039
2020-08-27,21.89054
2020-08-28,10.94527
2020-08-29,9.45273
2020-08-30,9.95024
2020-08-31,19.90049
2020-09-01,14.92537
2020-09-02,13.93034
2020-09-03,17.91044
2020-09-04,12.93532
2020-09-05,10.94527
2020-09-06,9.45273
2020-09-07,13.93034
2020-09-08,16.41791
2020-09-09,21.89054
2020-09-10,13.43283
2020-09-11,14.42786
2020-09-12,7.96019
2020-09-13,10.94527
2020-09-14,18.40796
2020-09-15,25.37313
2020-09-16,14.42786
2020-09-17,16.41791
2020-09-18,18.90547
2020-09-19,11.94029
2020-09-20,8.95522
2020-09-21,16.41791
2020-09-22,18.90547
2020-09-23,17.41293
2020-09-24,12.43781
2020-09-25,16.91542
2020-09-26,12.43781
2020-09-27,7.46268
2020-09-28,19.40298
2020-09-29,10.44776
2020-09-30,7.46268
2020-10-01,9.45273
2020-10-02,10.94527
2020-10-03,7.96019
2020-10-04,12.43781
2020-10-05,15.92039
2020-10-06,19.40298
2020-10-07,23.38308
2020-10-08,18.40796
2020-10-09,14.92537
2020-10-10,9.95024
2020-10-11,12.93532
2020-10-12,11.44278
2020-10-13,14.42786
2020-10-14,11.44278
2020-10-15,16.41791
2020-10-16,11.94029
2020-10-17,8.95522
2020-10-18,12.43781
2020-10-19,10.44776
2020-10-20,14.92537
2020-10-21,19.40298
2020-10-22,14.42786
2020-10-23,11.94029
2020-10-24,9.45273
2020-10-25,5.97014
2020-10-26,9.95024
2020-10-27,17.41293
2020-10-28,26.36815
2020-10-29,14.92537
2020-10-30,14.42786
2020-10-31,10.44776
2020-11-01,9.45273
2020-11-02,12.93532
2020-11-03,10.44776
2020-11-04,21.39303
2020-11-05,22.38805
2020-11-06,21.39303
2020-11-07,2.98507
2020-11-08,6.96517
2020-11-09,14.92537
2020-11-10,18.40796
2020-11-11,11.44278
2020-11-12,12.43781
2020-11-13,15.92039
2020-11-14,14.42786
2020-11-15,11.94029
2020-11-16,21.89054
2020-11-17,15.42288
2020-11-18,15.42288
2020-11-19,13.93034
2020-11-20,11.44278
2020-11-21,11.94029
2020-11-22,8.95522
2020-11-23,11.94029
2020-11-24,15.42288
2020-11-25,23.88059
2020-11-26,20.398
2020-11-27,19.90049
2020-11-28,8.95522
2020-11-29,9.45273
2020-11-30,11.44278
2020-12-01,15.42288
2020-12-02,17.91044
2020-12-03,15.42288
2020-12-04,18.40796
2020-12-05,15.42288
2020-12-06,13.93034
2020-12-07,14.42786
2020-12-08,21.39303
2020-12-09,14.92537
2020-12-10,17.41293
2020-12-11,8.95522
2020-12-12,9.45273
2020-12-13,9.95024
2020-12-14,12.43781
2020-12-15,13.93034
2020-12-16,9.45273
2020-12-17,15.92039
2020-12-18,5.97014
2020-12-19,9.95024
2020-12-20,9.45273
2020-12-21,15.42288
2020-12-22,14.92537
2020-12-23,15.42288
2020-12-24,9.45273
2020-12-25,4.97512
2020-12-26,10.44776
2020-12-27,11.44278
2020-12-28,11.94029
2020-12-29,14.92537
2020-12-30,11.44278
2020-12-31,9.45273
2021-01-01,6.46766
2021-01-02,6.96517
2021-01-03,7.96019
2021-01-04,17.41293
2021-01-05,13.93034
2021-01-06,12.93532
2021-01-07,23.38308
2021-01-08,18.90547
2021-01-09,9.95024
2021-01-10,10.94527
2021-01-11,24.87562
2021-01-12,18.40796
2021-01-13,14.42786
2021-01-14,17.41293
2021-01-15,17.41293
2021-01-16,7.46268
2021-01-17,10.94527
2021-01-18,15.42288
2021-01-19,13.93034
2021-01-20,15.92039
2021-01-21,16.91542
2021-01-22,17.91044
2021-01-23,4.97512
2021-01-24,3.48258
2021-01-25,9.45273
2021-01-26,17.41293
2021-01-27,14.92537
2021-01-28,14.42786
2021-01-29,16.41791
2021-01-30,8.95522
2021-01-31,12.43781
2021-02-01,6.96517
2021-02-02,10.44776
2021-02-03,13.43283
2021-02-04,12.43781
2021-02-05,9.45273
2021-02-06,7.46268
2021-02-07,9.95024
2021-02-08,10.94527
2021-02-09,11.44278
2021-02-10,12.93532
2021-02-11,5.47263
2021-02-12,8.95522
2021-02-13,2.48756
2021-02-14,10.44776
2021-02-15,12.43781
2021-02-16,12.43781
2021-02-17,18.40796
2021-02-18,19.40298
2021-02-19,13.93034
2021-02-20,8.45771
2021-02-21,2.48756
2021-02-22,20.398
2021-02-23,15.42288
2021-02-24,13.93034
2021-02-25,11.44278
2021-02-26,7.46268
2021-02-27,3.98009
2021-02-28,7.96019
2021-03-01,6.46766
2021-03-02,9.95024
2021-03-03,12.43781
2021-03-04,12.43781
2021-03-05,12.93532
2021-03-06,4.47761
2021-03-07,11.94029
2021-03-08,12.43781
2021-03-09,13.43283
2021-03-10,12.93532
2021-03-11,12.43781
2021-03-12,9.95024
2021-03-13,12.43781
2021-03-14,9.95024
2021-03-15,10.94527
2021-03-16,17.91044
2021-03-17,15.42288
2021-03-18,16.41791
2021-03-19,13.43283
