date,노조법
2020-03-20,5.19618
2020-03-21,0.9544
2020-03-22,2.33297
2020-03-23,5.30222
2020-03-24,5.09013
2020-03-25,6.36267
2020-03-26,4.98409
2020-03-27,5.09013
2020-03-28,1.9088
2020-03-29,2.54506
2020-03-30,5.83244
2020-03-31,6.15058
2020-04-01,3.92364
2020-04-02,5.40827
2020-04-03,4.772
2020-04-04,2.54506
2020-04-05,1.48462
2020-04-06,4.45387
2020-04-07,6.15058
2020-04-08,5.19618
2020-04-09,4.34782
2020-04-10,4.87804
2020-04-11,2.01484
2020-04-12,1.59066
2020-04-13,5.93849
2020-04-14,4.13573
2020-04-15,2.22693
2020-04-16,5.62036
2020-04-17,4.02969
2020-04-18,1.9088
2020-04-19,2.12089
2020-04-20,6.57476
2020-04-21,5.93849
2020-04-22,5.62036
2020-04-23,6.78685
2020-04-24,4.772
2020-04-25,3.49946
2020-04-26,4.13573
2020-04-27,7.74125
2020-04-28,6.25662
2020-04-29,6.6808
2020-04-30,1.9088
2020-05-01,3.49946
2020-05-02,1.9088
2020-05-03,2.22693
2020-05-04,5.19618
2020-05-05,2.12089
2020-05-06,8.16542
2020-05-07,7.52916
2020-05-08,5.51431
2020-05-09,2.33297
2020-05-10,2.01484
2020-05-11,4.87804
2020-05-12,6.78685
2020-05-13,7.42311
2020-05-14,6.78685
2020-05-15,5.30222
2020-05-16,2.96924
2020-05-17,3.18133
2020-05-18,6.99893
2020-05-19,6.25662
2020-05-20,10.07423
2020-05-21,10.60445
2020-05-22,7.21102
2020-05-23,2.8632
2020-05-24,1.9088
2020-05-25,6.36267
2020-05-26,6.36267
2020-05-27,7.31707
2020-05-28,7.52916
2020-05-29,6.89289
2020-05-30,2.33297
2020-05-31,4.34782
2020-06-01,7.95334
2020-06-02,6.04453
2020-06-03,7.84729
2020-06-04,4.98409
2020-06-05,5.51431
2020-06-06,1.48462
2020-06-07,0.84835
2020-06-08,6.25662
2020-06-09,6.25662
2020-06-10,8.5896
2020-06-11,12.19512
2020-06-12,6.78685
2020-06-13,2.12089
2020-06-14,2.96924
2020-06-15,7.21102
2020-06-16,6.57476
2020-06-17,6.99893
2020-06-18,8.27147
2020-06-19,5.40827
2020-06-20,1.37857
2020-06-21,3.92364
2020-06-22,7.52916
2020-06-23,12.93743
2020-06-24,20.99681
2020-06-25,9.65005
2020-06-26,8.27147
2020-06-27,3.71155
2020-06-28,3.28738
2020-06-29,7.84729
2020-06-30,9.11983
2020-07-01,7.42311
2020-07-02,6.04453
2020-07-03,7.74125
2020-07-04,0.63626
2020-07-05,3.18133
2020-07-06,7.21102
2020-07-07,8.05938
2020-07-08,6.78685
2020-07-09,7.52916
2020-07-10,5.09013
2020-07-11,3.07529
2020-07-12,2.65111
2020-07-13,6.36267
2020-07-14,6.25662
2020-07-15,8.05938
2020-07-16,8.05938
2020-07-17,5.93849
2020-07-18,1.16648
2020-07-19,2.54506
2020-07-20,8.05938
2020-07-21,6.04453
2020-07-22,8.69565
2020-07-23,6.99893
2020-07-24,6.15058
2020-07-25,1.59066
2020-07-26,2.12089
2020-07-27,6.36267
2020-07-28,6.25662
2020-07-29,5.40827
2020-07-30,4.98409
2020-07-31,4.66595
2020-08-01,2.43902
2020-08-02,2.22693
2020-08-03,5.30222
2020-08-04,6.46871
2020-08-05,5.93849
2020-08-06,5.7264
2020-08-07,3.8176
2020-08-08,1.48462
2020-08-09,0.74231
2020-08-10,5.83244
2020-08-11,6.04453
2020-08-12,6.57476
2020-08-13,5.83244
2020-08-14,4.24178
2020-08-15,1.80275
2020-08-16,1.48462
2020-08-17,1.27253
2020-08-18,4.45387
2020-08-19,6.36267
2020-08-20,5.51431
2020-08-21,4.45387
2020-08-22,0.9544
2020-08-23,1.48462
2020-08-24,3.60551
2020-08-25,4.87804
2020-08-26,6.57476
2020-08-27,6.99893
2020-08-28,5.19618
2020-08-29,2.43902
2020-08-30,2.54506
2020-08-31,4.13573
2020-09-01,5.83244
2020-09-02,6.89289
2020-09-03,11.13467
2020-09-04,7.52916
2020-09-05,2.65111
2020-09-06,3.07529
2020-09-07,6.99893
2020-09-08,8.16542
2020-09-09,6.6808
2020-09-10,6.6808
2020-09-11,6.46871
2020-09-12,3.07529
2020-09-13,2.01484
2020-09-14,46.97773
2020-09-15,10.07423
2020-09-16,7.84729
2020-09-17,7.74125
2020-09-18,4.87804
2020-09-19,3.28738
2020-09-20,3.28738
2020-09-21,6.46871
2020-09-22,7.6352
2020-09-23,7.6352
2020-09-24,7.21102
2020-09-25,4.87804
2020-09-26,1.9088
2020-09-27,1.9088
2020-09-28,5.51431
2020-09-29,4.98409
2020-09-30,1.27253
2020-10-01,0.53022
2020-10-02,1.37857
2020-10-03,2.54506
2020-10-04,2.96924
2020-10-05,7.74125
2020-10-06,7.74125
2020-10-07,8.27147
2020-10-08,6.6808
2020-10-09,2.75715
2020-10-10,2.33297
2020-10-11,2.43902
2020-10-12,6.04453
2020-10-13,8.16542
2020-10-14,5.7264
2020-10-15,6.36267
2020-10-16,6.15058
2020-10-17,2.8632
2020-10-18,3.8176
2020-10-19,7.74125
2020-10-20,10.4984
2020-10-21,11.34676
2020-10-22,10.18027
2020-10-23,6.15058
2020-10-24,3.71155
2020-10-25,3.18133
2020-10-26,6.57476
2020-10-27,6.46871
2020-10-28,6.46871
2020-10-29,6.57476
2020-10-30,4.87804
2020-10-31,4.34782
2020-11-01,2.54506
2020-11-02,6.46871
2020-11-03,5.40827
2020-11-04,6.99893
2020-11-05,7.52916
2020-11-06,5.30222
2020-11-07,3.28738
2020-11-08,2.8632
2020-11-09,9.86214
2020-11-10,7.6352
2020-11-11,8.90774
2020-11-12,6.46871
2020-11-13,7.6352
2020-11-14,2.65111
2020-11-15,3.49946
2020-11-16,7.42311
2020-11-17,8.69565
2020-11-18,9.11983
2020-11-19,9.01378
2020-11-20,9.75609
2020-11-21,3.60551
2020-11-22,2.96924
2020-11-23,9.22587
2020-11-24,11.13467
2020-11-25,10.07423
2020-11-26,9.01378
2020-11-27,7.52916
2020-11-28,2.33297
2020-11-29,2.8632
2020-11-30,9.65005
2020-12-01,8.48356
2020-12-02,8.16542
