date,오늘코스피지수
2020-03-20,91.23539
2020-03-21,9.59933
2020-03-22,5.05008
2020-03-23,88.93989
2020-03-24,86.72787
2020-03-25,79.04841
2020-03-26,83.09682
2020-03-27,80.92654
2020-03-28,8.72287
2020-03-29,4.42404
2020-03-30,77.5459
2020-03-31,64.94156
2020-04-01,77.21202
2020-04-02,81.30217
2020-04-03,66.44407
2020-04-04,8.51419
2020-04-05,3.4641
2020-04-06,63.93989
2020-04-07,63.73121
2020-04-08,67.48747
2020-04-09,59.34891
2020-04-10,62.93823
2020-04-11,5.71786
2020-04-12,3.005
2020-04-13,60.30884
2020-04-14,52.83806
2020-04-15,9.51585
2020-04-16,59.59933
2020-04-17,58.55592
2020-04-18,7.47078
2020-04-19,3.38063
2020-04-20,58.59766
2020-04-21,60.80968
2020-04-22,59.55759
2020-04-23,50.75125
2020-04-24,48.83138
2020-04-25,5.13355
2020-04-26,3.63105
2020-04-27,42.65442
2020-04-28,44.99165
2020-04-29,41.31886
2020-04-30,5.96828
2020-05-01,9.93322
2020-05-02,2.92153
2020-05-03,1.62771
2020-05-04,42.36227
2020-05-05,5.84307
2020-05-06,40.23372
2020-05-07,33.88981
2020-05-08,30.84307
2020-05-09,4.21535
2020-05-10,2.21202
2020-05-11,36.68614
2020-05-12,35.85141
2020-05-13,32.47078
2020-05-14,33.84808
2020-05-15,32.88814
2020-05-16,3.88146
2020-05-17,1.62771
2020-05-18,30.8848
2020-05-19,34.18196
2020-05-20,35.05843
2020-05-21,36.10183
2020-05-22,37.02003
2020-05-23,3.13021
2020-05-24,1.46076
2020-05-25,33.43071
2020-05-26,36.97829
2020-05-27,37.81302
2020-05-28,37.39565
2020-05-29,35.76794
2020-05-30,3.71452
2020-05-31,1.75292
2020-06-01,32.7212
2020-06-02,34.72454
2020-06-03,46.53589
2020-06-04,48.03839
2020-06-05,42.02838
2020-06-06,4.71619
2020-06-07,2.83806
2020-06-08,45.45075
2020-06-09,45.11686
2020-06-10,43.53088
2020-06-11,43.07178
2020-06-12,51.16861
2020-06-13,3.83973
2020-06-14,1.66944
2020-06-15,51.87813
2020-06-16,56.17696
2020-06-17,52.67111
2020-06-18,42.404
2020-06-19,36.43572
2020-06-20,4.29883
2020-06-21,2.04507
2020-06-22,38.0217
2020-06-23,36.68614
2020-06-24,38.39732
2020-06-25,40.48414
2020-06-26,34.55759
2020-06-27,3.83973
2020-06-28,1.25208
2020-06-29,37.22871
2020-06-30,34.47412
2020-07-01,34.64106
2020-07-02,32.2621
2020-07-03,31.17696
2020-07-04,3.29716
2020-07-05,2.04507
2020-07-06,36.97829
2020-07-07,40.94323
2020-07-08,38.23038
2020-07-09,34.72454
2020-07-10,29.71619
2020-07-11,2.37896
2020-07-12,1.16861
2020-07-13,28.25542
2020-07-14,32.97161
2020-07-15,32.34557
2020-07-16,36.6444
2020-07-17,32.47078
2020-07-18,3.4641
2020-07-19,2.12854
2020-07-20,33.47245
2020-07-21,32.80467
2020-07-22,36.60267
2020-07-23,35.43405
2020-07-24,31.803
2020-07-25,2.58764
2020-07-26,1.41903
2020-07-27,29.67445
2020-07-28,32.09515
2020-07-29,33.43071
2020-07-30,31.803
2020-07-31,30.3005
2020-08-01,3.50584
2020-08-02,1.46076
2020-08-03,27.83806
2020-08-04,30.96828
2020-08-05,33.97328
2020-08-06,35.89315
2020-08-07,41.27712
2020-08-08,3.42237
2020-08-09,1.58597
2020-08-10,40.48414
2020-08-11,43.11352
2020-08-12,52.92153
2020-08-13,46.32721
2020-08-14,48.24707
2020-08-15,3.96494
2020-08-16,1.75292
2020-08-17,12.22871
2020-08-18,54.63272
2020-08-19,43.57262
2020-08-20,58.55592
2020-08-21,51.71118
2020-08-22,3.42237
2020-08-23,2.87979
2020-08-24,45.57595
2020-08-25,37.02003
2020-08-26,45.49248
2020-08-27,44.40734
2020-08-28,43.11352
2020-08-29,3.54757
2020-08-30,2.12854
2020-08-31,40.85976
2020-09-01,38.14691
2020-09-02,41.4858
2020-09-03,37.60434
2020-09-04,44.8247
2020-09-05,3.96494
2020-09-06,1.91986
2020-09-07,38.0217
2020-09-08,36.56093
2020-09-09,41.65275
2020-09-10,36.14357
2020-09-11,35.10016
2020-09-12,3.38063
2020-09-13,1.75292
2020-09-14,37.85475
2020-09-15,41.90317
2020-09-16,42.8631
2020-09-17,41.02671
2020-09-18,39.23205
2020-09-19,3.005
2020-09-20,2.33722
2020-09-21,36.72787
2020-09-22,46.6611
2020-09-23,48.6227
2020-09-24,53.13021
2020-09-25,43.03005
2020-09-26,4.13188
2020-09-27,1.9616
2020-09-28,36.93656
2020-09-29,28.38063
2020-09-30,3.42237
2020-10-01,1.75292
2020-10-02,2.4207
2020-10-03,1.21035
2020-10-04,1.75292
2020-10-05,30.92654
2020-10-06,30.67612
2020-10-07,31.26043
2020-10-08,33.84808
2020-10-09,4.00667
2020-10-10,1.71118
2020-10-11,1.41903
2020-10-12,32.42904
2020-10-13,35.64273
2020-10-14,36.89482
2020-10-15,37.64607
2020-10-16,34.80801
2020-10-17,2.96327
2020-10-18,1.87813
2020-10-19,34.14023
