date,바트환율
2020-03-20,31.02349
2020-03-21,12.26602
2020-03-22,10.14204
2020-03-23,23.85503
2020-03-24,23.00544
2020-03-25,31.47484
2020-03-26,26.93482
2020-03-27,24.51878
2020-03-28,12.98287
2020-03-29,11.07128
2020-03-30,23.28421
2020-03-31,22.14257
2020-04-01,24.59843
2020-04-02,20.07168
2020-04-03,19.00969
2020-04-04,8.98712
2020-04-05,8.45612
2020-04-06,18.14682
2020-04-07,20.9611
2020-04-08,18.18664
2020-04-09,16.85915
2020-04-10,18.87694
2020-04-11,10.19514
2020-04-12,9.30572
2020-04-13,18.30611
2020-04-14,17.86804
2020-04-15,11.27041
2020-04-16,17.92114
2020-04-17,17.33705
2020-04-18,9.55794
2020-04-19,8.3101
2020-04-20,16.36798
2020-04-21,18.59816
2020-04-22,16.12903
2020-04-23,15.54493
2020-04-24,14.98738
2020-04-25,8.16407
2020-04-26,7.00915
2020-04-27,16.18213
2020-04-28,16.16885
2020-04-29,14.93428
2020-04-30,10.30134
2020-05-01,9.00039
2020-05-02,7.95167
2020-05-03,7.0888
2020-05-04,14.45639
2020-05-05,9.78361
2020-05-06,14.37674
2020-05-07,13.54042
2020-05-08,12.2793
2020-05-09,7.5136
2020-05-10,5.81441
2020-05-11,12.94305
2020-05-12,12.30585
2020-05-13,11.98725
2020-05-14,11.17748
2020-05-15,12.2793
2020-05-16,7.87202
2020-05-17,7.16845
2020-05-18,13.23509
2020-05-19,14.54931
2020-05-20,12.90322
2020-05-21,12.78375
2020-05-22,12.42532
2020-05-23,8.03132
2020-05-24,7.39413
2020-05-25,13.85902
2020-05-26,14.21744
2020-05-27,12.4386
2020-05-28,11.88105
2020-05-29,11.46953
2020-05-30,7.65963
2020-05-31,7.12863
2020-06-01,14.61569
2020-06-02,12.62445
2020-06-03,12.00053
2020-06-04,12.10673
2020-06-05,12.61117
2020-06-06,6.87641
2020-06-07,7.04898
2020-06-08,14.27054
2020-06-09,16.32815
2020-06-10,13.32802
2020-06-11,12.3855
2020-06-12,10.81906
2020-06-13,6.57108
2020-06-14,6.04009
2020-06-15,14.01831
2020-06-16,12.09345
2020-06-17,11.72175
2020-06-18,10.11549
2020-06-19,10.36771
2020-06-20,6.05336
2020-06-21,5.88079
2020-06-22,11.07128
2020-06-23,12.29257
2020-06-24,11.09783
2020-06-25,11.3766
2020-06-26,11.04473
2020-06-27,6.79676
2020-06-28,7.20828
2020-06-29,11.35005
2020-06-30,11.28368
2020-07-01,10.67303
2020-07-02,11.49608
2020-07-03,10.88543
2020-07-04,6.42506
2020-07-05,6.22593
2020-07-06,10.02256
2020-07-07,11.33678
2020-07-08,12.37222
2020-07-09,10.85888
2020-07-10,9.78361
2020-07-11,7.02243
2020-07-12,6.05336
2020-07-13,10.89871
2020-07-14,9.92964
2020-07-15,11.77485
2020-07-16,11.6421
2020-07-17,12.05363
2020-07-18,7.26138
2020-07-19,6.99588
2020-07-20,14.11124
2020-07-21,16.26178
2020-07-22,15.09358
2020-07-23,13.77937
2020-07-24,11.589
2020-07-25,7.32775
2020-07-26,6.79676
2020-07-27,12.73065
2020-07-28,11.68193
2020-07-29,13.39439
2020-07-30,12.1731
2020-07-31,11.8545
2020-08-01,6.69056
2020-08-02,6.50471
2020-08-03,10.88543
2020-08-04,10.80578
2020-08-05,11.19076
2020-08-06,12.21292
2020-08-07,9.54467
2020-08-08,6.71711
2020-08-09,5.17722
2020-08-10,10.58011
2020-08-11,10.76596
2020-08-12,9.55794
2020-08-13,9.77034
2020-08-14,8.257
2020-08-15,5.72149
2020-08-16,5.07102
2020-08-17,7.8853
2020-08-18,10.44736
2020-08-19,11.84123
2020-08-20,12.2793
2020-08-21,10.69958
2020-08-22,6.30558
2020-08-23,6.35868
2020-08-24,10.31461
2020-08-25,11.62883
2020-08-26,10.63321
2020-08-27,10.35444
2020-08-28,10.19514
2020-08-29,6.05336
2020-08-30,6.38523
2020-08-31,10.79251
2020-09-01,11.23058
2020-09-02,10.42081
2020-09-03,9.69069
2020-09-04,8.80127
2020-09-05,6.9826
2020-09-06,6.25248
2020-09-07,11.16421
2020-09-08,10.67303
2020-09-09,11.08456
2020-09-10,10.88543
2020-09-11,9.65086
2020-09-12,7.6729
2020-09-13,6.45161
2020-09-14,10.08894
2020-09-15,10.61993
2020-09-16,11.35005
2020-09-17,10.93853
