date,한미약품주가
2020-03-20,18.74935
2020-03-21,2.48383
2020-03-22,1.83721
2020-03-23,17.87693
2020-03-24,18.10017
2020-03-25,17.56389
2020-03-26,17.41763
2020-03-27,17.8718
2020-03-28,2.23493
2020-03-29,1.7474
2020-03-30,15.55988
2020-03-31,16.24499
2020-04-01,16.79154
2020-04-02,15.15703
2020-04-03,14.19224
2020-04-04,1.60884
2020-04-05,1.19573
2020-04-06,14.40264
2020-04-07,15.20578
2020-04-08,13.8407
2020-04-09,13.8484
2020-04-10,12.80919
2020-04-11,1.77819
2020-04-12,1.17776
2020-04-13,12.36528
2020-04-14,11.49543
2020-04-15,1.46515
2020-04-16,10.22528
2020-04-17,11.53392
2020-04-18,1.45232
2020-04-19,1.0469
2020-04-20,11.81104
2020-04-21,12.49615
2020-04-22,11.09771
2020-04-23,10.77953
2020-04-24,9.53505
2020-04-25,0.93656
2020-04-26,0.6928
2020-04-27,9.33747
2020-04-28,9.90198
2020-04-29,9.79164
2020-04-30,1.17263
2020-05-01,1.42409
2020-05-02,0.66457
2020-05-03,0.61069
2020-05-04,8.0314
2020-05-05,1.08282
2020-05-06,8.42656
2020-05-07,7.5798
2020-05-08,11.46977
2020-05-09,1.6268
2020-05-10,1.13414
2020-05-11,10.4203
2020-05-12,10.96428
2020-05-13,11.83926
2020-05-14,22.64189
2020-05-15,21.49748
2020-05-16,2.79431
2020-05-17,2.67114
2020-05-18,15.76259
2020-05-19,14.7901
2020-05-20,12.46535
2020-05-21,12.11125
2020-05-22,10.52807
2020-05-23,1.29836
2020-05-24,1.09052
2020-05-25,10.37411
2020-05-26,11.52878
2020-05-27,11.12593
2020-05-28,11.27219
2020-05-29,10.45622
2020-05-30,1.27784
2020-05-31,0.97505
2020-06-01,11.77768
2020-06-02,11.28502
2020-06-03,13.66878
2020-06-04,13.00677
2020-06-05,16.39895
2020-06-06,2.68397
2020-06-07,1.95268
2020-06-08,17.08149
2020-06-09,15.41876
2020-06-10,14.5566
2020-06-11,15.55219
2020-06-12,13.65082
2020-06-13,1.49081
2020-06-14,1.22908
2020-06-15,17.13024
2020-06-16,16.64015
2020-06-17,15.29046
2020-06-18,13.77912
2020-06-19,12.44739
2020-06-20,1.29836
2020-06-21,0.88781
2020-06-22,11.93934
2020-06-23,12.14718
2020-06-24,12.899
2020-06-25,11.79564
2020-06-26,11.2337
2020-06-27,1.48824
2020-06-28,0.98532
2020-06-29,10.80262
2020-06-30,10.90269
2020-07-01,10.84111
2020-07-02,10.99507
2020-07-03,10.61531
2020-07-04,1.02894
2020-07-05,0.98275
2020-07-06,10.8873
2020-07-07,10.28687
2020-07-08,9.85322
2020-07-09,10.73078
2020-07-10,9.51708
2020-07-11,1.20599
2020-07-12,0.91604
2020-07-13,10.17397
2020-07-14,10.47675
2020-07-15,9.90711
2020-07-16,16.74792
2020-07-17,13.45581
2020-07-18,1.42153
2020-07-19,1.09565
2020-07-20,12.46279
2020-07-21,13.11967
2020-07-22,12.34476
2020-07-23,14.80293
2020-07-24,14.62588
2020-07-25,1.52673
