date,자택알바
2020-03-20,59.34579
2020-03-21,59.81308
2020-03-22,59.81308
2020-03-23,92.05607
2020-03-24,76.16822
2020-03-25,88.31775
2020-03-26,74.29906
2020-03-27,62.14953
2020-03-28,48.59813
2020-03-29,48.13084
2020-03-30,89.25233
2020-03-31,82.71028
2020-04-01,74.76635
2020-04-02,76.16822
2020-04-03,70.09345
2020-04-04,53.73831
2020-04-05,65.88785
2020-04-06,96.26168
2020-04-07,72.89719
2020-04-08,88.78504
2020-04-09,69.15887
2020-04-10,49.53271
2020-04-11,37.85046
2020-04-12,50.46728
2020-04-13,74.29906
2020-04-14,55.60747
2020-04-15,50.0
2020-04-16,65.42056
2020-04-17,58.8785
2020-04-18,50.0
2020-04-19,68.22429
2020-04-20,92.52336
2020-04-21,81.30841
2020-04-22,78.03738
2020-04-23,79.43925
2020-04-24,78.50467
2020-04-25,53.73831
2020-04-26,51.40186
2020-04-27,77.57009
2020-04-28,81.7757
2020-04-29,71.96261
2020-04-30,46.26168
2020-05-01,50.93457
2020-05-02,43.45794
2020-05-03,46.26168
2020-05-04,59.81308
2020-05-05,44.39252
2020-05-06,74.76635
2020-05-07,63.5514
2020-05-08,56.07476
2020-05-09,45.79439
2020-05-10,47.66355
2020-05-11,81.30841
2020-05-12,68.69158
2020-05-13,55.14018
2020-05-14,60.74766
2020-05-15,59.81308
2020-05-16,47.19626
2020-05-17,34.57943
2020-05-18,70.56074
2020-05-19,44.85981
2020-05-20,50.93457
2020-05-21,47.19626
2020-05-22,46.26168
2020-05-23,27.57009
2020-05-24,36.91588
2020-05-25,47.19626
2020-05-26,50.93457
2020-05-27,47.66355
2020-05-28,45.3271
2020-05-29,27.1028
2020-05-30,18.69158
2020-05-31,24.76635
2020-06-01,42.05607
2020-06-02,44.85981
2020-06-03,47.19626
2020-06-04,49.53271
2020-06-05,23.36448
2020-06-06,27.1028
2020-06-07,25.23364
2020-06-08,46.26168
2020-06-09,42.05607
2020-06-10,42.99065
2020-06-11,38.78504
2020-06-12,39.71962
2020-06-13,32.24299
2020-06-14,42.99065
2020-06-15,63.08411
2020-06-16,57.47663
2020-06-17,56.07476
2020-06-18,59.81308
2020-06-19,50.46728
2020-06-20,23.36448
2020-06-21,39.71962
2020-06-22,65.42056
2020-06-23,57.47663
2020-06-24,47.19626
2020-06-25,57.47663
2020-06-26,53.73831
2020-06-27,33.17757
2020-06-28,42.99065
2020-06-29,69.15887
2020-06-30,77.1028
2020-07-01,68.69158
2020-07-02,71.96261
2020-07-03,67.757
2020-07-04,40.18691
