date,재택근무직업
2020-11-08,32.72727
2020-11-09,57.27272
2020-11-10,46.36363
2020-11-11,48.18181
2020-11-12,56.36363
2020-11-13,34.84848
2020-11-14,28.48484
2020-11-15,34.84848
2020-11-16,63.93939
2020-11-17,48.18181
2020-11-18,53.33333
2020-11-19,43.63636
2020-11-20,40.90909
2020-11-21,24.24242
2020-11-22,36.0606
2020-11-23,52.72727
2020-11-24,51.21212
2020-11-25,47.87878
2020-11-26,47.27272
2020-11-27,40.60606
2020-11-28,28.48484
2020-11-29,37.27272
2020-11-30,48.48484
2020-12-01,49.69696
2020-12-02,44.84848
2020-12-03,43.0303
2020-12-04,45.15151
2020-12-05,27.87878
2020-12-06,38.48484
2020-12-07,56.0606
2020-12-08,53.93939
2020-12-09,42.12121
2020-12-10,43.33333
2020-12-11,36.36363
2020-12-12,41.51515
2020-12-13,64.24242
2020-12-14,80.60606
2020-12-15,68.48484
2020-12-16,64.24242
2020-12-17,49.69696
2020-12-18,46.66666
2020-12-19,33.33333
2020-12-20,48.78787
2020-12-21,68.18181
2020-12-22,47.87878
2020-12-23,51.21212
2020-12-24,39.0909
2020-12-25,28.48484
2020-12-26,27.87878
2020-12-27,40.60606
2020-12-28,48.48484
2020-12-29,46.36363
2020-12-30,39.0909
2020-12-31,34.84848
2021-01-01,27.87878
2021-01-02,35.75757
2021-01-03,47.87878
2021-01-04,56.36363
2021-01-05,41.81818
2021-01-06,46.66666
2021-01-07,40.30303
2021-01-08,38.48484
2021-01-09,30.60606
2021-01-10,24.54545
2021-01-11,41.51515
2021-01-12,37.27272
2021-01-13,46.96969
2021-01-14,40.30303
2021-01-15,34.54545
2021-01-16,26.96969
2021-01-17,30.30303
2021-01-18,47.57575
2021-01-19,40.30303
2021-01-20,42.12121
2021-01-21,34.24242
2021-01-22,33.63636
2021-01-23,25.45454
2021-01-24,27.27272
2021-01-25,42.72727
2021-01-26,36.36363
2021-01-27,32.42424
2021-01-28,36.36363
2021-01-29,27.27272
2021-01-30,17.27272
2021-01-31,26.36363
2021-02-01,34.24242
2021-02-02,34.54545
2021-02-03,34.24242
2021-02-04,26.66666
2021-02-05,30.30303
2021-02-06,28.48484
2021-02-07,26.66666
2021-02-08,35.75757
2021-02-09,24.84848
2021-02-10,19.69696
2021-02-11,19.0909
2021-02-12,13.0303
2021-02-13,24.84848
2021-02-14,31.81818
2021-02-15,41.21212
2021-02-16,44.84848
2021-02-17,35.15151
2021-02-18,26.96969
2021-02-19,34.84848
2021-02-20,24.84848
2021-02-21,43.63636
2021-02-22,47.27272
2021-02-23,46.0606
2021-02-24,44.24242
2021-02-25,37.27272
2021-02-26,23.33333
2021-02-27,23.0303
2021-02-28,28.78787
2021-03-01,33.63636
2021-03-02,38.18181
