date,노무사
2020-03-20,1.97741
2020-03-21,1.10533
2020-03-22,1.08609
2020-03-23,1.74496
2020-03-24,1.8676
2020-03-25,1.87401
2020-03-26,1.61511
2020-03-27,1.64316
2020-03-28,0.92818
2020-03-29,0.95544
2020-03-30,1.83473
2020-03-31,1.94695
2020-04-01,1.84114
2020-04-02,1.75137
2020-04-03,1.71129
2020-04-04,1.02517
2020-04-05,1.1414
2020-04-06,1.84836
2020-04-07,1.91248
2020-04-08,1.91409
2020-04-09,1.76901
2020-04-10,1.70969
2020-04-11,1.01074
2020-04-12,1.10853
2020-04-13,2.26596
2020-04-14,1.96619
2020-04-15,1.4027
2020-04-16,1.95897
2020-04-17,1.98382
2020-04-18,1.12456
2020-04-19,1.26083
2020-04-20,2.10085
2020-04-21,1.75297
2020-04-22,1.94374
2020-04-23,1.76901
2020-04-24,1.76099
2020-04-25,1.16865
2020-04-26,1.1462
2020-04-27,2.51605
2020-04-28,2.53849
2020-04-29,2.42788
2020-04-30,1.2464
2020-05-01,1.25522
2020-05-02,1.37945
2020-05-03,1.34819
2020-05-04,1.85718
2020-05-05,1.26564
2020-05-06,1.82511
2020-05-07,1.68003
2020-05-08,1.59347
2020-05-09,1.02758
2020-05-10,1.18628
2020-05-11,2.14333
2020-05-12,2.17138
2020-05-13,1.89244
2020-05-14,1.8676
2020-05-15,1.77702
2020-05-16,1.17105
2020-05-17,1.10372
2020-05-18,1.80828
2020-05-19,1.93252
2020-05-20,1.87401
2020-05-21,1.79626
2020-05-22,1.90527
2020-05-23,3.29996
2020-05-24,1.64557
2020-05-25,2.17539
2020-05-26,2.04394
2020-05-27,1.91569
2020-05-28,1.83313
2020-05-29,1.68484
2020-05-30,1.02758
2020-05-31,1.1454
2020-06-01,1.70248
2020-06-02,1.80027
2020-06-03,1.74736
2020-06-04,1.63916
2020-06-05,1.64156
2020-06-06,1.06445
2020-06-07,1.00433
2020-06-08,1.85878
2020-06-09,1.6648
2020-06-10,1.69446
2020-06-11,1.68805
2020-06-12,1.44037
2020-06-13,1.02116
2020-06-14,0.95704
2020-06-15,1.65358
2020-06-16,1.71851
2020-06-17,1.7129
2020-06-18,1.71691
2020-06-19,1.55339
2020-06-20,1.21353
2020-06-21,1.18949
2020-06-22,1.83714
2020-06-23,1.77702
2020-06-24,2.50963
2020-06-25,1.88363
2020-06-26,1.77702
2020-06-27,1.09651
2020-06-28,1.25361
2020-06-29,1.99184
2020-06-30,1.88924
2020-07-01,1.97661
2020-07-02,1.80588
2020-07-03,1.63916
2020-07-04,1.20392
2020-07-05,1.07647
2020-07-06,1.78584
2020-07-07,1.73454
2020-07-08,1.8203
2020-07-09,1.74255
2020-07-10,1.52534
2020-07-11,1.06124
2020-07-12,1.0396
2020-07-13,1.7666
2020-07-14,1.87641
2020-07-15,1.79065
2020-07-16,1.64477
2020-07-17,1.51572
2020-07-18,1.08689
2020-07-19,1.0412
2020-07-20,1.85718
2020-07-21,1.79626
2020-07-22,1.80187
2020-07-23,1.78263
2020-07-24,1.55579
2020-07-25,1.0901
2020-07-26,1.05643
2020-07-27,1.83954
2020-07-28,1.79065
2020-07-29,1.59507
2020-07-30,1.64557
2020-07-31,1.4556
2020-08-01,0.98269
2020-08-02,0.96986
2020-08-03,1.55579
2020-08-04,1.54858
2020-08-05,1.5093
2020-08-06,1.41152
2020-08-07,1.47484
2020-08-08,1.038
2020-08-09,1.02437
2020-08-10,1.8171
2020-08-11,1.79145
2020-08-12,1.84836
2020-08-13,1.78664
2020-08-14,1.65438
2020-08-15,1.59908
2020-08-16,1.53816
2020-08-17,1.38827
2020-08-18,1.88283
2020-08-19,1.64797
2020-08-20,1.67603
2020-08-21,1.51331
2020-08-22,1.04281
2020-08-23,1.02517
2020-08-24,1.74416
2020-08-25,1.66961
2020-08-26,1.59347
2020-08-27,1.55099
2020-08-28,1.53015
2020-08-29,1.08449
2020-08-30,1.00032
2020-08-31,1.82111
2020-09-01,1.7153
2020-09-02,1.76099
2020-09-03,1.64316
2020-09-04,1.49969
2020-09-05,0.9378
2020-09-06,0.98028
2020-09-07,1.67442
2020-09-08,1.70007
2020-09-09,1.64076
2020-09-10,1.65519
2020-09-11,1.62633
2020-09-12,0.99632
2020-09-13,0.91536
2020-09-14,1.57423
2020-09-15,1.58545
2020-09-16,1.47724
2020-09-17,1.52774
2020-09-18,1.47644
2020-09-19,0.95303
2020-09-20,0.89773
2020-09-21,1.53656
2020-09-22,1.53976
2020-09-23,1.52213
2020-09-24,1.49568
2020-09-25,1.27846
2020-09-26,0.90734
2020-09-27,0.93299
2020-09-28,1.49568
2020-09-29,1.34098
2020-09-30,0.83841
2020-10-01,0.78872
2020-10-02,0.78471
2020-10-03,0.9354
2020-10-04,0.95223
2020-10-05,1.65759
2020-10-06,1.72412
2020-10-07,1.64477
2020-10-08,1.46282
2020-10-09,0.99872
2020-10-10,0.89212
2020-10-11,0.86566
2020-10-12,1.50369
2020-10-13,1.43636
2020-10-14,1.41392
2020-10-15,1.50209
2020-10-16,1.53495
2020-10-17,0.93059
2020-10-18,0.87929
2020-10-19,1.54618
2020-10-20,1.67923
2020-10-21,2.73968
2020-10-22,2.72124
2020-10-23,1.89886
2020-10-24,1.71931
2020-10-25,1.44678
2020-10-26,1.86519
2020-10-27,1.98222
2020-10-28,16.79397
2020-10-29,5.23809
2020-10-30,3.5813
2020-10-31,12.62995
2020-11-01,100.0
2020-11-02,45.30013
2020-11-03,9.69549
2020-11-04,11.34106
2020-11-05,7.44956
2020-11-06,5.21405
2020-11-07,3.92677
2020-11-08,3.45866
2020-11-09,3.71997
2020-11-10,4.47342
2020-11-11,4.48624
2020-11-12,3.38171
2020-11-13,2.91682
2020-11-14,2.12088
2020-11-15,2.01268
2020-11-16,2.3902
2020-11-17,2.30604
2020-11-18,2.19543
2020-11-19,2.11928
2020-11-20,2.91041
2020-11-21,2.68838
2020-11-22,2.53929
2020-11-23,2.58899
2020-11-24,2.19142
2020-11-25,3.14606
2020-11-26,2.23551
2020-11-27,2.12409
2020-11-28,1.47564
2020-11-29,1.765
2020-11-30,1.81469
2020-12-01,1.97661
2020-12-02,2.2331
2020-12-03,1.96298
2020-12-04,2.21226
2020-12-05,1.24399
2020-12-06,1.44518
2020-12-07,1.88443
2020-12-08,1.86038
2020-12-09,1.96378
2020-12-10,2.00226
2020-12-11,1.78744
2020-12-12,1.19911
2020-12-13,1.11414
2020-12-14,1.62473
2020-12-15,1.78744
2020-12-16,1.80427
2020-12-17,1.68324
2020-12-18,1.50289
2020-12-19,1.05002
2020-12-20,1.15182
2020-12-21,1.75378
2020-12-22,1.70248
2020-12-23,1.74897
2020-12-24,1.66961
2020-12-25,1.22876
2020-12-26,1.23357
2020-12-27,1.33377
2020-12-28,2.18982
2020-12-29,2.74529
2020-12-30,2.40784
2020-12-31,1.69126
2021-01-01,1.64316
2021-01-02,1.40991
2021-01-03,1.58225
2021-01-04,2.05756
2021-01-05,2.37898
2021-01-06,2.04874
2021-01-07,1.80828
2021-01-08,2.00626
2021-01-09,1.26323
2021-01-10,1.32014
2021-01-11,1.93973
2021-01-12,1.87321
2021-01-13,1.89485
2021-01-14,1.84996
2021-01-15,1.84996
2021-01-16,1.24319
2021-01-17,1.20151
2021-01-18,1.84836
2021-01-19,1.9237
2021-01-20,1.98061
2021-01-21,1.93412
2021-01-22,1.82592
2021-01-23,1.30251
2021-01-24,1.20953
2021-01-25,1.96939
2021-01-26,1.84275
2021-01-27,2.076
2021-01-28,1.8195
2021-01-29,1.84595
2021-01-30,1.22796
2021-01-31,1.36823
2021-02-01,1.93412
2021-02-02,1.86118
2021-02-03,1.87481
2021-02-04,1.65358
2021-02-05,1.88202
2021-02-06,1.21594
2021-02-07,1.13258
2021-02-08,1.73213
2021-02-09,1.74336
2021-02-10,1.51652
2021-02-11,1.13498
2021-02-12,1.40831
2021-02-13,0.9859
2021-02-14,1.16705
2021-02-15,1.77943
2021-02-16,1.83954
2021-02-17,1.84996
2021-02-18,1.8195
2021-02-19,1.65599
2021-02-20,1.07968
2021-02-21,1.04681
2021-02-22,1.90527
2021-02-23,1.67843
2021-02-24,1.67202
2021-02-25,1.69767
2021-02-26,1.75778
2021-02-27,1.31854
2021-02-28,1.04601
2021-03-01,1.17987
2021-03-02,1.79546
2021-03-03,1.86279
2021-03-04,1.80267
2021-03-05,1.72893
2021-03-06,1.08769
2021-03-07,1.13258
2021-03-08,1.69687
2021-03-09,1.69045
2021-03-10,1.71851
2021-03-11,1.78103
2021-03-12,1.52373
2021-03-13,0.9859
2021-03-14,1.10452
2021-03-15,1.68324
2021-03-16,1.68885
2021-03-17,1.72733
2021-03-18,1.73614
2021-03-19,1.58225
2021-03-20,1.15903
2021-03-21,1.20071
2021-03-22,1.75458
2021-03-23,1.77622
2021-03-24,1.66961
2021-03-25,1.8171
2021-03-26,1.60068
2021-03-27,1.04601
2021-03-28,1.07407
2021-03-29,2.0271
2021-03-30,1.93973
2021-03-31,1.8203
2021-04-01,1.65599
2021-04-02,1.53015
2021-04-03,1.10452
2021-04-04,1.00433
2021-04-05,1.60469
2021-04-06,1.67603
2021-04-07,1.63675
2021-04-08,1.50129
2021-04-09,1.49808
2021-04-10,1.02918
2021-04-11,1.01635
2021-04-12,1.69687
2021-04-13,1.87241
2021-04-14,1.54698
2021-04-15,1.65038
2021-04-16,1.5566
2021-04-17,0.99952
2021-04-18,0.97227
2021-04-19,1.84355
2021-04-20,1.63675
2021-04-21,1.67282
2021-04-22,1.65358
2021-04-23,1.46602
2021-04-24,1.10372
2021-04-25,0.96826
2021-04-26,1.82992
2021-04-27,1.68564
2021-04-28,1.70488
2021-04-29,1.59267
2021-04-30,1.59347
2021-05-01,1.0941
2021-05-02,0.99471
2021-05-03,1.63916
2021-05-04,1.5574
2021-05-05,0.9867
2021-05-06,1.80347
2021-05-07,1.70087
2021-05-08,2.79739
2021-05-09,1.46282
2021-05-10,2.01829
2021-05-11,1.8716
2021-05-12,1.79626
2021-05-13,1.6103
2021-05-14,1.5069
2021-05-15,1.00353
2021-05-16,1.00193
2021-05-17,1.68484
2021-05-18,1.44678
2021-05-19,1.04601
2021-05-20,1.59667
2021-05-21,1.57503
2021-05-22,0.97147
2021-05-23,0.94341
2021-05-24,1.85076
2021-05-25,1.67282
2021-05-26,1.7129
2021-05-27,1.67042
2021-05-28,1.69847
2021-05-29,1.00273
2021-05-30,1.00513
2021-05-31,1.78424
2021-06-01,1.70889
2021-06-02,1.68164
2021-06-03,1.65358
2021-06-04,1.50129
2021-06-05,0.9891
2021-06-06,0.94181
2021-06-07,1.74416
2021-06-08,1.85317
2021-06-09,2.63548
2021-06-10,1.91489
2021-06-11,1.66881
2021-06-12,1.05803
2021-06-13,1.09972
2021-06-14,1.69366
2021-06-15,1.71129
2021-06-16,1.80908
2021-06-17,1.53736
2021-06-18,1.53095
2021-06-19,0.9859
2021-06-20,0.95063
2021-06-21,1.68805
2021-06-22,1.61351
2021-06-23,1.72973
2021-06-24,1.63274
2021-06-25,1.4572
2021-06-26,0.97227
2021-06-27,0.94021
2021-06-28,1.61511
2021-06-29,1.63354
2021-06-30,1.66961
2021-07-01,1.68965
2021-07-02,1.51411
2021-07-03,0.9899
2021-07-04,0.92899
2021-07-05,1.71771
2021-07-06,1.72011
2021-07-07,1.69767
2021-07-08,1.56461
2021-07-09,1.48125
2021-07-10,1.00513
2021-07-11,0.94822
2021-07-12,1.77943
2021-07-13,1.90928
2021-07-14,1.75458
2021-07-15,1.58625
2021-07-16,1.54377
2021-07-17,0.93219
2021-07-18,0.93299
2021-07-19,1.62954
2021-07-20,1.58625
2021-07-21,1.48526
2021-07-22,1.47644
2021-07-23,1.47484
2021-07-24,0.96425
2021-07-25,0.84723
2021-07-26,1.49568
2021-07-27,1.58866
2021-07-28,1.49167
2021-07-29,1.46762
2021-07-30,1.43877
2021-07-31,0.96506
2021-08-01,0.92257
2021-08-02,1.44759
2021-08-03,1.54537
2021-08-04,1.5061
