date,호주달러
2020-03-20,100.0
2020-03-21,41.21176
2020-03-22,34.21176
2020-03-23,80.69411
2020-03-24,63.90588
2020-03-25,55.72941
2020-03-26,62.4
2020-03-27,52.8
2020-03-28,28.31764
2020-03-29,22.83529
2020-03-30,48.22352
2020-03-31,42.43529
2020-04-01,40.61176
2020-04-02,38.1647
2020-04-03,38.12941
2020-04-04,21.4
2020-04-05,19.81176
2020-04-06,40.11764
2020-04-07,39.29411
2020-04-08,34.07058
2020-04-09,33.74117
2020-04-10,40.44705
2020-04-11,21.03529
2020-04-12,19.02352
2020-04-13,37.02352
2020-04-14,34.07058
2020-04-15,22.97647
2020-04-16,31.84705
2020-04-17,28.82352
2020-04-18,15.7647
2020-04-19,14.62352
2020-04-20,28.27058
2020-04-21,28.64705
2020-04-22,26.62352
2020-04-23,26.08235
2020-04-24,26.05882
2020-04-25,15.95294
2020-04-26,14.52941
2020-04-27,28.32941
2020-04-28,25.55294
2020-04-29,24.25882
2020-04-30,15.87058
2020-05-01,15.34117
2020-05-02,13.45882
2020-05-03,14.7647
2020-05-04,25.57647
2020-05-05,17.72941
2020-05-06,22.0
2020-05-07,23.12941
2020-05-08,24.77647
2020-05-09,13.32941
2020-05-10,11.27058
2020-05-11,21.27058
2020-05-12,18.98823
2020-05-13,17.5647
2020-05-14,18.23529
2020-05-15,15.84705
2020-05-16,9.62352
2020-05-17,8.81176
2020-05-18,17.03529
2020-05-19,22.83529
2020-05-20,21.78823
2020-05-21,20.50588
2020-05-22,19.82352
2020-05-23,12.0
2020-05-24,11.55294
2020-05-25,22.75294
2020-05-26,21.97647
2020-05-27,27.52941
2020-05-28,23.74117
2020-05-29,20.61176
2020-05-30,12.29411
2020-05-31,10.22352
2020-06-01,26.01176
2020-06-02,27.55294
2020-06-03,35.70588
2020-06-04,28.18823
2020-06-05,24.09411
2020-06-06,12.85882
2020-06-07,12.72941
2020-06-08,22.47058
2020-06-09,27.6
2020-06-10,36.15294
2020-06-11,22.82352
2020-06-12,25.88235
2020-06-13,12.37647
2020-06-14,12.69411
2020-06-15,24.01176
2020-06-16,25.7647
2020-06-17,21.50588
2020-06-18,20.89411
2020-06-19,17.07058
2020-06-20,11.02352
2020-06-21,10.35294
2020-06-22,18.03529
2020-06-23,17.05882
2020-06-24,16.27058
2020-06-25,17.44705
2020-06-26,17.54117
2020-06-27,11.41176
2020-06-28,9.38823
2020-06-29,18.9647
2020-06-30,17.12941
2020-07-01,17.54117
2020-07-02,15.83529
2020-07-03,13.85882
2020-07-04,8.98823
2020-07-05,10.15294
2020-07-06,16.8
2020-07-07,16.5647
2020-07-08,16.03529
2020-07-09,17.57647
2020-07-10,15.63529
2020-07-11,8.94117
2020-07-12,12.15294
2020-07-13,17.27058
2020-07-14,19.55294
2020-07-15,21.50588
2020-07-16,17.22352
2020-07-17,18.09411
2020-07-18,13.1647
2020-07-19,12.57647
2020-07-20,18.37647
2020-07-21,20.35294
2020-07-22,25.61176
2020-07-23,20.58823
2020-07-24,17.87058
2020-07-25,11.01176
2020-07-26,9.81176
2020-07-27,20.45882
2020-07-28,18.75294
2020-07-29,18.49411
2020-07-30,19.88235
2020-07-31,17.45882
2020-08-01,10.55294
2020-08-02,9.32941
2020-08-03,18.61176
2020-08-04,15.7647
2020-08-05,17.74117
2020-08-06,16.14117
2020-08-07,15.77647
2020-08-08,9.92941
2020-08-09,9.75294
2020-08-10,15.91764
2020-08-11,18.21176
2020-08-12,15.42352
2020-08-13,15.37647
2020-08-14,13.81176
2020-08-15,9.23529
2020-08-16,8.9647
2020-08-17,9.94117
2020-08-18,15.78823
2020-08-19,17.68235
2020-08-20,15.54117
2020-08-21,15.69411
2020-08-22,9.67058
2020-08-23,10.49411
2020-08-24,17.39999
2020-08-25,15.07058
2020-08-26,14.1647
2020-08-27,16.11764
2020-08-28,16.50588
2020-08-29,10.84705
2020-08-30,9.21176
2020-08-31,19.2
2020-09-01,18.88235
2020-09-02,17.51764
2020-09-03,17.64705
2020-09-04,14.77647
2020-09-05,9.92941
2020-09-06,9.68235
2020-09-07,15.3647
2020-09-08,13.52941
2020-09-09,15.22352
2020-09-10,15.05882
2020-09-11,15.64705
2020-09-12,10.11764
