date,자산운용사순위
2020-03-20,30.56768
2020-03-21,18.77729
2020-03-22,23.58078
2020-03-23,33.62445
2020-03-24,26.20087
2020-03-25,29.25764
2020-03-26,25.76419
2020-03-27,22.27074
2020-03-28,16.1572
2020-03-29,19.65065
2020-03-30,20.08733
2020-03-31,27.07423
2020-04-01,22.27074
2020-04-02,27.51091
2020-04-03,28.82096
2020-04-04,13.10043
2020-04-05,14.41048
2020-04-06,26.63755
2020-04-07,23.1441
2020-04-08,21.83406
2020-04-09,26.63755
2020-04-10,23.1441
2020-04-11,17.46724
2020-04-12,13.97379
2020-04-13,24.01746
2020-04-14,24.89082
2020-04-15,16.59388
2020-04-16,17.03056
2020-04-17,15.72052
2020-04-18,13.10043
2020-04-19,15.28384
2020-04-20,15.28384
2020-04-21,16.59388
2020-04-22,15.72052
2020-04-23,20.52401
2020-04-24,23.1441
2020-04-25,15.72052
2020-04-26,19.21397
2020-04-27,18.34061
2020-04-28,20.96069
2020-04-29,23.58078
2020-04-30,17.90393
2020-05-01,9.60698
2020-05-02,13.10043
2020-05-03,10.91703
2020-05-04,18.34061
2020-05-05,7.86026
2020-05-06,20.08733
2020-05-07,20.96069
2020-05-08,13.97379
2020-05-09,4.80349
2020-05-10,9.1703
2020-05-11,16.59388
2020-05-12,22.27074
2020-05-13,19.21397
2020-05-14,14.41048
2020-05-15,15.72052
2020-05-16,11.79039
2020-05-17,10.48034
2020-05-18,19.21397
2020-05-19,16.1572
2020-05-20,11.35371
2020-05-21,16.1572
2020-05-22,16.1572
2020-05-23,10.48034
2020-05-24,16.1572
2020-05-25,15.72052
2020-05-26,19.65065
2020-05-27,15.28384
2020-05-28,14.41048
2020-05-29,11.79039
2020-05-30,10.04366
2020-05-31,10.91703
2020-06-01,14.84716
2020-06-02,17.90393
2020-06-03,12.22707
2020-06-04,15.72052
2020-06-05,13.53711
2020-06-06,4.36681
2020-06-07,2.62008
2020-06-08,10.91703
2020-06-09,12.22707
2020-06-10,19.65065
2020-06-11,17.46724
2020-06-12,13.53711
2020-06-13,11.35371
2020-06-14,6.55021
2020-06-15,10.48034
2020-06-16,16.1572
2020-06-17,24.45414
2020-06-18,31.87772
2020-06-19,23.58078
2020-06-20,11.35371
2020-06-21,13.10043
2020-06-22,19.21397
2020-06-23,21.83406
2020-06-24,15.72052
2020-06-25,20.52401
2020-06-26,18.34061
2020-06-27,17.46724
2020-06-28,9.1703
2020-06-29,21.83406
2020-06-30,13.97379
2020-07-01,20.08733
2020-07-02,26.20087
2020-07-03,14.41048
2020-07-04,7.42358
2020-07-05,23.58078
2020-07-06,28.38427
2020-07-07,29.25764
2020-07-08,28.38427
2020-07-09,23.58078
2020-07-10,18.34061
2020-07-11,10.48034
2020-07-12,19.21397
2020-07-13,17.03056
2020-07-14,23.1441
2020-07-15,20.52401
2020-07-16,28.38427
2020-07-17,21.39737
2020-07-18,12.22707
2020-07-19,9.60698
2020-07-20,35.37117
2020-07-21,21.83406
2020-07-22,20.08733
2020-07-23,23.1441
2020-07-24,22.70742
2020-07-25,10.04366
2020-07-26,12.66375
2020-07-27,16.59388
2020-07-28,25.76419
2020-07-29,27.94759
2020-07-30,29.25764
2020-07-31,15.28384
2020-08-01,10.48034
2020-08-02,15.72052
2020-08-03,23.1441
2020-08-04,20.52401
2020-08-05,29.25764
2020-08-06,27.94759
2020-08-07,21.39737
2020-08-08,11.35371
2020-08-09,13.53711
2020-08-10,23.1441
2020-08-11,26.20087
2020-08-12,19.21397
2020-08-13,16.59388
2020-08-14,15.28384
