date,2월상장주
2021-01-02,0.74404
2021-01-04,0.89285
2021-01-05,2.23214
2021-01-07,1.04166
2021-01-08,1.48809
2021-01-09,1.33928
2021-01-10,1.33928
2021-01-11,1.33928
2021-01-12,1.33928
2021-01-13,1.19047
2021-01-14,2.52976
2021-01-15,1.33928
2021-01-16,1.04166
2021-01-18,0.74404
2021-01-19,1.93452
2021-01-20,2.38095
2021-01-21,5.20833
2021-01-22,3.42261
2021-01-23,3.2738
2021-01-24,5.05952
2021-01-25,6.69642
2021-01-26,7.8869
2021-01-27,9.97023
2021-01-28,3.72023
2021-01-29,3.42261
2021-01-30,1.48809
2021-01-31,3.125
2021-02-01,15.47619
2021-02-02,17.55952
2021-02-03,22.76785
2021-02-04,15.02976
2021-02-05,19.19642
2021-02-06,11.90476
2021-02-07,9.67261
2021-02-08,34.07738
2021-02-09,24.40476
2021-02-10,14.88095
2021-02-11,2.82738
2021-02-12,6.25
2021-02-13,4.91071
2021-02-14,7.58928
2021-02-15,19.64285
2021-02-16,12.35119
2021-02-17,8.77976
2021-02-18,4.7619
2021-02-19,4.61309
2021-02-20,1.19047
2021-02-21,2.38095
2021-02-22,5.35714
2021-02-23,6.99404
2021-02-24,8.63095
2021-02-25,6.69642
2021-02-26,0.89285
2021-02-28,0.74404
2021-03-01,1.19047
2021-03-02,2.97619
2021-03-03,1.04166
2021-03-04,1.93452
2021-03-05,0.74404
2021-03-10,1.04166
2021-03-20,0.74404
2021-04-05,1.04166
2021-04-13,2.08333
2021-04-16,0.89285
2021-04-17,0.89285
2021-04-18,0.89285
2021-06-04,0.89285
2021-06-08,0.89285
2021-07-01,4.61309
2021-07-02,0.89285
2021-07-04,0.74404
2021-07-24,0.89285
2021-08-09,0.74404
2022-01-04,0.89285
2022-01-05,0.74404
2022-01-07,1.33928
2022-01-11,1.33928
2022-01-12,0.89285
2022-01-14,1.04166
2022-01-16,3.125
2022-01-17,2.08333
2022-01-18,3.42261
2022-01-19,5.50595
2022-01-20,8.63095
2022-01-21,6.99404
2022-01-22,5.50595
2022-01-23,6.25
2022-01-24,23.06547
2022-01-25,17.55952
2022-01-26,20.98214
