date,비갱신보험
2020-03-20,38.98305
2020-03-21,33.8983
2020-03-22,20.33898
2020-03-23,45.76271
2020-03-24,55.9322
2020-03-25,76.27118
2020-03-26,33.8983
2020-03-27,50.84745
2020-03-28,22.03389
2020-03-29,18.64406
2020-03-30,35.59322
2020-03-31,42.37288
2020-04-01,40.67796
2020-04-02,22.03389
2020-04-03,27.11864
2020-04-04,16.94915
2020-04-06,35.59322
2020-04-07,33.8983
2020-04-08,37.28813
2020-04-09,18.64406
2020-04-10,25.42372
2020-04-11,15.25423
2020-04-13,13.55932
2020-04-14,42.37288
2020-04-15,32.20338
2020-04-16,28.81355
2020-04-17,27.11864
2020-04-18,20.33898
2020-04-19,40.67796
2020-04-20,35.59322
2020-04-21,30.50847
2020-04-22,37.28813
2020-04-23,27.11864
2020-04-24,44.06779
2020-04-25,10.16949
2020-04-26,28.81355
2020-04-27,18.64406
2020-04-28,45.76271
2020-04-29,32.20338
2020-04-30,10.16949
2020-05-01,11.8644
2020-05-02,16.94915
2020-05-03,27.11864
2020-05-04,55.9322
2020-05-05,10.16949
2020-05-06,27.11864
2020-05-07,23.72881
2020-05-08,27.11864
2020-05-09,44.06779
2020-05-10,23.72881
2020-05-11,33.8983
2020-05-12,27.11864
2020-05-13,28.81355
2020-05-14,20.33898
2020-05-15,20.33898
2020-05-16,28.81355
2020-05-17,27.11864
2020-05-18,47.45762
2020-05-19,76.27118
2020-05-20,50.84745
2020-05-21,35.59322
2020-05-22,37.28813
2020-05-23,44.06779
2020-05-24,27.11864
2020-05-25,62.71186
2020-05-26,52.54237
2020-05-27,52.54237
2020-05-28,40.67796
2020-05-29,30.50847
2020-05-30,27.11864
2020-05-31,33.8983
2020-06-01,37.28813
2020-06-02,44.06779
2020-06-03,38.98305
2020-06-04,37.28813
2020-06-05,35.59322
2020-06-06,28.81355
2020-06-08,25.42372
2020-06-09,32.20338
2020-06-10,69.49152
2020-06-11,35.59322
2020-06-12,45.76271
2020-06-13,35.59322
2020-06-14,13.55932
2020-06-15,32.20338
2020-06-16,30.50847
2020-06-17,44.06779
2020-06-18,33.8983
2020-06-19,44.06779
2020-06-20,18.64406
2020-06-21,16.94915
2020-06-22,52.54237
2020-06-23,37.28813
2020-06-24,55.9322
2020-06-25,55.9322
2020-06-26,45.76271
2020-06-27,27.11864
2020-06-28,23.72881
2020-06-29,28.81355
2020-06-30,49.15254
2020-07-01,33.8983
2020-07-02,47.45762
2020-07-03,18.64406
2020-07-04,32.20338
2020-07-05,13.55932
2020-07-06,38.98305
2020-07-07,40.67796
2020-07-08,49.15254
2020-07-09,79.66101
2020-07-10,42.37288
2020-07-11,25.42372
2020-07-12,30.50847
2020-07-13,47.45762
2020-07-14,54.23728
2020-07-15,33.8983
2020-07-16,30.50847
2020-07-17,23.72881
2020-07-18,18.64406
2020-07-19,15.25423
2020-07-20,23.72881
2020-07-21,27.11864
