date,프랜차이즈박람회
2020-03-20,3.66143
2020-03-21,2.18735
2020-03-22,2.04469
2020-03-23,4.32715
2020-03-24,3.80408
2020-03-25,3.51878
2020-03-26,3.75653
2020-03-27,2.66286
2020-03-28,1.94959
2020-03-29,1.42653
2020-03-30,3.23347
2020-03-31,2.47265
2020-04-01,3.75653
2020-04-02,3.61388
2020-04-03,3.75653
2020-04-04,2.33
2020-04-05,1.47408
2020-04-06,3.13837
2020-04-07,3.28102
2020-04-08,4.4698
2020-04-09,3.18592
2020-04-10,3.04327
2020-04-11,2.85306
2020-04-12,2.37755
2020-04-13,3.85164
2020-04-14,2.37755
2020-04-15,2.4251
2020-04-16,3.99429
2020-04-17,3.85164
2020-04-18,2.4251
2020-04-19,2.2349
2020-04-20,4.70756
2020-04-21,5.18307
2020-04-22,5.70613
2020-04-23,3.80408
2020-04-24,2.71041
2020-04-25,3.85164
2020-04-26,2.66286
2020-04-27,4.61245
2020-04-28,4.04184
2020-04-29,4.32715
2020-04-30,2.66286
2020-05-01,3.04327
2020-05-02,2.2349
2020-05-03,3.66143
2020-05-04,3.04327
2020-05-05,3.42368
2020-05-06,6.7047
2020-05-07,5.99144
2020-05-08,4.08939
2020-05-09,3.28102
2020-05-10,3.37612
2020-05-11,4.13694
2020-05-12,4.42225
2020-05-13,5.23062
2020-05-14,4.5649
2020-05-15,5.18307
2020-05-16,3.75653
2020-05-17,1.94959
2020-05-18,6.08654
2020-05-19,5.56348
2020-05-20,6.18164
2020-05-21,5.94388
2020-05-22,4.94531
2020-05-23,3.94674
2020-05-24,4.18449
2020-05-25,6.22919
2020-05-26,6.13409
2020-05-27,6.7047
2020-05-28,4.32715
2020-05-29,4.3747
2020-05-30,3.13837
2020-05-31,3.75653
2020-06-01,5.70613
2020-06-02,5.23062
2020-06-03,6.32429
2020-06-04,6.22919
2020-06-05,5.18307
2020-06-06,3.28102
2020-06-07,2.4251
2020-06-08,7.98858
2020-06-09,8.5592
2020-06-10,9.79553
2020-06-11,13.55206
2020-06-12,11.69757
2020-06-13,6.6096
2020-06-14,4.85021
2020-06-15,8.6543
2020-06-16,5.61103
2020-06-17,5.75368
2020-06-18,6.37184
2020-06-19,4.32715
2020-06-20,3.28102
2020-06-21,4.3747
2020-06-22,5.08796
2020-06-23,5.99144
2020-06-24,4.75511
2020-06-25,5.13552
2020-06-26,4.2796
2020-06-27,3.94674
2020-06-28,4.13694
2020-06-29,6.03899
2020-06-30,6.37184
2020-07-01,5.99144
2020-07-02,6.56205
2020-07-03,4.04184
2020-07-04,2.47265
2020-07-05,3.51878
2020-07-06,7.70328
2020-07-07,5.65858
2020-07-08,6.84736
2020-07-09,5.99144
2020-07-10,5.65858
2020-07-11,3.28102
2020-07-12,3.80408
2020-07-13,6.65715
2020-07-14,7.84593
2020-07-15,8.08368
2020-07-16,7.32287
2020-07-17,8.22634
2020-07-18,4.51735
2020-07-19,6.7998
2020-07-20,11.45981
2020-07-21,11.88777
2020-07-22,11.60247
2020-07-23,17.73656
2020-07-24,19.97146
2020-07-25,10.03328
2020-07-26,10.699
2020-07-27,22.44412
2020-07-28,22.49167
2020-07-29,38.13599
2020-07-30,54.96909
2020-07-31,52.54398
2020-08-01,38.75416
2020-08-02,12.26818
2020-08-03,12.17308
2020-08-04,10.50879
2020-08-05,8.98716
2020-08-06,8.46409
2020-08-07,7.70328
2020-08-08,5.37327
2020-08-09,5.27817
2020-08-10,6.7047
2020-08-11,5.32572
2020-08-12,7.18021
2020-08-13,5.61103
2020-08-14,5.08796
2020-08-15,3.42368
2020-08-16,3.99429
2020-08-17,4.32715
2020-08-18,5.27817
2020-08-19,5.46837
2020-08-20,5.56348
2020-08-21,3.75653
2020-08-22,3.28102
2020-08-23,3.13837
2020-08-24,3.85164
2020-08-25,3.94674
2020-08-26,3.09082
2020-08-27,3.56633
2020-08-28,3.23347
2020-08-29,2.09224
2020-08-30,2.47265
2020-08-31,3.89919
2020-09-01,16.50023
2020-09-02,5.13552
2020-09-03,2.80551
2020-09-04,2.56776
2020-09-05,1.71184
2020-09-06,2.5202
2020-09-07,3.66143
2020-09-08,3.56633
2020-09-09,3.28102
2020-09-10,4.13694
2020-09-11,2.85306
2020-09-12,2.1398
2020-09-13,2.61531
2020-09-14,4.32715
2020-09-15,4.61245
2020-09-16,4.04184
2020-09-17,4.4698
2020-09-18,4.32715
2020-09-19,2.2349
2020-09-20,2.28245
2020-09-21,3.66143
2020-09-22,3.51878
2020-09-23,3.37612
2020-09-24,4.2796
2020-09-25,3.18592
2020-09-26,2.66286
2020-09-27,2.56776
2020-09-28,3.04327
2020-09-29,3.28102
2020-09-30,1.90204
2020-10-01,0.99857
2020-10-02,2.4251
2020-10-03,2.18735
2020-10-04,3.37612
2020-10-05,8.27389
2020-10-06,4.94531
2020-10-07,6.56205
2020-10-08,6.18164
2020-10-09,2.99572
2020-10-10,2.18735
2020-10-11,2.80551
2020-10-12,5.46837
2020-10-13,6.13409
2020-10-14,6.37184
2020-10-15,5.75368
2020-10-16,4.70756
2020-10-17,3.13837
2020-10-18,3.94674
2020-10-19,5.99144
2020-10-20,7.60817
2020-10-21,5.80123
2020-10-22,7.79838
2020-10-23,7.08511
2020-10-24,3.70898
2020-10-25,4.94531
2020-10-26,11.98288
2020-10-27,9.46267
2020-10-28,9.84308
2020-10-29,11.07941
2020-10-30,8.60675
2020-10-31,4.66
2020-11-01,6.99001
2020-11-02,14.9786
2020-11-03,12.45839
2020-11-04,16.35758
2020-11-05,23.10984
2020-11-06,22.82453
2020-11-07,16.26248
2020-11-08,6.22919
2020-11-09,8.93961
2020-11-10,8.5592
2020-11-11,7.84593
2020-11-12,8.08368
2020-11-13,6.99001
2020-11-14,3.56633
2020-11-15,5.46837
2020-11-16,7.22776
2020-11-17,8.70185
2020-11-18,8.60675
2020-11-19,9.12981
2020-11-20,7.41797
2020-11-21,4.42225
2020-11-22,5.27817
2020-11-23,10.60389
2020-11-24,11.45981
2020-11-25,14.59819
2020-11-26,19.06799
2020-11-27,16.35758
2020-11-28,8.7494
2020-11-29,3.75653
2020-11-30,4.99286
2020-12-01,4.23204
2020-12-02,3.56633
2020-12-03,3.70898
2020-12-04,4.08939
2020-12-05,2.71041
2020-12-06,2.28245
2020-12-07,3.61388
2020-12-08,2.80551
2020-12-09,3.32857
2020-12-10,3.61388
2020-12-11,2.71041
2020-12-12,1.90204
2020-12-13,1.75939
2020-12-14,3.56633
2020-12-15,2.66286
2020-12-16,2.75796
2020-12-17,2.09224
2020-12-18,1.28388
2020-12-19,1.90204
2020-12-20,1.71184
2020-12-21,2.09224
2020-12-22,1.99714
2020-12-23,3.42368
2020-12-24,1.90204
2020-12-25,1.23632
2020-12-26,2.09224
2020-12-27,1.28388
2020-12-28,3.18592
2020-12-29,2.75796
2020-12-30,3.09082
2020-12-31,2.04469
2021-01-01,1.75939
2021-01-02,1.99714
2021-01-03,1.99714
2021-01-04,3.37612
2021-01-05,4.4698
2021-01-06,4.2796
2021-01-07,2.61531
2021-01-08,3.37612
2021-01-09,1.99714
2021-01-10,2.66286
2021-01-11,4.3747
2021-01-12,2.85306
2021-01-13,3.75653
2021-01-14,3.89919
2021-01-15,2.66286
2021-01-16,2.47265
2021-01-17,2.75796
2021-01-18,4.99286
2021-01-19,4.51735
2021-01-20,4.18449
2021-01-21,4.94531
2021-01-22,3.75653
2021-01-23,2.94816
2021-01-24,4.23204
2021-01-25,5.18307
2021-01-26,4.5649
2021-01-27,4.94531
2021-01-28,4.51735
2021-01-29,4.61245
2021-01-30,2.80551
2021-01-31,3.13837
2021-02-01,5.89633
2021-02-02,4.18449
2021-02-03,3.75653
2021-02-04,4.75511
2021-02-05,4.61245
2021-02-06,3.51878
2021-02-07,1.80694
2021-02-08,5.04041
2021-02-09,4.04184
2021-02-10,3.66143
2021-02-11,2.47265
2021-02-12,2.04469
2021-02-13,3.37612
2021-02-14,4.08939
2021-02-15,8.93961
2021-02-16,8.41654
2021-02-17,7.22776
2021-02-18,8.46409
2021-02-19,7.08511
2021-02-20,4.75511
2021-02-21,5.13552
2021-02-22,12.45839
2021-02-23,12.60104
2021-02-24,21.92106
2021-02-25,31.52639
2021-02-26,26.81883
2021-02-27,17.49881
2021-02-28,6.46695
2021-03-01,6.27674
2021-03-02,8.5592
2021-03-03,6.4194
2021-03-04,8.17879
2021-03-05,5.46837
2021-03-06,4.94531
2021-03-07,4.51735
2021-03-08,6.13409
2021-03-09,7.70328
2021-03-10,6.03899
2021-03-11,6.32429
2021-03-12,5.37327
2021-03-13,3.37612
2021-03-14,2.94816
2021-03-15,7.41797
2021-03-16,7.51307
2021-03-17,7.37042
2021-03-18,8.8445
2021-03-19,8.22634
2021-03-20,5.84878
2021-03-21,5.84878
2021-03-22,10.60389
2021-03-23,11.65002
2021-03-24,15.21635
2021-03-25,20.49453
2021-03-26,17.3086
2021-03-27,10.31859
2021-03-28,4.80266
2021-03-29,7.03756
2021-03-30,6.99001
2021-03-31,6.18164
2021-04-01,5.51592
2021-04-02,4.94531
2021-04-03,4.04184
2021-04-04,3.28102
2021-04-05,5.32572
2021-04-06,5.65858
2021-04-07,4.80266
2021-04-08,4.3747
2021-04-09,3.70898
2021-04-10,3.32857
2021-04-11,3.42368
2021-04-12,4.70756
2021-04-13,6.56205
2021-04-14,6.08654
2021-04-15,4.80266
2021-04-16,5.42082
2021-04-17,3.37612
2021-04-18,3.61388
2021-04-19,5.08796
2021-04-20,4.51735
2021-04-21,5.18307
2021-04-22,4.89776
2021-04-23,4.18449
2021-04-24,2.4251
2021-04-25,2.71041
2021-04-26,5.18307
2021-04-27,4.18449
2021-04-28,5.04041
2021-04-29,4.51735
2021-04-30,4.08939
2021-05-01,2.04469
2021-05-02,3.75653
2021-05-03,4.5649
2021-05-04,4.89776
2021-05-05,3.32857
2021-05-06,5.70613
2021-05-07,5.37327
2021-05-08,2.94816
2021-05-09,2.66286
2021-05-10,5.65858
2021-05-11,5.04041
2021-05-12,5.27817
2021-05-13,6.22919
2021-05-14,6.08654
2021-05-15,2.99572
2021-05-16,3.99429
2021-05-17,6.6096
2021-05-18,6.99001
2021-05-19,6.03899
2021-05-20,12.36329
2021-05-21,8.79695
2021-05-22,5.99144
2021-05-23,5.04041
2021-05-24,6.03899
2021-05-25,6.65715
2021-05-26,5.80123
2021-05-27,4.66
2021-05-28,4.23204
2021-05-29,3.42368
2021-05-30,3.94674
2021-05-31,4.42225
2021-06-01,5.08796
2021-06-02,5.56348
2021-06-03,4.23204
2021-06-04,4.99286
2021-06-05,2.47265
2021-06-06,2.61531
2021-06-07,4.85021
2021-06-08,6.03899
2021-06-09,7.94103
2021-06-10,8.46409
2021-06-11,7.46552
2021-06-12,5.56348
2021-06-13,3.66143
2021-06-14,6.4194
2021-06-15,6.22919
2021-06-16,5.56348
2021-06-17,6.46695
2021-06-18,6.89491
2021-06-19,4.2796
2021-06-20,4.70756
2021-06-21,8.6543
2021-06-22,7.32287
2021-06-23,7.60817
2021-06-24,8.7494
2021-06-25,9.03471
2021-06-26,3.80408
2021-06-27,4.89776
2021-06-28,13.59961
2021-06-29,17.4037
2021-06-30,17.64146
2021-07-01,29.48169
2021-07-02,29.05373
2021-07-03,16.40513
2021-07-04,6.65715
2021-07-05,10.84165
2021-07-06,8.32144
2021-07-07,8.51165
2021-07-08,7.41797
2021-07-09,5.32572
2021-07-10,3.56633
2021-07-11,4.66
2021-07-12,5.65858
2021-07-13,3.94674
2021-07-14,4.3747
2021-07-15,4.3747
2021-07-16,3.61388
2021-07-17,2.80551
2021-07-18,2.18735
2021-07-19,5.61103
2021-07-20,5.32572
2021-07-21,4.32715
2021-07-22,3.75653
2021-07-23,3.37612
2021-07-24,2.75796
2021-07-25,2.61531
2021-07-26,3.94674
2021-07-27,4.32715
2021-07-28,4.23204
2021-07-29,4.70756
2021-07-30,3.70898
2021-07-31,2.37755
2021-08-01,2.1398
2021-08-02,4.5649
2021-08-03,5.51592
2021-08-04,5.84878
2021-08-05,4.32715
2021-08-06,5.94388
2021-08-07,3.99429
2021-08-08,3.32857
2021-08-09,5.51592
2021-08-10,5.18307
2021-08-11,8.36899
2021-08-12,9.32001
2021-08-13,6.5145
2021-08-14,4.2796
2021-08-15,4.75511
2021-08-16,6.89491
2021-08-17,14.12268
2021-08-18,16.40513
2021-08-19,24.39372
2021-08-20,21.35045
2021-08-21,16.45268
2021-08-22,4.61245
2021-08-23,6.56205
2021-08-24,4.5649
2021-08-25,5.18307
2021-08-26,3.51878
