date,약속어음
2020-03-20,47.01492
2020-03-21,19.77611
2020-03-22,29.85074
2020-03-23,51.49253
2020-03-24,54.47761
2020-03-25,60.44776
2020-03-26,59.70149
2020-03-27,46.64179
2020-03-28,31.71641
2020-03-29,26.49253
2020-03-30,48.13432
2020-03-31,71.64179
2020-04-01,52.98507
2020-04-02,44.77611
2020-04-03,48.88059
2020-04-04,47.38805
2020-04-05,29.10447
2020-04-06,62.68656
2020-04-07,59.70149
2020-04-08,57.08955
2020-04-09,62.68656
2020-04-10,55.22388
2020-04-11,27.61194
2020-04-12,34.32835
2020-04-13,59.70149
2020-04-14,60.82089
2020-04-15,37.68656
2020-04-16,66.79104
2020-04-17,59.70149
2020-04-18,26.86567
2020-04-19,35.82089
2020-04-20,75.74626
2020-04-21,98.88059
2020-04-22,100.0
2020-04-23,93.28358
2020-04-24,79.85074
2020-04-25,52.98507
2020-04-26,31.34328
2020-04-27,74.62686
2020-04-28,72.01492
2020-04-29,85.44776
2020-04-30,51.49253
2020-05-01,53.73134
2020-05-02,33.58208
2020-05-03,37.31343
2020-05-04,56.34328
2020-05-05,43.65671
2020-05-06,70.89552
2020-05-07,87.68656
2020-05-08,58.95522
2020-05-09,32.08955
2020-05-10,32.83582
2020-05-11,68.65671
2020-05-12,91.41791
2020-05-13,80.22388
2020-05-14,74.25373
2020-05-15,83.58208
2020-05-16,39.1791
2020-05-17,72.38805
2020-05-18,76.86567
2020-05-19,87.68656
2020-05-20,78.3582
2020-05-21,77.61194
2020-05-22,76.49253
2020-05-23,37.31343
2020-05-24,52.98507
2020-05-25,52.2388
2020-05-26,60.82089
2020-05-27,63.0597
2020-05-28,67.91044
2020-05-29,57.83582
2020-05-30,36.56716
2020-05-31,35.07462
2020-06-01,58.95522
2020-06-02,76.86567
2020-06-03,69.40298
2020-06-04,61.94029
2020-06-05,64.1791
2020-06-06,38.0597
2020-06-07,39.1791
2020-06-08,57.83582
2020-06-09,59.70149
2020-06-10,68.28358
2020-06-11,58.95522
2020-06-12,58.95522
2020-06-13,33.20895
2020-06-14,39.92537
2020-06-15,51.86567
2020-06-16,56.34328
2020-06-17,57.46268
2020-06-18,54.85074
2020-06-19,64.55223
2020-06-20,36.19402
2020-06-21,36.94029
2020-06-22,64.92537
2020-06-23,66.04477
2020-06-24,70.14925
2020-06-25,68.28358
2020-06-26,58.58208
2020-06-27,26.49253
2020-06-28,30.22388
2020-06-29,50.37313
2020-06-30,55.97014
2020-07-01,55.59701
2020-07-02,47.38805
2020-07-03,48.50746
2020-07-04,22.01492
2020-07-05,26.49253
2020-07-06,54.85074
2020-07-07,44.40298
2020-07-08,48.50746
2020-07-09,45.89552
2020-07-10,45.52238
2020-07-11,26.1194
2020-07-12,28.3582
2020-07-13,51.86567
2020-07-14,55.22388
2020-07-15,72.38805
2020-07-16,54.85074
2020-07-17,47.76119
2020-07-18,30.59701
2020-07-19,35.44776
2020-07-20,50.74626
2020-07-21,49.25373
2020-07-22,45.89552
2020-07-23,43.28358
2020-07-24,48.88059
2020-07-25,29.47761
2020-07-26,20.52238
2020-07-27,47.76119
2020-07-28,44.40298
2020-07-29,46.26865
2020-07-30,55.59701
2020-07-31,38.0597
2020-08-01,18.65671
2020-08-02,18.65671
2020-08-03,45.52238
2020-08-04,43.65671
2020-08-05,36.56716
2020-08-06,44.77611
2020-08-07,34.32835
2020-08-08,19.77611
2020-08-09,27.61194
2020-08-10,45.89552
2020-08-11,52.61194
2020-08-12,49.62686
2020-08-13,55.97014
2020-08-14,41.04477
2020-08-15,26.86567
2020-08-16,19.40298
2020-08-17,32.46268
2020-08-18,76.49253
2020-08-19,49.62686
2020-08-20,47.01492
2020-08-21,76.49253
2020-08-22,23.13432
2020-08-23,24.62686
2020-08-24,36.56716
2020-08-25,45.14925
2020-08-26,48.13432
2020-08-27,32.83582
2020-08-28,44.40298
2020-08-29,23.88059
2020-08-30,22.76119
2020-08-31,35.44776
2020-09-01,44.40298
2020-09-02,51.1194
2020-09-03,42.91044
2020-09-04,39.92537
2020-09-05,19.40298
2020-09-06,21.26865
2020-09-07,41.04477
2020-09-08,58.20895
2020-09-09,42.91044
2020-09-10,42.53731
2020-09-11,37.68656
2020-09-12,31.34328
2020-09-13,25.37313
2020-09-14,55.59701
2020-09-15,50.74626
2020-09-16,55.59701
2020-09-17,50.0
2020-09-18,45.89552
2020-09-19,22.76119
2020-09-20,27.61194
2020-09-21,52.98507
2020-09-22,51.1194
2020-09-23,58.20895
2020-09-24,69.02985
2020-09-25,48.88059
2020-09-26,27.2388
2020-09-27,27.2388
2020-09-28,62.31343
2020-09-29,40.2985
2020-09-30,21.26865
2020-10-01,17.53731
2020-10-02,20.89552
2020-10-03,11.94029
