date,전세
2020-03-20,18.68078
2020-03-21,18.39655
2020-03-22,18.68078
2020-03-23,22.02293
2020-03-24,19.57267
2020-03-25,20.51357
2020-03-26,20.70959
2020-03-27,18.67097
2020-03-28,18.41615
2020-03-29,19.34725
2020-03-30,22.32676
2020-03-31,19.99411
2020-04-01,18.84739
2020-04-02,18.76898
2020-04-03,18.39655
2020-04-04,16.89699
2020-04-05,19.94511
2020-04-06,21.90532
2020-04-07,22.82661
2020-04-08,20.05292
2020-04-09,20.85661
2020-04-10,19.8765
2020-04-11,19.69028
2020-04-12,20.837
2020-04-13,22.64039
2020-04-14,20.51357
2020-04-15,19.23943
2020-04-16,20.68019
2020-04-17,20.41556
2020-04-18,18.86699
2020-04-19,23.14025
2020-04-20,23.43428
2020-04-21,22.01313
2020-04-22,19.94511
2020-04-23,20.58218
2020-04-24,18.9062
2020-04-25,19.13162
2020-04-26,22.28756
2020-04-27,23.14025
2020-04-28,22.41497
2020-04-29,18.55336
2020-04-30,19.11202
2020-05-01,17.35763
2020-05-02,17.0048
2020-05-03,18.40635
2020-05-04,19.37665
2020-05-05,20.08232
2020-05-06,20.8076
2020-05-07,18.09271
2020-05-08,15.65225
2020-05-09,15.62285
2020-05-10,17.0636
2020-05-11,19.59227
2020-05-12,19.78829
2020-05-13,18.45535
2020-05-14,17.0636
2020-05-15,16.28932
2020-05-16,15.70126
2020-05-17,17.38704
2020-05-18,20.97422
2020-05-19,19.8569
2020-05-20,18.9356
2020-05-21,19.02381
2020-05-22,16.54415
2020-05-23,15.53464
2020-05-24,18.45535
2020-05-25,21.36626
2020-05-26,20.13133
2020-05-27,19.46486
2020-05-28,17.80848
2020-05-29,15.79927
2020-05-30,18.19072
2020-05-31,20.06272
2020-06-01,23.68911
2020-06-02,20.86641
2020-06-03,19.70988
2020-06-04,20.10193
2020-06-05,17.30863
2020-06-06,17.43604
2020-06-07,22.12094
2020-06-08,34.62707
2020-06-09,74.87013
2020-06-10,47.82906
2020-06-11,33.00989
2020-06-12,26.73723
2020-06-13,23.00303
2020-06-14,24.31637
2020-06-15,27.48211
2020-06-16,23.39507
2020-06-17,31.47113
2020-06-18,27.93296
2020-06-19,23.21866
2020-06-20,19.66088
2020-06-21,21.17024
2020-06-22,27.35469
2020-06-23,26.14917
2020-06-24,21.60148
2020-06-25,24.42418
2020-06-26,20.71939
2020-06-27,18.83759
2020-06-28,21.63089
2020-06-29,25.81593
2020-06-30,24.5712
2020-07-01,24.83583
2020-07-02,26.67842
2020-07-03,21.51328
2020-07-04,19.65108
2020-07-05,20.8174
2020-07-06,28.26619
2020-07-07,28.28579
2020-07-08,35.31314
2020-07-09,32.58845
2020-07-10,30.93207
2020-07-11,26.11976
2020-07-12,24.94364
2020-07-13,32.69626
2020-07-14,32.47084
2020-07-15,33.86258
2020-07-16,32.94129
2020-07-17,29.2659
2020-07-18,27.17828
2020-07-19,26.93325
2020-07-20,32.89228
2020-07-21,36.20503
2020-07-22,28.53082
2020-07-23,24.65941
2020-07-24,21.7093
2020-07-25,20.60178
2020-07-26,23.05204
2020-07-27,30.43222
2020-07-28,40.78212
2020-07-29,51.0046
2020-07-30,71.94942
2020-07-31,91.5613
2020-08-01,65.25531
2020-08-02,71.17514
2020-08-03,100.0
2020-08-04,66.9999
2020-08-05,42.28168
2020-08-06,45.24159
2020-08-07,40.05684
2020-08-08,29.90296
2020-08-09,32.01019
2020-08-10,38.86111
2020-08-11,35.34254
2020-08-12,32.18661
2020-08-13,35.96981
2020-08-14,33.74497
2020-08-15,29.06988
2020-08-16,28.28579
2020-08-17,33.75477
2020-08-18,32.22581
2020-08-19,40.87033
2020-08-20,34.54866
2020-08-21,30.34401
2020-08-22,34.42124
2020-08-23,31.37312
2020-08-24,34.69567
2020-08-25,33.89199
2020-08-26,28.46221
2020-08-27,28.64843
2020-08-28,25.21807
2020-08-29,25.96295
2020-08-30,28.69744
2020-08-31,33.46074
2020-09-01,31.44173
2020-09-02,29.97157
2020-09-03,28.70724
2020-09-04,27.58012
2020-09-05,29.2561
2020-09-06,32.04939
2020-09-07,37.50857
2020-09-08,32.01999
2020-09-09,29.95197
2020-09-10,32.82367
2020-09-11,34.07821
2020-09-12,28.66803
2020-09-13,27.28609
2020-09-14,32.0886
