date,다우존스지수
2020-03-20,86.11518
2020-03-21,60.3979
2020-03-22,16.18848
2020-03-23,52.73298
2020-03-24,100.0
2020-03-25,92.08376
2020-03-26,92.62827
2020-03-27,74.28272
2020-03-28,52.92146
2020-03-29,11.89528
2020-03-30,35.07853
2020-03-31,60.69109
2020-04-01,68.43979
2020-04-02,65.27748
2020-04-03,51.45549
2020-04-04,31.45549
2020-04-05,8.81675
2020-04-06,21.17277
2020-04-07,48.75392
2020-04-08,48.79581
2020-04-09,48.20942
2020-04-10,39.53926
2020-04-11,21.73821
2020-04-12,8.02094
2020-04-13,19.05759
2020-04-14,35.0157
2020-04-15,29.84293
2020-04-16,29.65445
2020-04-17,30.63874
2020-04-18,19.89528
2020-04-19,7.43455
2020-04-20,14.15706
2020-04-21,35.20418
2020-04-22,38.38743
2020-04-23,31.07853
2020-04-24,27.58115
2020-04-25,17.69633
2020-04-26,6.05235
2020-04-27,11.53926
2020-04-28,25.84293
2020-04-29,23.95811
2020-04-30,18.51308
2020-05-01,19.35078
2020-05-02,16.85863
2020-05-03,5.36125
2020-05-04,12.06282
2020-05-05,23.49738
2020-05-06,22.65968
2020-05-07,25.65445
2020-05-08,20.35602
2020-05-09,14.24083
2020-05-10,4.96335
2020-05-11,9.29842
2020-05-12,24.16753
2020-05-13,23.22513
2020-05-14,24.87958
2020-05-15,22.68062
2020-05-16,12.12565
2020-05-17,4.29319
2020-05-18,12.02094
2020-05-19,25.96858
2020-05-20,26.99476
2020-05-21,21.94764
2020-05-22,18.78534
2020-05-23,12.16753
2020-05-24,4.41884
2020-05-25,9.27748
2020-05-26,18.3246
2020-05-27,20.60732
2020-05-28,20.37696
2020-05-29,16.75392
2020-05-30,10.11518
2020-05-31,3.32984
2020-06-01,7.58115
2020-06-02,16.60732
2020-06-03,17.59162
2020-06-04,18.6178
2020-06-05,16.56544
2020-06-06,11.43455
2020-06-07,3.43455
2020-06-08,8.33507
2020-06-09,18.51308
2020-06-10,19.8534
2020-06-11,25.089
2020-06-12,39.47643
2020-06-13,21.71727
2020-06-14,5.04712
2020-06-15,18.09424
2020-06-16,32.48167
