date,KB금융배당금
2020-03-20,21.94736
2020-03-21,11.42105
2020-03-22,11.10526
2020-03-23,22.0
2020-03-24,16.68421
2020-03-25,19.63157
2020-03-26,21.94736
2020-03-27,20.78947
2020-03-28,10.78947
2020-03-29,9.26315
2020-03-30,17.0
2020-03-31,16.63157
2020-04-01,25.10526
2020-04-02,21.52631
2020-04-03,21.26315
2020-04-04,8.89473
2020-04-05,8.15789
2020-04-06,21.68421
2020-04-07,20.89473
2020-04-08,18.21052
2020-04-09,14.15789
2020-04-10,21.21052
2020-04-11,11.31578
2020-04-12,9.31578
2020-04-13,16.47368
2020-04-14,12.94736
2020-04-15,8.10526
2020-04-16,18.0
2020-04-17,12.68421
2020-04-18,7.57894
2020-04-19,9.94736
2020-04-20,21.15789
2020-04-21,16.05263
2020-04-22,15.68421
2020-04-23,17.21052
2020-04-24,15.10526
2020-04-25,8.31578
2020-04-26,10.73684
2020-04-27,26.89473
2020-04-28,22.63157
2020-04-29,15.15789
2020-04-30,7.52631
2020-05-01,5.94736
2020-05-02,4.94736
2020-05-03,4.89473
2020-05-04,13.89473
2020-05-05,9.8421
2020-05-06,15.0
2020-05-07,14.68421
2020-05-08,11.47368
2020-05-09,5.31578
2020-05-10,6.31578
2020-05-11,12.0
2020-05-12,15.52631
2020-05-13,16.94736
2020-05-14,20.8421
2020-05-15,17.94736
2020-05-16,9.8421
2020-05-17,9.42105
2020-05-18,17.73684
2020-05-19,21.42105
2020-05-20,20.10526
2020-05-21,16.0
2020-05-22,21.47368
2020-05-23,6.47368
2020-05-24,11.63157
2020-05-25,15.8421
2020-05-26,19.26315
2020-05-27,19.52631
2020-05-28,21.94736
2020-05-29,16.73684
2020-05-30,8.68421
2020-05-31,7.0
2020-06-01,18.47368
2020-06-02,31.68421
2020-06-03,34.15789
2020-06-04,48.57894
2020-06-05,28.52631
2020-06-06,13.57894
2020-06-07,12.31578
2020-06-08,22.26315
2020-06-09,21.31578
2020-06-10,23.78947
2020-06-11,25.89473
2020-06-12,22.94736
2020-06-13,10.36842
2020-06-14,9.52631
2020-06-15,17.0
2020-06-16,12.63157
2020-06-17,14.78947
2020-06-18,14.57894
2020-06-19,17.15789
2020-06-20,9.36842
2020-06-21,7.0
2020-06-22,14.89473
2020-06-23,12.94736
2020-06-24,14.89473
2020-06-25,16.78947
2020-06-26,16.0
2020-06-27,7.10526
2020-06-28,5.94736
2020-06-29,12.63157
2020-06-30,14.21052
2020-07-01,10.57894
2020-07-02,8.10526
2020-07-03,10.42105
2020-07-04,5.47368
2020-07-05,4.68421
2020-07-06,12.94736
2020-07-07,9.94736
2020-07-08,7.89473
2020-07-09,8.94736
2020-07-10,9.15789
2020-07-11,4.26315
2020-07-12,3.78947
2020-07-13,7.57894
2020-07-14,6.73684
2020-07-15,9.05263
2020-07-16,8.36842
2020-07-17,8.78947
2020-07-18,4.26315
2020-07-19,4.31578
2020-07-20,9.47368
2020-07-21,11.05263
2020-07-22,12.31578
2020-07-23,12.21052
2020-07-24,9.78947
2020-07-25,5.21052
2020-07-26,6.26315
2020-07-27,11.15789
2020-07-28,10.31578
2020-07-29,10.8421
2020-07-30,12.42105
2020-07-31,11.0
2020-08-01,6.31578
2020-08-02,6.68421
2020-08-03,13.05263
2020-08-04,13.63157
2020-08-05,12.89473
2020-08-06,20.05263
2020-08-07,15.94736
2020-08-08,7.89473
2020-08-09,10.36842
2020-08-10,17.8421
2020-08-11,21.36842
2020-08-12,25.63157
2020-08-13,18.05263
2020-08-14,15.26315
2020-08-15,7.57894
2020-08-16,7.31578
2020-08-17,8.94736
2020-08-18,13.31578
2020-08-19,11.73684
2020-08-20,17.94736
2020-08-21,15.94736
2020-08-22,10.0
2020-08-23,7.21052
2020-08-24,14.94736
2020-08-25,12.42105
2020-08-26,17.52631
2020-08-27,36.26315
2020-08-28,48.89473
2020-08-29,15.10526
2020-08-30,13.10526
2020-08-31,27.57894
2020-09-01,21.10526
2020-09-02,15.94736
2020-09-03,20.52631
2020-09-04,20.42105
2020-09-05,12.47368
2020-09-06,13.31578
2020-09-07,27.63157
2020-09-08,27.68421
2020-09-09,24.89473
2020-09-10,24.05263
2020-09-11,25.05263
2020-09-12,13.52631
2020-09-13,12.10526
2020-09-14,27.73684
2020-09-15,26.31578
2020-09-16,24.36842
2020-09-17,20.94736
2020-09-18,18.8421
2020-09-19,11.57894
2020-09-20,10.47368
2020-09-21,16.89473
2020-09-22,15.78947
2020-09-23,19.8421
2020-09-24,14.05263
2020-09-25,23.36842
2020-09-26,9.21052
2020-09-27,8.31578
2020-09-28,17.21052
2020-09-29,22.63157
2020-09-30,7.15789
2020-10-01,6.63157
2020-10-02,8.0
2020-10-03,7.89473
2020-10-04,10.10526
2020-10-05,31.89473
2020-10-06,22.15789
2020-10-07,22.89473
2020-10-08,15.0
2020-10-09,7.94736
2020-10-10,8.8421
2020-10-11,13.68421
2020-10-12,27.94736
2020-10-13,20.36842
2020-10-14,23.63157
2020-10-15,15.78947
2020-10-16,16.10526
2020-10-17,7.21052
2020-10-18,8.21052
2020-10-19,22.05263
2020-10-20,15.31578
2020-10-21,17.57894
2020-10-22,25.31578
2020-10-23,23.57894
2020-10-24,8.8421
2020-10-25,6.73684
2020-10-26,17.42105
2020-10-27,13.94736
2020-10-28,12.0
2020-10-29,16.78947
2020-10-30,10.21052
2020-10-31,6.15789
2020-11-01,5.47368
