date,상해보험추천
2020-03-20,32.65306
2020-03-21,51.0204
2020-03-22,22.44897
2020-03-23,46.93877
2020-03-24,20.40816
2020-03-25,65.30612
2020-03-26,44.89795
2020-03-27,20.40816
2020-03-28,34.69387
2020-03-29,16.32653
2020-03-30,22.44897
2020-03-31,89.79591
2020-04-01,57.14285
2020-04-02,44.89795
2020-04-03,34.69387
2020-04-04,26.53061
2020-04-05,20.40816
2020-04-06,65.30612
2020-04-07,20.40816
2020-04-08,48.97959
2020-04-09,36.73469
2020-04-10,34.69387
2020-04-11,22.44897
2020-04-12,24.48979
2020-04-13,59.18367
2020-04-14,59.18367
2020-04-15,44.89795
2020-04-16,38.77551
2020-04-17,32.65306
2020-04-18,32.65306
2020-04-19,32.65306
2020-04-20,36.73469
2020-04-21,55.10204
2020-04-22,36.73469
2020-04-23,28.57142
2020-04-24,69.38775
2020-04-25,20.40816
2020-04-26,22.44897
2020-04-27,26.53061
2020-04-28,40.81632
2020-04-29,24.48979
2020-04-30,10.20408
2020-05-01,22.44897
2020-05-02,14.28571
2020-05-03,20.40816
2020-05-04,30.61224
2020-05-05,14.28571
2020-05-06,34.69387
2020-05-07,55.10204
2020-05-08,44.89795
2020-05-09,30.61224
2020-05-10,22.44897
2020-05-11,30.61224
2020-05-12,42.85714
2020-05-13,46.93877
2020-05-14,48.97959
2020-05-15,55.10204
2020-05-16,38.77551
2020-05-17,44.89795
2020-05-18,40.81632
2020-05-19,73.46938
2020-05-20,57.14285
2020-05-21,67.34693
2020-05-22,46.93877
2020-05-23,38.77551
2020-05-24,30.61224
2020-05-25,81.63265
2020-05-26,44.89795
2020-05-27,40.81632
2020-05-28,44.89795
2020-05-29,57.14285
2020-05-30,20.40816
2020-05-31,26.53061
2020-06-01,22.44897
2020-06-02,36.73469
2020-06-03,59.18367
2020-06-04,44.89795
2020-06-05,38.77551
2020-06-06,30.61224
2020-06-07,18.36734
2020-06-08,26.53061
2020-06-09,44.89795
2020-06-10,40.81632
2020-06-11,32.65306
2020-06-12,18.36734
2020-06-13,36.73469
2020-06-14,20.40816
2020-06-15,28.57142
2020-06-16,26.53061
2020-06-17,42.85714
2020-06-18,38.77551
2020-06-19,28.57142
2020-06-20,30.61224
2020-06-22,28.57142
2020-06-23,48.97959
2020-06-24,38.77551
2020-06-25,26.53061
2020-06-26,44.89795
2020-06-28,20.40816
2020-06-29,48.97959
2020-06-30,51.0204
2020-07-01,18.36734
2020-07-02,46.93877
2020-07-03,12.24489
2020-07-04,28.57142
2020-07-05,24.48979
2020-07-06,55.10204
2020-07-07,44.89795
2020-07-08,34.69387
2020-07-09,44.89795
2020-07-10,26.53061
2020-07-11,53.06122
2020-07-12,28.57142
2020-07-13,71.42857
2020-07-14,36.73469
2020-07-15,48.97959
2020-07-16,22.44897
2020-07-17,32.65306
2020-07-18,12.24489
2020-07-19,12.24489
2020-07-20,34.69387
2020-07-21,42.85714
2020-07-22,42.85714
2020-07-23,34.69387
2020-07-24,34.69387
2020-07-25,22.44897
2020-07-26,26.53061
2020-07-27,55.10204
2020-07-28,18.36734
2020-07-29,77.55102
2020-07-30,53.06122
2020-07-31,12.24489
2020-08-01,18.36734
2020-08-02,26.53061
2020-08-03,46.93877
2020-08-04,51.0204
2020-08-05,44.89795
2020-08-06,53.06122
2020-08-07,38.77551
2020-08-08,22.44897
2020-08-09,24.48979
2020-08-10,44.89795
2020-08-11,40.81632
2020-08-12,38.77551
2020-08-13,57.14285
2020-08-14,57.14285
2020-08-15,20.40816
2020-08-16,22.44897
2020-08-17,32.65306
2020-08-18,18.36734
2020-08-19,30.61224
2020-08-20,55.10204
2020-08-21,65.30612
2020-08-22,32.65306
2020-08-24,40.81632
2020-08-25,38.77551
2020-08-26,40.81632
2020-08-27,30.61224
2020-08-28,34.69387
2020-08-29,28.57142
2020-08-30,20.40816
2020-08-31,44.89795
2020-09-01,32.65306
2020-09-02,69.38775
2020-09-03,46.93877
2020-09-04,40.81632
2020-09-05,32.65306
2020-09-06,24.48979
2020-09-07,61.22448
2020-09-08,42.85714
2020-09-09,61.22448
2020-09-10,67.34693
2020-09-11,71.42857
2020-09-12,24.48979
2020-09-13,38.77551
2020-09-14,81.63265
2020-09-15,59.18367
2020-09-16,65.30612
2020-09-17,61.22448
2020-09-18,40.81632
2020-09-19,26.53061
2020-09-20,24.48979
2020-09-21,48.97959
2020-09-22,36.73469
2020-09-23,48.97959
2020-09-24,44.89795
2020-09-25,38.77551
2020-09-26,34.69387
2020-09-27,20.40816
2020-09-28,61.22448
2020-09-29,36.73469
2020-09-30,12.24489
2020-10-01,20.40816
2020-10-02,22.44897
2020-10-03,28.57142
2020-10-05,63.2653
2020-10-06,38.77551
2020-10-07,51.0204
2020-10-08,40.81632
2020-10-09,40.81632
2020-10-10,10.20408
2020-10-11,22.44897
2020-10-12,22.44897
2020-10-13,44.89795
2020-10-14,44.89795
2020-10-15,46.93877
2020-10-16,48.97959
2020-10-17,26.53061
2020-10-18,34.69387
2020-10-19,22.44897
2020-10-20,24.48979
2020-10-21,26.53061
2020-10-22,12.24489
2020-10-23,28.57142
2020-10-24,14.28571
2020-10-25,16.32653
2020-10-26,51.0204
2020-10-27,44.89795
2020-10-28,34.69387
2020-10-29,46.93877
2020-10-30,24.48979
2020-10-31,10.20408
2020-11-01,12.24489
2020-11-02,32.65306
2020-11-03,34.69387
2020-11-04,26.53061
2020-11-05,42.85714
2020-11-06,46.93877
2020-11-07,30.61224
2020-11-08,16.32653
2020-11-09,32.65306
2020-11-10,55.10204
2020-11-11,30.61224
2020-11-12,32.65306
2020-11-13,53.06122
2020-11-14,53.06122
2020-11-15,32.65306
2020-11-16,40.81632
2020-11-17,61.22448
2020-11-18,46.93877
2020-11-19,24.48979
2020-11-20,44.89795
2020-11-21,44.89795
2020-11-22,30.61224
2020-11-23,34.69387
2020-11-24,22.44897
2020-11-25,30.61224
2020-11-26,28.57142
2020-11-27,34.69387
2020-11-28,18.36734
2020-11-29,14.28571
2020-11-30,24.48979
2020-12-01,22.44897
2020-12-02,34.69387
2020-12-03,18.36734
2020-12-04,30.61224
2020-12-05,14.28571
2020-12-06,22.44897
2020-12-07,44.89795
2020-12-08,34.69387
2020-12-09,40.81632
2020-12-10,79.59183
2020-12-11,81.63265
2020-12-12,40.81632
2020-12-13,10.20408
2020-12-14,20.40816
2020-12-15,16.32653
2020-12-16,32.65306
2020-12-17,22.44897
2020-12-18,26.53061
2020-12-19,14.28571
2020-12-20,12.24489
2020-12-21,14.28571
2020-12-22,40.81632
2020-12-23,77.55102
2020-12-24,36.73469
2020-12-25,26.53061
2020-12-26,32.65306
2020-12-28,30.61224
2020-12-29,65.30612
2020-12-30,18.36734
2020-12-31,34.69387
2021-01-01,42.85714
2021-01-02,32.65306
2021-01-03,16.32653
2021-01-04,18.36734
2021-01-05,18.36734
2021-01-06,38.77551
2021-01-07,28.57142
2021-01-08,16.32653
2021-01-09,44.89795
2021-01-10,26.53061
2021-01-11,24.48979
2021-01-12,38.77551
2021-01-13,42.85714
2021-01-14,46.93877
2021-01-15,26.53061
2021-01-16,28.57142
2021-01-17,22.44897
2021-01-18,57.14285
2021-01-19,30.61224
2021-01-20,44.89795
2021-01-21,34.69387
2021-01-22,46.93877
2021-01-23,24.48979
2021-01-24,10.20408
2021-01-25,48.97959
2021-01-26,59.18367
2021-01-27,24.48979
2021-01-28,38.77551
2021-01-29,53.06122
2021-01-30,18.36734
2021-01-31,42.85714
2021-02-01,40.81632
2021-02-02,75.5102
2021-02-03,34.69387
2021-02-04,40.81632
2021-02-05,38.77551
2021-02-06,16.32653
2021-02-07,24.48979
2021-02-08,36.73469
2021-02-09,40.81632
2021-02-10,18.36734
2021-02-11,12.24489
2021-02-12,24.48979
2021-02-13,24.48979
2021-02-14,16.32653
2021-02-15,40.81632
2021-02-16,32.65306
2021-02-17,51.0204
2021-02-18,22.44897
2021-02-19,40.81632
2021-02-20,34.69387
2021-02-21,16.32653
2021-02-22,40.81632
2021-02-23,77.55102
2021-02-24,61.22448
2021-02-25,38.77551
2021-02-26,36.73469
2021-02-27,28.57142
2021-02-28,10.20408
2021-03-01,26.53061
2021-03-02,18.36734
2021-03-03,48.97959
2021-03-04,63.2653
2021-03-05,48.97959
2021-03-06,22.44897
2021-03-07,20.40816
2021-03-08,38.77551
2021-03-09,36.73469
2021-03-10,38.77551
2021-03-11,32.65306
2021-03-12,34.69387
2021-03-13,26.53061
2021-03-14,18.36734
2021-03-15,44.89795
2021-03-16,48.97959
2021-03-17,30.61224
2021-03-18,36.73469
2021-03-19,40.81632
2021-03-20,53.06122
2021-03-21,34.69387
2021-03-22,51.0204
2021-03-23,46.93877
2021-03-24,24.48979
2021-03-25,30.61224
2021-03-26,20.40816
2021-03-27,26.53061
2021-03-28,30.61224
2021-03-29,55.10204
2021-03-30,38.77551
2021-03-31,75.5102
2021-04-01,61.22448
2021-04-02,51.0204
2021-04-03,12.24489
2021-04-04,28.57142
2021-04-05,59.18367
2021-04-06,30.61224
2021-04-07,16.32653
2021-04-08,24.48979
2021-04-09,24.48979
2021-04-10,34.69387
2021-04-11,22.44897
2021-04-12,34.69387
2021-04-13,46.93877
2021-04-14,38.77551
2021-04-15,18.36734
2021-04-16,32.65306
2021-04-17,14.28571
2021-04-18,14.28571
2021-04-19,26.53061
2021-04-20,24.48979
2021-04-21,42.85714
2021-04-22,26.53061
2021-04-23,18.36734
2021-04-24,16.32653
2021-04-26,36.73469
2021-04-27,26.53061
2021-04-28,20.40816
2021-04-29,22.44897
2021-04-30,12.24489
2021-05-01,20.40816
2021-05-02,14.28571
2021-05-03,36.73469
2021-05-04,34.69387
2021-05-05,22.44897
2021-05-06,30.61224
2021-05-07,40.81632
2021-05-08,28.57142
2021-05-09,34.69387
2021-05-10,28.57142
2021-05-11,67.34693
2021-05-12,32.65306
2021-05-13,36.73469
2021-05-14,18.36734
2021-05-15,20.40816
2021-05-16,32.65306
2021-05-17,40.81632
2021-05-18,48.97959
2021-05-19,18.36734
2021-05-20,57.14285
2021-05-21,26.53061
2021-05-22,20.40816
2021-05-23,20.40816
2021-05-24,44.89795
2021-05-25,18.36734
2021-05-26,24.48979
2021-05-27,22.44897
2021-05-28,32.65306
2021-05-29,12.24489
2021-05-30,16.32653
2021-05-31,46.93877
2021-06-01,12.24489
2021-06-02,42.85714
2021-06-03,32.65306
2021-06-04,16.32653
2021-06-05,12.24489
2021-06-07,28.57142
2021-06-08,24.48979
2021-06-09,46.93877
2021-06-10,14.28571
2021-06-11,44.89795
2021-06-12,12.24489
2021-06-14,38.77551
2021-06-15,18.36734
2021-06-16,34.69387
2021-06-17,20.40816
2021-06-18,34.69387
2021-06-19,26.53061
2021-06-20,18.36734
2021-06-21,42.85714
2021-06-22,18.36734
2021-06-23,34.69387
2021-06-24,57.14285
2021-06-25,40.81632
2021-06-26,22.44897
2021-06-28,28.57142
2021-06-29,59.18367
2021-06-30,59.18367
2021-07-01,30.61224
2021-07-02,10.20408
2021-07-04,10.20408
2021-07-05,36.73469
2021-07-06,32.65306
2021-07-07,30.61224
2021-07-08,16.32653
2021-07-09,20.40816
2021-07-10,16.32653
2021-07-12,22.44897
2021-07-13,16.32653
2021-07-14,18.36734
2021-07-15,18.36734
2021-07-16,36.73469
2021-07-17,18.36734
2021-07-18,10.20408
2021-07-20,14.28571
2021-07-21,28.57142
2021-07-22,32.65306
