date,건강보험종류
2020-11-11,1.21802
2020-11-12,1.78643
2020-11-13,0.81201
2020-11-14,0.3654
2020-11-15,0.48721
2020-11-16,1.66463
2020-11-17,1.50223
2020-11-18,1.86764
2020-11-19,0.89321
2020-11-20,0.60901
2020-11-21,0.203
2020-11-22,0.406
2020-11-23,1.05562
2020-11-24,1.29922
2020-11-25,0.93382
2020-11-26,1.58343
2020-11-27,2.07064
2020-11-28,0.52781
2020-11-29,0.77141
2020-11-30,1.74583
2020-12-01,2.07064
2020-12-02,1.74583
2020-12-03,1.13682
2020-12-04,0.85261
2020-12-05,0.406
2020-12-06,0.56841
2020-12-07,1.46163
2020-12-08,2.31425
2020-12-09,1.25862
2020-12-10,1.54283
2020-12-11,0.73081
2020-12-12,0.406
2020-12-13,0.406
2020-12-14,2.07064
2020-12-15,1.46163
2020-12-16,1.86764
2020-12-17,1.74583
2020-12-18,1.38043
2020-12-19,0.3654
2020-12-20,0.85261
2020-12-21,2.23304
2020-12-22,1.94884
2020-12-23,1.58343
2020-12-24,0.64961
2020-12-25,0.3248
2020-12-27,0.97442
2020-12-28,1.66463
2020-12-29,1.94884
2020-12-30,2.15184
2020-12-31,1.21802
2021-01-01,0.3654
2021-01-02,0.81201
2021-01-03,1.13682
2021-01-04,3.04506
2021-01-05,3.00446
2021-01-06,1.74583
2021-01-07,2.88266
2021-01-08,2.07064
2021-01-09,0.69021
2021-01-10,0.89321
2021-01-11,3.36987
2021-01-12,2.19244
2021-01-13,2.76086
2021-01-14,2.23304
2021-01-15,1.98944
2021-01-16,0.56841
2021-01-17,1.21802
2021-01-18,2.39545
2021-01-19,2.43605
2021-01-20,2.15184
2021-01-21,2.07064
2021-01-22,1.54283
2021-01-23,1.05562
2021-01-24,0.89321
2021-01-25,1.98944
2021-01-26,2.27365
2021-01-27,1.90824
2021-01-28,1.90824
2021-01-29,2.15184
2021-01-30,0.73081
2021-01-31,1.82704
2021-02-01,4.06008
2021-02-02,3.08566
2021-02-03,3.53227
2021-02-04,2.63905
2021-02-05,2.76086
2021-02-06,1.25862
2021-02-07,1.86764
2021-02-08,3.00446
2021-02-09,2.11124
2021-02-10,1.29922
2021-02-11,0.3654
2021-02-13,0.4466
2021-02-14,1.17742
2021-02-15,2.84206
2021-02-16,4.5879
2021-02-17,4.8315
2021-02-18,5.39991
2021-02-19,4.50669
2021-02-20,3.45107
2021-02-21,5.15631
2021-02-22,9.3382
2021-02-23,10.63743
2021-02-24,10.67803
2021-02-25,11.77425
2021-02-26,11.81485
2021-02-27,11.08404
2021-02-28,12.09906
2021-03-01,43.48355
2021-03-02,100.0
2021-03-03,80.22736
2021-03-04,48.03085
2021-03-05,18.14859
2021-03-06,5.96833
2021-03-07,16.19975
2021-03-08,28.09581
2021-03-09,16.52456
2021-03-10,11.97726
2021-03-11,7.63296
2021-03-12,4.34429
2021-03-13,1.54283
2021-03-14,4.9127
2021-03-15,8.60738
2021-03-16,4.6691
2021-03-17,2.84206
2021-03-18,2.07064
2021-03-19,1.01502
2021-03-20,0.56841
2021-03-21,1.21802
2021-03-22,1.82704
2021-03-23,1.33982
2021-03-24,2.07064
2021-03-25,2.03004
2021-03-26,1.38043
2021-03-27,0.73081
2021-03-28,1.17742
2021-03-29,2.19244
2021-03-30,2.23304
2021-03-31,1.70523
2021-04-01,2.35485
2021-04-02,1.42103
2021-04-03,0.56841
2021-04-04,1.74583
2021-04-05,3.41047
2021-04-06,2.47665
2021-04-07,1.58343
2021-04-08,1.46163
2021-04-09,1.46163
2021-04-10,0.2436
2021-04-11,0.93382
2021-04-12,3.00446
2021-04-13,2.31425
2021-04-14,2.07064
2021-04-15,1.78643
2021-04-16,1.74583
