date,파미셀주가
2020-11-07,1.84667
2020-11-08,1.71047
2020-11-09,16.54536
2020-11-10,30.1955
2020-11-11,22.904
2020-11-12,27.33982
2020-11-13,34.52295
2020-11-14,4.03456
2020-11-15,3.40338
2020-11-16,25.49461
2020-11-17,63.51175
2020-11-18,40.46423
2020-11-19,30.26726
2020-11-20,26.61931
2020-11-21,3.84711
2020-11-22,3.49564
2020-11-23,25.49461
2020-11-24,20.33096
2020-11-25,19.1799
2020-11-26,17.82675
2020-11-27,16.2554
2020-11-28,2.57011
2020-11-29,2.21278
2020-11-30,19.56212
2020-12-01,31.19425
2020-12-02,22.20253
2020-12-03,28.87017
2020-12-04,23.72849
2020-12-05,3.24082
2020-12-06,3.06948
2020-12-07,19.14915
2020-12-08,17.50604
2020-12-09,21.90964
2020-12-10,17.26587
2020-12-11,15.62568
2020-12-12,2.47052
2020-12-13,2.01654
2020-12-14,17.99516
2020-12-15,14.61814
2020-12-16,20.00732
2020-12-17,24.50757
2020-12-18,22.67701
2020-12-19,4.3377
2020-12-20,3.88372
2020-12-21,21.13787
2020-12-22,18.13282
2020-12-23,18.2983
2020-12-24,16.64201
2020-12-25,1.86131
2020-12-26,1.64897
2020-12-27,1.72365
2020-12-28,21.4952
2020-12-29,20.30314
2020-12-30,18.74935
2020-12-31,3.5879
2021-01-01,2.00922
2021-01-02,1.69876
2021-01-03,1.71047
2021-01-04,15.1512
2021-01-05,15.18488
2021-01-06,15.12191
2021-01-07,14.5991
2021-01-08,13.15662
2021-01-09,1.93014
2021-01-10,1.72658
2021-01-11,12.99846
2021-01-12,11.38463
2021-01-13,10.91162
2021-01-14,10.3932
2021-01-15,9.66537
2021-01-16,1.32532
2021-01-17,1.33557
2021-01-18,10.66998
2021-01-19,11.2499
2021-01-20,11.59698
2021-01-21,11.91769
2021-01-22,14.23006
2021-01-23,1.97115
2021-01-24,1.68704
2021-01-25,11.32898
2021-01-26,10.64801
2021-01-27,9.28754
2021-01-28,8.42205
2021-01-29,8.90385
2021-01-30,1.06465
2021-01-31,0.96653
2021-02-01,10.36538
2021-02-02,9.1616
2021-02-03,8.09108
2021-02-04,7.74108
2021-02-05,7.55656
2021-02-06,1.18034
2021-02-07,0.97239
2021-02-08,8.52017
2021-02-09,7.34421
2021-02-10,6.57391
2021-02-11,1.22135
2021-02-12,0.88599
2021-02-13,0.86549
2021-02-14,0.91967
2021-02-15,13.15808
2021-02-16,11.53986
2021-02-17,18.24998
2021-02-18,12.46393
2021-02-19,9.58189
2021-02-20,1.25503
2021-02-21,1.06172
2021-02-22,12.46979
2021-02-23,10.82961
2021-02-24,9.61558
2021-02-25,10.58065
2021-02-26,10.38734
2021-02-27,1.35168
2021-02-28,1.16716
2021-03-01,1.27846
2021-03-02,9.1162
2021-03-03,8.31661
2021-03-04,8.25364
2021-03-05,9.80888
2021-03-06,1.30921
2021-03-07,1.08808
2021-03-08,8.15698
2021-03-09,6.7599
2021-03-10,7.19777
2021-03-11,7.03082
2021-03-12,7.23292
2021-03-13,0.80544
2021-03-14,0.70147
2021-03-15,6.96639
2021-03-16,6.61931
2021-03-17,8.31661
2021-03-18,7.31053
2021-03-19,6.79505
2021-03-20,0.89624
2021-03-21,0.6136
2021-03-22,6.46994
2021-03-23,6.29567
2021-03-24,5.81679
2021-03-25,5.47411
2021-03-26,5.44482
2021-03-27,0.71025
2021-03-28,0.61067
2021-03-29,5.81679
2021-03-30,5.92077
2021-03-31,5.45654
2021-04-01,5.4785
2021-04-02,5.43018
2021-04-03,0.68975
2021-04-04,0.6546
2021-04-05,5.49461
2021-04-06,5.51072
2021-04-07,5.60738
2021-04-08,6.6735
2021-04-09,6.38793
2021-04-10,0.63117
2021-04-11,0.49205
2021-04-12,5.89734
2021-04-13,9.39298
2021-04-14,8.80281
2021-04-15,9.52478
2021-04-16,9.26557
2021-04-17,2.44416
