date,환전계산기
2020-03-20,44.64512
2020-03-21,27.72496
2020-03-22,26.67934
2020-03-23,39.10012
2020-03-24,35.64638
2020-03-25,35.13941
2020-03-26,34.37896
2020-03-27,33.52344
2020-03-28,22.62357
2020-03-29,24.74651
2020-03-30,28.83396
2020-03-31,33.30164
2020-04-01,32.63624
2020-04-02,29.75285
2020-04-03,28.77059
2020-04-04,22.97211
2020-04-05,23.95437
2020-04-06,28.80228
2020-04-07,31.21039
2020-04-08,29.72116
2020-04-09,28.32699
2020-04-10,29.65779
2020-04-11,22.46514
2020-04-12,24.17617
2020-04-13,30.41825
2020-04-14,29.21419
2020-04-15,22.71863
2020-04-16,30.0697
2020-04-17,30.76679
2020-04-18,24.39797
2020-04-19,24.71482
2020-04-20,32.22433
2020-04-21,31.6223
2020-04-22,30.41825
2020-04-23,28.35868
2020-04-24,28.58048
2020-04-25,23.51077
2020-04-26,22.81368
2020-04-27,28.42205
2020-04-28,29.59442
2020-04-29,26.07731
2020-04-30,26.39416
2020-05-01,23.891
2020-05-02,20.53231
2020-05-03,21.41951
2020-05-04,29.72116
2020-05-05,28.77059
2020-05-06,31.08365
2020-05-07,26.93282
2020-05-08,28.61216
2020-05-09,22.27503
2020-05-10,22.5602
2020-05-11,29.68948
2020-05-12,29.53105
2020-05-13,26.55259
2020-05-14,26.61596
2020-05-15,26.64765
2020-05-16,19.32826
2020-05-17,21.13434
2020-05-18,27.75665
2020-05-19,28.64385
2020-05-20,27.72496
2020-05-21,25.44359
2020-05-22,27.43979
2020-05-23,20.27883
2020-05-24,21.29277
2020-05-25,30.25982
2020-05-26,31.4005
2020-05-27,26.77439
2020-05-28,27.97845
2020-05-29,27.31305
2020-05-30,20.75411
2020-05-31,20.3422
2020-06-01,28.86565
2020-06-02,30.03802
2020-06-03,28.61216
2020-06-04,27.59822
2020-06-05,28.64385
2020-06-06,21.07097
2020-06-07,19.6768
2020-06-08,28.16856
2020-06-09,26.80608
2020-06-10,28.39036
2020-06-11,24.7782
2020-06-12,26.77439
2020-06-13,20.37389
2020-06-14,22.97211
2020-06-15,26.48922
2020-06-16,27.66159
2020-06-17,26.42585
2020-06-18,23.82762
2020-06-19,24.58808
2020-06-20,20.40557
2020-06-21,18.59949
2020-06-22,27.72496
2020-06-23,26.04562
2020-06-24,26.17237
2020-06-25,24.87325
2020-06-26,24.68314
2020-06-27,19.77186
2020-06-28,19.20152
2020-06-29,26.67934
2020-06-30,26.42585
2020-07-01,26.14068
2020-07-02,25.53865
2020-07-03,27.37642
2020-07-04,19.51837
2020-07-05,19.86692
2020-07-06,29.46768
2020-07-07,30.5133
2020-07-08,26.96451
2020-07-09,29.4043
2020-07-10,25.34854
2020-07-11,18.82129
2020-07-12,19.61343
2020-07-13,29.78453
2020-07-14,29.30925
2020-07-15,27.12294
2020-07-16,27.34474
2020-07-17,26.61596
2020-07-18,19.64512
2020-07-19,20.08871
2020-07-20,28.77059
2020-07-21,30.86185
2020-07-22,32.31939
2020-07-23,28.23193
2020-07-24,27.34474
2020-07-25,19.99366
2020-07-26,21.54626
2020-07-27,29.46768
2020-07-28,30.03802
2020-07-29,29.72116
2020-07-30,29.81622
2020-07-31,30.76679
2020-08-01,22.30671
2020-08-02,21.41951
2020-08-03,29.56273
2020-08-04,31.4005
2020-08-05,32.82636
2020-08-06,32.35107
2020-08-07,27.28136
2020-08-08,22.87705
2020-08-09,22.94043
2020-08-10,29.91128
2020-08-11,30.32319
2020-08-12,28.77059
2020-08-13,29.21419
2020-08-14,27.28136
2020-08-15,20.3422
2020-08-16,22.24334
2020-08-17,25.57034
2020-08-18,31.30544
2020-08-19,31.74904
2020-08-20,31.4005
2020-08-21,29.75285
2020-08-22,25.06337
2020-08-23,24.68314
2020-08-24,33.90367
2020-08-25,32.22433
2020-08-26,30.64005
2020-08-27,33.65019
2020-08-28,30.38656
2020-08-29,23.4474
2020-08-30,26.58428
2020-08-31,32.82636
2020-09-01,37.26235
2020-09-02,41.5716
2020-09-03,33.07984
2020-09-04,34.60076
2020-09-05,26.42585
2020-09-06,26.48922
2020-09-07,32.98479
2020-09-08,32.85804
2020-09-09,33.20659
2020-09-10,33.3967
2020-09-11,29.4043
2020-09-12,23.38403
2020-09-13,23.95437
2020-09-14,30.86185
2020-09-15,34.53738
2020-09-16,34.44233
2020-09-17,32.60456
2020-09-18,31.81242
2020-09-19,23.28897
2020-09-20,21.4512
2020-09-21,32.88973
2020-09-22,28.13688
2020-09-23,27.82002
2020-09-24,27.50316
2020-09-25,27.82002
2020-09-26,22.46514
2020-09-27,21.32446
2020-09-28,28.67553
2020-09-29,28.39036
2020-09-30,23.35234
2020-10-01,20.59569
2020-10-02,25.28517
2020-10-03,23.70088
2020-10-04,22.782
2020-10-05,34.79087
2020-10-06,30.86185
2020-10-07,31.71736
2020-10-08,29.8479
2020-10-09,24.52471
2020-10-10,23.891
2020-10-11,26.10899
2020-10-12,34.31558
2020-10-13,33.65019
2020-10-14,38.49809
2020-10-15,33.14321
2020-10-16,29.11913
2020-10-17,21.73637
2020-10-18,23.51077
2020-10-19,31.30544
2020-10-20,34.2839
2020-10-21,32.16096
2020-10-22,28.16856
2020-10-23,31.05196
2020-10-24,22.3384
2020-10-25,22.52851
2020-10-26,31.93916
2020-10-27,29.75285
2020-10-28,28.77059
2020-10-29,23.79594
2020-10-30,25.25348
2020-10-31,20.81749
2020-11-01,20.53231
2020-11-02,28.26362
2020-11-03,26.52091
2020-11-04,25.82382
2020-11-05,30.64005
2020-11-06,27.12294
2020-11-07,19.96197
2020-11-08,19.83523
2020-11-09,30.79847
2020-11-10,31.30544
2020-11-11,30.25982
2020-11-12,27.47148
2020-11-13,27.91508
2020-11-14,22.40177
2020-11-15,21.0076
2020-11-16,35.58301
2020-11-17,30.13307
2020-11-18,32.12927
2020-11-19,32.0659
2020-11-20,27.59822
2020-11-21,22.1166
2020-11-22,21.26108
2020-11-23,31.6223
2020-11-24,34.2839
2020-11-25,33.01647
2020-11-26,33.68187
2020-11-27,34.5057
2020-11-28,29.46768
2020-11-29,24.93662
2020-11-30,31.90747
2020-12-01,34.82256
2020-12-02,33.11153
2020-12-03,37.35741
2020-12-04,37.73764
2020-12-05,25.03168
2020-12-06,26.29911
2020-12-07,30.86185
2020-12-08,35.3929
2020-12-09,33.8403
2020-12-10,32.92141
2020-12-11,32.69961
2020-12-12,21.16603
2020-12-13,24.01774
2020-12-14,30.2915
2020-12-15,33.52344
2020-12-16,31.71736
2020-12-17,29.21419
2020-12-18,31.27376
2020-12-19,24.08111
2020-12-20,24.90494
2020-12-21,35.01267
2020-12-22,32.00253
2020-12-23,32.69961
2020-12-24,28.67553
2020-12-25,26.96451
2020-12-26,24.08111
2020-12-27,30.0697
2020-12-28,34.63244
2020-12-29,36.53358
2020-12-30,37.32572
2020-12-31,31.55893
2021-01-01,27.21799
2021-01-02,27.94676
2021-01-03,26.55259
2021-01-04,37.32572
2021-01-05,38.43472
2021-01-06,37.29404
2021-01-07,35.51964
2021-01-08,38.91001
2021-01-09,29.75285
2021-01-10,30.57667
2021-01-11,37.57921
2021-01-12,36.0583
2021-01-13,36.59695
2021-01-14,37.67427
2021-01-15,36.69201
2021-01-16,27.24968
2021-01-17,26.67934
2021-01-18,33.55513
2021-01-19,34.12547
2021-01-20,36.69201
2021-01-21,35.86818
2021-01-22,33.65019
2021-01-23,29.43599
2021-01-24,26.39416
2021-01-25,38.91001
2021-01-26,35.70975
2021-01-27,38.24461
2021-01-28,40.14575
2021-01-29,36.53358
2021-01-30,29.37262
2021-01-31,27.94676
2021-02-01,37.57921
2021-02-02,35.20278
2021-02-03,34.44233
2021-02-04,35.07604
2021-02-05,35.20278
2021-02-06,28.16856
2021-02-07,26.90114
2021-02-08,32.31939
2021-02-09,35.86818
2021-02-10,35.55133
2021-02-11,29.08745
2021-02-12,29.91128
2021-02-13,30.0697
2021-02-14,29.6261
2021-02-15,37.64258
2021-02-16,39.54372
2021-02-17,35.77313
2021-02-18,37.35741
2021-02-19,34.34727
2021-02-20,26.67934
2021-02-21,27.02788
2021-02-22,32.85804
2021-02-23,37.07224
2021-02-24,33.55513
2021-02-25,34.2839
2021-02-26,32.66793
2021-02-27,26.96451
2021-02-28,24.58808
2021-03-01,30.38656
2021-03-02,31.1787
2021-03-03,30.7351
2021-03-04,33.42839
2021-03-05,29.72116
2021-03-06,24.30291
2021-03-07,23.57414
2021-03-08,33.20659
2021-03-09,31.68567
2021-03-10,33.23827
2021-03-11,33.55513
2021-03-12,34.75918
2021-03-13,26.10899
2021-03-14,25.69708
2021-03-15,31.8441
2021-03-16,33.87198
2021-03-17,31.02027
2021-03-18,31.33713
2021-03-19,30.13307
2021-03-20,25.53865
2021-03-21,26.61596
2021-03-22,32.57287
2021-03-23,31.30544
2021-03-24,30.9569
2021-03-25,32.69961
2021-03-26,26.86945
2021-03-27,24.42965
2021-03-28,24.30291
2021-03-29,31.52724
2021-03-30,31.02027
2021-03-31,32.38276
2021-04-01,31.93916
2021-04-02,26.93282
2021-04-03,24.20785
2021-04-04,22.68694
2021-04-05,31.49556
2021-04-06,31.78073
2021-04-07,31.4005
2021-04-08,29.27756
2021-04-09,29.81622
2021-04-10,23.03548
2021-04-11,22.02154
2021-04-12,30.16476
2021-04-13,30.03802
2021-04-14,31.59062
2021-04-15,29.6261
2021-04-16,28.86565
2021-04-17,24.84157
2021-04-18,25.44359
2021-04-19,30.16476
2021-04-20,34.31558
2021-04-21,33.36501
2021-04-22,29.81622
2021-04-23,30.2915
2021-04-24,21.51457
2021-04-25,21.13434
2021-04-26,27.85171
2021-04-27,29.08745
2021-04-28,28.83396
2021-04-29,27.53485
2021-04-30,27.53485
2021-05-01,20.05703
2021-05-02,21.35614
2021-05-03,26.93282
2021-05-04,27.91508
2021-05-05,26.74271
2021-05-06,28.64385
2021-05-07,29.6261
2021-05-08,23.60583
2021-05-09,21.8948
2021-05-10,30.13307
2021-05-11,32.31939
2021-05-12,29.53105
2021-05-13,27.88339
2021-05-14,28.45373
2021-05-15,21.83143
2021-05-16,22.43346
2021-05-17,30.25982
2021-05-18,26.45754
2021-05-19,25.79214
2021-05-20,30.92522
2021-05-21,27.18631
2021-05-22,21.8948
2021-05-23,22.52851
2021-05-24,29.30925
2021-05-25,29.37262
2021-05-26,31.14702
2021-05-27,30.9569
2021-05-28,28.9607
2021-05-29,22.37008
2021-05-30,22.08491
2021-05-31,29.97465
2021-06-01,28.13688
2021-06-02,28.89733
2021-06-03,27.75665
2021-06-04,26.36248
2021-06-05,20.72243
2021-06-06,22.43346
2021-06-07,28.01013
2021-06-08,29.46768
2021-06-09,28.20025
2021-06-10,28.07351
2021-06-11,27.82002
