date,금값시세1돈
2020-03-20,56.66041
2020-03-21,30.67542
2020-03-22,26.45403
2020-03-23,36.21013
2020-03-24,34.05253
2020-03-25,35.36585
2020-03-26,35.08442
2020-03-27,25.23452
2020-03-28,19.13696
2020-03-29,14.72795
2020-03-30,21.10694
2020-03-31,21.7636
2020-04-01,22.04502
2020-04-02,20.45028
2020-04-03,19.23076
2020-04-04,17.82363
2020-04-05,12.57035
2020-04-06,25.42213
2020-04-07,21.10694
2020-04-08,27.2045
2020-04-09,21.29455
2020-04-10,35.45966
2020-04-11,20.35647
2020-04-12,45.77861
2020-04-13,51.31332
2020-04-14,47.27954
2020-04-15,25.32833
2020-04-16,31.33208
2020-04-17,36.58536
2020-04-18,23.82739
2020-04-19,18.76172
2020-04-20,29.3621
2020-04-21,32.73921
2020-04-22,34.803
2020-04-23,32.92682
2020-04-24,37.61726
2020-04-25,21.38836
2020-04-26,20.26266
2020-04-27,45.96622
2020-04-28,33.58348
2020-04-29,26.64165
2020-04-30,21.29455
2020-05-01,17.82363
2020-05-02,18.38649
2020-05-03,16.69793
2020-05-04,22.13883
2020-05-05,18.76172
2020-05-06,27.76735
2020-05-07,20.82551
2020-05-08,19.606
2020-05-09,17.26078
2020-05-10,12.47654
2020-05-11,18.4803
2020-05-12,21.01313
2020-05-13,19.79362
2020-05-14,22.70168
2020-05-15,22.32645
2020-05-16,16.41651
2020-05-17,13.22701
2020-05-18,35.27204
2020-05-19,36.77298
2020-05-20,24.57786
2020-05-21,23.26454
2020-05-22,26.07879
2020-05-23,17.4484
2020-05-24,13.97748
2020-05-25,22.8893
2020-05-26,22.60787
2020-05-27,23.26454
2020-05-28,25.42213
2020-05-29,21.57598
2020-05-30,12.38273
2020-05-31,15.47842
2020-06-01,21.29455
2020-06-02,22.04502
2020-06-03,20.91932
2020-06-04,18.01125
2020-06-05,16.51031
2020-06-06,12.57035
2020-06-07,10.9756
2020-06-08,16.13508
2020-06-09,18.19887
2020-06-10,17.82363
2020-06-11,20.26266
2020-06-12,19.98123
2020-06-13,13.97748
2020-06-14,14.35272
2020-06-15,19.98123
2020-06-16,20.45028
2020-06-17,19.69981
2020-06-18,16.60412
2020-06-19,14.72795
2020-06-20,9.75609
