date,세제혜택
2020-03-20,31.50183
2020-03-21,15.01831
2020-03-22,17.21611
2020-03-23,32.96703
2020-03-24,39.19413
2020-03-25,44.32234
2020-03-26,36.26373
2020-03-27,24.54212
2020-03-28,18.68131
2020-03-29,22.34432
2020-03-30,36.99633
2020-03-31,37.72893
2020-04-01,27.47252
2020-04-02,36.26373
2020-04-03,23.44322
2020-04-04,15.38461
2020-04-05,15.38461
2020-04-06,27.47252
2020-04-07,29.67032
2020-04-08,39.19413
2020-04-09,34.06593
2020-04-10,27.10622
2020-04-11,16.84981
2020-04-12,17.21611
2020-04-13,37.72893
2020-04-14,34.79853
2020-04-15,21.24542
2020-04-16,32.96703
2020-04-17,23.80952
2020-04-18,12.08791
2020-04-19,10.98901
2020-04-20,31.13553
2020-04-21,34.79853
2020-04-22,40.29304
2020-04-23,32.96703
2020-04-24,29.30402
2020-04-25,18.68131
2020-04-26,13.91941
2020-04-27,32.96703
2020-04-28,26.73992
2020-04-29,31.50183
2020-04-30,20.14652
2020-05-01,13.91941
2020-05-02,17.21611
2020-05-03,14.65201
2020-05-04,25.64102
2020-05-05,39.92673
2020-05-06,36.26373
2020-05-07,30.40293
2020-05-08,24.54212
2020-05-09,15.01831
2020-05-10,19.41391
2020-05-11,28.93772
2020-05-12,38.46153
2020-05-13,40.65934
2020-05-14,33.33333
2020-05-15,33.69963
2020-05-16,18.68131
2020-05-17,21.97802
2020-05-18,30.03663
2020-05-19,34.43223
2020-05-20,37.36263
2020-05-21,29.30402
2020-05-22,29.30402
2020-05-23,17.58241
2020-05-24,12.82051
2020-05-25,32.60073
2020-05-26,31.13553
2020-05-27,31.13553
2020-05-28,36.26373
2020-05-29,25.64102
2020-05-30,10.98901
2020-05-31,13.91941
2020-06-01,29.30402
2020-06-02,27.47252
2020-06-03,34.79853
2020-06-04,24.54212
2020-06-05,24.90842
2020-06-06,16.48351
2020-06-07,16.84981
2020-06-08,29.30402
2020-06-09,33.69963
2020-06-10,32.96703
2020-06-11,33.33333
2020-06-12,24.54212
2020-06-13,13.91941
2020-06-14,18.31501
2020-06-15,38.09523
2020-06-16,38.09523
2020-06-17,41.02564
2020-06-18,29.67032
2020-06-19,25.64102
2020-06-20,20.14652
