date,양도세
2020-03-20,3.62311
2020-03-21,3.01124
2020-03-22,3.12124
2020-03-23,3.82248
2020-03-24,4.13529
2020-03-25,4.15248
2020-03-26,4.37248
2020-03-27,3.63342
2020-03-28,2.83592
2020-03-29,2.72936
2020-03-30,3.76748
2020-03-31,3.74686
2020-04-01,3.36186
2020-04-02,3.74686
2020-04-03,3.20717
2020-04-04,2.5403
2020-04-05,2.32374
2020-04-06,3.61967
2020-04-07,3.48217
2020-04-08,3.88436
2020-04-09,4.05967
2020-04-10,3.32748
2020-04-11,2.96311
2020-04-12,2.96311
2020-04-13,4.14561
2020-04-14,3.71936
2020-04-15,3.11436
2020-04-16,4.31061
2020-04-17,3.98748
2020-04-18,3.18999
2020-04-19,3.31373
2020-04-20,4.59936
2020-04-21,4.38623
2020-04-22,4.38967
2020-04-23,3.98405
2020-04-24,3.69873
2020-04-25,2.90124
2020-04-26,2.84624
2020-04-27,3.9153
2020-04-28,4.04592
2020-04-29,3.85342
2020-04-30,2.96999
2020-05-01,3.28623
2020-05-02,2.6503
2020-05-03,2.8428
2020-05-04,3.88436
2020-05-05,3.65061
2020-05-06,4.83998
2020-05-07,4.32779
2020-05-08,3.89811
2020-05-09,3.12811
2020-05-10,3.12467
2020-05-11,4.68529
2020-05-12,4.49279
2020-05-13,4.46873
2020-05-14,4.31404
2020-05-15,3.81217
2020-05-16,3.83967
2020-05-17,3.29998
2020-05-18,5.1356
2020-05-19,4.49967
2020-05-20,4.85373
2020-05-21,4.80904
2020-05-22,4.27967
2020-05-23,3.97373
2020-05-24,4.21779
2020-05-25,5.40029
2020-05-26,4.77467
2020-05-27,4.65092
2020-05-28,4.45842
2020-05-29,3.78467
2020-05-30,3.30342
2020-05-31,3.43061
2020-06-01,4.98779
2020-06-02,4.59936
2020-06-03,4.87779
2020-06-04,4.59936
2020-06-05,4.64748
2020-06-06,3.72967
2020-06-07,3.65061
2020-06-08,5.21467
2020-06-09,5.11842
2020-06-10,5.40717
2020-06-11,5.06685
2020-06-12,5.04279
2020-06-13,3.91873
2020-06-14,4.32436
2020-06-15,20.34306
2020-06-16,20.45306
2020-06-17,16.44838
2020-06-18,11.05496
2020-06-19,8.46309
2020-06-20,5.64091
2020-06-21,8.83778
2020-06-22,12.29589
2020-06-23,10.86246
2020-06-24,11.90058
2020-06-25,23.01055
2020-06-26,11.51558
2020-06-27,6.2356
2020-06-28,6.77872
2020-06-29,9.44278
2020-06-30,9.64559
2020-07-01,8.31184
2020-07-02,8.67622
2020-07-03,7.68966
2020-07-04,6.48997
2020-07-05,7.7756
2020-07-06,14.99776
2020-07-07,49.02547
2020-07-08,36.00082
2020-07-09,29.77896
2020-07-10,100.0
2020-07-11,27.18366
2020-07-12,21.47055
2020-07-13,25.54742
2020-07-14,24.15179
2020-07-15,17.60681
2020-07-16,16.50682
2020-07-17,18.38369
2020-07-18,11.78371
2020-07-19,14.84651
2020-07-20,15.47213
2020-07-21,13.19652
2020-07-22,19.5765
2020-07-23,13.68808
2020-07-24,10.57027
2020-07-25,7.73435
2020-07-26,8.05059
2020-07-27,10.22996
2020-07-28,10.65277
2020-07-29,11.81121
2020-07-30,12.23746
2020-07-31,10.22653
2020-08-01,7.51091
2020-08-02,6.79247
2020-08-03,9.38778
2020-08-04,15.67838
2020-08-05,11.58433
2020-08-06,9.28465
2020-08-07,10.35371
2020-08-08,7.24622
2020-08-09,6.55529
2020-08-10,9.10934
2020-08-11,11.51215
2020-08-12,9.75903
2020-08-13,8.33934
2020-08-14,7.23247
2020-08-15,5.85404
2020-08-16,5.30748
2020-08-17,5.54123
2020-08-18,7.73435
2020-08-19,7.23247
2020-08-20,7.41466
2020-08-21,6.65154
2020-08-22,6.06373
2020-08-23,6.66872
2020-08-24,7.91653
2020-08-25,7.4456
2020-08-26,6.74091
2020-08-27,6.98497
2020-08-28,5.97091
2020-08-29,5.09092
2020-08-30,4.89498
2020-08-31,7.4731
2020-09-01,6.22873
2020-09-02,6.33185
2020-09-03,5.9606
2020-09-04,6.1256
2020-09-05,5.17685
2020-09-06,4.89498
2020-09-07,6.39029
2020-09-08,7.07779
2020-09-09,6.27341
2020-09-10,5.98123
2020-09-11,5.70279
2020-09-12,4.89498
2020-09-13,4.87435
2020-09-14,6.88185
2020-09-15,6.94716
2020-09-16,6.44529
2020-09-17,11.76996
2020-09-18,15.92588
2020-09-19,8.70028
2020-09-20,5.91248
2020-09-21,7.57622
2020-09-22,7.5281
2020-09-23,6.91279
2020-09-24,6.82341
2020-09-25,9.59403
2020-09-26,5.30748
2020-09-27,5.38654
2020-09-28,6.8406
2020-09-29,5.80248
2020-09-30,5.22842
2020-10-01,4.57186
2020-10-02,4.60279
2020-10-03,7.71716
2020-10-04,6.14966
2020-10-05,7.91653
2020-10-06,8.10216
2020-10-07,12.49871
2020-10-08,8.91684
2020-10-09,5.82998
2020-10-10,5.91935
2020-10-11,5.62716
2020-10-12,9.04059
2020-10-13,7.52466
2020-10-14,8.28778
2020-10-15,8.29122
2020-10-16,7.29435
2020-10-17,5.9331
2020-10-18,5.45873
2020-10-19,8.66934
2020-10-20,11.73215
2020-10-21,10.30903
2020-10-22,10.9209
2020-10-23,8.06778
2020-10-24,6.2081
2020-10-25,8.39778
2020-10-26,29.85459
2020-10-27,15.1662
2020-10-28,11.08246
2020-10-29,12.48496
2020-10-30,9.8759
2020-10-31,7.01591
2020-11-01,7.79622
2020-11-02,12.81839
2020-11-03,14.82245
2020-11-04,8.79653
2020-11-05,8.86528
2020-11-06,7.68278
2020-11-07,6.37654
2020-11-08,6.40747
2020-11-09,8.28778
2020-11-10,8.57309
2020-11-11,8.43216
2020-11-12,8.26716
