date,금ETF
2020-03-20,15.84521
2020-03-21,19.18533
2020-03-22,16.82281
2020-03-23,21.62932
2020-03-24,35.51934
2020-03-25,54.33808
2020-03-26,64.84725
2020-03-27,100.0
2020-03-28,65.33604
2020-03-29,30.99796
2020-03-30,30.38696
2020-03-31,20.0
2020-04-01,17.88187
2020-04-02,17.51527
2020-04-03,14.86761
2020-04-04,10.63136
2020-04-05,10.18329
2020-04-06,16.53767
2020-04-07,21.50712
2020-04-08,28.7169
2020-04-09,23.29938
2020-04-10,34.94908
2020-04-11,17.1894
2020-04-12,27.2505
2020-04-13,40.73319
2020-04-14,33.72708
2020-04-15,29.4501
2020-04-16,30.83503
2020-04-17,20.32586
2020-04-18,31.44602
2020-04-19,45.49898
2020-04-20,27.9837
2020-04-21,27.0061
2020-04-22,33.89002
2020-04-23,33.31975
2020-04-24,24.11405
2020-04-25,17.02647
2020-04-26,21.09979
2020-04-27,25.01018
2020-04-28,21.18126
2020-04-29,16.21181
2020-04-30,10.34623
2020-05-01,9.16496
2020-05-02,7.65784
2020-05-03,8.1059
2020-05-04,10.10183
2020-05-05,10.10183
2020-05-06,15.88594
2020-05-07,15.39714
2020-05-08,9.97963
2020-05-09,9.9389
2020-05-10,8.39103
2020-05-11,8.67617
2020-05-12,11.16089
2020-05-13,7.0061
2020-05-14,8.5947
2020-05-15,8.30957
2020-05-16,6.63951
2020-05-17,9.3279
2020-05-18,12.70875
2020-05-19,10.38696
2020-05-20,11.03869
2020-05-21,9.40936
2020-05-22,7.0061
2020-05-23,5.94704
2020-05-24,6.55804
2020-05-25,8.92057
2020-05-26,8.63543
2020-05-27,9.16496
2020-05-28,10.91649
2020-05-29,9.0835
2020-05-30,5.62118
2020-05-31,6.84317
2020-06-01,8.7169
2020-06-02,9.73523
2020-06-03,9.49083
2020-06-04,9.53156
2020-06-05,6.72097
2020-06-06,4.72505
2020-06-07,5.82484
2020-06-08,11.60896
2020-06-09,7.82077
2020-06-10,8.43177
2020-06-11,6.35437
2020-06-12,6.55804
2020-06-13,3.66598
2020-06-14,5.37678
2020-06-15,6.23217
2020-06-16,5.21384
2020-06-17,5.01018
2020-06-18,3.82892
2020-06-19,4.31771
2020-06-20,3.54378
2020-06-21,4.96945
2020-06-22,11.20162
2020-06-23,8.14663
2020-06-24,10.10183
2020-06-25,10.87576
2020-06-26,5.66191
2020-06-27,4.11405
2020-06-28,5.70264
2020-06-29,10.67209
2020-06-30,8.1059
2020-07-01,11.52749
2020-07-02,13.07535
2020-07-03,10.59063
2020-07-04,8.1059
2020-07-05,9.4501
2020-07-06,17.96334
2020-07-07,15.19348
2020-07-08,19.59266
2020-07-09,25.09164
2020-07-10,12.74949
2020-07-11,6.55804
2020-07-12,8.43177
2020-07-13,13.11608
2020-07-14,28.2281
2020-07-15,31.16089
2020-07-16,25.70264
2020-07-17,19.42973
2020-07-18,12.74949
2020-07-19,19.06313
2020-07-20,25.82484
2020-07-21,19.0224
2020-07-22,29.04276
2020-07-23,28.4725
2020-07-24,33.56415
2020-07-25,36.00814
2020-07-26,25.94704
2020-07-27,48.51323
2020-07-28,69.53156
2020-07-29,48.92057
2020-07-30,30.30549
2020-07-31,20.48879
2020-08-01,12.70875
2020-08-02,12.50509
2020-08-03,17.6782
2020-08-04,15.76374
2020-08-05,40.0
2020-08-06,33.27902
2020-08-07,37.6782
2020-08-08,17.02647
2020-08-09,16.78207
2020-08-10,21.30346
2020-08-11,24.64358
2020-08-12,32.79022
2020-08-13,17.96334
2020-08-14,11.77189
2020-08-15,7.4949
2020-08-16,4.96945
2020-08-17,5.70264
2020-08-18,16.37474
2020-08-19,13.11608
2020-08-20,15.76374
2020-08-21,11.81262
2020-08-22,7.69857
2020-08-23,7.41344
2020-08-24,14.58248
2020-08-25,14.58248
2020-08-26,11.32382
2020-08-27,11.89409
2020-08-28,11.24236
2020-08-29,7.29124
2020-08-30,7.4949
2020-08-31,10.67209
2020-09-01,9.9389
2020-09-02,11.03869
2020-09-03,9.97963
2020-09-04,13.27902
2020-09-05,7.16904
2020-09-06,6.23217
2020-09-07,9.04276
2020-09-08,7.78004
2020-09-09,12.62729
2020-09-10,9.4501
2020-09-11,8.26883
2020-09-12,4.80651
2020-09-13,5.25458
2020-09-14,6.39511
2020-09-15,7.7393
2020-09-16,9.28716
2020-09-17,6.92464
2020-09-18,6.55804
2020-09-19,4.52138
