date,만보기어플
2020-03-20,55.40166
2020-03-21,58.63342
2020-03-22,63.89658
2020-03-23,72.66851
2020-03-24,75.16158
2020-03-25,83.74884
2020-03-26,68.42105
2020-03-27,62.69621
2020-03-28,65.92797
2020-03-29,83.19482
2020-03-30,81.44044
2020-03-31,72.76084
2020-04-01,70.17543
2020-04-02,84.48753
2020-04-03,65.83564
2020-04-04,67.03601
2020-04-05,69.52908
2020-04-06,73.13019
2020-04-07,80.70175
2020-04-08,80.88642
2020-04-09,73.59187
2020-04-10,67.12834
2020-04-11,64.26592
2020-04-12,60.84949
2020-04-13,74.60757
2020-04-14,75.90027
2020-04-15,76.82363
2020-04-16,68.0517
2020-04-17,62.78855
2020-04-18,74.60757
2020-04-19,66.02031
2020-04-20,64.63527
2020-04-21,65.92797
2020-04-22,78.85503
2020-04-23,72.3915
2020-04-24,62.14219
2020-04-25,59.92613
2020-04-26,79.59372
2020-04-27,72.66851
2020-04-28,70.72945
2020-04-29,65.65096
2020-04-30,64.4506
2020-05-01,65.7433
2020-05-02,61.1265
2020-05-03,64.81994
2020-05-04,56.23268
2020-05-05,69.62142
2020-05-06,100.0
2020-05-07,82.45614
2020-05-08,58.26408
2020-05-09,40.62788
2020-05-10,65.65096
2020-05-11,64.26592
2020-05-12,72.66851
2020-05-13,70.72945
2020-05-14,66.20498
2020-05-15,46.53739
2020-05-16,53.4626
2020-05-17,67.22068
2020-05-18,59.46445
2020-05-19,58.81809
2020-05-20,67.68236
2020-05-21,68.0517
2020-05-22,56.32502
2020-05-23,60.29547
2020-05-24,62.51154
2020-05-25,85.41089
2020-05-26,67.40535
2020-05-27,71.00646
2020-05-28,71.19113
2020-05-29,65.18928
2020-05-30,61.95752
2020-05-31,72.20683
2020-06-01,75.06925
2020-06-02,68.0517
2020-06-03,67.59002
2020-06-04,73.86888
2020-06-05,63.52723
2020-06-06,60.48014
2020-06-07,60.75715
2020-06-08,69.71375
2020-06-09,67.59002
2020-06-10,55.95567
2020-06-11,60.48014
2020-06-12,56.14035
2020-06-13,45.70637
2020-06-14,49.67682
2020-06-15,59.27977
2020-06-16,66.66666
2020-06-17,63.71191
2020-06-18,54.57063
2020-06-19,51.33887
2020-06-20,50.1385
2020-06-21,50.1385
2020-06-22,53.92428
2020-06-23,55.95567
2020-06-24,47.18374
2020-06-25,46.44506
2020-06-26,50.32317
2020-06-27,48.01477
2020-06-28,60.48014
2020-06-29,45.15235
2020-06-30,49.67682
2020-07-01,64.08125
2020-07-02,63.4349
2020-07-03,54.01662
2020-07-04,49.30747
2020-07-05,58.0794
2020-07-06,59.18744
2020-07-07,62.4192
2020-07-08,60.48014
2020-07-09,57.24838
2020-07-10,44.506
2020-07-11,42.93628
2020-07-12,42.84395
2020-07-13,32.40997
2020-07-14,50.60018
2020-07-15,49.03047
2020-07-16,54.38596
2020-07-17,53.27793
2020-07-18,52.26223
2020-07-19,60.66481
2020-07-20,63.25023
