date,국민은행주택담보대출금리
2020-03-20,49.68814
2020-03-21,28.27442
2020-03-22,27.65072
2020-03-23,66.11226
2020-03-24,57.38045
2020-03-25,39.70893
2020-03-26,45.73804
2020-03-27,40.95634
2020-03-28,20.79002
2020-03-29,22.45322
2020-03-30,38.66943
2020-03-31,29.52182
2020-04-01,31.80873
2020-04-02,28.27442
2020-04-03,21.62162
2020-04-04,14.13721
2020-04-05,19.12681
2020-04-06,37.62993
2020-04-07,32.01663
2020-04-08,32.43243
2020-04-09,32.64033
2020-04-10,28.06652
2020-04-11,11.22661
2020-04-12,14.76091
2020-04-13,35.96673
2020-04-14,28.27442
2020-04-15,19.95841
2020-04-16,30.97713
2020-04-17,46.15384
2020-04-18,20.16632
2020-04-19,32.22453
2020-04-20,38.04573
2020-04-21,33.05613
2020-04-22,33.67983
2020-04-23,30.35343
2020-04-24,23.70062
2020-04-25,9.5634
2020-04-26,18.50311
2020-04-27,35.55093
2020-04-28,29.93762
2020-04-29,24.53222
2020-04-30,11.43451
2020-05-01,16.42411
2020-05-02,10.18711
2020-05-03,15.17671
2020-05-04,32.01663
2020-05-05,15.80041
2020-05-06,32.84823
2020-05-07,21.41372
2020-05-08,17.87941
2020-05-09,9.1476
2020-05-10,10.18711
2020-05-11,25.98752
2020-05-12,20.37422
2020-05-13,19.12681
2020-05-14,13.92931
2020-05-15,17.25571
2020-05-16,10.81081
2020-05-17,12.68191
2020-05-18,27.44282
2020-05-19,20.99792
2020-05-20,25.15592
2020-05-21,19.12681
2020-05-22,23.70062
2020-05-23,8.316
2020-05-24,11.64241
2020-05-25,26.81912
2020-05-26,23.90852
2020-05-27,23.90852
2020-05-28,41.58004
2020-05-29,29.72972
2020-05-30,13.72141
2020-05-31,21.41372
2020-06-01,33.67983
2020-06-02,33.05613
2020-06-03,31.39293
2020-06-04,26.19542
2020-06-05,16.83991
2020-06-06,11.85031
2020-06-07,13.72141
2020-06-08,26.40332
2020-06-09,26.61122
2020-06-10,27.44282
2020-06-11,21.82952
2020-06-12,20.16632
2020-06-13,15.17671
2020-06-14,14.76091
2020-06-15,35.55093
2020-06-16,40.33264
2020-06-17,34.71933
2020-06-18,20.99792
2020-06-19,14.13721
2020-06-20,11.64241
2020-06-21,12.68191
2020-06-22,22.24532
2020-06-23,20.16632
2020-06-24,25.15592
2020-06-25,22.66112
2020-06-26,17.46361
2020-06-27,7.6923
2020-06-28,14.76091
2020-06-29,21.62162
2020-06-30,20.99792
2020-07-01,21.62162
2020-07-02,18.29521
2020-07-03,17.25571
2020-07-04,11.85031
2020-07-05,11.01871
2020-07-06,19.12681
2020-07-07,22.86902
2020-07-08,20.16632
2020-07-09,22.03742
2020-07-10,20.79002
2020-07-11,14.76091
2020-07-12,16.63201
2020-07-13,25.36382
2020-07-14,23.70062
2020-07-15,21.82952
2020-07-16,39.70893
2020-07-17,22.03742
2020-07-18,14.96881
2020-07-19,10.60291
2020-07-20,24.11642
2020-07-21,21.20582
2020-07-22,22.66112
2020-07-23,24.53222
2020-07-24,17.46361
2020-07-25,9.5634
2020-07-26,13.09771
2020-07-27,25.57172
2020-07-28,20.79002
2020-07-29,19.54261
2020-07-30,15.17671
2020-07-31,21.20582
2020-08-01,14.55301
2020-08-02,10.18711
2020-08-03,20.79002
2020-08-04,23.49272
2020-08-05,26.61122
2020-08-06,19.54261
2020-08-07,15.80041
2020-08-08,10.81081
2020-08-09,10.81081
2020-08-10,21.41372
2020-08-11,22.24532
2020-08-12,18.91891
2020-08-13,15.59251
2020-08-14,12.88981
2020-08-15,9.1476
2020-08-16,10.60291
2020-08-17,16.83991
2020-08-18,27.02702
2020-08-19,21.62162
2020-08-20,22.86902
2020-08-21,17.04781
2020-08-22,8.316
2020-08-23,7.9002
2020-08-24,19.33471
2020-08-25,24.11642
2020-08-26,20.99792
2020-08-27,25.15592
2020-08-28,23.49272
2020-08-29,11.01871
2020-08-30,9.1476
2020-08-31,19.54261
2020-09-01,14.34511
2020-09-02,14.76091
2020-09-03,17.87941
2020-09-04,16.21621
2020-09-05,7.0686
2020-09-06,12.05821
2020-09-07,17.25571
2020-09-08,21.62162
2020-09-09,19.33471
2020-09-10,20.16632
2020-09-11,18.08731
2020-09-12,9.9792
2020-09-13,12.88981
2020-09-14,22.45322
2020-09-15,20.16632
2020-09-16,22.24532
2020-09-17,14.13721
2020-09-18,11.85031
2020-09-19,8.5239
2020-09-20,7.4844
2020-09-21,16.83991
2020-09-22,17.87941
2020-09-23,14.34511
2020-09-24,13.30561
2020-09-25,13.72141
2020-09-26,10.39501
2020-09-27,9.3555
2020-09-28,13.51351
2020-09-29,9.1476
2020-09-30,4.5738
2020-10-01,4.9896
2020-10-02,4.158
2020-10-03,8.7318
2020-10-04,14.96881
2020-10-05,34.30353
2020-10-06,30.76923
2020-10-07,25.15592
2020-10-08,20.79002
2020-10-09,17.04781
2020-10-10,16.83991
2020-10-11,24.53222
2020-10-12,35.75883
2020-10-13,27.23492
2020-10-14,31.39293
2020-10-15,25.15592
2020-10-16,20.37422
2020-10-17,12.47401
2020-10-18,15.17671
2020-10-19,24.53222
2020-10-20,24.74012
2020-10-21,20.16632
2020-10-22,24.53222
2020-10-23,16.63201
2020-10-24,11.43451
2020-10-25,12.05821
2020-10-26,18.50311
2020-10-27,22.03742
2020-10-28,18.71101
2020-10-29,16.21621
2020-10-30,12.05821
2020-10-31,7.6923
2020-11-01,11.43451
2020-11-02,19.95841
2020-11-03,15.17671
2020-11-04,15.38461
2020-11-05,15.38461
2020-11-06,14.96881
2020-11-07,9.9792
2020-11-08,8.7318
2020-11-09,16.83991
2020-11-10,15.17671
2020-11-11,14.96881
2020-11-12,20.99792
2020-11-13,18.71101
2020-11-14,10.60291
2020-11-15,10.81081
2020-11-16,24.53222
2020-11-17,20.79002
2020-11-18,16.83991
2020-11-19,15.38461
2020-11-20,14.96881
2020-11-21,9.9792
2020-11-22,11.85031
2020-11-23,22.24532
2020-11-24,17.25571
2020-11-25,21.62162
2020-11-26,15.80041
2020-11-27,16.63201
2020-11-28,8.316
2020-11-29,14.34511
2020-11-30,17.87941
2020-12-01,20.37422
2020-12-02,18.71101
2020-12-03,16.83991
2020-12-04,14.13721
2020-12-05,8.5239
2020-12-06,9.3555
2020-12-07,22.24532
2020-12-08,20.99792
2020-12-09,18.29521
2020-12-10,21.41372
2020-12-11,14.34511
2020-12-12,7.6923
2020-12-13,12.68191
2020-12-14,20.79002
2020-12-15,17.25571
2020-12-16,20.37422
2020-12-17,10.81081
2020-12-18,9.3555
2020-12-19,4.7817
2020-12-20,7.6923
2020-12-21,14.13721
2020-12-22,12.26611
2020-12-23,8.7318
2020-12-24,8.5239
2020-12-25,6.6528
2020-12-26,6.237
2020-12-27,12.68191
2020-12-28,17.67151
2020-12-29,19.95841
2020-12-30,14.55301
2020-12-31,9.5634
2021-01-01,6.237
2021-01-02,9.7713
2021-01-03,11.01871
2021-01-04,15.38461
2021-01-05,17.25571
2021-01-06,22.03742
2021-01-07,13.09771
2021-01-08,11.85031
2021-01-09,6.6528
2021-01-10,13.30561
2021-01-11,17.04781
2021-01-12,15.80041
2021-01-13,13.51351
2021-01-14,20.16632
2021-01-15,22.03742
2021-01-16,13.92931
2021-01-17,18.71101
2021-01-18,18.50311
2021-01-19,21.20582
2021-01-20,13.09771
2021-01-21,20.16632
2021-01-22,13.92931
2021-01-23,13.72141
2021-01-24,12.47401
2021-01-25,24.53222
2021-01-26,17.67151
2021-01-27,16.83991
2021-01-28,16.21621
2021-01-29,12.88981
2021-01-30,12.05821
2021-01-31,10.60291
2021-02-01,25.57172
2021-02-02,17.25571
2021-02-03,12.88981
2021-02-04,13.09771
2021-02-05,11.22661
2021-02-06,5.4054
2021-02-07,9.5634
2021-02-08,17.25571
2021-02-09,16.63201
2021-02-10,11.43451
