date,기업어음
2020-03-20,47.66839
2020-03-21,26.07944
2020-03-22,41.27806
2020-03-23,100.0
2020-03-24,83.76511
2020-03-25,59.06735
2020-03-26,56.30397
2020-03-27,42.48704
2020-03-28,22.4525
2020-03-29,19.68911
2020-03-30,53.36787
2020-03-31,36.61485
2020-04-01,51.81347
2020-04-02,52.15889
2020-04-03,39.03281
2020-04-04,18.30742
2020-04-05,18.13471
2020-04-06,34.88773
2020-04-07,30.91537
2020-04-08,26.42487
2020-04-09,30.05181
2020-04-10,22.79792
2020-04-11,14.68048
2020-04-12,14.33506
2020-04-13,23.31606
2020-04-14,23.31606
2020-04-15,11.22625
2020-04-16,18.82556
2020-04-17,19.5164
2020-04-18,5.69948
2020-04-19,8.46286
2020-04-20,14.33506
2020-04-21,24.69775
2020-04-22,21.24352
2020-04-23,24.87046
2020-04-24,17.962
2020-04-25,10.18998
2020-04-26,11.05354
2020-04-27,23.83419
2020-04-28,17.61658
2020-04-29,12.60794
2020-04-30,11.74438
2020-05-01,8.981
2020-05-02,7.25388
2020-05-03,7.77202
2020-05-04,13.64421
2020-05-05,11.57167
2020-05-06,13.98963
2020-05-07,14.85319
2020-05-08,13.81692
2020-05-09,13.4715
2020-05-10,11.39896
2020-05-11,15.19861
2020-05-12,23.48877
2020-05-13,22.62521
2020-05-14,15.88946
2020-05-15,12.60794
2020-05-16,6.21761
2020-05-17,8.80829
2020-05-18,16.92573
2020-05-19,15.54404
2020-05-20,14.16234
2020-05-21,21.93436
2020-05-22,12.78065
2020-05-23,5.35405
2020-05-24,6.90846
2020-05-25,15.54404
2020-05-26,14.50777
2020-05-27,10.88082
2020-05-28,14.85319
2020-05-29,11.91709
2020-05-30,7.5993
2020-05-31,5.00863
2020-06-01,11.74438
2020-06-02,15.54404
2020-06-03,10.18998
2020-06-04,12.60794
2020-06-05,9.15371
2020-06-06,8.981
2020-06-07,6.0449
2020-06-08,9.84455
2020-06-09,14.50777
2020-06-10,14.85319
2020-06-11,18.65284
2020-06-12,12.95336
2020-06-13,8.63557
2020-06-14,6.0449
2020-06-15,11.22625
2020-06-16,11.05354
2020-06-17,11.22625
2020-06-18,11.91709
2020-06-19,11.05354
2020-06-20,6.56303
2020-06-21,7.5993
