date,예금이자높은은행
2020-03-20,6.00809
2020-03-21,4.11681
2020-03-22,3.67698
2020-03-23,6.32477
2020-03-24,6.91414
2020-03-25,6.66783
2020-03-26,7.5299
2020-03-27,6.78219
2020-03-28,4.4247
2020-03-29,4.28395
2020-03-30,6.90534
2020-03-31,7.25721
2020-04-01,7.52111
2020-04-02,7.12526
2020-04-03,6.52709
2020-04-04,4.10802
2020-04-05,4.59183
2020-04-06,6.72941
2020-04-07,6.06087
2020-04-08,6.36875
2020-04-09,5.68261
2020-04-10,5.40992
2020-04-11,4.25756
2020-04-12,4.4247
2020-04-13,6.45672
2020-04-14,5.55946
2020-04-15,4.52146
2020-04-16,5.78817
2020-04-17,5.85855
2020-04-18,3.17558
2020-04-19,4.58304
2020-04-20,7.30119
2020-04-21,7.0285
2020-04-22,6.33356
2020-04-23,5.53307
2020-04-24,5.63863
2020-04-25,4.1608
2020-04-26,4.13441
2020-04-27,6.35995
2020-04-28,6.2456
2020-04-29,6.08726
2020-04-30,4.18719
2020-05-01,3.96727
2020-05-02,3.55383
2020-05-03,3.98486
2020-05-04,7.2748
2020-05-05,4.38951
2020-05-06,6.32477
2020-05-07,6.12244
2020-05-08,5.19
2020-05-09,3.07002
2020-05-10,4.02885
2020-05-11,7.08128
2020-05-12,6.77339
2020-05-13,5.90253
2020-05-14,6.2368
2020-05-15,5.05805
2020-05-16,3.3779
2020-05-17,3.27234
2020-05-18,6.43912
2020-05-19,6.11365
2020-05-20,5.9817
2020-05-21,4.9349
2020-05-22,5.17241
2020-05-23,3.14919
2020-05-24,3.40429
2020-05-25,7.24841
2020-05-26,6.61505
2020-05-27,6.5007
2020-05-28,6.2368
2020-05-29,5.2076
2020-05-30,2.92047
2020-05-31,4.21358
2020-06-01,7.0285
2020-06-02,6.65904
2020-06-03,5.75299
2020-06-04,5.47149
2020-06-05,4.84693
2020-06-06,2.70935
2020-06-07,3.71217
2020-06-08,6.21921
2020-06-09,5.77938
2020-06-10,6.57107
2020-06-11,5.4451
2020-06-12,4.51266
2020-06-13,2.8413
2020-06-14,3.38669
2020-06-15,4.89971
2020-06-16,4.9349
2020-06-17,5.07565
2020-06-18,4.46868
2020-06-19,4.76776
2020-06-20,2.8589
2020-06-21,3.47466
2020-06-22,5.2076
2020-06-23,4.57424
2020-06-24,5.05805
2020-06-25,5.85855
2020-06-26,5.40992
2020-06-27,2.99085
2020-06-28,2.97325
2020-06-29,5.92012
2020-06-30,5.95531
2020-07-01,6.86136
2020-07-02,5.47149
2020-07-03,4.81175
2020-07-04,2.63898
2020-07-05,3.52744
2020-07-06,6.46551
2020-07-07,5.50668
2020-07-08,5.80577
2020-07-09,4.58304
2020-07-10,4.33673
2020-07-11,3.24595
2020-07-12,2.92047
2020-07-13,5.11963
2020-07-14,5.07565
2020-07-15,5.04046
2020-07-16,5.09324
2020-07-17,4.20478
2020-07-18,2.63019
2020-07-19,2.97325
2020-07-20,5.43631
2020-07-21,4.76776
2020-07-22,5.7266
2020-07-23,4.97009
2020-07-24,4.69739
2020-07-25,2.69176
2020-07-26,2.93807
2020-07-27,5.91133
2020-07-28,5.56826
2020-07-29,4.48627
2020-07-30,4.68859
2020-07-31,4.97888
2020-08-01,2.63019
2020-08-02,3.21956
2020-08-03,5.42751
2020-08-04,4.72378
2020-08-05,4.46868
2020-08-06,4.00246
2020-08-07,3.8881
2020-08-08,2.24313
2020-08-09,2.43666
2020-08-10,4.89092
2020-08-11,4.61822
2020-08-12,4.53905
2020-08-13,4.17839
2020-08-14,3.61541
2020-08-15,2.24313
2020-08-16,2.10239
2020-08-17,2.48064
2020-08-18,3.75615
2020-08-19,3.92329
2020-08-20,4.62702
2020-08-21,3.44827
2020-08-22,2.28712
2020-08-23,2.78852
2020-08-24,5.4539
2020-08-25,5.80577
2020-08-26,4.27515
2020-08-27,4.75897
2020-08-28,3.65059
2020-08-29,2.75334
2020-08-30,3.00844
2020-08-31,5.22519
2020-09-01,5.35714
2020-09-02,4.98768
2020-09-03,4.53026
2020-09-04,4.46868
2020-09-05,2.48064
2020-09-06,2.91168
2020-09-07,4.62702
2020-09-08,4.27515
2020-09-09,4.63581
2020-09-10,4.39831
2020-09-11,4.27515
2020-09-12,2.70056
2020-09-13,2.77093
2020-09-14,4.13441
2020-09-15,4.23117
2020-09-16,5.36593
2020-09-17,4.89092
2020-09-18,3.83532
2020-09-19,2.49824
2020-09-20,2.66537
2020-09-21,5.25158
2020-09-22,3.86171
2020-09-23,3.98486
2020-09-24,4.39831
2020-09-25,4.78536
2020-09-26,2.93807
2020-09-27,3.17558
2020-09-28,5.30436
2020-09-29,4.53905
2020-09-30,2.70056
2020-10-01,2.30471
2020-10-02,2.54222
2020-10-03,3.02603
2020-10-04,4.06403
2020-10-05,7.62667
2020-10-06,5.2076
2020-10-07,4.89971
2020-10-08,4.89971
2020-10-09,2.74454
2020-10-10,2.77973
2020-10-11,3.52744
2020-10-12,5.64743
2020-10-13,4.81175
2020-10-14,4.47748
2020-10-15,4.36312
2020-10-16,3.79134
2020-10-17,2.82371
2020-10-18,2.72695
2020-10-19,5.04926
2020-10-20,4.73258
2020-10-21,4.63581
2020-10-22,4.23117
2020-10-23,3.87931
2020-10-24,2.88529
2020-10-25,2.83251
2020-10-26,5.43631
2020-10-27,4.90851
2020-10-28,4.62702
2020-10-29,4.1608
2020-10-30,4.02005
2020-10-31,2.48064
2020-11-01,3.50105
2020-11-02,4.6798
2020-11-03,4.08163
2020-11-04,4.06403
2020-11-05,4.69739
2020-11-06,3.65939
2020-11-07,2.3399
2020-11-08,2.44546
2020-11-09,4.35432
2020-11-10,4.62702
2020-11-11,4.08163
2020-11-12,4.31914
2020-11-13,3.81773
2020-11-14,2.0672
2020-11-15,2.72695
2020-11-16,4.671
2020-11-17,4.6622
2020-11-18,4.20478
2020-11-19,3.79134
2020-11-20,3.91449
2020-11-21,2.62139
2020-11-22,2.65657
2020-11-23,4.21358
2020-11-24,4.35432
2020-11-25,4.51266
2020-11-26,4.89971
2020-11-27,3.87051
2020-11-28,2.75334
2020-11-29,2.72695
2020-11-30,4.52146
2020-12-01,4.91731
2020-12-02,5.03166
2020-12-03,4.13441
2020-12-04,3.67698
2020-12-05,2.63898
2020-12-06,2.96446
2020-12-07,4.46868
2020-12-08,4.46868
2020-12-09,4.45988
2020-12-10,5.48909
2020-12-11,4.57424
2020-12-12,2.74454
2020-12-13,2.94686
2020-12-14,4.30154
2020-12-15,5.24278
2020-12-16,4.69739
2020-12-17,4.28395
2020-12-18,4.35432
2020-12-19,3.41308
2020-12-20,3.27234
2020-12-21,5.28676
2020-12-22,4.89092
2020-12-23,4.80295
2020-12-24,4.80295
2020-12-25,3.14919
2020-12-26,3.75615
2020-12-27,4.33673
2020-12-28,7.29239
2020-12-29,6.7646
2020-12-30,6.88775
2020-12-31,6.34236
2021-01-01,4.89971
2021-01-02,5.33954
2021-01-03,5.87614
2021-01-04,8.0489
2021-01-05,7.73223
2021-01-06,7.45953
2021-01-07,6.39514
2021-01-08,5.61224
2021-01-09,4.24876
2021-01-10,4.95249
2021-01-11,6.77339
2021-01-12,6.73821
2021-01-13,6.87016
2021-01-14,7.48592
2021-01-15,6.7558
2021-01-16,4.57424
2021-01-17,4.51266
2021-01-18,6.78219
2021-01-19,7.66185
2021-01-20,7.38036
2021-01-21,6.82617
2021-01-22,6.71182
2021-01-23,4.97888
2021-01-24,5.11083
2021-01-25,8.0577
2021-01-26,7.82019
2021-01-27,7.25721
2021-01-28,7.07248
2021-01-29,7.04609
2021-01-30,4.4159
2021-01-31,4.6622
2021-02-01,7.51231
2021-02-02,7.96094
2021-02-03,7.92575
2021-02-04,8.33919
2021-02-05,7.40675
2021-02-06,5.32195
2021-02-07,5.26917
2021-02-08,8.07529
2021-02-09,7.49472
2021-02-10,7.45953
2021-02-11,4.29275
2021-02-12,3.84412
2021-02-13,4.52146
2021-02-14,5.26917
2021-02-15,10.52076
2021-02-16,7.66185
2021-02-17,7.8026
2021-02-18,6.95812
2021-02-19,6.71182
2021-02-20,4.59183
2021-02-21,4.46868
2021-02-22,7.24841
2021-02-23,7.05489
2021-02-24,6.42153
2021-02-25,7.93455
2021-02-26,7.17804
2021-02-27,4.13441
2021-02-28,4.33673
2021-03-01,5.83216
2021-03-02,8.02251
2021-03-03,6.87895
2021-03-04,6.58866
2021-03-05,6.48311
2021-03-06,3.56263
2021-03-07,4.23117
2021-03-08,6.60626
2021-03-09,6.5095
2021-03-10,6.94933
2021-03-11,6.27199
2021-03-12,5.7178
2021-03-13,4.00246
2021-03-14,4.69739
2021-03-15,6.83497
2021-03-16,6.97572
2021-03-17,6.62385
2021-03-18,6.31597
2021-03-19,5.65622
2021-03-20,4.152
2021-03-21,4.45109
2021-03-22,6.15763
