date,집값전망
2020-03-20,9.24287
2020-03-21,7.53851
2020-03-22,7.44018
2020-03-23,8.81678
2020-03-24,6.81743
2020-03-25,5.17862
2020-03-26,6.68633
2020-03-27,7.14519
2020-03-28,5.47361
2020-03-29,5.99803
2020-03-30,6.42412
2020-03-31,5.50639
2020-04-01,6.06358
2020-04-02,6.68633
2020-04-03,4.91642
2020-04-04,5.73582
2020-04-05,5.99803
2020-04-06,5.11307
2020-04-07,4.78531
2020-04-08,5.47361
2020-04-09,5.04752
2020-04-10,4.62143
2020-04-11,3.93313
2020-04-12,4.62143
2020-04-13,4.26089
2020-04-14,4.68698
2020-04-15,5.57194
2020-04-16,11.47164
2020-04-17,6.68633
2020-04-18,6.16191
2020-04-19,6.85021
2020-04-20,6.52245
2020-04-21,6.94854
2020-04-22,7.70239
2020-04-23,6.42412
2020-04-24,4.5231
2020-04-25,4.03146
2020-04-26,5.2114
2020-04-27,5.96525
2020-04-28,7.57128
2020-04-29,5.17862
2020-04-30,4.65421
2020-05-01,4.78531
2020-05-02,4.85086
2020-05-03,5.04752
2020-05-04,4.19534
2020-05-05,5.63749
2020-05-06,5.63749
2020-05-07,5.14585
2020-05-08,3.80203
2020-05-09,4.29367
2020-05-10,3.57259
2020-05-11,5.04752
2020-05-12,4.62143
2020-05-13,5.93248
2020-05-14,4.35922
2020-05-15,5.14585
2020-05-16,3.37594
2020-05-17,5.04752
2020-05-18,4.62143
2020-05-19,4.49033
2020-05-20,3.53982
2020-05-21,4.19534
2020-05-22,3.04818
2020-05-23,2.06489
2020-05-24,3.37594
2020-05-25,4.42477
2020-05-26,4.65421
2020-05-27,5.57194
2020-05-28,5.30973
2020-05-29,5.47361
2020-05-30,4.81809
2020-05-31,5.70304
2020-06-01,5.50639
2020-06-02,6.39134
2020-06-03,7.47295
2020-06-04,7.11242
2020-06-05,6.88298
2020-06-06,5.2114
2020-06-07,5.47361
2020-06-08,6.39134
2020-06-09,5.60471
2020-06-10,4.94919
2020-06-11,5.24418
2020-06-12,4.88364
2020-06-13,4.62143
2020-06-14,4.91642
2020-06-15,4.58865
2020-06-16,4.49033
2020-06-17,9.27564
2020-06-18,10.32448
2020-06-19,8.52179
2020-06-20,5.99803
2020-06-21,6.68633
2020-06-22,7.47295
2020-06-23,8.29236
2020-06-24,6.55522
2020-06-25,6.588
2020-06-26,5.96525
2020-06-27,3.53982
2020-06-28,7.17797
2020-06-29,7.34185
2020-06-30,5.11307
2020-07-01,6.09636
2020-07-02,5.27695
2020-07-03,5.50639
2020-07-04,4.68698
2020-07-05,6.0308
2020-07-06,6.22746
2020-07-07,6.85021
2020-07-08,5.8997
2020-07-09,5.01474
2020-07-10,7.47295
2020-07-11,8.45624
2020-07-12,9.99672
2020-07-13,7.34185
2020-07-14,6.88298
2020-07-15,7.17797
2020-07-16,4.81809
2020-07-17,6.29301
2020-07-18,6.16191
2020-07-19,5.47361
2020-07-20,5.73582
2020-07-21,4.71976
2020-07-22,5.57194
2020-07-23,5.53916
2020-07-24,4.75254
2020-07-25,3.90036
2020-07-26,4.49033
2020-07-27,4.42477
2020-07-28,5.50639
2020-07-29,7.4074
2020-07-30,7.11242
2020-07-31,6.52245
2020-08-01,4.94919
2020-08-02,5.83415
2020-08-03,6.0308
2020-08-04,6.588
2020-08-05,6.09636
2020-08-06,5.30973
2020-08-07,5.50639
2020-08-08,4.12979
2020-08-09,4.65421
2020-08-10,5.2114
2020-08-11,5.44083
2020-08-12,5.30973
2020-08-13,4.55588
2020-08-14,4.42477
2020-08-15,4.88364
2020-08-16,3.37594
2020-08-17,4.392
2020-08-18,4.55588
2020-08-19,5.04752
2020-08-20,5.67027
2020-08-21,4.42477
2020-08-22,3.31039
