date,재택모니터링
2022-04-13,2.04081
2022-04-14,5.10204
2022-04-15,4.7619
2022-04-17,2.72108
2022-04-18,3.74149
2022-04-20,2.38095
2022-04-25,1.70068
2022-04-27,2.72108
2022-05-03,13.2653
2022-05-04,1.70068
2022-05-05,1.70068
2022-05-16,2.04081
2022-05-19,2.04081
2022-05-20,3.06122
2022-05-23,1.70068
2022-06-09,1.70068
2022-06-10,2.04081
2022-06-14,2.04081
2022-06-15,2.04081
2022-06-16,2.04081
2022-06-24,1.70068
2022-06-27,1.70068
2022-06-28,3.74149
2022-07-11,1.70068
2022-07-14,2.04081
2022-07-17,2.04081
2022-07-23,2.04081
2022-07-28,1.70068
2022-08-01,7.48299
2022-08-02,2.04081
2022-08-07,1.70068
2022-08-11,1.70068
2022-08-19,2.04081
2022-08-23,2.04081
2022-08-29,2.04081
2022-09-07,1.70068
2022-09-16,2.04081
2022-09-17,1.70068
2022-09-21,1.70068
2022-09-25,1.70068
2022-11-02,2.72108
2022-11-08,3.06122
2022-11-21,2.04081
2022-11-22,2.04081
2022-11-23,2.04081
2022-11-28,1.70068
2022-11-29,2.04081
2022-11-30,1.70068
2022-12-01,2.04081
2022-12-02,2.04081
2022-12-05,1.70068
2022-12-13,1.70068
2022-12-14,2.38095
2022-12-16,3.06122
2022-12-21,3.40136
2022-12-22,2.72108
2022-12-23,2.38095
2022-12-25,2.38095
2022-12-26,2.38095
2022-12-27,3.40136
2022-12-28,4.42176
2022-12-30,2.38095
2023-01-02,4.08163
2023-01-03,3.06122
2023-01-04,6.80272
2023-01-05,5.44217
2023-01-06,7.48299
2023-01-07,1.70068
2023-01-08,1.70068
2023-01-09,7.48299
2023-01-10,6.46258
2023-01-11,3.06122
2023-01-12,4.08163
2023-01-13,8.16326
2023-01-14,1.70068
2023-01-15,4.7619
2023-01-16,3.06122
2023-01-17,5.10204
2023-01-18,5.78231
2023-01-19,4.7619
2023-01-20,6.12244
2023-01-21,2.38095
2023-01-22,3.06122
2023-01-23,3.40136
2023-01-24,4.08163
2023-01-25,8.5034
2023-01-26,6.46258
2023-01-27,7.48299
2023-01-28,2.04081
2023-01-29,3.06122
2023-01-30,12.24489
2023-01-31,3.74149
2023-02-01,10.54421
2023-02-02,8.5034
2023-02-03,6.12244
2023-02-04,1.70068
2023-02-05,6.46258
2023-02-06,9.5238
2023-02-07,11.56462
2023-02-08,12.58503
2023-02-09,10.20408
2023-02-10,6.80272
2023-02-11,2.04081
2023-02-12,4.08163
2023-02-13,15.98639
2023-02-14,15.64625
2023-02-15,22.78911
2023-02-16,10.54421
2023-02-17,7.14285
2023-02-18,4.08163
2023-02-19,8.16326
2023-02-20,16.32653
2023-02-21,10.88435
2023-02-22,5.44217
2023-02-23,6.12244
2023-02-24,9.5238
2023-02-26,2.72108
2023-02-27,6.80272
2023-02-28,7.48299
2023-03-01,3.06122
2023-03-02,12.24489
2023-03-03,4.7619
2023-03-04,2.72108
2023-03-05,2.04081
2023-03-06,3.74149
2023-03-07,7.14285
2023-03-08,4.42176
2023-03-09,3.06122
2023-03-10,6.12244
2023-03-12,2.72108
2023-03-13,12.92517
2023-03-14,5.10204
2023-03-15,5.10204
2023-03-16,5.44217
2023-03-17,4.08163
2023-03-18,2.04081
2023-03-20,3.40136
2023-03-21,4.08163
2023-03-22,4.08163
2023-03-23,6.80272
2023-03-24,2.04081
2023-03-27,4.7619
2023-03-28,2.04081
2023-03-29,2.04081
2023-03-30,2.72108
2023-03-31,1.70068
2023-04-03,2.04081
2023-04-04,6.12244
2023-04-05,2.04081
2023-04-06,1.70068
2023-04-07,3.06122
2023-04-10,1.70068
2023-04-11,4.42176
2023-04-12,4.7619
2023-04-13,3.06122
2023-04-14,3.40136
2023-04-17,2.72108
2023-04-18,2.38095
2023-04-19,1.70068
2023-04-22,2.04081
2023-04-24,4.7619
2023-04-26,2.38095
2023-04-27,3.06122
2023-04-28,4.7619
2023-04-29,3.06122
2023-05-01,1.70068
2023-05-02,2.04081
2023-05-03,4.08163
2023-05-04,2.04081
2023-05-06,3.06122
2023-05-07,2.72108
2023-05-08,2.04081
2023-05-09,4.08163
2023-05-10,2.38095
2023-05-11,3.40136
2023-05-12,4.42176
2023-05-15,1.70068
2023-05-16,1.70068
2023-05-17,2.04081
2023-05-22,2.04081
2023-05-30,4.42176
2023-05-31,1.70068
2023-06-01,2.38095
2023-06-02,2.38095
2023-06-05,2.04081
2023-06-06,3.40136
2023-06-12,1.70068
2023-06-17,1.70068
2023-06-19,1.70068
2023-06-20,1.70068
2023-06-27,2.38095
2023-07-01,1.70068
2023-07-03,2.04081
2023-07-11,1.70068
2023-07-14,1.70068
2023-07-18,1.70068
2023-07-19,1.70068
2023-07-24,2.38095
2023-07-25,3.40136
2023-07-26,3.74149
2023-08-08,3.74149
2023-08-11,2.38095
2023-08-16,3.40136
2023-08-24,1.70068
2023-08-28,1.70068
2023-09-01,1.70068
2023-09-02,1.70068
2023-09-04,1.70068
2023-09-05,3.74149
2023-09-07,1.70068
2023-09-15,2.38095
2023-09-26,1.70068
2023-09-29,2.38095
2023-10-05,1.70068
2023-10-06,2.04081
2023-10-10,5.44217
2023-10-13,2.38095
2023-10-17,2.04081
2023-10-20,6.80272
2023-10-21,9.5238
2023-10-22,10.54421
2023-10-23,9.18367
2023-10-24,5.10204
2023-10-25,6.12244
2023-10-26,5.78231
2023-10-27,3.06122
2023-10-29,2.38095
2023-10-30,5.78231
2023-10-31,4.7619
2023-11-01,5.10204
2023-11-02,6.46258
2023-11-03,1.70068
2023-11-04,3.06122
2023-11-05,2.72108
2023-11-06,4.7619
2023-11-07,5.78231
2023-11-08,6.46258
2023-11-09,4.08163
2023-11-10,2.72108
2023-11-12,3.06122
2023-11-13,3.06122
2023-11-14,7.14285
2023-11-15,4.42176
2023-11-16,5.10204
2023-11-17,4.42176
2023-11-18,3.06122
2023-11-19,2.38095
2023-11-20,3.06122
2023-11-21,2.72108
2023-11-22,2.04081
2023-11-23,2.04081
2023-11-24,4.42176
2023-11-26,2.04081
2023-11-27,9.86394
2023-11-28,4.08163
2023-11-29,4.42176
2023-12-01,2.38095
2023-12-02,2.38095
2023-12-04,5.78231
2023-12-05,6.12244
2023-12-06,6.46258
2023-12-07,6.46258
2023-12-08,5.78231
2023-12-09,1.70068
2023-12-10,2.04081
2023-12-11,3.40136
2023-12-12,6.12244
2023-12-13,5.10204
2023-12-14,1.70068
2023-12-15,3.40136
2023-12-16,2.04081
2023-12-17,1.70068
2023-12-18,5.10204
2023-12-19,4.08163
2023-12-20,5.78231
2023-12-21,7.48299
2023-12-22,4.7619
2023-12-23,3.74149
2023-12-24,2.38095
2023-12-25,2.04081
2023-12-26,9.5238
2023-12-27,8.84353
2023-12-28,11.22448
2023-12-29,4.7619
2023-12-30,2.72108
2023-12-31,2.04081
2024-01-01,5.10204
2024-01-02,11.22448
2024-01-03,8.16326
2024-01-04,7.48299
2024-01-05,6.12244
2024-01-06,2.72108
2024-01-07,3.40136
2024-01-08,9.86394
2024-01-09,4.42176
2024-01-10,6.12244
2024-01-11,8.84353
2024-01-12,5.78231
2024-01-13,5.10204
2024-01-14,4.7619
2024-01-15,6.80272
2024-01-16,2.38095
2024-01-17,9.5238
2024-01-18,7.14285
2024-01-19,3.74149
2024-01-20,4.42176
2024-01-21,6.46258
2024-01-22,10.20408
2024-01-23,7.82312
2024-01-24,8.84353
2024-01-25,7.82312
2024-01-26,11.56462
2024-01-27,4.7619
2024-01-28,3.06122
2024-01-29,11.90476
2024-01-30,6.80272
2024-01-31,11.90476
2024-02-01,14.96598
2024-02-02,85.03401
2024-02-03,100.0
2024-02-04,49.31972
2024-02-05,59.18367
2024-02-06,37.41496
2024-02-07,33.33333
2024-02-08,23.12925
2024-02-09,24.14965
2024-02-10,12.24489
2024-02-11,13.60544
2024-02-12,9.86394
2024-02-13,42.17687
2024-02-14,30.61224
2024-02-15,27.55102
2024-02-16,27.21088
2024-02-17,17.68707
2024-02-18,14.28571
2024-02-19,42.517
2024-02-20,40.47619
2024-02-21,35.37414
2024-02-22,16.66666
2024-02-23,22.10884
2024-02-24,11.56462
2024-02-25,11.56462
2024-02-26,31.63265
2024-02-27,28.23129
2024-02-28,20.06802
2024-02-29,24.14965
2024-03-01,13.60544
2024-03-02,11.56462
2024-03-03,19.72789
2024-03-04,26.19047
2024-03-05,29.2517
2024-03-06,26.87074
2024-03-07,29.2517
2024-03-08,17.0068
2024-03-09,15.30612
2024-03-10,18.36734
2024-03-11,24.48979
2024-03-12,20.06802
2024-03-13,18.36734
2024-03-14,19.04761
2024-03-15,13.2653
2024-03-16,9.86394
2024-03-17,11.56462
2024-03-18,18.36734
2024-03-19,19.72789
2024-03-20,20.40816
