date,주택매매
2020-03-20,43.51713
2020-03-21,40.9836
2020-03-22,50.22354
2020-03-23,50.37257
2020-03-24,42.62295
2020-03-25,42.02682
2020-03-26,46.94485
2020-03-27,38.89716
2020-03-28,41.13263
2020-03-29,53.20417
2020-03-30,52.60804
2020-03-31,44.56035
2020-04-01,41.87779
2020-04-02,50.81967
2020-04-03,44.56035
2020-04-04,46.79582
2020-04-05,48.43517
2020-04-06,45.00745
2020-04-07,47.24292
2020-04-08,45.30551
2020-04-09,36.36363
2020-04-10,39.94038
2020-04-11,48.73323
2020-04-12,59.61251
2020-04-13,56.48286
2020-04-14,47.69001
2020-04-15,49.18032
2020-04-16,46.49776
2020-04-17,42.92101
2020-04-18,51.56482
2020-04-19,66.16989
2020-04-20,54.24739
2020-04-21,55.58867
2020-04-22,52.60804
2020-04-23,51.41579
2020-04-24,42.02682
2020-04-25,44.41132
2020-04-26,59.01639
2020-04-27,52.45901
2020-04-28,47.98807
2020-04-29,45.60357
2020-04-30,42.62295
2020-05-01,45.30551
2020-05-02,44.56035
2020-05-03,57.97317
2020-05-04,52.45901
2020-05-05,61.10283
2020-05-06,44.70938
2020-05-07,43.66616
2020-05-08,37.25782
2020-05-09,44.26229
2020-05-10,58.71833
2020-05-11,47.98807
2020-05-12,44.26229
2020-05-13,44.56035
2020-05-14,47.24292
2020-05-15,45.45454
2020-05-16,46.1997
2020-05-17,52.60804
2020-05-18,46.34873
2020-05-19,47.24292
2020-05-20,46.94485
2020-05-21,41.57973
2020-05-22,41.28166
2020-05-23,48.73323
2020-05-24,50.5216
2020-05-25,54.69448
2020-05-26,45.30551
2020-05-27,45.7526
2020-05-28,40.9836
2020-05-29,42.47391
2020-05-30,43.8152
2020-05-31,46.49776
2020-06-01,48.28614
2020-06-02,42.47391
2020-06-03,35.17138
2020-06-04,43.21907
2020-06-05,36.51266
2020-06-06,35.02235
2020-06-07,42.02682
2020-06-08,40.9836
2020-06-09,50.67064
2020-06-10,38.30104
2020-06-11,37.85394
2020-06-12,37.55588
2020-06-13,45.60357
2020-06-14,51.26676
2020-06-15,48.73323
2020-06-16,48.88226
2020-06-17,60.20864
2020-06-18,49.32935
2020-06-19,50.9687
2020-06-20,45.30551
2020-06-21,59.91058
2020-06-22,54.99254
2020-06-23,54.39642
2020-06-24,56.78092
2020-06-25,49.92548
2020-06-26,42.32488
2020-06-27,43.96423
2020-06-28,57.07898
2020-06-29,50.07451
2020-06-30,49.18032
2020-07-01,47.98807
2020-07-02,46.49776
2020-07-03,45.60357
2020-07-04,42.02682
2020-07-05,48.88226
2020-07-06,52.01192
2020-07-07,46.34873
2020-07-08,47.09388
2020-07-09,49.77645
2020-07-10,46.05067
2020-07-11,47.83904
2020-07-12,53.80029
2020-07-13,52.90611
2020-07-14,49.77645
2020-07-15,42.62295
2020-07-16,45.7526
2020-07-17,41.57973
2020-07-18,54.54545
2020-07-19,58.56929
2020-07-20,72.13114
2020-07-21,46.64679
2020-07-22,63.48733
2020-07-23,56.92995
2020-07-24,49.32935
2020-07-25,43.66616
2020-07-26,45.45454
2020-07-27,50.5216
2020-07-28,62.8912
2020-07-29,49.18032
2020-07-30,45.90163
2020-07-31,50.9687
2020-08-01,47.83904
2020-08-02,46.64679
2020-08-03,54.09836
2020-08-04,49.77645
2020-08-05,50.22354
2020-08-06,42.47391
2020-08-07,41.13263
2020-08-08,51.26676
2020-08-09,50.07451
2020-08-10,51.56482
2020-08-11,52.45901
2020-08-12,49.77645
2020-08-13,46.79582
2020-08-14,38.74813
2020-08-15,45.45454
2020-08-16,45.30551
2020-08-17,52.60804
2020-08-18,54.39642
2020-08-19,51.11773
2020-08-20,48.43517
2020-08-21,59.76154
2020-08-22,59.16542
2020-08-23,67.21311
2020-08-24,56.33383
2020-08-25,57.97317
2020-08-26,46.94485
2020-08-27,48.5842
2020-08-28,51.71385
2020-08-29,49.77645
2020-08-30,65.87183
2020-08-31,46.1997
2020-09-01,52.30998
2020-09-02,53.05514
2020-09-03,56.63189
2020-09-04,45.60357
2020-09-05,55.29061
2020-09-06,58.71833
2020-09-07,59.61251
2020-09-08,52.75707
2020-09-09,54.09836
2020-09-10,53.65126
2020-09-11,50.81967
2020-09-12,57.22801
2020-09-13,57.07898
2020-09-14,56.18479
2020-09-15,55.88673
2020-09-16,51.56482
2020-09-17,61.54992
2020-09-18,50.67064
2020-09-19,49.47839
2020-09-20,55.58867
2020-09-21,47.24292
2020-09-22,52.16095
2020-09-23,50.67064
2020-09-24,40.23845
2020-09-25,41.13263
2020-09-26,42.17585
2020-09-27,52.45901
2020-09-28,49.47839
2020-09-29,48.1371
2020-09-30,42.47391
2020-10-01,42.17585
2020-10-02,47.83904
2020-10-03,47.24292
2020-10-04,59.16542
2020-10-05,55.14157
2020-10-06,46.1997
2020-10-07,51.71385
2020-10-08,43.96423
2020-10-09,54.69448
2020-10-10,50.37257
2020-10-11,56.03576
2020-10-12,57.52608
2020-10-13,52.60804
2020-10-14,51.11773
2020-10-15,56.18479
2020-10-16,56.92995
2020-10-17,50.37257
2020-10-18,61.25186
2020-10-19,89.71684
2020-10-20,68.85245
2020-10-21,67.21311
2020-10-22,52.75707
2020-10-23,54.69448
2020-10-24,52.60804
2020-10-25,63.78539
2020-10-26,65.87183
2020-10-27,61.25186
2020-10-28,55.43964
2020-10-29,56.18479
2020-10-30,51.56482
2020-10-31,48.43517
2020-11-01,59.91058
2020-11-02,59.31445
2020-11-03,49.77645
2020-11-04,50.67064
2020-11-05,56.78092
2020-11-06,55.14157
2020-11-07,53.3532
2020-11-08,58.27123
2020-11-09,61.10283
2020-11-10,59.31445
2020-11-11,53.20417
2020-11-12,51.26676
2020-11-13,51.11773
2020-11-14,47.69001
2020-11-15,57.37704
2020-11-16,65.87183
2020-11-17,52.45901
2020-11-18,64.08345
2020-11-19,59.61251
2020-11-20,53.80029
2020-11-21,55.14157
2020-11-22,57.67511
2020-11-23,59.31445
2020-11-24,60.35767
