date,실업급여이직확인서
2020-03-20,27.9631
2020-03-21,7.81004
2020-03-22,9.61538
2020-03-23,36.69544
2020-03-24,33.20251
2020-03-25,28.59105
2020-03-26,27.43328
2020-03-27,25.43171
2020-03-28,9.57613
2020-03-29,8.16326
2020-03-30,34.00706
2020-03-31,32.31946
2020-04-01,33.12401
2020-04-02,31.35792
2020-04-03,25.66718
2020-04-04,7.26059
2020-04-05,7.6923
2020-04-06,33.22213
2020-04-07,27.21742
2020-04-08,24.50941
2020-04-09,22.64521
2020-04-10,19.62323
2020-04-11,6.49529
2020-04-12,6.51491
2020-04-13,29.08163
2020-04-14,25.60832
2020-04-15,9.16405
2020-04-16,26.25588
2020-04-17,22.40973
2020-04-18,6.3383
2020-04-19,6.29905
2020-04-20,25.70643
2020-04-21,23.44976
2020-04-22,19.15227
2020-04-23,19.9372
2020-04-24,17.13108
2020-04-25,5.25902
2020-04-26,5.78885
2020-04-27,22.07613
2020-04-28,21.35007
2020-04-29,18.19073
2020-04-30,6.55416
2020-05-01,8.71271
2020-05-02,4.72919
2020-05-03,6.22056
2020-05-04,22.25274
2020-05-05,7.08398
2020-05-06,25.54945
2020-05-07,25.47095
2020-05-08,17.62166
2020-05-09,5.98508
2020-05-10,6.8485
2020-05-11,28.96389
2020-05-12,24.94113
2020-05-13,21.27158
2020-05-14,19.58398
2020-05-15,17.60204
2020-05-16,4.82731
2020-05-17,4.76844
2020-05-18,21.89952
2020-05-19,17.68053
2020-05-20,17.60204
2020-05-21,16.52276
2020-05-22,14.05023
2020-05-23,3.94427
2020-05-24,3.84615
2020-05-25,19.11302
2020-05-26,18.97566
2020-05-27,16.60125
2020-05-28,15.38461
2020-05-29,12.36263
2020-05-30,5.18053
2020-05-31,4.9058
2020-06-01,23.01805
2020-06-02,22.31161
2020-06-03,19.32888
2020-06-04,19.66248
2020-06-05,14.48194
2020-06-06,4.41522
2020-06-07,4.86656
2020-06-08,23.48901
2020-06-09,19.19152
2020-06-10,20.4474
2020-06-11,18.68131
2020-06-12,15.26687
2020-06-13,4.37598
2020-06-14,5.16091
2020-06-15,22.54709
2020-06-16,18.03375
2020-06-17,18.54395
2020-06-18,16.3854
2020-06-19,13.0102
2020-06-20,3.68916
2020-06-21,4.31711
2020-06-22,20.42778
2020-06-23,16.32653
2020-06-24,15.89481
2020-06-25,15.24725
2020-06-26,12.71585
2020-06-27,4.12087
2020-06-28,5.00392
2020-06-29,19.52511
2020-06-30,18.54395
2020-07-01,22.88069
2020-07-02,22.52747
2020-07-03,16.85635
2020-07-04,5.04317
2020-07-05,5.43563
2020-07-06,28.10047
2020-07-07,21.56593
2020-07-08,20.23155
2020-07-09,19.6821
2020-07-10,17.75902
2020-07-11,5.25902
2020-07-12,5.53375
2020-07-13,24.03846
2020-07-14,23.70486
2020-07-15,20.87912
2020-07-16,17.71978
2020-07-17,15.77708
2020-07-18,4.80769
2020-07-19,5.8281
2020-07-20,22.86106
2020-07-21,20.11381
2020-07-22,17.52354
2020-07-23,15.62009
2020-07-24,14.46232
2020-07-25,4.72919
2020-07-26,4.59183
2020-07-27,18.74018
2020-07-28,17.7394
2020-07-29,16.54238
2020-07-30,15.44348
2020-07-31,16.01255
2020-08-01,4.76844
2020-08-02,4.68995
2020-08-03,21.50706
2020-08-04,18.38697
2020-08-05,17.97488
2020-08-06,17.26844
2020-08-07,16.28728
2020-08-08,5.59262
2020-08-09,5.98508
2020-08-10,23.09654
2020-08-11,22.23312
2020-08-12,19.81946
2020-08-13,16.16954
2020-08-14,15.77708
2020-08-15,4.10125
2020-08-16,3.68916
2020-08-17,8.71271
2020-08-18,22.74332
2020-08-19,20.72213
2020-08-20,17.93563
2020-08-21,18.60282
2020-08-22,4.9058
2020-08-23,5.8281
2020-08-24,24.45054
2020-08-25,21.91915
2020-08-26,22.35086
2020-08-27,24.29356
2020-08-28,21.46781
2020-08-29,7.71193
2020-08-30,8.04552
2020-08-31,32.24097
2020-09-01,45.91836
2020-09-02,47.7237
2020-09-03,52.9631
2020-09-04,43.13186
2020-09-05,17.50392
2020-09-06,16.46389
2020-09-07,59.43877
2020-09-08,56.94662
2020-09-09,47.64521
2020-09-10,45.95761
2020-09-11,41.58163
2020-09-12,12.85321
2020-09-13,14.87441
2020-09-14,53.02197
2020-09-15,46.91915
2020-09-16,46.15384
2020-09-17,39.56043
2020-09-18,34.22291
2020-09-19,12.08791
2020-09-20,12.30376
2020-09-21,41.44427
2020-09-22,37.97095
2020-09-23,34.00706
2020-09-24,30.4945
2020-09-25,30.59262
2020-09-26,10.83202
2020-09-27,12.02904
2020-09-28,36.73469
2020-09-29,29.31711
2020-09-30,8.04552
2020-10-01,6.86813
2020-10-02,6.63265
2020-10-03,7.96703
2020-10-04,11.98979
2020-10-05,60.00784
2020-10-06,47.95918
2020-10-07,40.89481
2020-10-08,34.81161
2020-10-09,10.63579
2020-10-10,9.18367
2020-10-11,9.87048
2020-10-12,48.17503
2020-10-13,38.71664
2020-10-14,38.57927
2020-10-15,30.98508
2020-10-16,25.27472
2020-10-17,7.06436
2020-10-18,7.53532
2020-10-19,31.16169
2020-10-20,29.17974
2020-10-21,25.49058
2020-10-22,20.74175
2020-10-23,20.21193
2020-10-24,5.8281
2020-10-25,6.45604
2020-10-26,30.10204
2020-10-27,26.53061
2020-10-28,24.09733
2020-10-29,22.70408
2020-10-30,19.91758
2020-10-31,7.06436
2020-11-01,9.30141
2020-11-02,32.41758
2020-11-03,27.98273
2020-11-04,27.1193
2020-11-05,23.84222
2020-11-06,19.3485
2020-11-07,7.1821
2020-11-08,7.81004
2020-11-09,28.12009
2020-11-10,26.11852
2020-11-11,21.42857
2020-11-12,25.09811
2020-11-13,22.17425
2020-11-14,5.84772
2020-11-15,7.49607
2020-11-16,28.47331
2020-11-17,25.0
2020-11-18,23.97959
2020-11-19,20.80062
2020-11-20,17.4058
2020-11-21,6.37755
2020-11-22,7.1821
2020-11-23,24.35243
2020-11-24,26.41287
2020-11-25,24.88226
2020-11-26,21.93877
2020-11-27,20.68288
2020-11-28,7.28021
2020-11-29,9.39952
2020-11-30,36.44034
2020-12-01,38.40266
2020-12-02,31.61302
2020-12-03,31.35792
2020-12-04,26.31475
2020-12-05,9.22291
2020-12-06,11.55808
2020-12-07,39.54081
2020-12-08,34.53689
2020-12-09,30.92621
2020-12-10,34.94897
2020-12-11,27.78649
2020-12-12,10.30219
2020-12-13,10.30219
2020-12-14,41.01255
2020-12-15,35.89089
2020-12-16,31.20094
2020-12-17,29.31711
2020-12-18,28.37519
2020-12-19,9.59576
2020-12-20,10.14521
2020-12-21,38.14756
2020-12-22,37.4215
2020-12-23,34.32103
2020-12-24,26.0989
2020-12-25,9.61538
2020-12-26,9.53689
2020-12-27,11.59733
2020-12-28,50.88304
2020-12-29,44.87833
2020-12-30,43.93642
2020-12-31,39.1091
2021-01-01,15.44348
2021-01-02,14.30533
2021-01-03,19.62323
2021-01-04,100.0
2021-01-05,86.75431
2021-01-06,69.89795
2021-01-07,57.67268
2021-01-08,50.94191
2021-01-09,14.20722
2021-01-10,17.42543
2021-01-11,71.27158
2021-01-12,57.6923
2021-01-13,50.31397
2021-01-14,46.40894
2021-01-15,39.85478
2021-01-16,13.46153
2021-01-17,13.04945
2021-01-18,42.81789
2021-01-19,38.71664
2021-01-20,33.22213
2021-01-21,30.53375
2021-01-22,27.9631
2021-01-23,8.75196
2021-01-24,8.32025
2021-01-25,30.7496
2021-01-26,31.77001
2021-01-27,27.00156
2021-01-28,26.07927
