date,상속한정승인
2020-03-20,31.95266
2020-03-21,8.28402
2020-03-22,10.94674
2020-03-23,34.02366
2020-03-24,29.28994
2020-03-25,29.58579
2020-03-26,29.88165
2020-03-27,21.00591
2020-03-28,13.01775
2020-03-29,9.46745
2020-03-30,34.02366
2020-03-31,37.2781
2020-04-01,37.2781
2020-04-02,39.05325
2020-04-03,35.50295
2020-04-04,15.97633
2020-04-05,11.53846
2020-04-06,40.8284
2020-04-07,45.26627
2020-04-08,40.53254
2020-04-09,42.01183
2020-04-10,38.75739
2020-04-11,19.82248
2020-04-12,26.62721
2020-04-13,49.70414
2020-04-14,44.37869
2020-04-15,16.8639
2020-04-16,41.42011
2020-04-17,37.57396
2020-04-18,10.65088
2020-04-19,18.34319
2020-04-20,52.36686
2020-04-21,47.04142
2020-04-22,45.26627
2020-04-23,46.4497
2020-04-24,34.02366
2020-04-25,14.49704
2020-04-26,13.60946
2020-04-27,54.73372
2020-04-28,45.85798
2020-04-29,36.98224
2020-04-30,14.49704
2020-05-01,18.34319
2020-05-02,13.01775
2020-05-03,19.52662
2020-05-04,41.12426
2020-05-05,15.68047
2020-05-06,37.2781
2020-05-07,32.54437
2020-05-08,32.54437
2020-05-09,12.42603
2020-05-10,14.79289
2020-05-11,32.84023
2020-05-12,38.46153
2020-05-13,37.2781
2020-05-14,32.54437
2020-05-15,31.06508
2020-05-16,11.53846
2020-05-17,9.76331
2020-05-18,34.91124
2020-05-19,36.09467
2020-05-20,36.39053
2020-05-21,37.2781
2020-05-22,35.2071
2020-05-23,15.68047
2020-05-24,11.2426
2020-05-25,31.6568
2020-05-26,36.98224
2020-05-27,46.74556
2020-05-28,41.12426
2020-05-29,38.16568
2020-05-30,16.8639
2020-05-31,9.76331
2020-06-01,52.071
2020-06-02,39.34911
2020-06-03,31.6568
2020-06-04,34.91124
2020-06-05,34.31952
2020-06-06,15.08875
2020-06-07,12.13017
2020-06-08,31.36094
2020-06-09,49.70414
2020-06-10,27.81065
2020-06-11,42.30769
2020-06-12,32.54437
2020-06-13,22.18934
2020-06-14,22.4852
2020-06-15,57.98816
2020-06-16,40.53254
2020-06-17,31.06508
2020-06-18,38.46153
2020-06-19,28.69822
2020-06-20,8.28402
2020-06-21,10.35502
2020-06-22,34.91124
2020-06-23,52.36686
2020-06-24,39.05325
2020-06-25,39.64497
2020-06-26,32.24852
2020-06-27,9.76331
2020-06-28,13.60946
2020-06-29,34.02366
2020-06-30,32.24852
2020-07-01,31.95266
2020-07-02,32.24852
2020-07-03,26.62721
2020-07-04,6.80473
2020-07-05,8.87573
2020-07-06,30.76923
