date,연금저축펀드추천
2020-03-20,11.72394
2020-03-21,10.94789
2020-03-22,12.13968
2020-03-23,11.69623
2020-03-24,14.49556
2020-03-25,15.38248
2020-03-26,15.71507
2020-03-27,15.52106
2020-03-28,12.11197
2020-03-29,13.24833
2020-03-30,19.04101
2020-03-31,24.8337
2020-04-01,16.1031
2020-04-02,15.52106
2020-04-03,14.57871
2020-04-04,11.91796
2020-04-05,16.74057
2020-04-06,18.07095
2020-04-07,17.62749
2020-04-08,13.66407
2020-04-09,15.54878
2020-04-10,12.99889
2020-04-11,11.28048
2020-04-12,12.52771
2020-04-13,12.80487
2020-04-14,11.91796
2020-04-15,12.63858
2020-04-16,11.89024
2020-04-17,12.22283
2020-04-18,8.53658
2020-04-19,10.58758
2020-04-20,10.69844
2020-04-21,8.28713
2020-04-22,12.41685
2020-04-23,11.41906
2020-04-24,8.61973
2020-04-25,8.59201
2020-04-26,9.72838
2020-04-27,10.55986
2020-04-28,9.11862
2020-04-29,32.09534
2020-04-30,9.89467
2020-05-01,9.11862
2020-05-02,7.45565
2020-05-03,9.34035
2020-05-04,10.58758
2020-05-05,10.69844
2020-05-06,9.64523
2020-05-07,8.5643
2020-05-08,7.28935
2020-05-09,6.62416
2020-05-10,7.64966
2020-05-11,8.17627
2020-05-12,8.48115
2020-05-13,7.5388
2020-05-14,6.54101
2020-05-15,6.43015
2020-05-16,5.93126
2020-05-17,7.26164
2020-05-18,6.79046
2020-05-19,6.48558
2020-05-20,6.90133
2020-05-21,5.43237
2020-05-22,4.6286
2020-05-23,4.57317
2020-05-24,4.87804
2020-05-25,6.84589
2020-05-26,4.43458
2020-05-27,5.04434
2020-05-28,5.09977
2020-05-29,4.01884
2020-05-30,3.46452
2020-05-31,4.296
2020-06-01,5.40465
2020-06-02,5.23835
2020-06-03,4.49002
2020-06-04,4.90576
2020-06-05,4.65631
2020-06-06,3.63082
2020-06-07,4.76718
2020-06-08,6.31929
2020-06-09,4.6286
2020-06-10,5.23835
2020-06-11,4.65631
2020-06-12,4.51773
2020-06-13,2.68847
2020-06-14,4.43458
2020-06-15,4.60088
2020-06-16,4.57317
2020-06-17,3.49223
2020-06-18,4.01884
2020-06-19,3.90798
2020-06-20,2.77161
2020-06-21,3.38137
2020-06-22,4.49002
2020-06-23,4.21286
2020-06-24,4.76718
2020-06-25,4.49002
2020-06-26,3.96341
2020-06-27,2.88248
2020-06-28,2.32815
2020-06-29,3.29822
2020-06-30,3.04878
2020-07-01,3.10421
2020-07-02,2.27272
2020-07-03,2.99334
2020-07-04,1.49667
2020-07-05,2.96563
2020-07-06,3.93569
2020-07-07,3.35365
2020-07-08,3.71396
2020-07-09,2.93791
2020-07-10,2.79933
2020-07-11,2.46674
2020-07-12,3.63082
2020-07-13,3.96341
2020-07-14,4.24057
2020-07-15,3.02106
2020-07-16,3.02106
2020-07-17,2.82705
2020-07-18,2.07871
2020-07-19,2.7439
2020-07-20,4.01884
2020-07-21,4.18514
2020-07-22,3.65853
2020-07-23,3.90798
2020-07-24,2.79933
2020-07-25,2.5776
2020-07-26,3.99113
2020-07-27,5.21064
2020-07-28,4.93348
2020-07-29,4.6286
2020-07-30,4.7949
2020-07-31,3.79711
2020-08-01,3.29822
2020-08-02,3.38137
2020-08-03,4.76718
2020-08-04,5.73725
2020-08-05,5.54323
2020-08-06,5.93126
2020-08-07,5.73725
2020-08-08,4.43458
2020-08-09,4.87804
2020-08-10,6.90133
2020-08-11,6.37472
2020-08-12,6.04212
2020-08-13,5.70953
2020-08-14,4.37915
2020-08-15,3.65853
2020-08-16,2.71618
2020-08-17,2.99334
2020-08-18,3.32594
2020-08-19,4.12971
2020-08-20,4.10199
2020-08-21,7.03991
2020-08-22,3.63082
2020-08-23,3.2705
2020-08-24,3.88026
2020-08-25,3.74168
2020-08-26,4.32372
2020-08-27,4.07427
2020-08-28,4.07427
2020-08-29,3.24279
2020-08-30,3.68625
2020-08-31,5.37694
2020-09-01,4.57317
2020-09-02,3.85254
2020-09-03,3.68625
2020-09-04,3.29822
2020-09-05,2.60532
2020-09-06,3.85254
2020-09-07,4.43458
2020-09-08,3.88026
2020-09-09,4.12971
2020-09-10,3.88026
2020-09-11,2.93791
2020-09-12,2.24501
2020-09-13,3.04878
2020-09-14,3.82483
2020-09-15,3.99113
2020-09-16,4.24057
2020-09-17,3.6031
2020-09-18,4.54545
2020-09-19,2.71618
2020-09-20,3.38137
2020-09-21,2.79933
2020-09-22,3.71396
2020-09-23,3.68625
2020-09-24,3.24279
2020-09-25,3.2705
2020-09-26,1.94013
2020-09-27,2.13414
2020-09-28,2.43902
2020-09-29,2.43902
2020-09-30,1.44124
2020-10-01,1.49667
2020-10-02,1.60753
2020-10-03,2.21729
2020-10-04,2.46674
2020-10-05,3.21507
2020-10-06,2.68847
2020-10-07,2.93791
2020-10-08,2.71618
2020-10-09,2.10643
2020-10-10,2.63303
2020-10-11,2.38359
2020-10-12,3.21507
2020-10-13,3.54767
2020-10-14,4.37915
2020-10-15,3.82483
2020-10-16,3.6031
2020-10-17,2.46674
2020-10-18,2.79933
2020-10-19,4.18514
2020-10-20,4.37915
2020-10-21,5.21064
2020-10-22,5.01662
2020-10-23,4.12971
2020-10-24,3.07649
2020-10-25,2.24501
2020-10-26,2.99334
2020-10-27,2.79933
2020-10-28,2.99334
2020-10-29,2.43902
2020-10-30,2.4113
2020-10-31,1.60753
2020-11-01,2.71618
2020-11-02,3.02106
2020-11-03,2.82705
2020-11-04,2.88248
2020-11-05,3.51995
2020-11-06,2.66075
2020-11-07,2.5776
2020-11-08,2.60532
2020-11-09,2.96563
2020-11-10,3.10421
2020-11-11,3.74168
2020-11-12,3.85254
2020-11-13,3.24279
2020-11-14,2.18957
2020-11-15,2.21729
2020-11-16,2.99334
2020-11-17,3.96341
2020-11-18,4.12971
2020-11-19,3.74168
2020-11-20,3.21507
2020-11-21,2.82705
2020-11-22,2.38359
2020-11-23,3.49223
2020-11-24,3.6031
2020-11-25,3.15964
2020-11-26,3.51995
2020-11-27,4.10199
2020-11-28,3.21507
2020-11-29,4.21286
2020-11-30,5.4878
2020-12-01,6.01441
2020-12-02,5.12749
2020-12-03,4.76718
2020-12-04,4.49002
2020-12-05,4.15742
2020-12-06,4.85033
2020-12-07,5.23835
2020-12-08,4.85033
2020-12-09,6.6796
2020-12-10,7.51108
2020-12-11,6.81818
2020-12-12,5.90354
2020-12-13,5.98669
2020-12-14,8.70288
2020-12-15,8.398
2020-12-16,7.28935
2020-12-17,10.36585
2020-12-18,6.31929
2020-12-19,7.2062
2020-12-20,9.2572
2020-12-21,12.91574
2020-12-22,10.36585
2020-12-23,12.41685
2020-12-24,10.9756
2020-12-25,10.9756
2020-12-26,9.53436
2020-12-27,10.83702
2020-12-28,16.18625
2020-12-29,15.02217
2020-12-30,13.83037
2020-12-31,10.36585
2021-01-01,6.09756
2021-01-02,7.17849
2021-01-03,6.95676
2021-01-04,9.56208
2021-01-05,10.94789
2021-01-06,12.36141
2021-01-07,10.75388
2021-01-08,10.94789
2021-01-09,8.28713
2021-01-10,8.2317
2021-01-11,7.06762
2021-01-12,7.81596
2021-01-13,8.00997
2021-01-14,6.5133
2021-01-15,7.06762
2021-01-16,5.6541
2021-01-17,10.78159
2021-01-18,7.64966
2021-01-19,8.20399
2021-01-20,9.81152
2021-01-21,9.56208
2021-01-22,8.00997
2021-01-23,7.26164
2021-01-24,7.98226
2021-01-25,8.98004
2021-01-26,7.81596
2021-01-27,8.53658
2021-01-28,6.95676
2021-01-29,5.6541
2021-01-30,4.10199
2021-01-31,3.88026
2021-02-01,4.57317
2021-02-02,4.87804
2021-02-03,4.54545
2021-02-04,4.24057
2021-02-05,3.82483
2021-02-06,3.07649
2021-02-07,3.63082
2021-02-08,4.7949
2021-02-09,3.51995
2021-02-10,3.38137
2021-02-11,2.27272
2021-02-12,2.85476
2021-02-13,3.24279
2021-02-14,3.54767
2021-02-15,5.6541
2021-02-16,5.18292
2021-02-17,5.04434
2021-02-18,4.57317
2021-02-19,4.43458
2021-02-20,2.54988
2021-02-21,3.04878
2021-02-22,5.73725
2021-02-23,5.46008
2021-02-24,5.12749
2021-02-25,5.01662
2021-02-26,5.18292
2021-02-27,2.54988
2021-02-28,5.29379
2021-03-01,7.2062
2021-03-02,6.54101
2021-03-03,5.73725
2021-03-04,4.98891
2021-03-05,3.74168
2021-03-06,3.13192
2021-03-07,3.7694
2021-03-08,4.37915
2021-03-09,3.88026
2021-03-10,4.90576
2021-03-11,4.18514
2021-03-12,3.90798
2021-03-13,2.49445
2021-03-14,3.65853
2021-03-15,5.4878
2021-03-16,5.54323
2021-03-17,5.46008
2021-03-18,7.15077
2021-03-19,5.68181
2021-03-20,4.40687
2021-03-21,4.10199
2021-03-22,6.04212
2021-03-23,7.03991
2021-03-24,6.15299
2021-03-25,10.83702
2021-03-26,5.68181
