date,TIGER미국S&P500
2020-03-20,0.61259
2020-03-21,0.39206
2020-03-22,0.46557
2020-03-23,0.6616
2020-03-24,0.83312
2020-03-25,1.05366
2020-03-26,1.10267
2020-03-27,0.93114
2020-03-28,0.39206
2020-03-29,0.53908
2020-03-30,0.44106
2020-03-31,0.63709
2020-04-01,0.61259
2020-04-02,0.73511
2020-04-03,0.58809
2020-04-04,0.14702
2020-04-05,0.19603
2020-04-06,0.49007
2020-04-07,0.63709
2020-04-08,0.6616
2020-04-09,0.78412
2020-04-10,0.31854
2020-04-11,0.17152
2020-04-12,0.22053
2020-04-13,0.14702
2020-04-14,0.34305
2020-04-15,0.46557
2020-04-16,0.39206
2020-04-17,0.34305
2020-04-18,0.17152
2020-04-19,0.14702
2020-04-20,0.36755
2020-04-22,0.49007
2020-04-23,0.56358
2020-04-24,0.44106
2020-04-26,0.12251
2020-04-27,0.31854
2020-04-28,0.29404
2020-04-29,0.26954
2020-05-01,0.17152
2020-05-02,0.19603
2020-05-03,0.17152
2020-05-04,0.34305
2020-05-08,0.12251
2020-05-09,0.14702
2020-05-11,0.41656
2020-05-12,0.17152
2020-05-15,0.12251
2020-05-19,0.26954
2020-05-20,0.36755
2020-05-26,0.17152
2020-05-27,0.12251
2020-05-31,0.12251
2020-06-01,0.12251
2020-06-02,0.14702
2020-06-05,0.29404
2020-06-06,0.14702
2020-06-07,0.17152
2020-06-08,0.12251
2020-06-10,0.12251
2020-06-12,0.24503
2020-06-18,0.22053
2020-06-22,0.14702
2020-06-26,0.14702
2020-06-29,0.14702
2020-07-05,0.12251
2020-07-20,0.12251
2020-07-23,0.14702
2020-07-27,0.12251
2020-07-29,0.17152
2020-07-30,0.6861
2020-07-31,0.98015
2020-08-01,0.36755
2020-08-02,0.19603
2020-08-03,0.39206
2020-08-04,0.34305
2020-08-05,0.46557
2020-08-06,2.00931
2020-08-07,7.84121
2020-08-08,4.58221
2020-08-09,4.58221
2020-08-10,12.25189
2020-08-11,10.26709
2020-08-12,8.13526
2020-08-13,9.13991
2020-08-14,7.1061
2020-08-15,3.67556
2020-08-16,3.35702
2020-08-17,2.67091
2020-08-18,6.98358
2020-08-19,8.11075
2020-08-20,6.61602
2020-08-21,5.8564
2020-08-22,2.94045
2020-08-23,3.2345
2020-08-24,8.30678
2020-08-25,9.80151
2020-08-26,8.69884
2020-08-27,9.21342
2020-08-28,7.98823
2020-08-29,3.20999
2020-08-30,3.8961
2020-08-31,8.15976
2020-09-01,7.91472
2020-09-02,9.13991
2020-09-03,8.72335
2020-09-04,8.77235
2020-09-05,2.94045
2020-09-06,2.6219
2020-09-07,7.84121
2020-09-08,6.83655
2020-09-09,8.77235
2020-09-10,7.7432
2020-09-11,5.8564
2020-09-12,1.9358
2020-09-13,1.81328
2020-09-14,5.68488
2020-09-15,8.4048
2020-09-16,8.08625
2020-09-17,8.4048
2020-09-18,7.20411
2020-09-19,2.81793
2020-09-20,2.30335
2020-09-21,7.08159
2020-09-22,6.95907
2020-09-23,5.46434
2020-09-24,5.34182
2020-09-25,3.99411
2020-09-26,1.44572
2020-09-27,1.71526
2020-09-28,4.19014
2020-09-29,4.77824
2020-09-30,1.66625
2020-10-01,1.9603
2020-10-02,1.9848
2020-10-03,1.61725
2020-10-04,1.76427
2020-10-05,5.70938
2020-10-06,6.15045
2020-10-07,5.78289
2020-10-08,4.04312
2020-10-09,1.88679
2020-10-10,1.86228
2020-10-11,2.10732
2020-10-12,5.51335
2020-10-13,5.29282
2020-10-14,4.75373
2020-10-15,4.45969
2020-10-16,3.99411
2020-10-17,1.71526
2020-10-18,1.88679
2020-10-19,4.94976
2020-10-20,4.19014
2020-10-21,3.9206
2020-10-22,3.38152
2020-10-23,3.52854
2020-10-24,1.39671
2020-10-25,1.83778
2020-10-26,3.79808
2020-10-27,4.77824
2020-10-28,5.12129
2020-10-29,5.31732
2020-10-30,4.63121
2020-10-31,1.3232
2020-11-01,1.91129
2020-11-02,4.5577
2020-11-03,5.8564
2020-11-04,6.76304
2020-11-05,5.68488
2020-11-06,16.24601
2020-11-07,9.62999
2020-11-08,8.82136
2020-11-09,17.12815
2020-11-10,17.88777
2020-11-11,13.94266
2020-11-12,16.39304
2020-11-13,13.47708
2020-11-14,6.71404
2020-11-15,8.91938
2020-11-16,18.32884
2020-11-17,20.46067
2020-11-18,20.11761
2020-11-19,19.75006
2020-11-20,17.32418
2020-11-21,8.57632
2020-11-22,9.01739
2020-11-23,19.50502
2020-11-24,19.72555
2020-11-25,20.0196
2020-11-26,17.78975
2020-11-27,15.33937
2020-11-28,7.57167
2020-11-29,10.14457
2020-11-30,20.80372
2020-12-01,21.02425
2020-12-02,23.84219
2020-12-03,20.24013
2020-12-04,25.14089
2020-12-05,11.36976
2020-12-06,11.14922
2020-12-07,21.56334
2020-12-08,20.6567
2020-12-09,20.90173
2020-12-10,22.83753
2020-12-11,17.52021
2020-12-12,7.71869
2020-12-13,10.56113
2020-12-14,20.43616
2020-12-15,22.17593
2020-12-16,21.36731
2020-12-17,19.94609
2020-12-18,19.01494
2020-12-19,10.26709
2020-12-20,12.2764
2020-12-21,24.18524
