date,채권발행
2020-03-20,21.89054
2020-03-21,12.93532
2020-03-22,15.42288
2020-03-23,51.24378
2020-03-24,40.2985
2020-03-25,30.34825
2020-03-26,53.73134
2020-03-27,37.31343
2020-03-28,13.43283
2020-03-29,22.88557
2020-03-30,37.31343
2020-03-31,27.36318
2020-04-01,35.82089
2020-04-02,29.35323
2020-04-03,21.89054
2020-04-04,11.94029
2020-04-05,16.41791
2020-04-06,24.87562
2020-04-07,23.88059
2020-04-08,27.86069
2020-04-09,34.82587
2020-04-10,14.42786
2020-04-11,11.44278
2020-04-12,13.93034
2020-04-13,23.38308
2020-04-14,19.40298
2020-04-15,13.43283
2020-04-16,20.398
2020-04-17,20.398
2020-04-18,9.95024
2020-04-19,12.93532
2020-04-20,27.36318
2020-04-21,34.82587
2020-04-22,35.82089
2020-04-23,36.3184
2020-04-24,26.86567
2020-04-25,20.398
2020-04-26,21.39303
2020-04-27,24.87562
2020-04-28,25.87064
2020-04-29,30.34825
2020-04-30,18.40796
2020-05-01,24.87562
2020-05-02,4.47761
2020-05-03,11.94029
2020-05-04,24.87562
2020-05-05,13.93034
2020-05-06,21.39303
2020-05-07,25.37313
2020-05-08,24.3781
2020-05-09,6.46766
2020-05-10,17.91044
2020-05-11,20.398
2020-05-12,18.40796
2020-05-13,24.3781
2020-05-14,25.37313
2020-05-15,17.41293
2020-05-16,8.45771
2020-05-17,6.46766
2020-05-18,12.43781
2020-05-19,24.3781
2020-05-20,19.90049
2020-05-21,22.38805
2020-05-22,24.3781
2020-05-23,11.44278
2020-05-24,8.45771
2020-05-25,13.93034
2020-05-26,18.90547
2020-05-27,21.89054
2020-05-28,21.39303
2020-05-29,17.91044
2020-05-30,9.45273
2020-05-31,10.94527
2020-06-01,20.398
2020-06-02,18.40796
2020-06-03,15.42288
2020-06-04,23.38308
2020-06-05,14.92537
2020-06-06,6.96517
2020-06-07,8.45771
2020-06-08,25.37313
2020-06-09,25.37313
2020-06-10,18.40796
2020-06-11,14.42786
2020-06-12,17.91044
2020-06-13,9.45273
2020-06-14,13.43283
2020-06-15,18.40796
2020-06-16,29.85074
2020-06-17,22.88557
2020-06-18,19.40298
2020-06-19,16.41791
2020-06-20,15.42288
2020-06-21,4.47761
2020-06-22,24.87562
2020-06-23,18.40796
2020-06-24,23.38308
2020-06-25,25.87064
2020-06-26,16.91542
2020-06-27,8.95522
2020-06-28,12.93532
2020-06-29,17.91044
2020-06-30,14.42786
2020-07-01,17.41293
2020-07-02,13.43283
2020-07-03,9.95024
2020-07-05,5.97014
2020-07-06,9.95024
2020-07-07,16.91542
2020-07-08,14.42786
2020-07-09,13.43283
2020-07-10,12.93532
2020-07-11,2.48756
2020-07-12,6.46766
2020-07-13,17.91044
2020-07-14,11.94029
2020-07-15,17.91044
2020-07-16,13.93034
2020-07-17,16.91542
2020-07-18,4.97512
2020-07-19,4.97512
2020-07-20,19.40298
2020-07-21,17.91044
2020-07-22,16.91542
2020-07-23,14.42786
2020-07-24,11.44278
2020-07-25,6.46766
2020-07-27,12.93532
2020-07-28,15.92039
2020-07-29,12.93532
2020-07-30,8.45771
2020-07-31,14.92537
2020-08-02,2.48756
2020-08-03,14.42786
2020-08-04,14.92537
2020-08-05,16.41791
2020-08-06,17.91044
2020-08-07,13.93034
2020-08-08,2.98507
2020-08-09,5.47263
2020-08-10,6.96517
2020-08-11,16.91542
2020-08-12,15.42288
2020-08-13,23.38308
2020-08-14,17.41293
2020-08-15,3.98009
2020-08-17,5.47263
2020-08-18,15.92039
2020-08-19,17.41293
2020-08-20,12.43781
2020-08-21,14.92537
2020-08-22,3.48258
2020-08-23,10.94527
2020-08-24,15.42288
2020-08-25,16.91542
2020-08-26,17.91044
2020-08-27,16.91542
2020-08-28,14.92537
2020-08-29,8.95522
2020-08-30,3.48258
2020-08-31,20.398
2020-09-01,16.91542
2020-09-02,12.93532
2020-09-03,14.92537
2020-09-04,18.90547
2020-09-05,4.97512
2020-09-06,6.46766
2020-09-07,28.85572
2020-09-08,19.90049
2020-09-09,22.38805
2020-09-10,22.88557
2020-09-11,22.38805
2020-09-12,4.97512
2020-09-13,14.42786
2020-09-14,20.398
2020-09-15,15.42288
2020-09-16,15.42288
2020-09-17,17.91044
2020-09-18,15.92039
2020-09-19,8.95522
2020-09-20,6.46766
2020-09-21,18.40796
2020-09-22,19.90049
2020-09-23,18.90547
2020-09-24,19.90049
2020-09-25,15.92039
2020-09-26,5.97014
2020-09-27,4.47761
2020-09-28,19.40298
2020-09-29,9.95024
2020-10-01,4.47761
2020-10-02,6.46766
2020-10-03,7.96019
2020-10-04,8.45771
2020-10-05,15.42288
2020-10-06,21.39303
2020-10-07,18.90547
2020-10-08,18.40796
2020-10-09,9.45273
2020-10-10,12.43781
2020-10-11,5.97014
2020-10-12,17.91044
2020-10-13,25.37313
2020-10-14,20.398
2020-10-15,19.90049
2020-10-16,10.44776
2020-10-17,11.44278
2020-10-18,9.45273
2020-10-19,25.37313
2020-10-20,31.34328
2020-10-21,27.86069
